,date,symbol,open,close,low,high,volume
255,2010-01-04,ABC,26.290001,26.629998999999998,26.139999,26.690001000000002,2455900.0
722,2010-01-05,ABC,26.65,26.440001000000002,26.379998999999998,26.65,2476800.0
1190,2010-01-06,ABC,26.389999,26.190001000000002,26.08,26.43,4039300.0
1658,2010-01-07,ABC,25.77,25.77,25.66,26.16,5244600.0
2126,2010-01-08,ABC,25.860001,26.049999,25.68,26.1,4277500.0
2594,2010-01-11,ABC,26.24,26.34,26.110001,26.48,1914400.0
3062,2010-01-12,ABC,26.32,26.52,26.190001000000002,26.549999,3142600.0
3530,2010-01-13,ABC,26.59,27.040001,26.59,27.129998999999998,3150100.0
3998,2010-01-14,ABC,26.969998999999998,27.209999,26.85,27.25,2054300.0
4466,2010-01-15,ABC,27.26,26.92,26.809998999999998,27.27,2076400.0
4934,2010-01-19,ABC,26.959999,27.370001000000002,26.92,27.610001,2826200.0
5402,2010-01-20,ABC,27.35,27.139999,26.76,27.35,2683700.0
5870,2010-01-21,ABC,27.110001,26.58,26.25,27.18,3961000.0
6338,2010-01-22,ABC,26.469998999999998,26.66,26.02,26.799999,4321500.0
6806,2010-01-25,ABC,26.790001,27.110001,26.68,27.34,5285000.0
7274,2010-01-26,ABC,27.860001,27.440001000000002,27.34,28.0,5530700.0
7742,2010-01-27,ABC,27.370001000000002,27.26,27.040001,27.639999,4885100.0
8210,2010-01-28,ABC,27.24,27.280001000000002,27.24,27.76,3374300.0
8678,2010-01-29,ABC,27.41,27.26,27.23,27.610001,4136700.0
9146,2010-02-01,ABC,27.459999,27.75,27.08,27.780001000000002,3682900.0
9614,2010-02-02,ABC,27.799999,28.549999,27.66,28.610001,6012600.0
10082,2010-02-03,ABC,28.51,28.32,28.030001000000002,28.59,3801100.0
10550,2010-02-04,ABC,28.26,27.42,27.42,28.26,4607500.0
11018,2010-02-05,ABC,27.370001000000002,27.01,26.65,27.4,5637600.0
11486,2010-02-08,ABC,27.030001000000002,26.950001,26.82,27.190001000000002,2811300.0
11954,2010-02-09,ABC,27.18,27.16,27.0,27.4,2167600.0
12422,2010-02-10,ABC,27.309998999999998,27.190001000000002,26.68,27.32,5655300.0
12890,2010-02-11,ABC,27.18,27.52,26.950001,27.57,4093800.0
13358,2010-02-12,ABC,27.389999,27.35,27.02,27.389999,2583700.0
13826,2010-02-16,ABC,27.66,27.57,27.309998999999998,27.66,3328800.0
14294,2010-02-17,ABC,27.73,27.59,27.059998999999998,27.780001000000002,5869000.0
14762,2010-02-18,ABC,27.58,27.860001,27.5,27.9,2931200.0
15230,2010-02-19,ABC,27.870001000000002,28.139999,27.6,28.190001000000002,3862400.0
15698,2010-02-22,ABC,28.24,27.889999,27.76,28.24,3256200.0
16166,2010-02-23,ABC,27.82,27.75,27.57,27.969998999999998,5407100.0
16634,2010-02-24,ABC,27.77,27.889999,27.76,28.040001,2652500.0
17102,2010-02-25,ABC,27.700001,28.08,27.58,28.08,3168400.0
17570,2010-02-26,ABC,28.08,28.040001,27.889999,28.190001000000002,4036700.0
18038,2010-03-01,ABC,27.969998999999998,28.07,27.75,28.25,3116800.0
18506,2010-03-02,ABC,28.200001,28.459999,28.08,28.5,2366300.0
18974,2010-03-03,ABC,28.5,28.0,27.969998999999998,28.5,3090300.0
19442,2010-03-04,ABC,28.16,27.99,27.91,28.16,2659400.0
19910,2010-03-05,ABC,28.02,28.41,27.98,28.41,2715900.0
20378,2010-03-08,ABC,28.41,28.07,28.049999,28.450001,2470000.0
20846,2010-03-09,ABC,28.02,27.99,27.9,28.16,2907900.0
21314,2010-03-10,ABC,27.950001,28.049999,27.879998999999998,28.190001000000002,2364600.0
21782,2010-03-11,ABC,27.950001,28.08,27.799999,28.120001000000002,1678400.0
22250,2010-03-12,ABC,28.17,27.93,27.799999,28.25,2337200.0
22718,2010-03-15,ABC,27.9,27.75,27.610001,27.9,2755000.0
23186,2010-03-16,ABC,28.42,28.360001,27.93,28.450001,4210300.0
23654,2010-03-17,ABC,28.57,28.200001,28.18,28.58,3088500.0
24122,2010-03-18,ABC,28.370001000000002,28.57,28.190001000000002,28.620001000000002,2756600.0
24590,2010-03-19,ABC,28.68,28.68,28.27,29.110001,5468600.0
25058,2010-03-22,ABC,28.620001000000002,29.290001,28.5,29.309998999999998,4848800.0
25526,2010-03-23,ABC,29.43,29.209999,28.9,29.43,2345700.0
25994,2010-03-24,ABC,29.27,28.719998999999998,28.66,29.299999,2158600.0
26462,2010-03-25,ABC,28.889999,28.6,28.549999,28.9,2623700.0
26930,2010-03-26,ABC,28.629998999999998,28.59,28.299999,28.719998999999998,2554700.0
27398,2010-03-29,ABC,28.76,28.84,28.620001000000002,28.93,2064800.0
27866,2010-03-30,ABC,28.93,29.280001000000002,28.860001,29.33,2740800.0
28334,2010-03-31,ABC,29.27,28.92,28.75,29.27,2407300.0
28802,2010-04-01,ABC,28.99,28.59,28.42,29.129998999999998,3680900.0
29270,2010-04-05,ABC,28.629998999999998,28.92,28.530001000000002,29.02,2339700.0
29738,2010-04-06,ABC,28.92,29.030001000000002,28.799999,29.139999,1739100.0
30206,2010-04-07,ABC,28.93,29.040001,28.77,29.07,3151200.0
30674,2010-04-08,ABC,29.58,29.18,29.1,29.58,3767300.0
31142,2010-04-09,ABC,29.26,29.469998999999998,29.18,29.48,2018500.0
31610,2010-04-12,ABC,29.49,29.34,29.27,29.51,1839500.0
32078,2010-04-13,ABC,29.24,29.459999,28.950001,29.5,2778000.0
32546,2010-04-14,ABC,29.49,29.200001,29.02,29.5,2764000.0
33014,2010-04-15,ABC,29.190001000000002,29.49,29.09,29.5,2217200.0
33482,2010-04-16,ABC,29.5,29.879998999999998,29.360001,29.92,5991800.0
33950,2010-04-19,ABC,29.889999,29.82,29.58,29.99,4306600.0
34418,2010-04-20,ABC,29.969998999999998,30.379998999999998,29.879998999999998,30.49,4190100.0
34886,2010-04-21,ABC,30.43,30.360001,29.98,30.59,5969000.0
35354,2010-04-22,ABC,31.290001,31.41,30.76,31.790001,8444500.0
35822,2010-04-23,ABC,31.5,31.129998999999998,30.790001,31.57,4950700.0
36290,2010-04-26,ABC,31.1,31.23,30.83,31.440001000000002,4282000.0
36758,2010-04-27,ABC,31.0,30.860001,30.77,31.389999,3571100.0
37226,2010-04-28,ABC,30.91,30.790001,30.68,31.15,3087400.0
37695,2010-04-29,ABC,30.969998999999998,31.360001,30.93,31.639999,3960900.0
38164,2010-04-30,ABC,31.42,30.85,30.85,31.6,3380600.0
38633,2010-05-03,ABC,31.030001000000002,31.280001000000002,30.91,31.360001,2472400.0
39102,2010-05-04,ABC,31.049999,30.969998999999998,30.719998999999998,31.18,2849000.0
39571,2010-05-05,ABC,30.530001000000002,31.030001000000002,30.530001000000002,31.200001,3670000.0
40040,2010-05-06,ABC,30.870001000000002,30.75,28.950001,31.43,6056700.0
40509,2010-05-07,ABC,30.559998999999998,29.91,29.389999,30.610001,6272400.0
40978,2010-05-10,ABC,30.92,31.059998999999998,30.57,31.32,3938600.0
41447,2010-05-11,ABC,30.629998999999998,31.219998999999998,30.610001,31.5,4061600.0
41916,2010-05-12,ABC,31.27,31.790001,31.01,31.84,3151800.0
42385,2010-05-13,ABC,31.92,31.6,31.58,31.959999,3951400.0
42854,2010-05-14,ABC,31.49,31.309998999999998,31.049999,31.559998999999998,3599400.0
43323,2010-05-17,ABC,31.34,31.4,30.940001000000002,31.709999,3794200.0
43792,2010-05-18,ABC,31.719998999999998,31.290001,31.08,31.959999,4524100.0
44261,2010-05-19,ABC,31.139999,31.42,31.0,31.58,4002900.0
44730,2010-05-20,ABC,31.030001000000002,30.68,30.59,31.26,6419500.0
45199,2010-05-21,ABC,30.07,30.83,30.049999,30.98,6502200.0
45668,2010-05-24,ABC,30.799999,30.700001,30.42,31.07,5126100.0
46137,2010-05-25,ABC,30.1,30.27,29.5,30.299999,6030800.0
46606,2010-05-26,ABC,30.48,30.440001000000002,30.32,30.98,4960700.0
47075,2010-05-27,ABC,30.879998999999998,31.57,30.85,31.59,4144900.0
47544,2010-05-28,ABC,31.540001,31.280001000000002,30.92,31.700001,4896100.0
48013,2010-06-01,ABC,31.030001000000002,30.809998999999998,30.73,31.440001000000002,4095800.0
48482,2010-06-02,ABC,30.870001000000002,31.73,30.73,31.76,3892500.0
