,date,symbol,open,close,low,high,volume
257,2010-01-04,ACN,41.52,42.07,41.5,42.200001,3650100.0
724,2010-01-05,ACN,42.099998,42.330002,41.98,42.450001,2613000.0
1192,2010-01-06,ACN,42.09,42.779999,41.810001,42.900002,5772100.0
1660,2010-01-07,ACN,42.5,42.740002000000004,42.240002000000004,42.900002,4022900.0
2128,2010-01-08,ACN,42.509997999999996,42.57,42.189999,43.060001,5069700.0
2596,2010-01-11,ACN,42.439999,42.529999,42.23,42.810001,4231900.0
3064,2010-01-12,ACN,42.209998999999996,42.259997999999996,42.200001,43.619999,5557100.0
3532,2010-01-13,ACN,42.450001,42.740002000000004,42.200001,42.93,4496800.0
4000,2010-01-14,ACN,42.720001,43.119999,42.599998,43.290001000000004,3312500.0
4468,2010-01-15,ACN,42.959998999999996,42.810001,42.740002000000004,43.59,4734200.0
4936,2010-01-19,ACN,42.689999,43.75,42.5,43.830002,5343600.0
5404,2010-01-20,ACN,43.360001000000004,43.509997999999996,43.049999,43.889998999999996,4409900.0
5872,2010-01-21,ACN,43.439999,43.09,42.860001000000004,43.779999,4578300.0
6340,2010-01-22,ACN,43.02,42.18,41.889998999999996,43.02,4903400.0
6808,2010-01-25,ACN,42.540001000000004,41.880001,41.619999,42.540001000000004,3665700.0
7276,2010-01-26,ACN,41.759997999999996,41.830002,41.529999,42.189999,3459000.0
7744,2010-01-27,ACN,41.91,41.93,41.529999,42.5,4562300.0
8212,2010-01-28,ACN,42.150002,41.290001000000004,41.099998,42.150002,4773300.0
8680,2010-01-29,ACN,41.639998999999996,40.990002000000004,40.939999,41.970001,4618100.0
9148,2010-02-01,ACN,41.16,41.189999,40.91,41.599998,3540100.0
9616,2010-02-02,ACN,41.389998999999996,41.619999,40.799999,41.84,3817900.0
10084,2010-02-03,ACN,41.549999,41.599998,41.389998999999996,41.689999,2555100.0
10552,2010-02-04,ACN,41.380001,40.610001000000004,40.560001,41.380001,4069400.0
11020,2010-02-05,ACN,40.209998999999996,40.540001000000004,39.700001,40.75,5850400.0
11488,2010-02-08,ACN,40.43,40.169998,39.900002,40.57,4514200.0
11956,2010-02-09,ACN,40.470001,40.240002000000004,40.18,40.779999,4525700.0
12424,2010-02-10,ACN,40.330002,40.02,39.630001,40.549999,4885800.0
12892,2010-02-11,ACN,40.02,40.27,39.610001000000004,40.599998,4753300.0
13360,2010-02-12,ACN,40.34,40.490002000000004,39.799999,40.540001000000004,3347700.0
13828,2010-02-16,ACN,40.700001,40.84,40.220001,40.84,2420000.0
14296,2010-02-17,ACN,41.119999,40.790001000000004,40.66,41.119999,2480300.0
14764,2010-02-18,ACN,40.84,41.310001,40.73,41.34,2309400.0
15232,2010-02-19,ACN,40.259997999999996,40.869999,40.259997999999996,41.41,5039200.0
15700,2010-02-22,ACN,40.990002000000004,40.700001,40.549999,41.09,2421400.0
16168,2010-02-23,ACN,40.59,40.259997999999996,40.240002000000004,40.860001000000004,2600900.0
16636,2010-02-24,ACN,40.419998,40.279999,40.240002000000004,40.630001,3261600.0
17104,2010-02-25,ACN,40.009997999999996,39.75,39.549999,40.169998,5548700.0
17572,2010-02-26,ACN,39.75,39.970001,39.720001,40.25,4534000.0
18040,2010-03-01,ACN,39.880001,40.09,39.880001,40.450001,4157800.0
18508,2010-03-02,ACN,40.32,40.599998,40.25,40.919998,3726700.0
18976,2010-03-03,ACN,40.759997999999996,40.639998999999996,40.52,40.91,3194000.0
19444,2010-03-04,ACN,40.560001,40.91,40.439999,41.0,3642900.0
19912,2010-03-05,ACN,41.09,41.18,40.830002,41.470001,2781800.0
20380,2010-03-08,ACN,41.060001,41.459998999999996,41.060001,41.610001000000004,4536100.0
20848,2010-03-09,ACN,41.200001,42.060001,41.200001,42.310001,4826300.0
21316,2010-03-10,ACN,41.959998999999996,42.060001,41.669998,42.150002,3192100.0
21784,2010-03-11,ACN,41.779999,42.0,41.669998,42.07,3282900.0
22252,2010-03-12,ACN,42.290001000000004,42.119999,41.779999,42.389998999999996,2755900.0
22720,2010-03-15,ACN,42.240002000000004,42.5,42.029999,42.57,2619800.0
23188,2010-03-16,ACN,42.580002,42.0,41.57,42.599998,4625500.0
23656,2010-03-17,ACN,42.080002,42.240002000000004,41.889998999999996,42.990002000000004,5203200.0
24124,2010-03-18,ACN,42.349998,42.279999,41.939999,42.77,2731700.0
24592,2010-03-19,ACN,42.060001,42.060001,41.400002,42.330002,4329100.0
25060,2010-03-22,ACN,41.869999,42.43,41.790001000000004,42.52,2346200.0
25528,2010-03-23,ACN,42.580002,42.400002,42.169998,42.709998999999996,3822900.0
25996,2010-03-24,ACN,42.290001000000004,41.790001000000004,41.669998,42.400002,3096400.0
26464,2010-03-25,ACN,42.099998,41.52,41.5,42.48,4643600.0
26932,2010-03-26,ACN,41.310001,42.400002,41.279999,42.5,6528800.0
27400,2010-03-29,ACN,42.66,42.299999,42.09,42.93,3810200.0
27868,2010-03-30,ACN,42.110001000000004,42.209998999999996,41.900002,42.330002,3778000.0
28336,2010-03-31,ACN,41.98,41.950001,41.720001,42.209998999999996,3026200.0
28804,2010-04-01,ACN,42.169998,41.84,41.650002,42.650002,3622700.0
29272,2010-04-05,ACN,41.82,41.959998999999996,41.610001000000004,42.169998,2561300.0
29740,2010-04-06,ACN,42.02,41.52,41.450001,42.310001,5802000.0
30208,2010-04-07,ACN,41.509997999999996,41.560001,41.369999,41.880001,5314800.0
