,date,symbol,open,close,low,high,volume
717,2010-01-04,AIV,16.15,15.96,15.81,16.35,1938700.0
1185,2010-01-05,AIV,16.07,16.360001,15.89,16.370001000000002,2070700.0
1653,2010-01-06,AIV,16.360001,16.65,16.360001,16.889999,3797300.0
2121,2010-01-07,AIV,16.59,17.26,16.43,17.360001,3902600.0
2589,2010-01-08,AIV,17.1,16.860001,16.6,17.209999,3825200.0
3057,2010-01-11,AIV,17.059998999999998,16.99,16.860001,17.110001,1314000.0
3525,2010-01-12,AIV,16.85,16.549999,16.48,17.209999,2220200.0
3993,2010-01-13,AIV,16.59,17.01,16.59,17.040001,1609900.0
4461,2010-01-14,AIV,16.91,16.82,16.75,17.110001,2133000.0
4929,2010-01-15,AIV,16.629998999999998,16.43,16.23,16.809998999999998,2280800.0
5397,2010-01-19,AIV,16.57,16.940001000000002,16.530001000000002,16.969998999999998,2030400.0
5865,2010-01-20,AIV,16.799999,16.65,16.469998999999998,16.870001000000002,1804200.0
6333,2010-01-21,AIV,16.52,15.8,15.78,16.629998999999998,4178000.0
6801,2010-01-22,AIV,15.8,15.33,15.26,16.129998999999998,2891800.0
7269,2010-01-25,AIV,15.59,15.54,15.2,15.65,1865700.0
7737,2010-01-26,AIV,15.53,15.42,15.38,15.79,1704500.0
8205,2010-01-27,AIV,15.38,15.56,15.01,15.59,2567300.0
8673,2010-01-28,AIV,15.68,15.48,15.25,15.72,1780500.0
9141,2010-01-29,AIV,15.57,15.36,15.22,15.76,2357500.0
9609,2010-02-01,AIV,15.43,15.74,15.34,15.74,1289900.0
10077,2010-02-02,AIV,15.71,16.26,15.51,16.370001000000002,2619100.0
10545,2010-02-03,AIV,15.99,15.93,15.66,16.09,2356200.0
11013,2010-02-04,AIV,15.73,15.26,15.2,15.76,3633400.0
11481,2010-02-05,AIV,15.43,15.69,15.11,15.78,3521800.0
11949,2010-02-08,AIV,15.63,15.21,15.15,15.81,1807900.0
12417,2010-02-09,AIV,15.42,15.48,15.1,15.56,2638300.0
12885,2010-02-10,AIV,15.49,15.44,15.1,15.66,1678300.0
13353,2010-02-11,AIV,15.38,15.53,15.16,15.56,1640100.0
13821,2010-02-12,AIV,15.61,15.87,15.35,15.9,2537400.0
