,date,symbol,open,close,low,high,volume
272,2010-01-04,AJG,22.6,22.33,22.280001000000002,22.809998999999998,379300.0
739,2010-01-05,AJG,22.35,22.209999,21.9,22.42,545700.0
1207,2010-01-06,AJG,22.26,22.219998999999998,22.110001,22.440001000000002,349400.0
1675,2010-01-07,AJG,22.1,22.08,21.959999,22.15,633500.0
2143,2010-01-08,AJG,22.1,22.139999,22.0,22.18,391300.0
2611,2010-01-11,AJG,22.139999,22.17,22.049999,22.299999,582600.0
3079,2010-01-12,AJG,22.1,22.299999,22.1,22.35,447000.0
3547,2010-01-13,AJG,22.309998999999998,22.290001,22.200001,22.360001,244200.0
4015,2010-01-14,AJG,22.219998999999998,22.23,22.129998999999998,22.280001000000002,299400.0
4483,2010-01-15,AJG,22.24,22.0,21.98,22.280001000000002,243300.0
4951,2010-01-19,AJG,22.02,22.25,22.02,22.26,400800.0
5419,2010-01-20,AJG,22.08,22.139999,21.9,22.139999,278800.0
5887,2010-01-21,AJG,22.09,22.309998999999998,22.02,22.370001000000002,501600.0
6355,2010-01-22,AJG,22.360001,22.700001,22.309998999999998,22.73,778500.0
6823,2010-01-25,AJG,22.82,22.82,22.68,23.34,558700.0
7291,2010-01-26,AJG,22.84,22.66,22.66,22.99,317000.0
7759,2010-01-27,AJG,22.59,22.48,22.32,22.83,561700.0
8227,2010-01-28,AJG,22.549999,22.6,22.27,22.74,385900.0
8695,2010-01-29,AJG,22.66,22.549999,22.549999,22.98,470000.0
9163,2010-02-01,AJG,22.610001,22.780001000000002,22.530001000000002,22.84,404700.0
9631,2010-02-02,AJG,22.83,22.700001,22.549999,23.0,903500.0
10099,2010-02-03,AJG,22.799999,23.74,22.799999,24.120001000000002,1457900.0
10567,2010-02-04,AJG,23.5,23.559998999999998,23.32,23.780001000000002,925300.0
11035,2010-02-05,AJG,23.49,23.1,22.82,23.52,843400.0
11503,2010-02-08,AJG,23.25,22.77,22.709999,23.25,571100.0
11971,2010-02-09,AJG,22.92,22.860001,22.719998999999998,23.0,530800.0
12439,2010-02-10,AJG,22.85,22.879998999999998,22.709999,22.950001,339600.0
12907,2010-02-11,AJG,22.9,22.940001000000002,22.76,23.0,304500.0
13375,2010-02-12,AJG,22.85,22.98,22.68,22.98,523700.0
13843,2010-02-16,AJG,23.040001,23.040001,22.76,23.040001,399100.0
14311,2010-02-17,AJG,23.059998999999998,23.27,22.950001,23.33,588600.0
14779,2010-02-18,AJG,23.280001000000002,23.34,23.15,23.360001,443600.0
15247,2010-02-19,AJG,23.34,23.540001,23.280001000000002,23.540001,361100.0
15715,2010-02-22,AJG,23.6,23.610001,23.41,23.620001000000002,317200.0
16183,2010-02-23,AJG,23.6,23.719998999999998,23.49,23.809998999999998,455900.0
16651,2010-02-24,AJG,23.790001,23.870001000000002,23.73,23.879998999999998,378800.0
17119,2010-02-25,AJG,23.629998999999998,23.77,23.59,23.799999,362500.0
17587,2010-02-26,AJG,23.790001,23.73,23.59,23.83,480800.0
18055,2010-03-01,AJG,23.77,24.02,23.700001,24.030001000000002,567700.0
18523,2010-03-02,AJG,24.01,24.129998999999998,23.879998999999998,24.16,484400.0
18991,2010-03-03,AJG,24.09,24.290001,24.059998999999998,24.32,389100.0
19459,2010-03-04,AJG,24.389999,24.17,24.02,24.5,482800.0
19927,2010-03-05,AJG,24.32,24.43,24.049999,24.450001,334800.0
20395,2010-03-08,AJG,24.42,24.389999,24.360001,24.559998999999998,541200.0
20863,2010-03-09,AJG,24.370001000000002,24.43,24.190001000000002,24.48,728800.0
21331,2010-03-10,AJG,24.42,24.639999,24.200001,24.639999,768400.0
21799,2010-03-11,AJG,24.58,24.73,24.459999,24.809998999999998,434900.0
22267,2010-03-12,AJG,24.860001,25.209999,24.700001,25.209999,729200.0
22735,2010-03-15,AJG,25.25,25.32,25.049999,25.440001000000002,625900.0
23203,2010-03-16,AJG,25.299999,25.49,25.290001,25.610001,496500.0
23671,2010-03-17,AJG,25.559998999999998,25.639999,25.4,25.68,325300.0
24139,2010-03-18,AJG,25.700001,25.73,25.610001,25.84,327900.0
24607,2010-03-19,AJG,25.58,25.58,24.959999,25.6,915900.0
25075,2010-03-22,AJG,25.5,24.969998999999998,24.92,25.5,2011100.0
25543,2010-03-23,AJG,24.93,25.209999,24.76,25.209999,746600.0
26011,2010-03-24,AJG,25.17,25.059998999999998,24.74,25.17,510500.0
26479,2010-03-25,AJG,25.18,25.17,25.059998999999998,25.280001000000002,569800.0
26947,2010-03-26,AJG,25.25,25.09,25.02,25.309998999999998,410500.0
27415,2010-03-29,AJG,25.01,24.950001,24.77,25.120001000000002,450800.0
27883,2010-03-30,AJG,25.01,24.91,24.76,25.040001,425100.0
28351,2010-03-31,AJG,24.83,24.549999,24.530001000000002,24.940001000000002,451000.0
28819,2010-04-01,AJG,24.59,24.5,24.33,24.73,463400.0
29287,2010-04-05,AJG,24.5,24.6,24.459999,24.65,510200.0
29755,2010-04-06,AJG,24.459999,24.73,24.459999,24.82,467900.0
30223,2010-04-07,AJG,24.57,24.68,24.459999,24.77,455200.0
30691,2010-04-08,AJG,24.68,24.58,24.5,24.73,537900.0
31159,2010-04-09,AJG,24.51,24.610001,24.290001,24.620001000000002,398900.0
31627,2010-04-12,AJG,24.549999,24.809998999999998,24.299999,24.809998999999998,307200.0
32095,2010-04-13,AJG,24.709999,25.02,24.709999,25.02,410200.0
32563,2010-04-14,AJG,25.01,25.24,24.99,25.24,286500.0
33031,2010-04-15,AJG,25.18,25.34,25.1,25.42,454200.0
33499,2010-04-16,AJG,25.35,25.370001000000002,25.17,25.530001000000002,598800.0
33967,2010-04-19,AJG,25.25,25.4,25.07,25.440001000000002,505100.0
34435,2010-04-20,AJG,25.49,25.84,25.309998999999998,25.84,437800.0
34903,2010-04-21,AJG,25.790001,25.76,25.51,25.889999,551300.0
35371,2010-04-22,AJG,25.68,26.309998999999998,25.51,26.35,631800.0
35839,2010-04-23,AJG,26.5,26.51,26.209999,27.0,782600.0
36307,2010-04-26,AJG,26.549999,26.440001000000002,26.379998999999998,26.65,520000.0
36775,2010-04-27,AJG,26.4,26.059998999999998,26.02,26.790001,752400.0
37243,2010-04-28,AJG,26.209999,25.809998999999998,25.709999,26.290001,706800.0
37712,2010-04-29,AJG,25.85,26.559998999999998,25.799999,26.559998999999998,785200.0
38181,2010-04-30,AJG,26.5,26.27,26.219998999999998,26.559998999999998,560900.0
38650,2010-05-03,AJG,26.379998999999998,26.59,26.299999,26.610001,496700.0
39119,2010-05-04,AJG,26.35,26.41,26.26,26.530001000000002,675100.0
39588,2010-05-05,AJG,26.16,25.870001000000002,25.74,26.5,855000.0
40057,2010-05-06,AJG,25.76,24.58,22.629998999999998,25.85,1912500.0
40526,2010-05-07,AJG,24.620001000000002,24.290001,24.030001000000002,24.73,1491500.0
