,date,symbol,open,close,low,high,volume
276,2010-01-04,ALL,30.360001,30.41,30.09,30.51,2631000.0
743,2010-01-05,ALL,30.48,30.91,30.139999,30.969998999999998,5342100.0
1211,2010-01-06,ALL,30.9,30.92,30.690001000000002,30.98,3399500.0
1679,2010-01-07,ALL,30.85,31.08,30.610001,31.16,3694900.0
2147,2010-01-08,ALL,30.889999,31.209999,30.790001,31.290001,2806800.0
2615,2010-01-11,ALL,31.34,31.209999,31.040001,31.440001000000002,2168200.0
3083,2010-01-12,ALL,31.440001000000002,31.18,31.1,31.73,5354300.0
3551,2010-01-13,ALL,31.190001000000002,31.459999,31.190001000000002,31.68,3517200.0
4019,2010-01-14,ALL,31.35,31.639999,31.049999,31.73,3368900.0
4487,2010-01-15,ALL,31.559998999999998,30.91,30.68,31.559998999999998,4696600.0
4955,2010-01-19,ALL,30.799999,31.389999,30.6,31.43,3008800.0
5423,2010-01-20,ALL,31.23,31.219998999999998,30.690001000000002,31.23,3577200.0
5891,2010-01-21,ALL,31.16,30.83,30.43,31.43,4900800.0
6359,2010-01-22,ALL,30.83,29.98,29.92,31.040001,7059000.0
6827,2010-01-25,ALL,30.33,30.35,29.93,30.629998999999998,4136900.0
7295,2010-01-26,ALL,30.280001000000002,30.280001000000002,30.1,31.07,4427200.0
7763,2010-01-27,ALL,30.219998999999998,30.280001000000002,29.75,30.540001,5202500.0
8231,2010-01-28,ALL,30.52,29.950001,29.690001000000002,30.52,2919000.0
8699,2010-01-29,ALL,30.129998999999998,29.93,29.860001,30.379998999999998,2893600.0
9167,2010-02-01,ALL,30.110001,29.950001,29.73,30.26,2324400.0
9635,2010-02-02,ALL,29.85,30.52,29.85,30.549999,2854600.0
10103,2010-02-03,ALL,30.360001,29.83,29.610001,30.360001,4372700.0
10571,2010-02-04,ALL,29.629998999999998,28.690001000000002,28.690001000000002,29.809998999999998,6428100.0
11039,2010-02-05,ALL,28.690001000000002,28.91,28.129998999999998,29.01,5576600.0
11507,2010-02-08,ALL,28.84,28.360001,28.32,28.85,2845000.0
11975,2010-02-09,ALL,28.639999,28.73,28.23,28.790001,2813600.0
12443,2010-02-10,ALL,28.73,28.6,28.309998999999998,28.82,3970200.0
12911,2010-02-11,ALL,28.559998999999998,29.41,28.24,29.84,5967700.0
13379,2010-02-12,ALL,29.24,29.530001000000002,29.059998999999998,29.59,5884500.0
13847,2010-02-16,ALL,30.02,30.52,29.85,30.559998999999998,5622600.0
14315,2010-02-17,ALL,30.700001,30.690001000000002,30.469998999999998,30.75,4745500.0
14783,2010-02-18,ALL,30.559998999999998,31.25,30.559998999999998,31.299999,4801300.0
15251,2010-02-19,ALL,31.07,31.219998999999998,30.870001000000002,31.280001000000002,4879900.0
15719,2010-02-22,ALL,31.219998999999998,31.41,31.02,31.48,3692400.0
16187,2010-02-23,ALL,31.290001,31.18,31.059998999999998,31.620001000000002,5503500.0
16655,2010-02-24,ALL,31.18,31.280001000000002,31.0,31.299999,4225600.0
17123,2010-02-25,ALL,30.83,31.299999,30.65,31.309998999999998,4250500.0
17591,2010-02-26,ALL,31.209999,31.25,30.950001,31.4,3983700.0
18059,2010-03-01,ALL,31.25,31.57,31.24,31.690001000000002,4535000.0
18527,2010-03-02,ALL,31.66,32.02,31.620001000000002,32.18,5472100.0
18995,2010-03-03,ALL,32.07,31.99,31.93,32.299999,4420400.0
19463,2010-03-04,ALL,32.07,31.940001000000002,31.82,32.09,5962100.0
19931,2010-03-05,ALL,32.139998999999996,32.139998999999996,31.84,32.25,4967600.0
20399,2010-03-08,ALL,32.110001000000004,31.99,31.959999,32.240002000000004,4463800.0
20867,2010-03-09,ALL,31.82,31.870001000000002,31.73,31.959999,4049600.0
21335,2010-03-10,ALL,31.65,31.6,31.34,31.75,4295300.0
