,date,symbol,open,close,low,high,volume
280,2010-01-04,AMG,67.959999,68.879997,67.879997,69.059998,306100.0
747,2010-01-05,AMG,68.779999,69.43,68.269997,69.5,324600.0
1215,2010-01-06,AMG,69.209999,70.790001,69.209999,71.470001,486200.0
1683,2010-01-07,AMG,70.449997,70.470001,69.970001,71.040001,434000.0
2151,2010-01-08,AMG,70.040001,69.82,69.309998,70.690002,382800.0
2619,2010-01-11,AMG,70.239998,70.290001,69.459999,70.629997,378100.0
3087,2010-01-12,AMG,69.540001,69.769997,68.970001,70.66999799999999,324000.0
3555,2010-01-13,AMG,70.339996,70.519997,69.75,70.559998,462000.0
4023,2010-01-14,AMG,70.190002,69.220001,69.07,70.480003,764400.0
4491,2010-01-15,AMG,69.099998,67.760002,67.709999,69.480003,460800.0
4959,2010-01-19,AMG,67.760002,68.300003,67.239998,68.629997,382400.0
5427,2010-01-20,AMG,67.610001,67.129997,66.25,67.959999,477500.0
5895,2010-01-21,AMG,67.07,65.949997,65.639999,67.540001,564300.0
6363,2010-01-22,AMG,65.839996,65.849998,65.339996,66.25,1070800.0
6831,2010-01-25,AMG,66.650002,66.010002,65.849998,67.709999,965800.0
7299,2010-01-26,AMG,65.690002,63.23,63.110001000000004,65.83000200000001,800400.0
7767,2010-01-27,AMG,63.169998,63.900002,63.060001,64.33000200000001,1161600.0
8235,2010-01-28,AMG,64.110001,61.779999,61.720001,64.279999,1112300.0
8703,2010-01-29,AMG,62.189999,60.57,60.549999,63.52,892100.0
9171,2010-02-01,AMG,61.119999,64.120003,60.66,65.190002,1236400.0
9639,2010-02-02,AMG,64.93,65.470001,64.58000200000001,66.019997,683100.0
10107,2010-02-03,AMG,65.059998,65.849998,65.040001,66.16999799999999,578800.0
10575,2010-02-04,AMG,65.110001,63.34,63.34,65.589996,644500.0
11043,2010-02-05,AMG,63.259997999999996,63.709998999999996,60.91,63.740002000000004,540700.0
11511,2010-02-08,AMG,63.720001,62.5,62.459998999999996,64.120003,482500.0
11979,2010-02-09,AMG,63.580002,62.450001,61.939999,63.580002,577400.0
12447,2010-02-10,AMG,66.190002,67.519997,66.150002,69.730003,1910500.0
12915,2010-02-11,AMG,67.160004,67.860001,67.150002,68.33000200000001,651400.0
13383,2010-02-12,AMG,66.790001,68.709999,66.160004,68.760002,638300.0
13851,2010-02-16,AMG,69.550003,69.400002,68.58000200000001,69.91999799999999,416400.0
14319,2010-02-17,AMG,69.989998,69.769997,69.050003,70.0,431700.0
14787,2010-02-18,AMG,69.699997,68.41999799999999,68.25,69.699997,658100.0
15255,2010-02-19,AMG,68.160004,68.889999,68.160004,69.480003,492000.0
15723,2010-02-22,AMG,69.410004,70.870003,68.82,71.379997,752800.0
16191,2010-02-23,AMG,70.790001,70.339996,69.699997,71.379997,818000.0
16659,2010-02-24,AMG,70.410004,70.709999,70.129997,71.010002,314500.0
17127,2010-02-25,AMG,69.83000200000001,70.620003,69.279999,70.730003,306100.0
17595,2010-02-26,AMG,70.540001,71.129997,69.93,71.33000200000001,353100.0
18063,2010-03-01,AMG,71.150002,72.209999,71.0,72.290001,469200.0
18531,2010-03-02,AMG,72.309998,73.93,72.269997,74.290001,686100.0
18999,2010-03-03,AMG,73.889999,74.480003,73.41999799999999,75.510002,698000.0
19467,2010-03-04,AMG,74.510002,76.800003,74.489998,77.349998,995400.0
19935,2010-03-05,AMG,77.690002,77.949997,76.370003,78.08000200000001,758200.0
20403,2010-03-08,AMG,77.739998,77.459999,77.379997,78.389999,494200.0
