,date,symbol,open,close,low,high,volume
295,2010-01-04,AVGO,18.299999,18.860001,18.01,18.9,538700.0
762,2010-01-05,AVGO,18.950001,19.0,18.1,19.24,301100.0
1230,2010-01-06,AVGO,18.950001,19.15,18.59,19.299999,533100.0
1698,2010-01-07,AVGO,19.040001,19.030001000000002,18.65,19.17,271800.0
2166,2010-01-08,AVGO,18.9,19.17,18.85,19.299999,289900.0
2634,2010-01-11,AVGO,19.200001,19.290001,19.030001000000002,19.549999,512700.0
3102,2010-01-12,AVGO,19.139999,19.0,18.74,19.139999,916700.0
3570,2010-01-13,AVGO,18.959999,18.42,18.25,18.959999,943900.0
4038,2010-01-14,AVGO,18.48,18.43,18.15,18.870001000000002,1065400.0
4506,2010-01-15,AVGO,18.559998999999998,18.24,18.15,18.559998999999998,158700.0
4974,2010-01-19,AVGO,17.9,17.809998999999998,17.299999,18.15,381300.0
5442,2010-01-20,AVGO,17.709999,17.959999,17.440001000000002,18.01,193800.0
5910,2010-01-21,AVGO,17.870001000000002,17.99,17.790001,18.49,338600.0
6378,2010-01-22,AVGO,17.879998999999998,17.559998999999998,17.379998999999998,18.059998999999998,923500.0
6846,2010-01-25,AVGO,17.67,17.65,17.459999,17.799999,261400.0
7314,2010-01-26,AVGO,17.030001000000002,17.76,16.84,18.0,765400.0
7782,2010-01-27,AVGO,17.639999,17.41,17.25,17.950001,696300.0
8250,2010-01-28,AVGO,17.549999,17.719998999999998,17.25,17.74,14457600.0
8718,2010-01-29,AVGO,17.719998999999998,17.379998999999998,17.25,17.860001,3357000.0
9186,2010-02-01,AVGO,17.379998999999998,17.5,17.290001,17.690001000000002,509500.0
9654,2010-02-02,AVGO,17.51,17.700001,17.35,17.799999,1772900.0
10122,2010-02-03,AVGO,17.540001,17.620001000000002,17.48,17.690001000000002,1285700.0
10590,2010-02-04,AVGO,17.379998999999998,17.219998999999998,17.059998999999998,17.58,1376700.0
11058,2010-02-05,AVGO,17.25,17.200001,16.6,17.32,538700.0
11526,2010-02-08,AVGO,17.08,17.01,16.870001000000002,17.290001,498300.0
11994,2010-02-09,AVGO,17.040001,16.99,16.82,17.379998999999998,189600.0
12462,2010-02-10,AVGO,16.860001,16.799999,16.51,16.940001000000002,578000.0
12930,2010-02-11,AVGO,16.76,17.129998999999998,16.5,17.25,370000.0
13398,2010-02-12,AVGO,16.98,17.360001,16.790001,17.389999,163200.0
13866,2010-02-16,AVGO,17.4,17.48,17.27,17.51,422700.0
14334,2010-02-17,AVGO,17.6,17.41,17.17,17.6,507700.0
14802,2010-02-18,AVGO,17.469998999999998,17.450001,17.299999,17.5,461900.0
15270,2010-02-19,AVGO,17.5,17.530001000000002,17.360001,17.620001000000002,374600.0
15738,2010-02-22,AVGO,17.5,17.35,17.23,17.59,846500.0
