,date,symbol,open,close,low,high,volume
304,2010-01-04,BBBY,39.369999,39.029999,39.0,39.5,2971500.0
771,2010-01-05,BBBY,39.07,38.669998,38.400002,39.110001000000004,4406600.0
1239,2010-01-06,BBBY,39.130001,39.23,38.470001,39.669998,4377000.0
1707,2010-01-07,BBBY,42.389998999999996,41.939999,41.709998999999996,43.419998,14227700.0
2175,2010-01-08,BBBY,41.060001,42.029999,40.790001000000004,42.43,4713600.0
2643,2010-01-11,BBBY,42.0,41.779999,41.32,42.400002,2847100.0
3111,2010-01-12,BBBY,41.32,41.389998999999996,40.939999,41.77,2889100.0
3579,2010-01-13,BBBY,41.779999,42.0,41.450001,42.25,3922900.0
4047,2010-01-14,BBBY,41.700001,41.439999,41.080002,41.799999,2662400.0
4515,2010-01-15,BBBY,41.52,40.669998,40.610001000000004,41.740002000000004,3434500.0
4983,2010-01-19,BBBY,40.66,40.810001,40.5,41.259997999999996,2266000.0
5451,2010-01-20,BBBY,40.25,40.130001,39.669998,40.509997999999996,2990000.0
5919,2010-01-21,BBBY,40.07,39.52,39.18,40.349998,3434400.0
6387,2010-01-22,BBBY,39.470001,39.07,39.009997999999996,39.990002000000004,3438200.0
6855,2010-01-25,BBBY,39.27,39.07,38.849998,39.630001,2338400.0
7323,2010-01-26,BBBY,38.860001000000004,39.259997999999996,38.75,39.610001000000004,3132000.0
7791,2010-01-27,BBBY,39.099998,39.439999,38.950001,39.580002,2783200.0
8259,2010-01-28,BBBY,39.080002,39.02,38.799999,39.77,3269300.0
8727,2010-01-29,BBBY,39.259997999999996,38.700001,38.66,39.740002000000004,3135400.0
9195,2010-02-01,BBBY,38.759997999999996,39.330002,38.619999,39.41,2451500.0
9663,2010-02-02,BBBY,39.310001,40.040001000000004,39.049999,40.16,2847000.0
10131,2010-02-03,BBBY,39.810001,39.889998999999996,39.310001,39.959998999999996,2943200.0
10599,2010-02-04,BBBY,39.75,38.639998999999996,38.59,39.75,2527900.0
11067,2010-02-05,BBBY,38.639998999999996,38.5,37.970001,38.939999,2971000.0
11535,2010-02-08,BBBY,38.57,38.52,38.060001,38.950001,1996300.0
12003,2010-02-09,BBBY,39.0,39.09,38.439999,39.259997999999996,2226800.0
12471,2010-02-10,BBBY,38.939999,38.810001,38.459998999999996,39.18,1741700.0
12939,2010-02-11,BBBY,38.650002,39.66,38.43,39.830002,3741900.0
13407,2010-02-12,BBBY,39.299999,39.779999,39.029999,39.919998,2721300.0
13875,2010-02-16,BBBY,39.919998,40.990002000000004,39.799999,40.990002000000004,4431400.0
14343,2010-02-17,BBBY,40.990002000000004,41.169998,40.290001000000004,41.43,3368900.0
14811,2010-02-18,BBBY,41.18,41.189999,40.740002000000004,41.290001000000004,1915700.0
15279,2010-02-19,BBBY,41.080002,41.41,41.009997999999996,41.529999,2606100.0
15747,2010-02-22,BBBY,41.290001000000004,41.290001000000004,40.970001,41.610001000000004,2058900.0
16215,2010-02-23,BBBY,41.310001,40.959998999999996,40.73,41.5,2130100.0
16683,2010-02-24,BBBY,41.34,41.689999,41.07,41.779999,2235700.0
17151,2010-02-25,BBBY,41.139998999999996,41.82,40.810001,41.919998,2426100.0
17619,2010-02-26,BBBY,41.860001000000004,41.610001000000004,41.360001000000004,41.880001,1757200.0
18087,2010-03-01,BBBY,41.75,41.75,41.41,42.040001000000004,2357100.0
18555,2010-03-02,BBBY,41.759997999999996,41.099998,41.080002,41.77,2868500.0
19023,2010-03-03,BBBY,41.130001,41.080002,40.990002000000004,41.57,2557200.0
19491,2010-03-04,BBBY,41.099998,41.400002,41.080002,41.849998,1725900.0
19959,2010-03-05,BBBY,41.529999,41.650002,41.299999,41.810001,2473300.0
20427,2010-03-08,BBBY,41.66,41.650002,41.5,41.849998,2602500.0
20895,2010-03-09,BBBY,41.439999,41.23,41.080002,41.790001000000004,2479500.0
21363,2010-03-10,BBBY,41.279999,41.669998,41.060001,41.799999,2844800.0
21831,2010-03-11,BBBY,40.91,41.34,40.580002,41.34,3751600.0
22299,2010-03-12,BBBY,41.330002,42.279999,41.139998999999996,42.41,4248200.0
22767,2010-03-15,BBBY,42.32,43.0,42.110001000000004,43.040001000000004,3744100.0
23235,2010-03-16,BBBY,42.950001,43.16,42.700001,43.169998,2631800.0
23703,2010-03-17,BBBY,43.080002,43.119999,42.709998999999996,43.200001,1855700.0
24171,2010-03-18,BBBY,42.959998999999996,44.060001,42.959998999999996,44.130001,4716500.0
24639,2010-03-19,BBBY,44.290001000000004,43.889998999999996,43.540001000000004,44.5,4444200.0
25107,2010-03-22,BBBY,43.779999,44.380001,43.669998,44.59,3272700.0
25575,2010-03-23,BBBY,44.560001,44.490002000000004,43.91,44.560001,2309100.0
26043,2010-03-24,BBBY,44.400002,44.119999,43.889998999999996,44.400002,2075100.0
26511,2010-03-25,BBBY,44.459998999999996,43.900002,43.900002,44.470001,1846300.0
26979,2010-03-26,BBBY,44.060001,44.0,43.75,44.639998999999996,2223500.0
27447,2010-03-29,BBBY,44.02,43.900002,43.759997999999996,44.450001,2084100.0
27915,2010-03-30,BBBY,43.860001000000004,44.16,43.759997999999996,44.419998,2190300.0
28383,2010-03-31,BBBY,43.990002000000004,43.759997999999996,43.689999,44.240002000000004,2280100.0
28851,2010-04-01,BBBY,44.419998,44.18,43.810001,44.439999,2018000.0
29319,2010-04-05,BBBY,44.549999,45.099998,44.279999,45.139998999999996,2726200.0
29787,2010-04-06,BBBY,44.790001000000004,44.619999,44.43,44.990002000000004,3754500.0
30255,2010-04-07,BBBY,44.709998999999996,44.669998,44.34,45.02,4996300.0
30723,2010-04-08,BBBY,45.630001,46.48,44.59,46.779999,9876700.0
31191,2010-04-09,BBBY,46.119999,45.509997999999996,45.209998999999996,46.25,6427400.0
31659,2010-04-12,BBBY,45.560001,45.77,45.349998,46.0,3522100.0
32127,2010-04-13,BBBY,45.759997999999996,45.650002,45.330002,45.970001,3300500.0
32595,2010-04-14,BBBY,45.5,45.799999,45.389998999999996,45.830002,2746000.0
33063,2010-04-15,BBBY,45.59,45.799999,45.220001,45.82,3470600.0
33531,2010-04-16,BBBY,45.77,45.330002,45.150002,45.849998,3958300.0
33999,2010-04-19,BBBY,45.369999,45.540001000000004,44.580002,45.580002,2479700.0
34467,2010-04-20,BBBY,45.610001000000004,46.25,45.529999,46.369999,3616900.0
34935,2010-04-21,BBBY,46.07,46.459998999999996,45.860001000000004,46.599998,2927900.0
35403,2010-04-22,BBBY,46.009997999999996,47.349998,46.009997999999996,47.5,4002500.0
35871,2010-04-23,BBBY,47.27,47.84,46.959998999999996,47.919998,4033300.0
36339,2010-04-26,BBBY,47.779999,48.25,47.52,48.52,5237900.0
36807,2010-04-27,BBBY,48.189999,46.299999,46.130001,48.240002000000004,4727000.0
37275,2010-04-28,BBBY,46.450001,46.110001000000004,46.0,46.93,3465300.0
37744,2010-04-29,BBBY,46.25,47.09,46.209998999999996,47.349998,2413400.0
38213,2010-04-30,BBBY,47.290001000000004,45.959998999999996,45.91,47.310001,4721000.0
38682,2010-05-03,BBBY,46.220001,46.91,45.970001,47.080002,2204400.0
39151,2010-05-04,BBBY,46.540001000000004,45.93,45.25,46.540001000000004,3396700.0
39620,2010-05-05,BBBY,45.790001000000004,45.209998999999996,45.0,46.209998999999996,3454400.0
40089,2010-05-06,BBBY,44.950001,43.240002000000004,41.23,44.990002000000004,5255400.0
