,date,symbol,open,close,low,high,volume
314,2010-01-04,BLL,25.930000500000002,26.245001000000002,25.91,26.2749995,1234200.0
781,2010-01-05,BLL,26.165001,25.950001,25.875,26.1900005,1526800.0
1249,2010-01-06,BLL,25.959999,26.0,25.819999499999998,26.0599995,939600.0
1717,2010-01-07,BLL,25.870001000000002,25.9400005,25.745001000000002,25.9750005,1052800.0
2185,2010-01-08,BLL,25.754998999999998,26.035,25.665001,26.120001000000002,613800.0
2653,2010-01-11,BLL,26.069999499999998,25.8999995,25.825001,26.215,993000.0
3121,2010-01-12,BLL,25.6900005,25.8600005,25.635,25.965,1615600.0
3589,2010-01-13,BLL,25.895000500000002,25.965,25.7649995,26.0300005,1014600.0
4057,2010-01-14,BLL,25.790001,25.8449995,25.76,25.9400005,952400.0
4525,2010-01-15,BLL,25.729999499999998,25.705,25.6100005,25.825001,1674600.0
4993,2010-01-19,BLL,25.635,25.9750005,25.549999,26.040001,1582800.0
5461,2010-01-20,BLL,25.879998999999998,25.715,25.569999499999998,25.9400005,2200000.0
5929,2010-01-21,BLL,25.819999499999998,25.569999499999998,25.459999,25.854999499999998,2849000.0
6397,2010-01-22,BLL,25.5650005,25.424999,25.3500005,25.6550005,2984800.0
6865,2010-01-25,BLL,25.5249995,25.430000500000002,25.379998999999998,25.584999,1913200.0
7333,2010-01-26,BLL,25.3600005,25.2800005,25.194999499999998,25.504998999999998,2089800.0
7801,2010-01-27,BLL,25.2800005,25.2250005,24.745001000000002,25.3500005,3362000.0
8269,2010-01-28,BLL,26.495001000000002,25.270000500000002,25.2250005,26.495001000000002,3597400.0
8737,2010-01-29,BLL,25.4050005,25.395000500000002,25.334999,25.91,3604400.0
9205,2010-02-01,BLL,25.549999,25.455,25.129998999999998,25.5650005,2686200.0
9673,2010-02-02,BLL,25.540001,26.104999499999998,25.540001,26.16,1973400.0
10141,2010-02-03,BLL,26.045,25.770000500000002,25.76,26.25,1122200.0
10609,2010-02-04,BLL,25.5949995,24.995001000000002,24.99,25.6100005,1788800.0
11077,2010-02-05,BLL,25.0249995,25.2749995,24.715,25.3099995,1642800.0
11545,2010-02-08,BLL,25.25,25.125,24.92,25.479999499999998,1484600.0
12013,2010-02-09,BLL,25.180000500000002,25.285,25.075001,25.495001000000002,1704600.0
12481,2010-02-10,BLL,25.24,25.045,24.9750005,25.354999499999998,1277600.0
12949,2010-02-11,BLL,25.0949995,25.5249995,24.99,25.625,1718200.0
13417,2010-02-12,BLL,25.270000500000002,25.694999499999998,25.180000500000002,25.7749995,1727800.0
13885,2010-02-16,BLL,25.8449995,26.020000500000002,25.770000500000002,26.08,1805200.0
14353,2010-02-17,BLL,26.200001,26.075001,25.91,26.465,1516200.0
14821,2010-02-18,BLL,26.049999,26.444999499999998,26.049999,26.5650005,1401000.0
15289,2010-02-19,BLL,26.334999,26.3150005,26.285,26.5599995,1416600.0
15757,2010-02-22,BLL,26.3150005,26.34,26.035,26.479999499999998,1283600.0
16225,2010-02-23,BLL,26.2649995,26.1550005,26.1100005,26.450001,1748200.0
16693,2010-02-24,BLL,26.24,26.51,26.229999499999998,26.635,1162800.0
