,date,symbol,open,close,low,high,volume
317,2010-01-04,BWA,16.7250005,16.8899995,16.715,17.0149995,1286000.0
784,2010-01-05,BWA,16.8899995,17.694999499999998,16.865,17.770000500000002,2654000.0
1252,2010-01-06,BWA,17.694999499999998,18.3449995,17.6499995,18.3899995,4171000.0
1720,2010-01-07,BWA,18.25,18.5949995,18.0300005,18.635,2592200.0
2188,2010-01-08,BWA,18.49,18.254998999999998,18.200001,18.5949995,2500600.0
2656,2010-01-11,BWA,18.4050005,18.2250005,18.115,18.520000500000002,2885200.0
3124,2010-01-12,BWA,18.120001000000002,17.754998999999998,17.705,18.295,3873200.0
3592,2010-01-13,BWA,17.8099995,17.879998999999998,17.700001,18.0,3943800.0
4060,2010-01-14,BWA,17.879998999999998,18.9400005,17.8500005,19.040001,4483800.0
4528,2010-01-15,BWA,18.99,18.674999,18.444999499999998,19.180000500000002,3369600.0
4996,2010-01-19,BWA,18.6900005,18.84,18.5300005,18.959999,2778000.0
5464,2010-01-20,BWA,18.569999499999998,18.584999,18.4050005,18.6499995,1999400.0
5932,2010-01-21,BWA,18.6550005,18.42,18.2800005,18.915001,3701400.0
6400,2010-01-22,BWA,18.465,18.2350005,18.165001,18.7350005,2183800.0
6868,2010-01-25,BWA,18.375,18.5149995,18.165001,18.950001,2195800.0
7336,2010-01-26,BWA,18.465,18.115,18.09,18.680000500000002,1936200.0
7804,2010-01-27,BWA,17.979999499999998,17.629998999999998,17.1849995,18.115,3824800.0
8272,2010-01-28,BWA,17.674999,17.200001,16.995001000000002,17.76,3062000.0
8740,2010-01-29,BWA,17.2250005,17.545,17.2250005,17.995001000000002,4052400.0
9208,2010-02-01,BWA,17.645000500000002,17.950001,17.584999,17.979999499999998,2172200.0
9676,2010-02-02,BWA,17.924999,18.1100005,17.674999,18.229999499999998,2000400.0
10144,2010-02-03,BWA,18.0,18.5249995,18.0,18.715,2900200.0
10612,2010-02-04,BWA,18.305000500000002,17.66,17.6550005,18.305000500000002,1750800.0
11080,2010-02-05,BWA,17.615,17.354999499999998,16.9349995,17.66,3925800.0
11548,2010-02-08,BWA,17.444999499999998,17.680000500000002,17.290001,17.944999499999998,2833400.0
12016,2010-02-09,BWA,17.92,17.9850005,17.75,18.3449995,5739000.0
12484,2010-02-10,BWA,17.875,18.115,17.6849995,18.299999,3087600.0
12952,2010-02-11,BWA,18.424999,17.83,17.7250005,18.49,4811400.0
13420,2010-02-12,BWA,17.625,18.319999499999998,17.625,18.325001,3554600.0
13888,2010-02-16,BWA,18.5599995,18.51,18.305000500000002,18.615,2195000.0
14356,2010-02-17,BWA,18.620001000000002,18.5949995,18.520000500000002,18.8500005,2330200.0
14824,2010-02-18,BWA,18.5300005,18.540001,18.450001,18.6900005,2791400.0
15292,2010-02-19,BWA,18.5650005,18.674999,18.4750005,18.7749995,2360600.0
15760,2010-02-22,BWA,18.790001,19.129998999999998,18.7350005,19.25,2798800.0
16228,2010-02-23,BWA,19.115,18.7350005,18.620001000000002,19.450001,3614000.0
16696,2010-02-24,BWA,18.7350005,19.069999499999998,18.7350005,19.25,2378800.0
17164,2010-02-25,BWA,18.729999499999998,19.01,18.5,19.0650005,2490000.0
17632,2010-02-26,BWA,19.075001,18.729999499999998,18.6849995,19.129998999999998,2433200.0
18100,2010-03-01,BWA,18.8449995,18.9850005,18.729999499999998,19.0,2416400.0
18568,2010-03-02,BWA,19.17,19.33,19.1100005,19.604999499999998,5275800.0
19036,2010-03-03,BWA,19.430000500000002,19.290001,19.245001000000002,19.4699995,4319600.0
19504,2010-03-04,BWA,19.020000500000002,19.09,18.99,19.295,2692400.0
19972,2010-03-05,BWA,19.254998999999998,18.825001,18.795,19.270000500000002,4825600.0
20440,2010-03-08,BWA,18.75,18.875,18.75,18.92,5467800.0
20908,2010-03-09,BWA,18.83,18.625,18.49,18.875,3114800.0
21376,2010-03-10,BWA,18.545,18.354999499999998,18.285,18.75,2663000.0
21844,2010-03-11,BWA,18.2649995,18.444999499999998,17.84,18.465,5567200.0
22312,2010-03-12,BWA,18.5650005,18.540001,18.479999499999998,18.770000500000002,1406800.0
22780,2010-03-15,BWA,18.504998999999998,18.4349995,18.229999499999998,18.6550005,1476800.0
23248,2010-03-16,BWA,18.450001,18.6000005,18.395000500000002,18.6499995,2191200.0
23716,2010-03-17,BWA,18.625,18.444999499999998,18.41,18.715,2572600.0
24184,2010-03-18,BWA,18.4750005,18.33,18.290001,18.5,3279200.0
24652,2010-03-19,BWA,18.270000500000002,18.270000500000002,18.104999499999998,18.555000500000002,4999400.0
25120,2010-03-22,BWA,18.1499995,18.965,18.1499995,19.084999,4152200.0
25588,2010-03-23,BWA,18.915001,19.0,18.7199995,19.0300005,3365200.0
26056,2010-03-24,BWA,18.885,18.924999,18.8099995,19.049999,3532600.0
26524,2010-03-25,BWA,19.0949995,18.694999499999998,18.6900005,19.129998999999998,4697800.0
26992,2010-03-26,BWA,18.705,18.5149995,18.42,18.8099995,3365800.0
27460,2010-03-29,BWA,18.555000500000002,18.535,18.3899995,18.7350005,2908400.0
27928,2010-03-30,BWA,18.520000500000002,18.615,18.5,18.7199995,4429400.0
28396,2010-03-31,BWA,18.5249995,19.09,18.504998999999998,19.2350005,6954400.0
28864,2010-04-01,BWA,19.245001000000002,19.6100005,19.229999499999998,19.6100005,4654600.0
29332,2010-04-05,BWA,19.620001000000002,19.1849995,19.145000500000002,19.700001,4801200.0
29800,2010-04-06,BWA,19.115,19.0249995,18.834999,19.24,4271400.0
30268,2010-04-07,BWA,19.035,18.7350005,18.569999499999998,19.035,2845800.0
30736,2010-04-08,BWA,18.67,19.0149995,18.520000500000002,19.084999,3600000.0
31204,2010-04-09,BWA,18.979999499999998,19.0949995,18.805000500000002,19.24,5416800.0
31672,2010-04-12,BWA,19.104999499999998,19.370001000000002,19.08,19.4050005,2265600.0
32140,2010-04-13,BWA,19.319999499999998,19.444999499999998,19.245001000000002,19.540001,2230000.0
32608,2010-04-14,BWA,19.540001,19.520000500000002,19.3999995,19.575001,2180400.0
33076,2010-04-15,BWA,19.4699995,19.5249995,19.26,19.5949995,2436400.0
33544,2010-04-16,BWA,19.5,19.174999,18.895000500000002,19.6849995,4520000.0
34012,2010-04-19,BWA,19.069999499999998,19.575001,19.069999499999998,19.635,3894600.0
34480,2010-04-20,BWA,19.74,19.915001,19.7199995,20.0,2670800.0
34948,2010-04-21,BWA,19.879998999999998,19.83,19.75,19.9699995,1647600.0
35416,2010-04-22,BWA,19.67,20.0949995,19.51,20.135,1888000.0
35884,2010-04-23,BWA,20.045,20.58,20.045,20.6399995,2944400.0
36352,2010-04-26,BWA,20.620001000000002,20.5599995,20.465,20.915001,3894800.0
36820,2010-04-27,BWA,20.4850005,19.770000500000002,19.700001,20.635,5854800.0
37288,2010-04-28,BWA,19.9400005,19.9750005,19.694999499999998,20.120001000000002,3484400.0
37757,2010-04-29,BWA,22.035,22.035,21.7250005,22.2749995,9736000.0
38226,2010-04-30,BWA,21.819999499999998,21.67,21.4349995,22.0650005,4240000.0
38695,2010-05-03,BWA,21.7199995,21.674999,21.450001,21.9750005,3150400.0
39164,2010-05-04,BWA,21.3449995,20.915001,20.729999499999998,21.424999,3338800.0
39633,2010-05-05,BWA,20.41,20.115,19.7350005,20.7649995,4919200.0
40102,2010-05-06,BWA,20.379998999999998,19.790001,18.4050005,21.1849995,7092000.0
40571,2010-05-07,BWA,19.6100005,18.545,18.455,19.9699995,10178400.0
41040,2010-05-10,BWA,19.5,20.2199995,19.5,20.620001000000002,4661400.0
41509,2010-05-11,BWA,19.915001,19.979999499999998,19.754998999999998,20.4050005,3517800.0
41978,2010-05-12,BWA,20.1000005,20.575001,20.1000005,20.74,2839200.0
42447,2010-05-13,BWA,20.3999995,20.379998999999998,20.2250005,20.7350005,2505400.0
42916,2010-05-14,BWA,20.115,19.6000005,19.3899995,20.209999,3423800.0
43385,2010-05-17,BWA,19.665001,19.26,18.729999499999998,19.865,4197200.0
43854,2010-05-18,BWA,19.4750005,18.645000500000002,18.575001,19.555000500000002,5138800.0
44323,2010-05-19,BWA,18.51,17.870001000000002,17.67,18.5249995,6340200.0
44792,2010-05-20,BWA,17.4400005,17.299999,17.129998999999998,17.825001,6821200.0
45261,2010-05-21,BWA,17.020000500000002,18.115,17.0,18.3500005,4889800.0
45730,2010-05-24,BWA,18.049999,18.1000005,17.944999499999998,18.5599995,5018000.0
46199,2010-05-25,BWA,17.545,17.799999,16.965,17.825001,5490200.0
46668,2010-05-26,BWA,17.92,17.959999,17.8500005,18.49,4647800.0
47137,2010-05-27,BWA,18.41,19.0300005,18.41,19.0650005,3259600.0
47606,2010-05-28,BWA,19.0300005,18.629998999999998,18.479999499999998,19.229999499999998,2639400.0
48075,2010-06-01,BWA,18.629998999999998,18.2199995,18.1900005,18.674999,5161600.0
48544,2010-06-02,BWA,18.3899995,19.4750005,18.3899995,19.4750005,5298200.0
49013,2010-06-03,BWA,19.3999995,19.9850005,19.3999995,20.0650005,5697600.0
49482,2010-06-04,BWA,19.4349995,18.799999,18.665001,19.569999499999998,3202800.0
49951,2010-06-07,BWA,18.8999995,18.34,18.270000500000002,19.01,2882000.0
50420,2010-06-08,BWA,18.3099995,18.2649995,18.035,18.58,4221400.0
50889,2010-06-09,BWA,18.3449995,18.180000500000002,18.084999,18.680000500000002,3570200.0
51358,2010-06-10,BWA,18.604999499999998,18.8999995,18.5249995,19.035,3793800.0
51827,2010-06-11,BWA,18.680000500000002,18.91,18.555000500000002,19.0,3136600.0
52296,2010-06-14,BWA,19.165001,19.370001000000002,19.075001,19.6849995,2347200.0
52765,2010-06-15,BWA,20.2350005,20.615,20.0149995,20.620001000000002,5437600.0
53234,2010-06-16,BWA,20.459999,20.479999499999998,20.270000500000002,20.700001,3284400.0
53703,2010-06-17,BWA,20.5,20.545,20.135,20.6499995,3505800.0
54172,2010-06-18,BWA,20.59,20.6550005,20.375,20.790001,2645800.0
54641,2010-06-21,BWA,20.9850005,20.91,20.805000500000002,21.1000005,5011000.0
55110,2010-06-22,BWA,21.01,20.120001000000002,20.1100005,21.0149995,4041800.0
