,date,symbol,open,close,low,high,volume
325,2010-01-04,CBG,13.81,13.82,13.63,14.15,4553000.0
792,2010-01-05,CBG,13.93,14.15,13.7,14.15,4510400.0
1260,2010-01-06,CBG,14.21,14.03,13.97,14.32,3748100.0
1728,2010-01-07,CBG,14.03,14.17,13.93,14.22,3138000.0
2196,2010-01-08,CBG,14.02,14.2,13.98,14.21,1572600.0
2664,2010-01-11,CBG,14.35,14.06,13.89,14.38,1583300.0
3132,2010-01-12,CBG,13.91,13.58,13.29,14.01,2549900.0
3600,2010-01-13,CBG,13.62,13.95,13.41,14.01,2768500.0
4068,2010-01-14,CBG,13.9,13.48,13.45,14.01,3072300.0
4536,2010-01-15,CBG,13.46,13.38,13.18,13.6,2583700.0
5004,2010-01-19,CBG,13.34,13.3,13.25,13.59,3917200.0
5472,2010-01-20,CBG,13.2,13.58,13.02,13.62,4884900.0
5940,2010-01-21,CBG,13.58,13.04,12.97,13.63,3861100.0
6408,2010-01-22,CBG,13.01,12.47,12.47,13.21,4573900.0
6876,2010-01-25,CBG,12.63,12.68,12.4,12.9,3660400.0
7344,2010-01-26,CBG,12.56,12.63,12.42,12.82,4105100.0
7812,2010-01-27,CBG,12.61,12.8,12.4,12.81,4903900.0
8280,2010-01-28,CBG,12.9,12.53,12.27,12.98,3241400.0
8748,2010-01-29,CBG,12.59,12.3,12.17,12.78,2273800.0
9216,2010-02-01,CBG,12.49,12.77,12.26,12.77,3656100.0
9684,2010-02-02,CBG,12.76,13.49,12.7,13.49,4322000.0
10152,2010-02-03,CBG,13.42,13.69,13.39,13.88,6209700.0
10620,2010-02-04,CBG,13.63,12.68,12.66,13.63,10008000.0
11088,2010-02-05,CBG,12.65,12.34,12.11,12.74,8556200.0
11556,2010-02-08,CBG,12.31,12.16,12.13,12.44,5389600.0
12024,2010-02-09,CBG,12.46,12.28,12.13,12.51,6054100.0
12492,2010-02-10,CBG,12.29,12.25,12.05,12.54,4740400.0
12960,2010-02-11,CBG,12.24,12.73,12.14,12.79,4283000.0
13428,2010-02-12,CBG,12.52,12.64,12.41,12.74,4349200.0
13896,2010-02-16,CBG,12.92,13.22,12.79,13.25,4234200.0
14364,2010-02-17,CBG,13.25,12.94,12.76,13.25,16317900.0
14832,2010-02-18,CBG,12.93,13.27,12.93,13.31,3194300.0
15300,2010-02-19,CBG,13.24,13.42,13.15,13.49,2600800.0
15768,2010-02-22,CBG,13.43,13.32,13.2,13.5,2137500.0
16236,2010-02-23,CBG,13.19,12.89,12.82,13.38,2644700.0
16704,2010-02-24,CBG,12.91,13.11,12.77,13.11,2487300.0
17172,2010-02-25,CBG,12.85,13.15,12.7,13.19,2492300.0
17640,2010-02-26,CBG,13.17,13.2,12.96,13.29,2032500.0
18108,2010-03-01,CBG,13.26,13.6,13.26,13.66,2096900.0
18576,2010-03-02,CBG,13.64,13.65,13.59,13.83,2225700.0
19044,2010-03-03,CBG,13.66,13.57,13.49,13.92,3137600.0
19512,2010-03-04,CBG,13.62,13.58,13.41,13.81,3148700.0
19980,2010-03-05,CBG,13.63,14.05,13.58,14.07,2564900.0
20448,2010-03-08,CBG,14.0,14.12,13.88,14.28,2318800.0
20916,2010-03-09,CBG,14.04,14.15,13.91,14.33,2371600.0
21384,2010-03-10,CBG,14.14,13.95,13.82,14.24,3439800.0
21852,2010-03-11,CBG,13.89,13.83,13.67,13.89,1456300.0
22320,2010-03-12,CBG,13.98,14.04,13.85,14.13,1815600.0
22788,2010-03-15,CBG,13.99,13.9,13.66,14.11,1683600.0
23256,2010-03-16,CBG,13.94,14.42,13.84,14.49,3083700.0
23724,2010-03-17,CBG,14.5,14.93,14.48,15.17,5844300.0
24192,2010-03-18,CBG,14.98,14.99,14.84,15.02,2616000.0
24660,2010-03-19,CBG,14.73,14.73,14.65,15.15,3745400.0
25128,2010-03-22,CBG,14.57,14.51,14.43,14.69,6084300.0
25596,2010-03-23,CBG,14.54,14.5,14.42,14.63,4346900.0
26064,2010-03-24,CBG,14.46,14.18,14.09,14.55,6261000.0
26532,2010-03-25,CBG,14.29,14.45,14.24,14.66,5807300.0
27000,2010-03-26,CBG,14.44,14.95,14.44,15.01,5499800.0
27468,2010-03-29,CBG,15.67,15.98,15.26,16.1,9291000.0
27936,2010-03-30,CBG,16.040001,15.71,15.59,16.129998999999998,4065800.0
28404,2010-03-31,CBG,15.57,15.85,15.54,16.219998999999998,5628800.0
28872,2010-04-01,CBG,16.02,16.58,16.01,16.74,5550200.0
29340,2010-04-05,CBG,16.65,16.48,16.25,16.76,5544200.0
