,date,symbol,open,close,low,high,volume
329,2010-01-04,CELG,28.319999499999998,27.870001000000002,27.665001,28.319999499999998,4832000.0
796,2010-01-05,CELG,27.754998999999998,27.545,27.299999,27.865,6705800.0
1264,2010-01-06,CELG,27.700001,28.194999499999998,27.694999499999998,28.479999499999998,8271400.0
1732,2010-01-07,CELG,28.055000500000002,27.944999499999998,27.875,28.370001000000002,5000600.0
2200,2010-01-08,CELG,28.0300005,28.635,27.709999,28.715,9228800.0
2668,2010-01-11,CELG,28.795,28.635,27.1900005,29.33,18055800.0
3136,2010-01-12,CELG,28.5249995,28.495001000000002,27.805000500000002,28.745001000000002,10758200.0
3604,2010-01-13,CELG,28.665001,28.84,28.430000500000002,28.99,7816600.0
4072,2010-01-14,CELG,28.7350005,29.0650005,28.700001,29.379998999999998,6845800.0
4540,2010-01-15,CELG,29.200001,28.76,28.4349995,29.4699995,8987200.0
5008,2010-01-19,CELG,28.6399995,29.370001000000002,28.584999,29.625,7992800.0
5476,2010-01-20,CELG,29.34,29.01,28.604999499999998,29.834999,6970000.0
5944,2010-01-21,CELG,29.245001000000002,28.895000500000002,28.569999499999998,29.245001000000002,7593200.0
6412,2010-01-22,CELG,29.01,29.285,28.7250005,29.540001,11485800.0
6880,2010-01-25,CELG,29.33,29.1550005,29.0,29.4050005,8581600.0
7348,2010-01-26,CELG,28.854999499999998,28.930000500000002,28.785,29.209999,5840400.0
7816,2010-01-27,CELG,28.7250005,29.055000500000002,28.674999,29.0949995,7245400.0
8284,2010-01-28,CELG,28.76,28.3999995,28.295,29.0,9851000.0
8752,2010-01-29,CELG,28.535,28.3899995,28.1550005,28.799999,6487200.0
9220,2010-02-01,CELG,28.424999,28.479999499999998,28.209999,28.700001,4763400.0
9688,2010-02-02,CELG,28.424999,28.875,28.1550005,28.959999,5553200.0
10156,2010-02-03,CELG,28.674999,29.1550005,28.575001,29.285,6890400.0
10624,2010-02-04,CELG,28.75,27.915001,27.7749995,28.885,8635800.0
11092,2010-02-05,CELG,27.9699995,27.58,27.0149995,28.069999499999998,9423200.0
11560,2010-02-08,CELG,27.59,27.385,27.049999,27.6550005,4671200.0
12028,2010-02-09,CELG,27.67,27.75,27.504998999999998,28.165001,5853600.0
12496,2010-02-10,CELG,27.8449995,28.3099995,27.74,28.604999499999998,8121400.0
12964,2010-02-11,CELG,28.1499995,28.584999,27.84,28.75,6317200.0
13432,2010-02-12,CELG,28.165001,28.444999499999998,27.950001,28.5,5884000.0
13900,2010-02-16,CELG,28.6100005,28.965,28.1100005,28.965,5596400.0
14368,2010-02-17,CELG,29.049999,29.540001,28.854999499999998,29.6900005,5753800.0
14836,2010-02-18,CELG,29.495001000000002,29.944999499999998,29.49,30.25,11324000.0
15304,2010-02-19,CELG,29.9699995,30.020000500000002,29.6000005,30.215,7582800.0
15772,2010-02-22,CELG,30.1849995,29.84,29.67,30.1849995,5032400.0
16240,2010-02-23,CELG,29.705,29.569999499999998,29.3899995,30.245001000000002,5722400.0
16708,2010-02-24,CELG,29.854999499999998,29.745001000000002,29.545,30.0949995,4481200.0
17176,2010-02-25,CELG,29.395000500000002,29.645000500000002,29.075001,29.6499995,4729800.0
17644,2010-02-26,CELG,29.629998999999998,29.76,29.34,29.83,3161200.0
18112,2010-03-01,CELG,30.049999,30.6499995,29.854999499999998,30.75,6063200.0
18580,2010-03-02,CELG,30.66,30.745001000000002,30.5599995,30.924999,4201200.0
19048,2010-03-03,CELG,30.885,30.6100005,30.545,31.045,4640200.0
19516,2010-03-04,CELG,30.545,30.495001000000002,30.334999,30.799999,3969000.0
19984,2010-03-05,CELG,30.5300005,30.955,30.51,30.979999499999998,3243400.0
20452,2010-03-08,CELG,30.9349995,30.795,30.67,30.9699995,3159400.0
20920,2010-03-09,CELG,30.75,30.879998999999998,30.66,31.075001,3173600.0
21388,2010-03-10,CELG,30.955,30.955,30.7199995,31.08,3857600.0
21856,2010-03-11,CELG,30.7749995,30.6499995,30.370001000000002,30.959999,6000200.0
22324,2010-03-12,CELG,30.895000500000002,30.6849995,30.479999499999998,30.955,4281000.0
22792,2010-03-15,CELG,30.665001,30.9750005,30.6550005,31.0949995,4614800.0
23260,2010-03-16,CELG,31.1499995,31.41,30.955,31.549999,5136200.0
23728,2010-03-17,CELG,31.379998999999998,32.3549995,31.295,32.465,9996000.0
24196,2010-03-18,CELG,32.3849985,32.5099985,32.174999,32.535,6322400.0
24664,2010-03-19,CELG,32.8950005,32.16,31.7800005,32.8950005,10778400.0
25132,2010-03-22,CELG,32.2249985,32.200001,31.834999,32.7299995,7387600.0
25600,2010-03-23,CELG,32.279999,32.205002,31.870001000000002,32.3050005,5387400.0
26068,2010-03-24,CELG,32.1500015,31.674999,31.5949995,32.3199995,6036600.0
