,date,symbol,open,close,low,high,volume
600516,2015-01-02,CFG,24.969998999999998,24.76,24.290001,25.0,643500.0
601010,2015-01-05,CFG,24.58,24.18,23.84,24.68,1330400.0
601504,2015-01-06,CFG,24.17,23.91,23.700001,24.219998999999998,2075000.0
601998,2015-01-07,CFG,23.99,24.0,23.790001,24.129998999999998,1160200.0
602492,2015-01-08,CFG,24.07,24.18,23.940001000000002,24.48,661500.0
602986,2015-01-09,CFG,24.15,23.889999,23.780001000000002,24.18,724700.0
603480,2015-01-12,CFG,23.799999,23.879998999999998,23.620001000000002,24.040001,941100.0
603974,2015-01-13,CFG,23.940001000000002,23.870001000000002,23.610001,24.190001000000002,989800.0
604468,2015-01-14,CFG,23.6,23.440001000000002,23.1,23.743999,962500.0
604962,2015-01-15,CFG,23.370001000000002,22.959999,22.67,23.610001,1558000.0
605456,2015-01-16,CFG,22.83,23.190001000000002,22.790001,23.24,1951800.0
605950,2015-01-20,CFG,23.16,23.1,22.91,23.85,1742100.0
606444,2015-01-21,CFG,23.07,23.280001000000002,23.01,23.59,787300.0
606938,2015-01-22,CFG,23.299999,24.139999,23.280001000000002,24.16,486500.0
607432,2015-01-23,CFG,24.040001,23.709999,23.67,24.040001,651800.0
607926,2015-01-26,CFG,23.75,24.09,23.530001000000002,24.309998999999998,1167800.0
608420,2015-01-27,CFG,23.860001,24.15,23.76,24.639999,1308200.0
608914,2015-01-28,CFG,24.17,23.860001,23.84,24.35,1301900.0
609408,2015-01-29,CFG,23.92,24.24,23.26,24.35,1818600.0
609902,2015-01-30,CFG,24.1,23.9,23.809998999999998,24.24,1882300.0
610396,2015-02-02,CFG,23.85,24.0,23.690001000000002,24.16,1445800.0
610890,2015-02-03,CFG,23.91,24.290001,23.799999,24.450001,1351800.0
611384,2015-02-04,CFG,24.27,24.01,23.93,24.379998999999998,1101600.0
611878,2015-02-05,CFG,24.09,24.35,23.98,24.41,984600.0
612372,2015-02-06,CFG,24.41,24.5,24.219998999999998,25.0,1748400.0
612866,2015-02-09,CFG,24.48,24.26,24.110001,24.530001000000002,781600.0
613360,2015-02-10,CFG,24.73,24.82,24.530001000000002,24.959999,1384900.0
613854,2015-02-11,CFG,24.879998999999998,24.969998999999998,24.549999,25.0,1393100.0
614348,2015-02-12,CFG,24.799999,25.33,24.75,25.370001000000002,985100.0
614842,2015-02-13,CFG,25.280001000000002,25.450001,25.139999,25.67,1164500.0
615336,2015-02-17,CFG,25.709999,25.559998999999998,25.26,25.74,1807100.0
615830,2015-02-18,CFG,25.629998999999998,25.209999,25.059998999999998,25.629998999999998,1783500.0
616324,2015-02-19,CFG,25.02,25.02,24.85,25.219998999999998,896800.0
616818,2015-02-20,CFG,25.1,25.25,24.862,25.26,744800.0
617312,2015-02-23,CFG,25.1,24.91,24.674999,25.1,743600.0
617806,2015-02-24,CFG,24.860001,24.93,24.77,25.07,530700.0
618300,2015-02-25,CFG,24.870001000000002,24.959999,24.719998999999998,25.0,612600.0
618794,2015-02-26,CFG,24.940001000000002,24.85,24.610001,24.995001000000002,702900.0
619288,2015-02-27,CFG,24.799999,24.84,24.709999,25.0,468500.0
619782,2015-03-02,CFG,24.84,24.85,24.620001000000002,25.18,1408600.0
620276,2015-03-03,CFG,24.82,25.040001,24.58,25.049999,905500.0
620770,2015-03-04,CFG,24.99,24.9,24.5,24.99,1781500.0
621264,2015-03-05,CFG,24.889999,25.299999,24.610001,25.32,1959200.0
621758,2015-03-06,CFG,25.030001000000002,25.5,24.950001,25.799999,1542200.0
622252,2015-03-09,CFG,25.469998999999998,25.23,25.110001,25.535,1890600.0
622746,2015-03-10,CFG,24.950001,25.0,24.790001,25.200001,1434300.0
623240,2015-03-11,CFG,25.0,25.110001,25.0,25.27,837700.0
623734,2015-03-12,CFG,25.120001000000002,25.49,24.99,25.780001000000002,2143300.0
624228,2015-03-13,CFG,25.17,24.77,24.43,25.23,3480900.0
624722,2015-03-16,CFG,24.93,25.309998999999998,24.77,25.32,1186800.0
625216,2015-03-17,CFG,25.18,25.6,24.9,25.610001,1225200.0
625710,2015-03-18,CFG,25.450001,25.190001000000002,25.1,25.84,1287700.0
626204,2015-03-19,CFG,25.0,24.799999,24.495001000000002,25.190001000000002,1824100.0
626698,2015-03-20,CFG,24.780001000000002,24.799999,24.74,25.02,6593200.0
627192,2015-03-23,CFG,24.85,24.76,24.51,25.24,3773300.0
627686,2015-03-24,CFG,24.700001,24.32,24.24,24.92,2657600.0
628180,2015-03-25,CFG,24.27,24.0,23.84,24.43,5012400.0
628674,2015-03-26,CFG,24.0,24.120001000000002,23.83,24.290001,62491000.0
629168,2015-03-27,CFG,24.110001,24.48,24.1,24.540001,9244300.0
