,date,symbol,open,close,low,high,volume
342,2010-01-04,CMG,89.599998,87.839996,87.18,89.599998,313900.0
810,2010-01-05,CMG,87.519997,89.019997,87.110001,90.0,511000.0
1278,2010-01-06,CMG,88.589996,87.32,86.599998,89.599998,282900.0
1746,2010-01-07,CMG,87.339996,86.43,86.0,88.110001,422500.0
2214,2010-01-08,CMG,90.57,91.889999,90.0,92.730003,1196400.0
2682,2010-01-11,CMG,93.860001,96.769997,92.5,98.0,1406400.0
3150,2010-01-12,CMG,96.519997,95.41999799999999,94.82,96.68,548000.0
3618,2010-01-13,CMG,95.269997,95.639999,94.25,95.959999,367300.0
4086,2010-01-14,CMG,97.230003,99.41999799999999,96.860001,99.709999,878500.0
4554,2010-01-15,CMG,99.559998,98.059998,96.83000200000001,99.58000200000001,595000.0
5022,2010-01-19,CMG,98.0,99.5,97.540001,99.970001,445000.0
5490,2010-01-20,CMG,98.610001,97.849998,97.379997,99.800003,448400.0
5958,2010-01-21,CMG,97.949997,100.059998,97.949997,102.900002,919700.0
6426,2010-01-22,CMG,100.019997,97.769997,97.639999,100.790001,293600.0
6894,2010-01-25,CMG,98.230003,95.849998,95.389999,98.459999,375900.0
7362,2010-01-26,CMG,95.529999,97.5,95.529999,98.730003,410300.0
7830,2010-01-27,CMG,97.629997,98.440002,96.129997,98.980003,381200.0
8298,2010-01-28,CMG,98.779999,98.620003,96.629997,99.639999,494200.0
8766,2010-01-29,CMG,99.010002,96.459999,96.440002,99.650002,254500.0
9234,2010-02-01,CMG,96.889999,100.379997,96.860001,100.410004,433900.0
9702,2010-02-02,CMG,100.379997,100.849998,99.32,101.400002,483800.0
10170,2010-02-03,CMG,100.650002,100.379997,100.010002,101.129997,223100.0
10638,2010-02-04,CMG,100.0,98.510002,97.900002,100.0,570700.0
11106,2010-02-05,CMG,98.110001,95.199997,93.809998,98.68,793200.0
11574,2010-02-08,CMG,95.550003,99.91999799999999,95.16999799999999,100.860001,970000.0
12042,2010-02-09,CMG,100.540001,100.650002,99.16999799999999,100.879997,551800.0
12510,2010-02-10,CMG,100.739998,99.510002,99.449997,101.809998,391000.0
12978,2010-02-11,CMG,99.5,101.120003,98.389999,101.480003,952200.0
13446,2010-02-12,CMG,98.629997,104.870003,98.0,105.129997,2192200.0
13914,2010-02-16,CMG,105.720001,103.790001,103.16999799999999,106.489998,604500.0
14382,2010-02-17,CMG,103.800003,104.459999,103.489998,104.699997,362800.0
14850,2010-02-18,CMG,104.099998,103.980003,103.550003,105.0,284900.0
15318,2010-02-19,CMG,103.559998,104.989998,103.559998,105.459999,330300.0
15786,2010-02-22,CMG,105.0,103.93,103.0,105.0,363200.0
16254,2010-02-23,CMG,103.940002,103.639999,102.879997,104.599998,307500.0
16722,2010-02-24,CMG,103.68,104.839996,103.540001,105.290001,249400.0
17190,2010-02-25,CMG,103.690002,103.82,102.93,104.360001,217200.0
17658,2010-02-26,CMG,104.099998,104.709999,103.5,105.720001,309500.0
18126,2010-03-01,CMG,105.529999,107.93,105.33000200000001,108.5,689600.0
18594,2010-03-02,CMG,108.410004,110.120003,107.879997,110.220001,818300.0
19062,2010-03-03,CMG,110.150002,110.08000200000001,109.400002,111.75,424800.0
19530,2010-03-04,CMG,110.290001,109.029999,108.860001,110.290001,316900.0
19998,2010-03-05,CMG,109.160004,110.629997,109.07,111.550003,328500.0
20466,2010-03-08,CMG,110.870003,111.5,110.720001,112.550003,362700.0
20934,2010-03-09,CMG,111.5,112.010002,110.900002,113.220001,414000.0
21402,2010-03-10,CMG,112.25,112.32,110.709999,112.510002,273000.0
21870,2010-03-11,CMG,111.459999,112.959999,111.309998,113.16999799999999,235400.0
22338,2010-03-12,CMG,113.540001,114.980003,113.0,115.639999,500700.0
22806,2010-03-15,CMG,114.089996,114.18,112.93,115.629997,300000.0
23274,2010-03-16,CMG,114.129997,114.709999,114.0,115.269997,391600.0
23742,2010-03-17,CMG,115.110001,115.019997,114.300003,115.529999,333800.0
24210,2010-03-18,CMG,115.269997,114.16999799999999,113.860001,115.510002,327900.0
24678,2010-03-19,CMG,113.629997,113.629997,113.360001,115.360001,321100.0
25146,2010-03-22,CMG,113.019997,114.440002,110.709999,114.5,332600.0
25614,2010-03-23,CMG,114.760002,115.269997,114.25,115.610001,275600.0
26082,2010-03-24,CMG,115.07,114.349998,114.190002,115.5,194900.0
26550,2010-03-25,CMG,114.650002,114.980003,114.050003,117.110001,495600.0
27018,2010-03-26,CMG,115.43,114.019997,113.699997,115.889999,247300.0
27486,2010-03-29,CMG,114.620003,114.599998,114.040001,115.0,143700.0
27954,2010-03-30,CMG,115.010002,114.480003,113.620003,116.470001,270100.0
28422,2010-03-31,CMG,114.150002,112.66999799999999,112.529999,114.910004,314800.0
28890,2010-04-01,CMG,113.269997,114.480003,113.0,115.120003,229600.0
29358,2010-04-05,CMG,115.120003,119.300003,114.870003,119.82,705600.0
