,date,symbol,open,close,low,high,volume
351,2010-01-04,COO,38.259997999999996,37.75,37.610001000000004,38.48,481200.0
819,2010-01-05,COO,37.52,38.189999,37.48,38.209998999999996,310900.0
1287,2010-01-06,COO,37.939999,38.169998,37.860001000000004,38.48,390700.0
1755,2010-01-07,COO,37.900002,38.57,37.779999,38.700001,350600.0
2223,2010-01-08,COO,38.25,37.950001,37.790001000000004,38.43,235800.0
2691,2010-01-11,COO,38.0,38.0,37.700001,38.150002,206300.0
3159,2010-01-12,COO,37.619999,37.630001,37.540001000000004,38.220001,203700.0
3627,2010-01-13,COO,37.759997999999996,38.66,37.740002000000004,38.66,330000.0
4095,2010-01-14,COO,38.360001000000004,38.52,38.110001000000004,38.900002,554300.0
4563,2010-01-15,COO,38.259997999999996,37.689999,37.580002,38.310001,354600.0
5031,2010-01-19,COO,37.810001,38.25,37.709998999999996,38.59,243700.0
5499,2010-01-20,COO,38.060001,38.07,37.970001,38.34,230900.0
5967,2010-01-21,COO,38.259997999999996,37.040001000000004,36.509997999999996,38.259997999999996,498900.0
6435,2010-01-22,COO,37.02,36.669998,36.529999,37.290001000000004,435400.0
6903,2010-01-25,COO,36.82,36.439999,36.119999,37.060001,640200.0
7371,2010-01-26,COO,36.349998,36.16,35.91,36.759997999999996,264300.0
7839,2010-01-27,COO,36.009997999999996,35.830002,35.43,36.259997999999996,312300.0
8307,2010-01-28,COO,36.049999,35.43,35.360001000000004,36.060001,228900.0
8775,2010-01-29,COO,35.669998,35.32,35.32,35.849998,327600.0
9243,2010-02-01,COO,35.66,35.150002,34.900002,35.68,558800.0
9711,2010-02-02,COO,35.150002,35.799999,35.150002,35.950001,645500.0
10179,2010-02-03,COO,35.77,35.259997999999996,35.259997999999996,35.799999,200400.0
10647,2010-02-04,COO,35.099998,36.450001,34.849998,36.59,677000.0
11115,2010-02-05,COO,36.419998,36.169998,35.799999,36.490002000000004,466000.0
11583,2010-02-08,COO,36.259997999999996,36.200001,36.060001,36.73,229800.0
12051,2010-02-09,COO,36.299999,36.650002,35.869999,36.75,359700.0
12519,2010-02-10,COO,36.689999,36.970001,36.349998,37.049999,400000.0
12987,2010-02-11,COO,36.849998,37.66,36.75,37.669998,318900.0
13455,2010-02-12,COO,37.549999,38.330002,37.259997999999996,38.400002,773900.0
13923,2010-02-16,COO,38.389998999999996,38.139998999999996,37.610001000000004,38.470001,288500.0
14391,2010-02-17,COO,38.110001000000004,38.73,38.110001000000004,38.799999,254200.0
14859,2010-02-18,COO,38.509997999999996,38.419998,38.09,38.610001000000004,205600.0
15327,2010-02-19,COO,38.23,38.439999,38.080002,38.599998,180000.0
15795,2010-02-22,COO,38.57,39.18,38.029999,39.23,433500.0
16263,2010-02-23,COO,39.169998,39.18,38.759997999999996,39.459998999999996,655900.0
16731,2010-02-24,COO,39.139998999999996,40.080002,39.080002,40.189999,391900.0
17199,2010-02-25,COO,39.75,40.200001,39.650002,40.240002000000004,445700.0
17667,2010-02-26,COO,40.110001000000004,40.060001,39.84,40.41,419900.0
18135,2010-03-01,COO,40.279999,40.709998999999996,40.029999,40.98,311200.0
18603,2010-03-02,COO,40.700001,40.959998999999996,40.490002000000004,41.0,399200.0
19071,2010-03-03,COO,41.18,39.77,39.709998999999996,41.240002000000004,624500.0
