,date,symbol,open,close,low,high,volume
709533,2015-11-16,CSRA,30.5,31.9,30.5,32.900002,80700.0
710032,2015-11-17,CSRA,32.189999,32.974998,32.189999,33.439999,144700.0
710531,2015-11-18,CSRA,33.0,33.02,33.0,33.279999,18900.0
711030,2015-11-19,CSRA,33.189999,32.5,32.5,33.189999,454100.0
711529,2015-11-20,CSRA,32.990002000000004,32.200001,32.060001,32.990002000000004,58400.0
712028,2015-11-23,CSRA,32.5,32.450001,32.25,32.59,32800.0
712527,2015-11-24,CSRA,32.779999,31.98,31.48,32.790001000000004,88500.0
713026,2015-11-25,CSRA,32.009997999999996,30.389999,30.0,32.009997999999996,2005400.0
713525,2015-11-27,CSRA,29.110001,29.209999,29.08,30.99,5199700.0
714024,2015-11-30,CSRA,29.389999,31.51,29.049999,32.599998,8567500.0
714523,2015-12-01,CSRA,31.52,30.57,29.98,31.52,3789500.0
715022,2015-12-02,CSRA,30.07,30.76,30.0,31.17,3214500.0
715521,2015-12-03,CSRA,30.799999,29.4,27.51,30.799999,8547100.0
716020,2015-12-04,CSRA,28.809998999999998,29.0,28.639999,30.040001,5684500.0
716519,2015-12-07,CSRA,29.0,28.629998999999998,28.469998999999998,29.209999,3102600.0
717018,2015-12-08,CSRA,28.16,27.91,26.719998999999998,28.75,3959400.0
717517,2015-12-09,CSRA,27.91,28.08,26.950001,28.75,2887300.0
718016,2015-12-10,CSRA,27.77,28.540001,27.601999,28.780001000000002,4054400.0
718515,2015-12-11,CSRA,28.17,28.92,27.91,29.209999,2172300.0
719014,2015-12-14,CSRA,28.940001000000002,28.42,28.139999,29.23,1355000.0
719513,2015-12-15,CSRA,28.32,27.530001000000002,27.450001,28.940001000000002,2341500.0
720012,2015-12-16,CSRA,27.76,27.440001000000002,26.799999,28.059998999999998,2268400.0
720511,2015-12-17,CSRA,27.42,26.67,26.370001000000002,27.84,2309000.0
721010,2015-12-18,CSRA,26.43,27.459999,26.26,27.75,2778700.0
721509,2015-12-21,CSRA,27.84,27.360001,26.77,28.129998999999998,1330400.0
722008,2015-12-22,CSRA,27.18,27.08,26.84,27.76,1394800.0
722507,2015-12-23,CSRA,27.120001000000002,27.01,26.9,27.43,1826200.0
723006,2015-12-24,CSRA,26.790001,28.02,26.68,28.43,723900.0
723505,2015-12-28,CSRA,27.99,29.49,27.879998999999998,29.530001000000002,1138700.0
724004,2015-12-29,CSRA,29.540001,29.59,29.245001000000002,30.15,1608000.0
724503,2015-12-30,CSRA,29.540001,29.85,29.459999,30.17,1290000.0
725002,2015-12-31,CSRA,29.620001000000002,30.0,29.610001,30.34,944600.0
725501,2016-01-04,CSRA,29.57,29.18,28.860001,29.747999,1826700.0
726000,2016-01-05,CSRA,29.0,28.51,28.004998999999998,29.48,2439100.0
726499,2016-01-06,CSRA,28.059998999999998,28.059998999999998,27.870001000000002,28.360001,1561500.0
726998,2016-01-07,CSRA,27.66,27.469998999999998,27.34,28.110001,2597600.0
727497,2016-01-08,CSRA,27.709999,27.690001000000002,27.190001000000002,28.059998999999998,2013900.0
727996,2016-01-11,CSRA,27.82,28.09,27.360001,28.209999,2192700.0
728495,2016-01-12,CSRA,28.09,29.02,27.809998999999998,29.110001,1693000.0
728994,2016-01-13,CSRA,29.08,28.76,28.440001000000002,29.309998999999998,1673200.0
729493,2016-01-14,CSRA,28.98,29.15,28.620001000000002,29.299999,1558400.0
729992,2016-01-15,CSRA,28.540001,28.42,27.92,28.639999,2345900.0
730491,2016-01-19,CSRA,28.559998999999998,28.82,28.48,29.15,2939600.0
730990,2016-01-20,CSRA,28.48,27.92,27.110001,28.629998999999998,2302200.0
731489,2016-01-21,CSRA,28.07,26.799999,26.65,28.25,1601200.0
731988,2016-01-22,CSRA,27.1,27.85,26.49,27.950001,1589900.0
732487,2016-01-25,CSRA,27.65,26.5,26.42,27.65,1652400.0
732986,2016-01-26,CSRA,26.540001,26.809998999999998,26.059998999999998,27.32,1540100.0
733485,2016-01-27,CSRA,26.809998999999998,26.110001,24.74,26.809998999999998,2822200.0
733984,2016-01-28,CSRA,26.08,25.889999,25.6,26.48,1050400.0
734483,2016-01-29,CSRA,26.08,26.780001000000002,25.709999,26.92,1718000.0
734982,2016-02-01,CSRA,26.74,26.809998999999998,26.379998999999998,27.059998999999998,1275300.0
735481,2016-02-02,CSRA,26.459999,26.459999,26.02,26.620001000000002,1026700.0
735980,2016-02-03,CSRA,26.58,26.17,25.49,26.620001000000002,911800.0
736479,2016-02-04,CSRA,26.190001000000002,25.84,25.74,26.65,1452000.0
736978,2016-02-05,CSRA,25.709999,24.639999,24.5,25.879998999999998,1598200.0
737477,2016-02-08,CSRA,24.24,22.889999,20.98,24.280001000000002,2827800.0
737976,2016-02-09,CSRA,22.200001,22.34,21.040001,23.209999,3112000.0
738475,2016-02-10,CSRA,22.290001,22.34,22.040001,23.85,2689200.0
738974,2016-02-11,CSRA,25.209999,24.76,23.74,25.379998999999998,3755400.0
739473,2016-02-12,CSRA,24.950001,25.75,24.059998999999998,26.030001000000002,2727300.0
739972,2016-02-16,CSRA,25.99,25.309998999999998,25.120001000000002,26.540001,1762300.0
740471,2016-02-17,CSRA,25.6,25.370001000000002,24.870001000000002,26.389999,1546700.0
740970,2016-02-18,CSRA,25.65,25.84,24.950001,25.940001000000002,923300.0
741469,2016-02-19,CSRA,25.879998999999998,26.129998999999998,25.68,26.360001,1007900.0
741968,2016-02-22,CSRA,26.59,26.690001000000002,26.17,27.450001,1209600.0
742467,2016-02-23,CSRA,26.559998999999998,26.200001,25.469998999999998,26.93,1396100.0
742966,2016-02-24,CSRA,26.530001000000002,25.75,24.889999,26.66,1631900.0
743465,2016-02-25,CSRA,26.1,26.540001,25.360001,26.559998999999998,988500.0
743964,2016-02-26,CSRA,26.59,26.6,26.309998999999998,27.49,963600.0
744463,2016-02-29,CSRA,26.440001000000002,25.950001,25.92,27.16,1007600.0
744962,2016-03-01,CSRA,26.370001000000002,25.809998999999998,25.49,26.5,957900.0
745461,2016-03-02,CSRA,25.709999,25.799999,25.549999,26.33,886900.0
745960,2016-03-03,CSRA,25.77,26.120001000000002,25.59,26.26,925500.0
746459,2016-03-04,CSRA,26.299999,25.82,25.43,26.34,841100.0
746958,2016-03-07,CSRA,25.76,26.200001,25.74,26.4,971200.0
747457,2016-03-08,CSRA,25.959999,25.51,25.49,26.200001,1182500.0
747956,2016-03-09,CSRA,26.0,25.33,24.93,26.0,919900.0
748455,2016-03-10,CSRA,25.209999,24.66,24.58,25.5,751300.0
748954,2016-03-11,CSRA,24.940001000000002,25.01,24.719998999999998,25.23,915300.0
749453,2016-03-14,CSRA,24.860001,25.16,24.860001,25.360001,768800.0
749952,2016-03-15,CSRA,24.969998999999998,25.07,24.67,25.299999,893700.0
750451,2016-03-16,CSRA,24.99,24.66,24.629998999999998,25.08,809200.0
750950,2016-03-17,CSRA,24.719998999999998,24.799999,24.66,25.27,1290300.0
751449,2016-03-18,CSRA,24.940001000000002,24.51,24.450001,25.190001000000002,3183200.0
751948,2016-03-21,CSRA,24.620001000000002,24.59,24.299999,24.98,1669200.0
752447,2016-03-22,CSRA,24.450001,24.190001000000002,24.190001000000002,24.74,1116300.0
752946,2016-03-23,CSRA,23.66,24.17,23.66,24.26,1028900.0
753445,2016-03-24,CSRA,24.030001000000002,24.360001,23.889999,24.735001,1073900.0
753944,2016-03-28,CSRA,24.389999,25.860001,24.360001,26.110001,1578700.0
754443,2016-03-29,CSRA,25.92,26.559998999999998,25.485001,26.68,1389900.0
754942,2016-03-30,CSRA,26.75,27.190001000000002,26.746,27.700001,1975400.0
755441,2016-03-31,CSRA,27.139999,26.9,26.52,27.436001,1640500.0
755940,2016-04-01,CSRA,26.559998999999998,27.27,26.450001,27.360001,1276600.0
756439,2016-04-04,CSRA,27.32,26.879998999999998,26.84,27.32,1131800.0
756938,2016-04-05,CSRA,26.690001000000002,26.389999,25.975,26.860001,1312200.0
757437,2016-04-06,CSRA,26.450001,26.450001,26.25,26.719998999999998,742500.0
757936,2016-04-07,CSRA,26.299999,25.75,25.700001,26.34,1299400.0
758435,2016-04-08,CSRA,25.91,25.68,25.5,26.1,963300.0
758934,2016-04-11,CSRA,25.83,26.190001000000002,25.620001000000002,26.27,1088100.0
759433,2016-04-12,CSRA,26.18,26.15,25.9,26.42,1128000.0
