,date,symbol,open,close,low,high,volume
361,2010-01-04,CTXS,42.040001000000004,42.84,41.91,42.869999,1680700.0
829,2010-01-05,CTXS,42.779999,42.869999,42.459998999999996,42.919998,2149700.0
1297,2010-01-06,CTXS,42.73,42.700001,42.560001,43.330002,3046500.0
1765,2010-01-07,CTXS,42.669998,42.66,42.290001000000004,43.040001000000004,2508500.0
2233,2010-01-08,CTXS,42.880001,43.82,42.549999,43.939999,3188500.0
2701,2010-01-11,CTXS,43.849998,42.490002000000004,42.470001,43.919998,3059600.0
3169,2010-01-12,CTXS,42.27,42.0,41.43,42.360001000000004,2785600.0
3637,2010-01-13,CTXS,42.650002,42.490002000000004,42.119999,42.939999,3242300.0
4105,2010-01-14,CTXS,42.389998999999996,43.07,42.23,43.18,1808500.0
4573,2010-01-15,CTXS,43.110001000000004,43.220001,42.450001,43.509997999999996,2978700.0
5041,2010-01-19,CTXS,43.060001,43.919998,42.93,44.0,2010500.0
5509,2010-01-20,CTXS,43.220001,42.91,41.84,43.27,2332100.0
5977,2010-01-21,CTXS,42.91,42.810001,42.389998999999996,44.009997999999996,2616600.0
6445,2010-01-22,CTXS,42.639998999999996,41.400002,41.400002,42.779999,3499600.0
6913,2010-01-25,CTXS,41.700001,41.150002,40.950001,41.700001,2625000.0
7381,2010-01-26,CTXS,42.540001000000004,42.080002,41.68,42.990002000000004,6367400.0
7849,2010-01-27,CTXS,41.990002000000004,41.98,41.290001000000004,42.25,4258200.0
8317,2010-01-28,CTXS,40.48,42.709998999999996,40.48,43.98,7058300.0
8785,2010-01-29,CTXS,42.330002,41.549999,41.02,42.380001,6270800.0
9253,2010-02-01,CTXS,41.73,42.310001,41.639998999999996,42.349998,4496000.0
9721,2010-02-02,CTXS,42.009997999999996,42.349998,41.650002,42.5,2622300.0
10189,2010-02-03,CTXS,41.849998,42.459998999999996,41.73,42.669998,3797600.0
10657,2010-02-04,CTXS,42.02,41.380001,41.369999,42.130001,3489600.0
11125,2010-02-05,CTXS,41.34,41.790001000000004,40.669998,41.790001000000004,4114100.0
11593,2010-02-08,CTXS,41.849998,42.110001000000004,41.34,42.599998,3294000.0
12061,2010-02-09,CTXS,42.43,43.189999,42.18,43.41,4431100.0
12529,2010-02-10,CTXS,43.119999,42.900002,42.709998999999996,43.439999,4543400.0
12997,2010-02-11,CTXS,42.810001,43.07,42.459998999999996,43.16,3515700.0
13465,2010-02-12,CTXS,42.41,43.16,42.34,43.349998,2845700.0
13933,2010-02-16,CTXS,43.360001000000004,43.619999,43.049999,43.619999,1888000.0
14401,2010-02-17,CTXS,43.23,43.889998999999996,43.169998,43.970001,3551000.0
14869,2010-02-18,CTXS,43.869999,45.16,43.810001,45.290001000000004,5352500.0
15337,2010-02-19,CTXS,45.169998,44.740002000000004,44.619999,45.59,6651800.0
15805,2010-02-22,CTXS,44.700001,44.110001000000004,43.990002000000004,44.880001,3601400.0
16273,2010-02-23,CTXS,44.139998999999996,43.91,43.650002,44.360001000000004,4111900.0
16741,2010-02-24,CTXS,44.139998999999996,43.75,43.549999,44.459998999999996,4873500.0
17209,2010-02-25,CTXS,43.200001,42.82,41.0,43.200001,6666400.0
17677,2010-02-26,CTXS,42.82,43.009997999999996,42.599998,43.119999,4841100.0
18145,2010-03-01,CTXS,43.110001000000004,43.75,43.02,43.889998999999996,3247300.0
18613,2010-03-02,CTXS,43.75,43.32,43.200001,43.970001,3284500.0
19081,2010-03-03,CTXS,43.5,43.860001000000004,43.360001000000004,44.200001,3645800.0
19549,2010-03-04,CTXS,43.860001000000004,43.990002000000004,43.580002,44.060001,2688200.0
20017,2010-03-05,CTXS,44.040001000000004,44.610001000000004,44.040001000000004,45.0,4073600.0
20485,2010-03-08,CTXS,44.790001000000004,44.990002000000004,44.720001,45.610001000000004,4403900.0
20953,2010-03-09,CTXS,45.040001000000004,45.98,45.0,46.060001,4569000.0
21421,2010-03-10,CTXS,46.080002,46.619999,46.009997999999996,47.200001,4237400.0
21889,2010-03-11,CTXS,46.290001000000004,47.259997999999996,46.119999,47.259997999999996,3623500.0
22357,2010-03-12,CTXS,46.82,48.080002,46.68,48.27,6336400.0
22825,2010-03-15,CTXS,48.09,49.0,48.009997999999996,49.139998999999996,6799000.0
23293,2010-03-16,CTXS,49.060001,48.950001,48.450001,49.130001,4767900.0
23761,2010-03-17,CTXS,47.880001,47.43,46.970001,48.279999,14579200.0
24229,2010-03-18,CTXS,47.330002,48.060001,47.330002,48.48,6635800.0
24697,2010-03-19,CTXS,48.360001000000004,48.34,47.860001000000004,48.849998,7547400.0
