,date,symbol,open,close,low,high,volume
363,2010-01-04,CVX,78.199997,79.059998,78.160004,79.199997,10173800.0
831,2010-01-05,CVX,79.220001,79.620003,78.720001,79.620003,10593700.0
1299,2010-01-06,CVX,79.440002,79.629997,79.190002,80.0,11014600.0
1767,2010-01-07,CVX,79.360001,79.33000200000001,78.970001,79.699997,9626900.0
2235,2010-01-08,CVX,79.120003,79.470001,78.889999,79.470001,5624300.0
2703,2010-01-11,CVX,80.16999799999999,80.879997,80.059998,81.089996,11916800.0
3171,2010-01-12,CVX,79.519997,80.410004,79.470001,80.449997,12175200.0
3639,2010-01-13,CVX,80.269997,79.800003,79.089996,80.410004,10842200.0
4107,2010-01-14,CVX,79.629997,79.550003,79.150002,79.800003,6721000.0
4575,2010-01-15,CVX,79.540001,79.230003,78.279999,79.690002,13482300.0
5043,2010-01-19,CVX,78.959999,79.68,78.57,79.75,8722200.0
5511,2010-01-20,CVX,78.709999,78.150002,77.650002,78.93,8703800.0
5979,2010-01-21,CVX,78.150002,76.239998,76.059998,78.18,12573200.0
6447,2010-01-22,CVX,75.980003,74.589996,74.43,76.589996,13825000.0
6915,2010-01-25,CVX,75.150002,74.550003,74.089996,75.269997,9129700.0
7383,2010-01-26,CVX,74.08000200000001,74.150002,73.699997,74.879997,10558200.0
7851,2010-01-27,CVX,73.940002,73.699997,73.129997,74.360001,13373200.0
8319,2010-01-28,CVX,73.970001,73.239998,72.32,74.18,12828800.0
8787,2010-01-29,CVX,73.529999,72.120003,71.75,74.07,15265600.0
9255,2010-02-01,CVX,72.699997,73.58000200000001,72.139999,73.739998,11828500.0
9723,2010-02-02,CVX,73.739998,74.449997,73.0,74.58000200000001,12947600.0
10191,2010-02-03,CVX,74.18,73.209999,73.050003,74.360001,14540300.0
10659,2010-02-04,CVX,72.559998,71.370003,71.059998,72.83000200000001,15248400.0
11127,2010-02-05,CVX,71.0,71.18,69.550003,71.239998,17307000.0
11595,2010-02-08,CVX,71.239998,70.129997,70.129997,71.449997,11595600.0
12063,2010-02-09,CVX,70.889999,71.309998,70.82,72.029999,13051900.0
12531,2010-02-10,CVX,71.019997,70.75,70.0,71.230003,11618700.0
12999,2010-02-11,CVX,70.720001,71.730003,70.309998,72.110001,11273800.0
13467,2010-02-12,CVX,70.540001,71.010002,70.16999799999999,71.300003,13809100.0
13935,2010-02-16,CVX,71.989998,72.989998,71.93,73.32,14230800.0
14403,2010-02-17,CVX,73.220001,72.839996,72.459999,73.43,8728000.0
14871,2010-02-18,CVX,72.690002,73.620003,72.339996,73.720001,9848000.0
15339,2010-02-19,CVX,73.440002,74.050003,73.209999,74.379997,13113200.0
15807,2010-02-22,CVX,74.16999799999999,72.959999,72.790001,74.220001,8683400.0
16275,2010-02-23,CVX,72.599998,72.040001,71.769997,72.93,11907600.0
16743,2010-02-24,CVX,72.120003,72.339996,71.610001,72.449997,8921000.0
17211,2010-02-25,CVX,71.190002,72.110001,70.779999,72.190002,11761100.0
17679,2010-02-26,CVX,72.190002,72.300003,71.82,72.690002,8978800.0
18147,2010-03-01,CVX,72.629997,72.809998,72.389999,73.18,7428100.0
18615,2010-03-02,CVX,73.18,73.32,73.010002,73.910004,9257200.0
19083,2010-03-03,CVX,73.629997,73.129997,73.059998,73.849998,8194200.0
19551,2010-03-04,CVX,73.07,73.08000200000001,72.709999,73.5,9419900.0
20019,2010-03-05,CVX,73.550003,74.300003,73.510002,74.470001,8750200.0
20487,2010-03-08,CVX,74.489998,74.639999,74.150002,74.879997,6474000.0
20955,2010-03-09,CVX,74.300003,74.300003,74.0,74.910004,8480100.0
21423,2010-03-10,CVX,74.139999,73.959999,73.25,74.33000200000001,14652900.0
21891,2010-03-11,CVX,74.07,73.989998,73.550003,74.089996,7024700.0
22359,2010-03-12,CVX,74.16999799999999,73.720001,73.510002,74.239998,7681900.0
22827,2010-03-15,CVX,73.510002,73.57,72.849998,73.629997,8807600.0
23295,2010-03-16,CVX,73.900002,73.980003,73.410004,74.120003,9828300.0
23763,2010-03-17,CVX,74.18,74.66999799999999,74.160004,75.059998,10292000.0
24231,2010-03-18,CVX,74.849998,74.760002,74.239998,75.07,9916100.0
24699,2010-03-19,CVX,74.980003,74.980003,73.889999,75.160004,16610700.0
25167,2010-03-22,CVX,74.16999799999999,74.459999,74.0,74.879997,9317900.0
25635,2010-03-23,CVX,74.43,74.769997,74.029999,74.790001,8006700.0
26103,2010-03-24,CVX,74.269997,73.93,73.779999,74.5,8997600.0
26571,2010-03-25,CVX,74.400002,73.800003,73.690002,74.620003,10510300.0
27039,2010-03-26,CVX,74.0,74.43,73.82,74.879997,10411500.0
27507,2010-03-29,CVX,74.610001,75.230003,74.489998,75.440002,8818000.0
27975,2010-03-30,CVX,75.269997,75.300003,74.959999,75.5,6378100.0
28443,2010-03-31,CVX,75.470001,75.83000200000001,75.08000200000001,76.139999,9875500.0
28911,2010-04-01,CVX,76.400002,76.690002,76.339996,77.129997,7859300.0
29379,2010-04-05,CVX,76.970001,77.660004,76.730003,77.75,8108600.0
29847,2010-04-06,CVX,77.57,77.879997,77.199997,78.0,6490000.0
30315,2010-04-07,CVX,77.66999799999999,77.370003,76.959999,77.83000200000001,9431400.0
30783,2010-04-08,CVX,76.93,77.660004,76.629997,78.0,6880500.0
31251,2010-04-09,CVX,78.040001,79.5,78.0,79.620003,9804100.0
31719,2010-04-12,CVX,79.5,80.43,79.370003,80.800003,10000000.0
32187,2010-04-13,CVX,80.41999799999999,80.209999,79.269997,80.57,7978500.0
32655,2010-04-14,CVX,80.459999,80.58000200000001,80.029999,80.610001,7290400.0
33123,2010-04-15,CVX,80.610001,81.589996,80.510002,81.760002,9702500.0
33591,2010-04-16,CVX,81.459999,80.75,80.279999,81.900002,12861900.0
34059,2010-04-19,CVX,80.25,81.32,80.050003,81.5,9335900.0
34527,2010-04-20,CVX,81.82,82.050003,81.660004,82.360001,11470000.0
34995,2010-04-21,CVX,82.300003,81.91999799999999,81.239998,82.66999799999999,9416400.0
35463,2010-04-22,CVX,81.110001,81.199997,80.639999,81.449997,9421100.0
35931,2010-04-23,CVX,81.040001,82.66999799999999,80.949997,82.769997,9918100.0
36399,2010-04-26,CVX,82.519997,82.589996,82.339996,83.139999,9792600.0
36867,2010-04-27,CVX,82.08000200000001,80.230003,80.07,82.510002,13042800.0
37335,2010-04-28,CVX,80.620003,80.620003,79.849998,80.91999799999999,12115700.0
37804,2010-04-29,CVX,81.190002,82.290001,81.190002,82.989998,12274500.0
38273,2010-04-30,CVX,82.370003,81.440002,81.290001,83.129997,13910300.0
38742,2010-05-03,CVX,81.959999,82.83000200000001,81.33000200000001,83.410004,11650700.0
39211,2010-05-04,CVX,82.010002,80.760002,79.629997,82.239998,16274300.0
39680,2010-05-05,CVX,79.690002,80.190002,79.449997,80.730003,13028600.0
40149,2010-05-06,CVX,79.410004,77.199997,71.5,80.209999,21059200.0
40618,2010-05-07,CVX,77.220001,77.099998,76.410004,78.610001,21866100.0
41087,2010-05-10,CVX,79.370003,79.889999,78.529999,80.559998,14661800.0
41556,2010-05-11,CVX,79.639999,79.699997,79.489998,80.75,12018600.0
42025,2010-05-12,CVX,79.769997,80.059998,79.360001,80.459999,9257800.0
42494,2010-05-13,CVX,79.800003,78.91999799999999,78.75,80.059998,10839600.0
42963,2010-05-14,CVX,78.41999799999999,77.83000200000001,76.980003,78.489998,13602800.0
43432,2010-05-17,CVX,77.389999,77.730003,75.949997,77.949997,14694000.0
43901,2010-05-18,CVX,78.309998,76.849998,76.389999,78.66999799999999,15321500.0
44370,2010-05-19,CVX,76.349998,76.599998,75.540001,77.0,10773200.0
44839,2010-05-20,CVX,75.040001,73.599998,73.529999,75.400002,17879100.0
45308,2010-05-21,CVX,72.349998,74.480003,72.0,74.650002,15919100.0
45777,2010-05-24,CVX,74.220001,73.440002,73.309998,74.379997,10540700.0
46246,2010-05-25,CVX,71.739998,72.57,70.800003,72.690002,22304600.0
46715,2010-05-26,CVX,73.190002,71.550003,71.440002,73.5,16888700.0
47184,2010-05-27,CVX,73.129997,74.360001,72.300003,74.360001,15252900.0
47653,2010-05-28,CVX,74.0,73.870003,73.040001,74.400002,14445500.0
48122,2010-06-01,CVX,73.559998,72.290001,72.290001,74.519997,13966400.0
48591,2010-06-02,CVX,72.660004,74.129997,72.120003,74.129997,15674100.0
49060,2010-06-03,CVX,74.660004,73.910004,73.139999,74.75,14278800.0
49529,2010-06-04,CVX,72.150002,71.279999,70.800003,72.709999,18133300.0
49998,2010-06-07,CVX,71.660004,71.349998,71.190002,72.489998,12324200.0
50467,2010-06-08,CVX,71.68,71.019997,69.82,71.730003,16572400.0
50936,2010-06-09,CVX,71.16999799999999,70.790001,70.599998,72.389999,14074500.0
51405,2010-06-10,CVX,72.870003,74.16999799999999,72.690002,74.16999799999999,13937400.0
51874,2010-06-11,CVX,73.480003,74.059998,72.790001,74.059998,8346000.0
52343,2010-06-14,CVX,74.230003,74.18,74.160004,75.540001,11948000.0
52812,2010-06-15,CVX,74.57,75.230003,74.18,75.260002,11760200.0
53281,2010-06-16,CVX,74.610001,74.949997,74.449997,75.389999,10424400.0
53750,2010-06-17,CVX,75.019997,75.32,74.199997,75.489998,11113500.0
54219,2010-06-18,CVX,75.470001,75.519997,74.900002,75.75,13680200.0
54688,2010-06-21,CVX,76.809998,75.720001,75.290001,77.25,9347000.0
55157,2010-06-22,CVX,75.449997,74.0,73.879997,75.720001,10576400.0
55626,2010-06-23,CVX,73.839996,72.260002,72.150002,73.900002,14876400.0
56095,2010-06-24,CVX,71.800003,70.83000200000001,70.699997,72.129997,14188300.0
56564,2010-06-25,CVX,71.129997,70.059998,69.879997,71.129997,20472800.0
57033,2010-06-28,CVX,70.559998,69.959999,69.629997,70.57,10873900.0
57502,2010-06-29,CVX,69.199997,68.360001,68.0,69.389999,16421100.0
57971,2010-06-30,CVX,68.220001,67.860001,67.800003,69.059998,12871000.0
58440,2010-07-01,CVX,68.190002,67.480003,66.83000200000001,68.300003,16335700.0
58909,2010-07-02,CVX,67.790001,67.309998,66.870003,68.150002,9143600.0
59378,2010-07-06,CVX,68.279999,67.559998,66.860001,68.32,15039500.0
59847,2010-07-07,CVX,67.82,69.449997,67.489998,69.5,15691100.0
60316,2010-07-08,CVX,70.18,70.410004,69.209999,70.690002,13478900.0
60785,2010-07-09,CVX,70.459999,71.839996,70.050003,72.0,11390300.0
61254,2010-07-12,CVX,71.529999,71.849998,71.349998,72.129997,7352000.0
61723,2010-07-13,CVX,72.989998,73.230003,72.5,73.58000200000001,13751300.0
62192,2010-07-14,CVX,73.010002,73.050003,72.349998,73.120003,11750500.0
62661,2010-07-15,CVX,73.230003,73.040001,72.160004,73.230003,10507600.0
63130,2010-07-16,CVX,72.650002,71.5,71.25,72.839996,12060700.0
63599,2010-07-19,CVX,71.839996,72.0,71.489998,72.300003,8350600.0
64068,2010-07-20,CVX,71.0,73.099998,70.959999,73.209999,8922500.0
64537,2010-07-21,CVX,73.33000200000001,72.16999799999999,71.57,73.550003,9045400.0
65006,2010-07-22,CVX,72.800003,73.440002,72.58000200000001,74.0,9552500.0
65475,2010-07-23,CVX,73.279999,73.519997,72.66999799999999,73.550003,8426300.0
65944,2010-07-26,CVX,73.82,74.620003,73.410004,74.620003,6467000.0
66413,2010-07-27,CVX,74.860001,75.300003,74.5,75.43,8163500.0
66882,2010-07-28,CVX,75.129997,75.559998,75.010002,75.660004,7392400.0
