,date,symbol,open,close,low,high,volume
376,2010-01-04,DISCK,13.314999499999999,13.3950005,13.25,13.46,535400.0
844,2010-01-05,DISCK,13.34,13.984999499999999,13.34,14.0200005,857400.0
1312,2010-01-06,DISCK,14.0699995,14.125,13.92,14.205,1016000.0
1780,2010-01-07,DISCK,14.16,14.255,14.064999499999999,14.295,744800.0
2248,2010-01-08,DISCK,14.189999499999999,14.455,14.1499995,14.455,1252200.0
2716,2010-01-11,DISCK,14.46,14.365,14.325,14.5249995,1086200.0
3184,2010-01-12,DISCK,14.279999499999999,13.9799995,13.970000500000001,14.359999499999999,1762200.0
3652,2010-01-13,DISCK,13.984999499999999,13.955,13.7250005,14.08,1196000.0
4120,2010-01-14,DISCK,13.904999499999999,13.8999995,13.859999499999999,14.13,531200.0
4588,2010-01-15,DISCK,14.1949995,14.215,13.995,14.515000500000001,661200.0
5056,2010-01-19,DISCK,14.1499995,14.2700005,14.075,14.2700005,666000.0
5524,2010-01-20,DISCK,14.185000500000001,14.095000500000001,14.0699995,14.2299995,385600.0
5992,2010-01-21,DISCK,14.26,13.9449995,13.665,14.325,1457000.0
6460,2010-01-22,DISCK,13.99,13.42,13.415,13.99,638000.0
6928,2010-01-25,DISCK,13.640000500000001,13.390000500000001,13.279999499999999,13.640000500000001,872600.0
7396,2010-01-26,DISCK,13.415,13.435000500000001,13.2700005,13.51,514400.0
7864,2010-01-27,DISCK,13.365,13.2,12.9449995,13.45,403400.0
8332,2010-01-28,DISCK,13.2,13.3050005,13.045,13.385,668400.0
8800,2010-01-29,DISCK,13.325,13.13,13.125,13.415,986600.0
9268,2010-02-01,DISCK,13.285,13.26,13.16,13.34,482800.0
9736,2010-02-02,DISCK,13.34,13.25,13.12,13.34,741600.0
10204,2010-02-03,DISCK,13.25,13.205,13.1800005,13.3199995,503400.0
10672,2010-02-04,DISCK,13.125,12.885,12.8549995,13.13,827200.0
11140,2010-02-05,DISCK,12.835,12.8199995,12.4799995,12.845000500000001,921400.0
11608,2010-02-08,DISCK,12.865,12.865,12.83,13.0249995,3177600.0
12076,2010-02-09,DISCK,12.9750005,13.109999499999999,12.904999499999999,13.1800005,1101000.0
12544,2010-02-10,DISCK,12.935000500000001,12.665,12.5,12.935000500000001,1078200.0
13012,2010-02-11,DISCK,12.71,12.7,12.6000005,12.7749995,581800.0
13480,2010-02-12,DISCK,12.62,12.8500005,12.6000005,12.8999995,1006400.0
13948,2010-02-16,DISCK,12.8999995,12.915,12.865,13.0249995,910600.0
14416,2010-02-17,DISCK,13.654999499999999,13.745,13.5,13.92,2467800.0
14884,2010-02-18,DISCK,13.635,13.76,13.635,13.890000500000001,1354800.0
15352,2010-02-19,DISCK,13.67,14.01,13.654999499999999,14.09,980600.0
15820,2010-02-22,DISCK,13.99,14.115,13.99,14.26,1477600.0
16288,2010-02-23,DISCK,13.795,14.1000005,13.765000500000001,14.2250005,1776200.0
16756,2010-02-24,DISCK,14.21,14.064999499999999,13.955,14.21,1154800.0
17224,2010-02-25,DISCK,13.925,13.654999499999999,13.515000500000001,13.9449995,1542000.0
17692,2010-02-26,DISCK,13.6450005,13.2749995,13.26,13.8050005,15486000.0
18160,2010-03-01,DISCK,13.325,13.46,13.325,13.55,5921800.0
18628,2010-03-02,DISCK,13.439999499999999,13.42,13.38,13.5,2754400.0
19096,2010-03-03,DISCK,13.3999995,13.38,13.375,13.51,1195600.0
19564,2010-03-04,DISCK,13.425,13.615,13.3,13.705,910400.0
20032,2010-03-05,DISCK,13.63,13.8549995,13.625,13.8999995,894000.0
20500,2010-03-08,DISCK,13.83,13.9750005,13.814999499999999,14.045,1449600.0
20968,2010-03-09,DISCK,13.84,14.095000500000001,13.84,14.1499995,870000.0
21436,2010-03-10,DISCK,14.0550005,14.085,13.885,14.2,762600.0
21904,2010-03-11,DISCK,14.095000500000001,14.21,13.9750005,14.245,429400.0
22372,2010-03-12,DISCK,14.189999499999999,14.37,14.1049995,14.375,602600.0
22840,2010-03-15,DISCK,14.314999499999999,14.325,14.189999499999999,14.38,587200.0
23308,2010-03-16,DISCK,14.29,14.390000500000001,14.215,14.455,721600.0
23776,2010-03-17,DISCK,14.3950005,14.4300005,14.3500005,14.5200005,273400.0
24244,2010-03-18,DISCK,14.404999499999999,14.375,14.33,14.4799995,806400.0
24712,2010-03-19,DISCK,14.3500005,14.3500005,14.255,14.6000005,830600.0
25180,2010-03-22,DISCK,14.3199995,14.654999499999999,14.220000500000001,14.7250005,809600.0
25648,2010-03-23,DISCK,14.564999499999999,14.689999499999999,14.5249995,14.75,1207000.0
26116,2010-03-24,DISCK,14.7,14.810000500000001,14.564999499999999,14.8199995,723400.0
26584,2010-03-25,DISCK,14.8199995,14.7299995,14.705,14.995,905200.0
27052,2010-03-26,DISCK,14.785,14.7700005,14.689999499999999,14.8999995,1561400.0
27520,2010-03-29,DISCK,14.810000500000001,14.715,14.685000500000001,15.0699995,578600.0
27988,2010-03-30,DISCK,14.75,14.8999995,14.635,14.970000500000001,2053600.0
28456,2010-03-31,DISCK,14.810000500000001,14.705,14.640000500000001,14.84,1157000.0
28924,2010-04-01,DISCK,14.720000500000001,14.66,14.529999499999999,14.7299995,1026600.0
29392,2010-04-05,DISCK,14.7250005,14.79,14.6000005,14.8050005,563200.0
