,date,symbol,open,close,low,high,volume
381,2010-01-04,DOW,28.200001,29.18,27.799999,29.190001000000002,16933000.0
849,2010-01-05,DOW,29.0,30.48,29.0,30.530001000000002,18783800.0
1317,2010-01-06,DOW,30.98,31.02,30.780001000000002,31.66,21969300.0
1785,2010-01-07,DOW,31.01,31.040001,30.67,31.299999,10325600.0
2253,2010-01-08,DOW,30.76,31.15,30.4,31.34,7732100.0
2721,2010-01-11,DOW,31.639999,30.76,30.48,31.639999,10254900.0
3189,2010-01-12,DOW,30.4,30.860001,30.190001000000002,31.09,10274800.0
3657,2010-01-13,DOW,30.83,30.75,30.139999,31.17,6282400.0
4125,2010-01-14,DOW,30.540001,30.530001000000002,30.34,30.84,5314000.0
4593,2010-01-15,DOW,30.540001,29.99,29.75,30.540001,9642600.0
5061,2010-01-19,DOW,29.719998999999998,30.68,29.719998999999998,30.719998999999998,6083000.0
5529,2010-01-20,DOW,30.559998999999998,30.360001,29.809998999999998,30.57,8537400.0
5997,2010-01-21,DOW,30.27,28.67,28.629998999999998,30.4,14135500.0
6465,2010-01-22,DOW,28.48,27.76,27.74,28.91,11324500.0
6933,2010-01-25,DOW,28.190001000000002,28.41,28.1,28.67,8223000.0
7401,2010-01-26,DOW,28.110001,28.09,27.9,28.75,7584900.0
7869,2010-01-27,DOW,28.120001000000002,28.24,27.51,28.299999,9847300.0
8337,2010-01-28,DOW,28.41,27.370001000000002,27.040001,28.459999,9468000.0
8805,2010-01-29,DOW,27.700001,27.09,27.09,28.42,12690300.0
9273,2010-02-01,DOW,27.52,28.629998999999998,27.4,28.66,13708800.0
9741,2010-02-02,DOW,27.91,27.57,26.74,28.379998999999998,28000300.0
10209,2010-02-03,DOW,27.700001,27.58,27.07,28.08,13547300.0
10677,2010-02-04,DOW,27.15,26.610001,26.43,27.33,14767600.0
11145,2010-02-05,DOW,26.41,26.52,25.57,27.0,21873400.0
11613,2010-02-08,DOW,26.52,26.18,25.860001,26.92,14964900.0
12081,2010-02-09,DOW,26.540001,27.790001,26.41,28.0,20333900.0
12549,2010-02-10,DOW,27.559998999999998,27.51,27.08,27.82,11265100.0
13017,2010-02-11,DOW,27.440001000000002,27.860001,27.040001,27.969998999999998,9388500.0
13485,2010-02-12,DOW,27.389999,27.790001,27.049999,28.129998999999998,10010700.0
13953,2010-02-16,DOW,28.030001000000002,28.48,27.860001,28.5,8626200.0
14421,2010-02-17,DOW,28.48,28.74,28.32,28.93,8590400.0
14889,2010-02-18,DOW,28.74,29.540001,28.629998999999998,29.620001000000002,10281800.0
15357,2010-02-19,DOW,29.309998999999998,29.23,29.0,29.6,10173500.0
15825,2010-02-22,DOW,29.4,29.360001,29.01,29.610001,7109900.0
16293,2010-02-23,DOW,29.17,28.879998999999998,28.6,29.4,8599800.0
16761,2010-02-24,DOW,29.02,29.0,28.639999,29.25,9051400.0
17229,2010-02-25,DOW,28.219998999999998,28.32,27.879998999999998,28.43,11377800.0
17697,2010-02-26,DOW,28.379998999999998,28.309998999999998,28.190001000000002,28.75,7804500.0
18165,2010-03-01,DOW,28.43,28.690001000000002,28.33,28.799999,9136200.0
18633,2010-03-02,DOW,29.07,28.879998999999998,28.809998999999998,29.23,10499500.0
19101,2010-03-03,DOW,29.01,29.610001,28.860001,29.98,11902800.0
19569,2010-03-04,DOW,29.709999,29.559998999999998,29.360001,29.969998999999998,9177100.0
20037,2010-03-05,DOW,29.73,30.0,29.709999,30.34,9861900.0
20505,2010-03-08,DOW,29.950001,29.5,29.440001000000002,30.09,7073700.0
20973,2010-03-09,DOW,29.389999,29.219998999999998,29.08,29.6,8479500.0
21441,2010-03-10,DOW,29.200001,29.059998999999998,28.9,29.549999,8417600.0
21909,2010-03-11,DOW,28.940001000000002,29.4,28.610001,29.4,7604700.0
22377,2010-03-12,DOW,29.68,29.84,29.530001000000002,30.219998999999998,9160200.0
22845,2010-03-15,DOW,29.74,30.0,29.58,30.02,9013600.0
23313,2010-03-16,DOW,30.07,30.440001000000002,29.91,30.57,10729700.0
23781,2010-03-17,DOW,30.51,30.43,30.299999,30.620001000000002,9914800.0
24249,2010-03-18,DOW,30.440001000000002,30.0,29.860001,30.59,10049600.0
24717,2010-03-19,DOW,28.950001,28.950001,28.950001,30.200001,16156600.0
25185,2010-03-22,DOW,28.59,29.59,28.4,29.73,10914100.0
25653,2010-03-23,DOW,29.620001000000002,29.969998999999998,29.25,29.98,11147900.0
26121,2010-03-24,DOW,29.690001000000002,30.360001,29.6,30.639999,12518600.0
26589,2010-03-25,DOW,30.41,29.879998999999998,29.82,30.76,13626600.0
27057,2010-03-26,DOW,29.85,30.059998999999998,29.66,30.52,9065700.0
27525,2010-03-29,DOW,30.030001000000002,29.52,29.27,30.209999,10370500.0
27993,2010-03-30,DOW,29.5,29.76,29.389999,30.08,5770900.0
28461,2010-03-31,DOW,29.639999,29.57,29.43,29.940001000000002,6944500.0
28929,2010-04-01,DOW,29.889999,30.309998999999998,29.809998999999998,30.43,9946600.0
29397,2010-04-05,DOW,30.280001000000002,30.99,30.25,31.09,8245500.0
29865,2010-04-06,DOW,30.780001000000002,31.16,30.66,31.459999,9829700.0
30333,2010-04-07,DOW,30.969998999999998,30.790001,30.58,31.219998999999998,8120500.0
30801,2010-04-08,DOW,30.52,30.73,30.299999,30.870001000000002,7174100.0
31269,2010-04-09,DOW,30.719998999999998,30.780001000000002,30.559998999999998,30.9,5684500.0
