,date,symbol,open,close,low,high,volume
387,2010-01-04,DVN,75.309998,76.57,74.849998,76.790001,4225500.0
855,2010-01-05,DVN,76.720001,76.650002,75.879997,76.739998,3711400.0
1323,2010-01-06,DVN,76.58000200000001,76.41999799999999,75.5,76.699997,3225500.0
1791,2010-01-07,DVN,75.910004,75.970001,75.059998,76.110001,2836400.0
2259,2010-01-08,DVN,75.410004,76.120003,74.739998,76.239998,2496200.0
2727,2010-01-11,DVN,75.699997,75.08000200000001,74.360001,76.0,2811600.0
3195,2010-01-12,DVN,74.059998,74.190002,73.440002,74.480003,2567500.0
3663,2010-01-13,DVN,74.279999,75.07,73.349998,75.349998,2131300.0
4131,2010-01-14,DVN,75.129997,73.970001,73.529999,75.290001,2867600.0
4599,2010-01-15,DVN,73.510002,73.029999,72.199997,74.040001,3400400.0
5067,2010-01-19,DVN,72.620003,73.57,72.300003,73.629997,2198900.0
5535,2010-01-20,DVN,72.349998,72.040001,70.779999,72.349998,2905400.0
6003,2010-01-21,DVN,72.18,71.43,71.32,72.860001,2963800.0
6471,2010-01-22,DVN,71.5,69.300003,69.099998,71.720001,3269500.0
6939,2010-01-25,DVN,69.910004,70.970001,69.690002,71.5,2756500.0
7407,2010-01-26,DVN,70.010002,69.760002,69.029999,71.279999,3628800.0
7875,2010-01-27,DVN,69.760002,69.349998,68.08000200000001,70.339996,3633100.0
8343,2010-01-28,DVN,69.75,68.519997,67.75,70.690002,3760800.0
8811,2010-01-29,DVN,69.209999,66.910004,66.459999,70.139999,4751100.0
9279,2010-02-01,DVN,67.699997,69.760002,67.57,69.900002,3073400.0
9747,2010-02-02,DVN,69.790001,71.32,69.349998,71.480003,3556800.0
10215,2010-02-03,DVN,71.120003,70.489998,70.059998,71.480003,3298300.0
10683,2010-02-04,DVN,69.68,66.860001,66.720001,69.889999,4551200.0
11151,2010-02-05,DVN,66.730003,66.730003,64.660004,67.199997,4666200.0
11619,2010-02-08,DVN,66.629997,66.139999,65.809998,67.610001,3113000.0
12087,2010-02-09,DVN,67.110001,67.300003,66.5,68.459999,3853300.0
12555,2010-02-10,DVN,67.089996,66.410004,65.07,67.300003,3950400.0
13023,2010-02-11,DVN,66.0,67.110001,65.910004,67.739998,3357100.0
13491,2010-02-12,DVN,65.970001,67.08000200000001,65.760002,67.300003,3367700.0
13959,2010-02-16,DVN,68.68,69.099998,68.239998,69.220001,3011200.0
14427,2010-02-17,DVN,70.510002,69.790001,69.239998,70.900002,4839000.0
14895,2010-02-18,DVN,69.620003,70.209999,69.599998,70.559998,3399100.0
15363,2010-02-19,DVN,70.129997,71.41999799999999,70.0,71.809998,3733000.0
15831,2010-02-22,DVN,71.980003,70.019997,69.879997,71.980003,3048400.0
16299,2010-02-23,DVN,69.57,68.040001,67.760002,69.68,4506900.0
16767,2010-02-24,DVN,68.050003,68.389999,67.650002,68.83000200000001,2497500.0
17235,2010-02-25,DVN,66.949997,68.809998,66.699997,68.889999,3628500.0
17703,2010-02-26,DVN,69.099998,68.860001,68.360001,69.18,3728900.0
18171,2010-03-01,DVN,69.360001,69.379997,68.849998,69.809998,3319000.0
18639,2010-03-02,DVN,69.610001,70.160004,69.589996,70.5,3125700.0
19107,2010-03-03,DVN,70.260002,70.440002,70.120003,71.07,3195500.0
19575,2010-03-04,DVN,70.639999,69.550003,68.900002,70.860001,3651700.0
20043,2010-03-05,DVN,70.190002,69.949997,68.43,70.239998,3879500.0
20511,2010-03-08,DVN,70.019997,69.690002,68.849998,70.019997,4064300.0
20979,2010-03-09,DVN,69.279999,70.849998,69.110001,71.160004,5451800.0
21447,2010-03-10,DVN,70.980003,71.849998,70.650002,72.389999,6096000.0
21915,2010-03-11,DVN,73.599998,72.040001,71.75,73.610001,9963500.0
22383,2010-03-12,DVN,72.589996,70.529999,70.139999,72.599998,6106000.0
22851,2010-03-15,DVN,70.040001,68.730003,67.949997,70.110001,5537400.0
23319,2010-03-16,DVN,69.379997,67.790001,67.300003,69.379997,8492000.0
23787,2010-03-17,DVN,68.150002,67.16999799999999,67.019997,68.639999,8180400.0
24255,2010-03-18,DVN,67.059998,65.389999,65.010002,67.440002,8371300.0
24723,2010-03-19,DVN,64.309998,64.309998,63.950001,65.489998,8940900.0
25191,2010-03-22,DVN,63.720001,64.0,62.860001000000004,64.160004,7814600.0
25659,2010-03-23,DVN,64.220001,64.980003,63.779999,65.33000200000001,6147700.0
26127,2010-03-24,DVN,64.589996,65.120003,64.199997,66.220001,11050000.0
26595,2010-03-25,DVN,65.66999799999999,62.93,62.790001000000004,65.68,6915500.0
27063,2010-03-26,DVN,63.349998,63.200001,62.380001,63.43,4784300.0
27531,2010-03-29,DVN,63.630001,64.57,63.509997999999996,64.989998,5643900.0
27999,2010-03-30,DVN,64.66999799999999,64.410004,63.84,65.0,3194800.0
28467,2010-03-31,DVN,64.589996,64.43,64.300003,65.160004,4494400.0
28935,2010-04-01,DVN,65.099998,65.83000200000001,65.099998,66.120003,5385400.0
29403,2010-04-05,DVN,66.110001,67.209999,65.58000200000001,67.269997,4088200.0
29871,2010-04-06,DVN,67.150002,66.489998,66.279999,67.190002,3018600.0
30339,2010-04-07,DVN,66.230003,65.83000200000001,65.459999,66.949997,4545800.0
30807,2010-04-08,DVN,65.25,65.91999799999999,64.400002,66.129997,4037900.0
31275,2010-04-09,DVN,66.129997,67.260002,65.93,67.339996,4518100.0
31743,2010-04-12,DVN,67.389999,67.32,66.900002,67.989998,3081200.0
32211,2010-04-13,DVN,66.980003,66.449997,65.790001,66.989998,3400900.0
32679,2010-04-14,DVN,66.889999,67.129997,65.849998,67.199997,3634300.0
33147,2010-04-15,DVN,66.709999,66.589996,66.529999,67.5,3002000.0
33615,2010-04-16,DVN,66.029999,65.190002,64.75,66.480003,4102500.0
34083,2010-04-19,DVN,64.510002,65.190002,64.07,65.339996,2974900.0
34551,2010-04-20,DVN,65.690002,67.400002,65.66999799999999,67.650002,4130600.0
35019,2010-04-21,DVN,67.279999,67.589996,66.870003,68.220001,3844400.0
35487,2010-04-22,DVN,66.540001,67.720001,66.300003,68.139999,5216400.0
35955,2010-04-23,DVN,67.809998,70.040001,67.410004,70.129997,5448100.0
36423,2010-04-26,DVN,69.720001,68.540001,68.389999,69.82,4375200.0
36891,2010-04-27,DVN,68.010002,66.58000200000001,66.5,69.029999,4532700.0
37359,2010-04-28,DVN,67.269997,67.449997,66.610001,68.0,4150100.0
37828,2010-04-29,DVN,67.91999799999999,67.349998,66.970001,69.0,4013900.0
38297,2010-04-30,DVN,67.589996,67.33000200000001,67.260002,68.940002,5005700.0
38766,2010-05-03,DVN,67.949997,68.129997,67.0,68.779999,3938000.0
39235,2010-05-04,DVN,67.199997,66.349998,65.57,67.230003,4106600.0
39704,2010-05-05,DVN,67.209999,67.510002,65.559998,68.639999,8592400.0
