S. No.,Date,Price,Open,High,Low,Change %,Profit
1,04-01-10,3.823,3.823,3.823,3.823,-0.36%,0
2,05-01-10,3.763,3.763,3.763,3.763,-1.57%,0.06
3,06-01-10,3.829,3.829,3.829,3.829,1.75%,-0.066
4,07-01-10,3.827,3.827,3.827,3.827,-0.05%,0.002
5,08-01-10,3.836,3.836,3.836,3.836,0.24%,-0.009
6,11-01-10,3.824,3.824,3.824,3.824,-0.31%,0.012
7,12-01-10,3.717,3.717,3.717,3.717,-2.80%,0.107
8,13-01-10,3.793,3.793,3.793,3.793,2.04%,-0.076
9,14-01-10,3.742,3.742,3.742,3.742,-1.34%,0.051
10,15-01-10,3.676,3.676,3.676,3.676,-1.76%,0.066
11,19-01-10,3.698,3.698,3.698,3.698,0.60%,-0.022
12,20-01-10,3.653,3.653,3.653,3.653,-1.22%,0.045
13,21-01-10,3.595,3.595,3.595,3.595,-1.59%,0.058
14,22-01-10,3.601,3.601,3.601,3.601,0.17%,-0.006
15,25-01-10,3.63,3.63,3.63,3.63,0.81%,-0.029
16,26-01-10,3.621,3.621,3.621,3.621,-0.25%,0.009
17,27-01-10,3.65,3.65,3.65,3.65,0.80%,-0.029
18,28-01-10,3.642,3.642,3.642,3.642,-0.22%,0.008
19,29-01-10,3.588,3.588,3.588,3.588,-1.48%,0.054
20,01-02-10,3.656,3.656,3.656,3.656,1.90%,-0.068
21,02-02-10,3.64,3.64,3.64,3.64,-0.44%,0.016
22,03-02-10,3.707,3.707,3.707,3.707,1.84%,-0.067
23,04-02-10,3.61,3.61,3.61,3.61,-2.62%,0.097
24,05-02-10,3.571,3.571,3.571,3.571,-1.08%,0.039
25,08-02-10,3.562,3.562,3.562,3.562,-0.25%,0.009
26,09-02-10,3.647,3.647,3.647,3.647,2.39%,-0.085
27,10-02-10,3.69,3.69,3.69,3.69,1.18%,-0.043
28,11-02-10,3.721,3.721,3.721,3.721,0.84%,-0.031
29,12-02-10,3.695,3.695,3.695,3.695,-0.70%,0.026
30,16-02-10,3.663,3.663,3.663,3.663,-0.87%,0.032
31,17-02-10,3.735,3.735,3.735,3.735,1.97%,-0.072
32,18-02-10,3.807,3.807,3.807,3.807,1.93%,-0.072
33,19-02-10,3.776,3.776,3.776,3.776,-0.81%,0.031
34,22-02-10,3.797,3.797,3.797,3.797,0.56%,-0.021
35,23-02-10,3.689,3.689,3.689,3.689,-2.84%,0.108
36,24-02-10,3.695,3.695,3.695,3.695,0.16%,-0.006
37,25-02-10,3.632,3.632,3.632,3.632,-1.71%,0.063
38,26-02-10,3.619,3.619,3.619,3.619,-0.36%,0.013
39,01-03-10,3.608,3.608,3.608,3.608,-0.30%,0.011
40,02-03-10,3.608,3.608,3.608,3.608,0.00%,0
41,03-03-10,3.621,3.621,3.621,3.621,0.36%,-0.013
42,04-03-10,3.606,3.606,3.606,3.606,-0.41%,0.015
43,05-03-10,3.682,3.682,3.682,3.682,2.11%,-0.076
44,08-03-10,3.721,3.721,3.721,3.721,1.06%,-0.039
45,09-03-10,3.7,3.7,3.7,3.7,-0.56%,0.021
46,10-03-10,3.721,3.721,3.721,3.721,0.57%,-0.021
47,11-03-10,3.729,3.729,3.729,3.729,0.21%,-0.008
48,12-03-10,3.703,3.703,3.703,3.703,-0.70%,0.026
49,15-03-10,3.697,3.697,3.697,3.697,-0.16%,0.006
50,16-03-10,3.653,3.653,3.653,3.653,-1.19%,0.044
