S. No.,,Date,Price,Open,High,Low,Change %,Profit
1,,"Jan 04, 2010",3.823,3.823,3.823,3.823,-0.36%,0
2,,"Jan 05, 2010",3.763,3.763,3.763,3.763,-1.57%,0.06
3,,"Jan 06, 2010",3.829,3.829,3.829,3.829,1.75%,-0.066
4,,"Jan 07, 2010",3.827,3.827,3.827,3.827,-0.05%,0.002
5,,"Jan 08, 2010",3.836,3.836,3.836,3.836,0.24%,-0.009
6,,"Jan 11, 2010",3.824,3.824,3.824,3.824,-0.31%,0.012000000000001
7,,"Jan 12, 2010",3.717,3.717,3.717,3.717,-2.80%,0.107
8,,"Jan 13, 2010",3.793,3.793,3.793,3.793,2.04%,-0.076
9,,"Jan 14, 2010",3.742,3.742,3.742,3.742,-1.34%,0.051
10,,"Jan 15, 2010",3.676,3.676,3.676,3.676,-1.76%,0.066
11,,"Jan 19, 2010",3.698,3.698,3.698,3.698,0.60%,-0.022
12,,"Jan 20, 2010",3.653,3.653,3.653,3.653,-1.22%,0.045
13,,"Jan 21, 2010",3.595,3.595,3.595,3.595,-1.59%,0.058
14,,"Jan 22, 2010",3.601,3.601,3.601,3.601,0.17%,-0.006000000000001
15,,"Jan 25, 2010",3.63,3.63,3.63,3.63,0.81%,-0.029
16,,"Jan 26, 2010",3.621,3.621,3.621,3.621,-0.25%,0.008999999999999
17,,"Jan 27, 2010",3.65,3.65,3.65,3.65,0.80%,-0.029
18,,"Jan 28, 2010",3.642,3.642,3.642,3.642,-0.22%,0.008
19,,"Jan 29, 2010",3.588,3.588,3.588,3.588,-1.48%,0.054
20,,"Feb 01, 2010",3.656,3.656,3.656,3.656,1.90%,-0.068
21,,"Feb 02, 2010",3.64,3.64,3.64,3.64,-0.44%,0.016
22,,"Feb 03, 2010",3.707,3.707,3.707,3.707,1.84%,-0.067
23,,"Feb 04, 2010",3.61,3.61,3.61,3.61,-2.62%,0.097
24,,"Feb 05, 2010",3.571,3.571,3.571,3.571,-1.08%,0.039
25,,"Feb 08, 2010",3.562,3.562,3.562,3.562,-0.25%,0.009
26,,"Feb 09, 2010",3.647,3.647,3.647,3.647,2.39%,-0.085
27,,"Feb 10, 2010",3.69,3.69,3.69,3.69,1.18%,-0.043
28,,"Feb 11, 2010",3.721,3.721,3.721,3.721,0.84%,-0.031
29,,"Feb 12, 2010",3.695,3.695,3.695,3.695,-0.70%,0.026
30,,"Feb 16, 2010",3.663,3.663,3.663,3.663,-0.87%,0.032
31,,"Feb 17, 2010",3.735,3.735,3.735,3.735,1.97%,-0.072
32,,"Feb 18, 2010",3.807,3.807,3.807,3.807,1.93%,-0.072
33,,"Feb 19, 2010",3.776,3.776,3.776,3.776,-0.81%,0.031
34,,"Feb 22, 2010",3.797,3.797,3.797,3.797,0.56%,-0.021
35,,"Feb 23, 2010",3.689,3.689,3.689,3.689,-2.84%,0.108
36,,"Feb 24, 2010",3.695,3.695,3.695,3.695,0.16%,-0.006000000000001
37,,"Feb 25, 2010",3.632,3.632,3.632,3.632,-1.71%,0.063000000000001
38,,"Feb 26, 2010",3.619,3.619,3.619,3.619,-0.36%,0.013
39,,"Mar 01, 2010",3.608,3.608,3.608,3.608,-0.30%,0.011
40,,"Mar 02, 2010",3.608,3.608,3.608,3.608,0.00%,0
41,,"Mar 03, 2010",3.621,3.621,3.621,3.621,0.36%,-0.013
42,,"Mar 04, 2010",3.606,3.606,3.606,3.606,-0.41%,0.015
43,,"Mar 05, 2010",3.682,3.682,3.682,3.682,2.11%,-0.076
44,,"Mar 08, 2010",3.721,3.721,3.721,3.721,1.06%,-0.039
45,,"Mar 09, 2010",3.7,3.7,3.7,3.7,-0.56%,0.021
46,,"Mar 10, 2010",3.721,3.721,3.721,3.721,0.57%,-0.021
47,,"Mar 11, 2010",3.729,3.729,3.729,3.729,0.21%,-0.008
48,,"Mar 12, 2010",3.703,3.703,3.703,3.703,-0.70%,0.025999999999999
49,,"Mar 15, 2010",3.697,3.697,3.697,3.697,-0.16%,0.006
50,,"Mar 16, 2010",3.653,3.653,3.653,3.653,-1.19%,0.044
51,,"Mar 17, 2010",3.642,3.642,3.642,3.642,-0.30%,0.011
52,,"Mar 18, 2010",3.682,3.682,3.682,3.682,1.10%,-0.04
53,,"Mar 19, 2010",3.693,3.693,3.693,3.693,0.30%,-0.011
54,,"Mar 22, 2010",3.661,3.661,3.661,3.661,-0.87%,0.032
55,,"Mar 23, 2010",3.687,3.687,3.687,3.687,0.71%,-0.026
56,,"Mar 24, 2010",3.854,3.854,3.854,3.854,4.53%,-0.166999999999999
57,,"Mar 25, 2010",3.881,3.881,3.881,3.881,0.70%,-0.027000000000001
58,,"Mar 26, 2010",3.851,3.851,3.851,3.851,-0.77%,0.03
59,,"Mar 29, 2010",3.866,3.866,3.866,3.866,0.39%,-0.015
60,,"Mar 30, 2010",3.858,3.858,3.858,3.858,-0.21%,0.008
