,date,symbol,open,close,low,high,volume
396,2010-01-04,EMR,43.150002,43.349998,42.73,43.400002,3781000.0
864,2010-01-05,EMR,43.380001,43.419998,43.07,43.43,2707500.0
1332,2010-01-06,EMR,43.25,43.810001,43.16,43.830002,4314700.0
1800,2010-01-07,EMR,43.599998,43.810001,43.290001000000004,43.84,3085700.0
2268,2010-01-08,EMR,43.73,44.060001,43.419998,44.09,3477500.0
2736,2010-01-11,EMR,44.23,44.73,44.009997999999996,44.889998999999996,3356800.0
3204,2010-01-12,EMR,44.450001,44.490002000000004,44.169998,44.759997999999996,4337000.0
3672,2010-01-13,EMR,44.639998999999996,44.52,44.360001000000004,44.689999,3564000.0
4140,2010-01-14,EMR,44.52,44.939999,44.209998999999996,45.0,5364100.0
4608,2010-01-15,EMR,44.799999,44.32,44.139998999999996,45.549999,4524600.0
5076,2010-01-19,EMR,44.27,44.73,44.099998,44.740002000000004,3531200.0
5544,2010-01-20,EMR,44.380001,44.240002000000004,43.720001,44.439999,3225500.0
6012,2010-01-21,EMR,44.130001,43.110001000000004,43.029999,44.290001000000004,4886300.0
6480,2010-01-22,EMR,43.049999,42.080002,42.060001,43.419998,4855300.0
6948,2010-01-25,EMR,42.709998999999996,42.509997999999996,42.34,42.869999,3132300.0
7416,2010-01-26,EMR,42.349998,42.169998,42.060001,42.77,3828700.0
7884,2010-01-27,EMR,42.150002,42.060001,41.450001,42.27,5676500.0
8352,2010-01-28,EMR,42.209998999999996,41.669998,41.220001,42.299999,3799700.0
8820,2010-01-29,EMR,41.830002,41.540001000000004,41.450001,42.459998999999996,4657700.0
9288,2010-02-01,EMR,41.810001,42.48,41.790001000000004,42.560001,4718300.0
9756,2010-02-02,EMR,45.279999,46.77,42.68,47.119999,15023200.0
10224,2010-02-03,EMR,46.25,46.560001,46.169998,47.009997999999996,6380900.0
10692,2010-02-04,EMR,46.16,45.27,45.0,46.279999,7859700.0
11160,2010-02-05,EMR,45.099998,45.150002,44.360001000000004,45.650002,7978100.0
11628,2010-02-08,EMR,45.07,44.470001,44.43,45.25,3976600.0
12096,2010-02-09,EMR,44.900002,45.810001,44.619999,46.040001000000004,7029900.0
12564,2010-02-10,EMR,45.84,45.470001,45.060001,46.0,5371600.0
13032,2010-02-11,EMR,45.439999,46.529999,45.200001,46.619999,5839700.0
13500,2010-02-12,EMR,46.060001,46.209998999999996,45.59,46.349998,5373600.0
13968,2010-02-16,EMR,46.59,46.950001,46.389998999999996,46.98,4616500.0
14436,2010-02-17,EMR,46.990002000000004,47.169998,46.66,47.209998999999996,4443400.0
14904,2010-02-18,EMR,47.060001,47.73,47.02,47.779999,4173200.0
15372,2010-02-19,EMR,47.509997999999996,48.080002,47.389998999999996,48.139998999999996,5662300.0
15840,2010-02-22,EMR,48.189999,48.209998999999996,47.709998999999996,48.389998999999996,4409600.0
16308,2010-02-23,EMR,48.060001,47.119999,47.0,48.200001,5196900.0
16776,2010-02-24,EMR,47.16,48.16,46.950001,48.209998999999996,5654500.0
17244,2010-02-25,EMR,47.490002000000004,47.700001,46.689999,47.799999,5332700.0
17712,2010-02-26,EMR,47.77,47.34,47.049999,48.029999,5693700.0
18180,2010-03-01,EMR,47.580002,47.369999,47.189999,47.580002,4928500.0
18648,2010-03-02,EMR,47.59,47.630001,47.450001,47.900002,3286600.0
19116,2010-03-03,EMR,47.830002,47.91,47.779999,48.32,3589100.0
19584,2010-03-04,EMR,47.959998999999996,47.950001,47.669998,48.290001000000004,3283800.0
20052,2010-03-05,EMR,48.279999,48.490002000000004,48.139998999999996,48.889998999999996,3748300.0
20520,2010-03-08,EMR,48.560001,47.98,47.950001,48.59,4086200.0
20988,2010-03-09,EMR,47.880001,47.990002000000004,47.66,48.189999,2992100.0
21456,2010-03-10,EMR,48.119999,47.990002000000004,47.650002,48.279999,3558800.0
21924,2010-03-11,EMR,47.799999,47.950001,47.400002,47.950001,3500800.0
22392,2010-03-12,EMR,48.150002,48.09,47.619999,48.18,2360500.0
22860,2010-03-15,EMR,47.950001,48.349998,47.880001,48.349998,3114300.0
23328,2010-03-16,EMR,48.439999,48.689999,48.169998,48.77,2714200.0
