,date,symbol,open,close,low,high,volume
401,2010-01-04,EQT,44.490002000000004,44.790001000000004,44.490002000000004,45.25,774200.0
869,2010-01-05,EQT,44.869999,45.099998,44.619999,45.119999,762300.0
1337,2010-01-06,EQT,45.0,45.279999,44.919998,45.5,505100.0
1805,2010-01-07,EQT,45.119999,44.669998,44.48,45.130001,706500.0
2273,2010-01-08,EQT,44.48,44.290001000000004,44.07,44.669998,715400.0
2741,2010-01-11,EQT,44.529999,44.25,44.09,45.130001,797200.0
3209,2010-01-12,EQT,44.040001000000004,43.669998,43.419998,44.040001000000004,525400.0
3677,2010-01-13,EQT,43.869999,43.990002000000004,43.23,44.02,481300.0
4145,2010-01-14,EQT,43.91,44.400002,43.66,44.470001,563500.0
4613,2010-01-15,EQT,44.220001,43.66,43.200001,44.330002,806800.0
5081,2010-01-19,EQT,43.57,44.299999,43.560001,44.310001,724100.0
5549,2010-01-20,EQT,43.860001000000004,43.700001,43.419998,43.93,902700.0
6017,2010-01-21,EQT,43.639998999999996,43.27,43.060001,44.23,953700.0
6485,2010-01-22,EQT,42.939999,42.16,42.119999,43.080002,748500.0
6953,2010-01-25,EQT,42.540001000000004,42.889998999999996,42.299999,43.18,1094000.0
7421,2010-01-26,EQT,42.639998999999996,42.700001,42.389998999999996,43.400002,819600.0
7889,2010-01-27,EQT,42.709998999999996,42.869999,42.0,42.950001,1393600.0
8357,2010-01-28,EQT,45.779999,44.380001,43.459998999999996,45.779999,3461300.0
8825,2010-01-29,EQT,44.779999,44.02,43.509997999999996,44.779999,2174000.0
9293,2010-02-01,EQT,44.48,44.810001,44.450001,45.130001,1251500.0
9761,2010-02-02,EQT,45.619999,46.200001,44.700001,46.299999,1582000.0
10229,2010-02-03,EQT,46.029999,45.91,45.790001000000004,46.310001,923400.0
10697,2010-02-04,EQT,45.41,43.240002000000004,43.200001,45.41,2361000.0
11165,2010-02-05,EQT,43.16,42.889998999999996,41.93,43.330002,1504300.0
11633,2010-02-08,EQT,42.959998999999996,42.369999,42.349998,43.169998,854500.0
12101,2010-02-09,EQT,43.029999,43.02,42.529999,43.450001,766900.0
12569,2010-02-10,EQT,42.93,42.41,41.790001000000004,42.93,790500.0
13037,2010-02-11,EQT,42.259997999999996,42.810001,41.810001,42.82,912100.0
13505,2010-02-12,EQT,42.310001,43.0,42.060001,43.049999,875200.0
13973,2010-02-16,EQT,43.59,44.240002000000004,43.400002,44.48,1358900.0
14441,2010-02-17,EQT,44.310001,44.23,44.169998,44.560001,2147800.0
14909,2010-02-18,EQT,44.099998,44.450001,43.939999,44.549999,691300.0
15377,2010-02-19,EQT,44.220001,45.119999,44.16,45.220001,974300.0
15845,2010-02-22,EQT,45.419998,44.470001,44.220001,45.540001000000004,1056400.0
16313,2010-02-23,EQT,44.400002,43.669998,43.630001,44.599998,929400.0
16781,2010-02-24,EQT,43.869999,44.049999,43.610001000000004,44.27,913200.0
17249,2010-02-25,EQT,43.529999,43.990002000000004,43.040001000000004,44.099998,931700.0
17717,2010-02-26,EQT,44.09,43.759997999999996,43.669998,44.240002000000004,764600.0
18185,2010-03-01,EQT,44.0,44.919998,44.0,44.950001,851000.0
18653,2010-03-02,EQT,45.32,45.75,45.25,45.970001,1485200.0
19121,2010-03-03,EQT,45.860001000000004,46.200001,45.860001000000004,46.279999,1038600.0
19589,2010-03-04,EQT,46.139998999999996,46.009997999999996,45.779999,46.48,1064800.0
20057,2010-03-05,EQT,46.360001000000004,47.330002,46.290001000000004,47.43,1246500.0
20525,2010-03-08,EQT,47.189999,47.099998,46.950001,47.369999,1137000.0
20993,2010-03-09,EQT,46.93,47.369999,46.779999,47.41,1162900.0
21461,2010-03-10,EQT,44.439999,44.68,44.299999,45.830002,4012400.0
21929,2010-03-11,EQT,44.0,43.82,43.639998999999996,44.259997999999996,10197600.0
22397,2010-03-12,EQT,44.07,43.900002,43.650002,44.23,3446300.0
22865,2010-03-15,EQT,43.889998999999996,43.5,42.619999,43.950001,2471700.0
23333,2010-03-16,EQT,43.59,43.700001,43.34,43.75,1700400.0
23801,2010-03-17,EQT,43.740002000000004,43.619999,43.450001,44.0,1448300.0
24269,2010-03-18,EQT,43.509997999999996,42.759997999999996,42.310001,43.709998999999996,3054500.0
24737,2010-03-19,EQT,41.720001,41.720001,41.240002000000004,42.950001,3089700.0
25205,2010-03-22,EQT,41.450001,41.330002,40.860001000000004,41.459998999999996,2171700.0
25673,2010-03-23,EQT,41.380001,41.73,41.040001000000004,41.849998,1372200.0
26141,2010-03-24,EQT,41.59,41.509997999999996,41.279999,41.759997999999996,1276900.0
26609,2010-03-25,EQT,41.68,40.810001,40.75,41.900002,2423900.0
27077,2010-03-26,EQT,40.990002000000004,40.290001000000004,39.779999,40.990002000000004,2772400.0
27545,2010-03-29,EQT,40.470001,41.209998999999996,40.290001000000004,41.259997999999996,1626400.0
28013,2010-03-30,EQT,41.139998999999996,41.110001000000004,40.810001,41.25,1359100.0
28481,2010-03-31,EQT,41.029999,41.0,40.77,41.400002,3481700.0
28949,2010-04-01,EQT,41.360001000000004,42.080002,41.240002000000004,42.18,2014500.0
29417,2010-04-05,EQT,42.099998,43.279999,42.099998,43.279999,1894600.0
29885,2010-04-06,EQT,43.009997999999996,43.389998999999996,42.919998,43.650002,1957700.0
30353,2010-04-07,EQT,43.220001,43.41,42.939999,43.540001000000004,2549300.0
30821,2010-04-08,EQT,43.220001,43.439999,42.77,43.529999,1156000.0
31289,2010-04-09,EQT,44.849998,44.810001,43.91,44.98,2368100.0
31757,2010-04-12,EQT,44.700001,44.91,44.700001,45.099998,2043100.0
32225,2010-04-13,EQT,44.830002,44.68,44.419998,45.060001,1832000.0
32693,2010-04-14,EQT,44.68,44.869999,44.639998999999996,45.080002,1343300.0
33161,2010-04-15,EQT,44.709998999999996,44.66,44.599998,44.990002000000004,1177900.0
33629,2010-04-16,EQT,44.540001000000004,43.759997999999996,43.380001,44.619999,1394600.0
34097,2010-04-19,EQT,43.490002000000004,43.68,43.009997999999996,43.689999,809300.0
34565,2010-04-20,EQT,43.830002,43.98,43.630001,44.07,975500.0
35033,2010-04-21,EQT,43.93,43.66,43.32,43.959998999999996,782400.0
35501,2010-04-22,EQT,43.59,44.360001000000004,43.209998999999996,44.59,1458900.0
35969,2010-04-23,EQT,44.259997999999996,45.599998,44.049999,45.669998,1970500.0
36437,2010-04-26,EQT,45.599998,45.619999,45.5,46.060001,1756100.0
36905,2010-04-27,EQT,45.279999,43.779999,43.610001000000004,45.330002,1260100.0
37373,2010-04-28,EQT,45.720001,44.459998999999996,43.599998,45.720001,1546900.0
37842,2010-04-29,EQT,44.860001000000004,43.790001000000004,43.27,44.98,1278700.0
38311,2010-04-30,EQT,43.880001,43.490002000000004,43.400002,44.150002,1087300.0
38780,2010-05-03,EQT,43.849998,44.5,43.57,44.709998999999996,1155700.0
39249,2010-05-04,EQT,43.84,43.889998999999996,43.450001,44.25,1036700.0
39718,2010-05-05,EQT,43.119999,42.32,42.259997999999996,43.439999,1428600.0
40187,2010-05-06,EQT,42.099998,40.669998,38.279999,42.290001000000004,1921700.0
40656,2010-05-07,EQT,40.619999,39.779999,39.279999,40.959998999999996,1549400.0
41125,2010-05-10,EQT,41.0,42.119999,40.990002000000004,42.220001,2223500.0
41594,2010-05-11,EQT,41.689999,42.130001,41.68,43.130001,2272600.0
42063,2010-05-12,EQT,42.200001,42.91,42.200001,43.200001,1104300.0
42532,2010-05-13,EQT,42.759997999999996,42.650002,42.52,43.310001,766400.0
43001,2010-05-14,EQT,42.439999,42.279999,41.540001000000004,42.439999,1545500.0
43470,2010-05-17,EQT,42.490002000000004,41.189999,40.720001,42.669998,1607900.0
43939,2010-05-18,EQT,41.470001,40.509997999999996,40.34,42.080002,1956600.0
44408,2010-05-19,EQT,40.110001000000004,39.57,39.009997999999996,40.5,1940900.0
44877,2010-05-20,EQT,38.599998,37.700001,37.650002,38.599998,1739100.0
45346,2010-05-21,EQT,37.0,38.349998,36.630001,38.380001,1833700.0
45815,2010-05-24,EQT,38.220001,37.18,37.099998,38.450001,1179100.0
46284,2010-05-25,EQT,36.119999,36.84,35.799999,36.900002,1931400.0
46753,2010-05-26,EQT,37.41,37.380001,37.18,38.040001000000004,2014000.0
47222,2010-05-27,EQT,38.259997999999996,38.889998999999996,37.619999,38.959998999999996,1638600.0
47691,2010-05-28,EQT,39.189999,39.189999,38.68,39.59,2116800.0
48160,2010-06-01,EQT,38.810001,37.830002,37.790001000000004,39.32,1563400.0
48629,2010-06-02,EQT,38.02,39.549999,37.709998999999996,39.549999,1977600.0
49098,2010-06-03,EQT,39.48,40.779999,39.419998,40.869999,1804800.0
49567,2010-06-04,EQT,39.93,38.099998,37.889998999999996,40.68,4531600.0
50036,2010-06-07,EQT,38.459998999999996,38.049999,37.990002000000004,39.049999,1739900.0
50505,2010-06-08,EQT,38.060001,38.639998999999996,37.650002,38.759997999999996,1628900.0
50974,2010-06-09,EQT,38.860001000000004,38.330002,38.189999,39.450001,1434600.0
51443,2010-06-10,EQT,39.450001,40.43,39.049999,40.48,1257000.0
51912,2010-06-11,EQT,39.709998999999996,40.720001,39.610001000000004,40.740002000000004,1234200.0
52381,2010-06-14,EQT,41.139998999999996,40.799999,40.700001,41.709998999999996,1297900.0
52850,2010-06-15,EQT,40.93,41.419998,40.900002,41.509997999999996,1477500.0
53319,2010-06-16,EQT,41.049999,41.52,40.950001,41.849998,1095800.0
53788,2010-06-17,EQT,41.75,41.0,40.610001000000004,41.759997999999996,1467700.0
54257,2010-06-18,EQT,40.880001,40.970001,40.439999,41.009997999999996,1653600.0
54726,2010-06-21,EQT,41.43,40.419998,40.130001,41.490002000000004,1226300.0
55195,2010-06-22,EQT,40.41,38.75,38.52,40.509997999999996,2355100.0
55664,2010-06-23,EQT,38.66,38.299999,37.880001,38.68,1395900.0
56133,2010-06-24,EQT,37.950001,37.849998,37.59,38.310001,1172700.0
56602,2010-06-25,EQT,37.919998,38.07,37.5,38.16,1179400.0
57071,2010-06-28,EQT,38.169998,37.779999,37.5,38.200001,688400.0
57540,2010-06-29,EQT,37.290001000000004,36.25,35.959998999999996,37.290001000000004,1762800.0
