,date,symbol,open,close,low,high,volume
413,2010-01-04,F,10.17,10.28,10.05,10.28,60855800.0
881,2010-01-05,F,10.45,10.96,10.4,11.24,215620200.0
1349,2010-01-06,F,11.21,11.37,11.13,11.46,200070600.0
1817,2010-01-07,F,11.46,11.66,11.32,11.69,130201700.0
2285,2010-01-08,F,11.67,11.69,11.46,11.74,130463000.0
2753,2010-01-11,F,11.9,12.11,11.78,12.14,170626200.0
3221,2010-01-12,F,11.98,11.87,11.72,12.03,162995900.0
3689,2010-01-13,F,11.91,11.68,11.47,11.93,154527100.0
4157,2010-01-14,F,11.65,11.76,11.51,11.86,116531200.0
4625,2010-01-15,F,11.74,11.6,11.55,11.76,96149800.0
5093,2010-01-19,F,11.51,11.75,11.46,11.83,65934000.0
5561,2010-01-20,F,11.68,11.51,11.5,11.69,71649500.0
6029,2010-01-21,F,11.53,11.18,11.01,11.62,121451400.0
6497,2010-01-22,F,11.01,10.52,10.41,11.12,161530100.0
6965,2010-01-25,F,10.73,11.03,10.61,11.1,121621500.0
7433,2010-01-26,F,11.17,11.19,11.07,11.46,108250500.0
7901,2010-01-27,F,11.57,11.55,11.22,11.62,105091600.0
8369,2010-01-28,F,11.9,11.41,11.27,11.95,203320000.0
8837,2010-01-29,F,11.6,10.84,10.7,11.61,159741200.0
9305,2010-02-01,F,11.14,11.12,10.93,11.18,82748200.0
9773,2010-02-02,F,11.26,11.39,11.19,11.52,119714900.0
10241,2010-02-03,F,11.49,11.64,11.42,11.66,90125500.0
10709,2010-02-04,F,11.49,11.06,11.0,11.53,129792200.0
11177,2010-02-05,F,10.97,10.91,10.49,11.11,181535200.0
11645,2010-02-08,F,11.09,10.97,10.88,11.32,92031400.0
12113,2010-02-09,F,11.18,11.15,11.02,11.22,83207100.0
12581,2010-02-10,F,11.12,10.94,10.9,11.14,73395600.0
13049,2010-02-11,F,11.0,11.18,10.88,11.19,65116200.0
13517,2010-02-12,F,10.92,11.12,10.85,11.18,69465400.0
13985,2010-02-16,F,11.21,11.32,11.11,11.38,62537500.0
14453,2010-02-17,F,11.43,11.49,11.35,11.52,65983200.0
14921,2010-02-18,F,11.41,11.38,11.29,11.48,53406800.0
15389,2010-02-19,F,11.35,11.29,11.26,11.4,46990000.0
15857,2010-02-22,F,11.36,11.21,11.18,11.38,41993100.0
16325,2010-02-23,F,11.18,11.6,11.15,11.63,114688400.0
16793,2010-02-24,F,11.72,11.73,11.65,11.88,84200800.0
17261,2010-02-25,F,11.53,11.78,11.4,11.83,83114500.0
17729,2010-02-26,F,11.83,11.74,11.61,11.85,72368400.0
18197,2010-03-01,F,11.81,12.41,11.75,12.42,142605500.0
18665,2010-03-02,F,12.62,12.22,12.18,12.68,193706600.0
19133,2010-03-03,F,12.46,12.69,12.35,12.83,157004600.0
19601,2010-03-04,F,12.78,12.79,12.52,12.8,89836800.0
20069,2010-03-05,F,12.92,13.0,12.83,13.04,106920600.0
20537,2010-03-08,F,12.94,12.93,12.79,12.96,78903200.0
21005,2010-03-09,F,12.83,12.8,12.73,13.03,83934300.0
21473,2010-03-10,F,12.88,12.82,12.8,12.95,56850600.0
