,date,symbol,open,close,low,high,volume
414,2010-01-04,FAST,21.01,21.0149995,20.8449995,21.1849995,3432000.0
882,2010-01-05,FAST,20.959999,21.450001,20.875,21.4750005,2898800.0
1350,2010-01-06,FAST,22.0949995,22.865,22.004998999999998,23.24,10329400.0
1818,2010-01-07,FAST,22.665001,23.254998999999998,22.34,23.4400005,6245200.0
2286,2010-01-08,FAST,23.455,23.49,23.0300005,23.58,3316200.0
2754,2010-01-11,FAST,23.479999499999998,23.0300005,22.875,23.49,3985000.0
3222,2010-01-12,FAST,22.875,23.0249995,22.7749995,23.1399995,2527400.0
3690,2010-01-13,FAST,23.1000005,23.3449995,22.9400005,23.465,2661000.0
4158,2010-01-14,FAST,23.2199995,23.1499995,23.0149995,23.6399995,2669600.0
4626,2010-01-15,FAST,22.75,22.930000500000002,22.709999,23.3999995,3298400.0
5094,2010-01-19,FAST,21.7649995,22.41,21.674999,23.24,9384400.0
5562,2010-01-20,FAST,22.2749995,22.129998999999998,21.555000500000002,22.319999499999998,3911400.0
6030,2010-01-21,FAST,22.135,21.754998999999998,21.729999499999998,22.33,3154000.0
6498,2010-01-22,FAST,21.799999,21.2749995,21.174999,21.9750005,2386400.0
6966,2010-01-25,FAST,21.3999995,21.319999499999998,21.0149995,21.42,2117400.0
7434,2010-01-26,FAST,21.2649995,21.075001,21.0300005,21.3150005,2281600.0
7902,2010-01-27,FAST,20.955,21.125,20.875,21.180000500000002,2178800.0
8370,2010-01-28,FAST,21.2250005,20.745001000000002,20.504998999999998,21.2250005,2983400.0
8838,2010-01-29,FAST,20.8099995,20.74,20.7250005,21.254998999999998,2861600.0
9306,2010-02-01,FAST,20.795,20.7649995,20.694999499999998,21.01,2843800.0
9774,2010-02-02,FAST,20.865,21.4750005,20.819999499999998,21.5249995,3975000.0
10242,2010-02-03,FAST,21.379998999999998,21.51,21.334999,21.604999499999998,2386600.0
10710,2010-02-04,FAST,21.3899995,21.069999499999998,21.0149995,21.444999499999998,3118400.0
11178,2010-02-05,FAST,21.165001,20.995001000000002,20.67,21.34,3869400.0
11646,2010-02-08,FAST,20.9850005,20.604999499999998,20.5650005,21.0,3148000.0
12114,2010-02-09,FAST,20.8899995,21.17,20.7800005,21.299999,2726600.0
12582,2010-02-10,FAST,21.0300005,20.7649995,20.6849995,21.299999,2251400.0
13050,2010-02-11,FAST,20.6499995,21.069999499999998,20.4850005,21.084999,1763000.0
13518,2010-02-12,FAST,20.875,20.915001,20.7199995,21.0300005,2131200.0
13986,2010-02-16,FAST,21.1000005,21.49,21.004998999999998,21.504998999999998,2159600.0
14454,2010-02-17,FAST,21.5300005,21.5599995,21.295,21.67,1616600.0
14922,2010-02-18,FAST,21.604999499999998,21.819999499999998,21.569999499999998,21.83,1569800.0
15390,2010-02-19,FAST,21.6849995,21.9349995,21.67,22.040001,1718600.0
15858,2010-02-22,FAST,22.0,22.0300005,21.885,22.1399995,1685600.0
16326,2010-02-23,FAST,22.040001,21.965,21.8899995,22.174999,2279200.0
16794,2010-02-24,FAST,22.115,22.09,21.9349995,22.215,1336600.0
17262,2010-02-25,FAST,21.6900005,22.1849995,21.6550005,22.215,2180800.0
17730,2010-02-26,FAST,22.180000500000002,22.1849995,22.004998999999998,22.319999499999998,2630800.0
18198,2010-03-01,FAST,22.200001,22.459999,22.0949995,22.5,3258800.0
18666,2010-03-02,FAST,22.5,22.41,22.319999499999998,22.620001000000002,2328600.0
19134,2010-03-03,FAST,22.520000500000002,22.51,22.4750005,22.7649995,2320600.0
19602,2010-03-04,FAST,22.620001000000002,22.545,22.4349995,22.709999,2277200.0
20070,2010-03-05,FAST,22.584999,22.8500005,22.5650005,22.8899995,2802600.0
20538,2010-03-08,FAST,22.790001,22.7250005,22.6000005,22.9050005,1791200.0
21006,2010-03-09,FAST,22.729999499999998,22.645000500000002,22.540001,22.825001,2189400.0
21474,2010-03-10,FAST,22.584999,22.635,22.549999,22.790001,1824200.0
21942,2010-03-11,FAST,22.5249995,22.6100005,22.354999499999998,22.615,1928200.0
22410,2010-03-12,FAST,22.6550005,22.635,22.430000500000002,22.680000500000002,1502800.0
22878,2010-03-15,FAST,22.6550005,22.9400005,22.569999499999998,22.9699995,1958400.0
23346,2010-03-16,FAST,22.9050005,23.174999,22.795,23.1900005,2184400.0
23814,2010-03-17,FAST,23.2250005,23.7199995,23.125,23.7350005,2383200.0
24282,2010-03-18,FAST,23.459999,23.67,23.459999,23.825001,1714400.0
24750,2010-03-19,FAST,23.8999995,23.49,23.285,23.8999995,4675000.0
25218,2010-03-22,FAST,23.49,24.1900005,23.4850005,24.430000500000002,3708200.0
25686,2010-03-23,FAST,24.25,24.5,24.0650005,24.5249995,2204400.0
26154,2010-03-24,FAST,24.4349995,24.17,24.16,24.49,2370600.0
26622,2010-03-25,FAST,24.3999995,24.0149995,23.979999499999998,24.455,2417600.0
27090,2010-03-26,FAST,24.035,24.1399995,24.0249995,24.354999499999998,1501600.0
27558,2010-03-29,FAST,24.25,24.215,24.165001,24.395000500000002,1969000.0
28026,2010-03-30,FAST,24.3449995,24.25,24.16,24.575001,1522200.0
28494,2010-03-31,FAST,24.200001,23.995001000000002,23.965,24.2749995,1827000.0
28962,2010-04-01,FAST,24.0949995,24.290001,24.045,24.3899995,1554800.0
29430,2010-04-05,FAST,24.4400005,24.8500005,24.354999499999998,24.885,1702600.0
29898,2010-04-06,FAST,24.819999499999998,25.040001,24.790001,25.055000500000002,2398200.0
30366,2010-04-07,FAST,24.955,25.8600005,24.955,26.319999499999998,6840200.0
30834,2010-04-08,FAST,25.74,25.4050005,23.25,25.879998999999998,3805200.0
31302,2010-04-09,FAST,25.545,25.575001,25.354999499999998,25.584999,1918200.0
31770,2010-04-12,FAST,25.604999499999998,25.950001,25.5,26.0249995,3847600.0
32238,2010-04-13,FAST,27.1000005,26.5,26.3150005,27.4750005,6513800.0
32706,2010-04-14,FAST,26.495001000000002,26.715,26.24,26.715,2960400.0
33174,2010-04-15,FAST,26.6550005,27.5,26.5650005,27.584999,5776000.0
33642,2010-04-16,FAST,27.42,27.16,27.0,27.6100005,3506800.0
34110,2010-04-19,FAST,27.104999499999998,27.4349995,26.825001,27.459999,2678400.0
34578,2010-04-20,FAST,27.455,27.129998999999998,26.924999,27.5,4246800.0
35046,2010-04-21,FAST,27.1000005,27.1900005,26.705,27.25,3060400.0
35514,2010-04-22,FAST,26.9850005,27.854999499999998,26.9850005,27.9349995,3558800.0
35982,2010-04-23,FAST,27.8449995,28.1000005,27.604999499999998,28.229999499999998,2015600.0
36450,2010-04-26,FAST,28.09,28.049999,27.9400005,28.325001,1978000.0
36918,2010-04-27,FAST,27.979999499999998,27.1399995,27.0599995,28.104999499999998,2951000.0
37386,2010-04-28,FAST,27.354999499999998,27.2749995,27.08,27.5650005,2147000.0
37855,2010-04-29,FAST,27.645000500000002,28.020000500000002,27.3150005,28.09,2304400.0
38324,2010-04-30,FAST,28.1000005,27.3449995,27.209999,28.245001000000002,2223400.0
38793,2010-05-03,FAST,27.209999,28.24,27.209999,28.305000500000002,2702400.0
39262,2010-05-04,FAST,27.7800005,27.045,26.8899995,27.854999499999998,3154200.0
39731,2010-05-05,FAST,26.955,26.6550005,26.545,27.1499995,3318400.0
40200,2010-05-06,FAST,26.549999,25.674999,24.215,26.83,4023000.0
40669,2010-05-07,FAST,25.520000500000002,25.1100005,24.6849995,25.795,3411800.0
41138,2010-05-10,FAST,25.7649995,26.74,25.7649995,26.825001,2470000.0
41607,2010-05-11,FAST,26.4349995,27.125,26.424999,27.295,3461600.0
42076,2010-05-12,FAST,27.194999499999998,27.7250005,27.0,27.7749995,3242200.0
42545,2010-05-13,FAST,27.465,27.49,27.180000500000002,27.854999499999998,2998800.0
43014,2010-05-14,FAST,27.33,26.83,26.520000500000002,27.430000500000002,1899200.0
43483,2010-05-17,FAST,26.92,26.825001,26.2350005,27.1499995,1875800.0
43952,2010-05-18,FAST,26.995001000000002,26.285,26.174999,27.2350005,1910400.0
44421,2010-05-19,FAST,26.1399995,26.129998999999998,25.6499995,26.694999499999998,1976200.0
44890,2010-05-20,FAST,25.930000500000002,24.604999499999998,24.545,26.055000500000002,5557200.0
45359,2010-05-21,FAST,24.6900005,25.174999,24.194999499999998,25.3500005,3363800.0
45828,2010-05-24,FAST,24.819999499999998,24.785,24.7199995,25.26,1751200.0
46297,2010-05-25,FAST,24.215,24.825001,24.020000500000002,24.834999,2278000.0
46766,2010-05-26,FAST,24.459999,24.709999,24.459999,25.4050005,1796200.0
47235,2010-05-27,FAST,25.209999,25.680000500000002,25.08,25.715,1553200.0
47704,2010-05-28,FAST,25.6000005,25.2199995,24.854999499999998,25.825001,2036000.0
48173,2010-06-01,FAST,25.104999499999998,24.834999,24.834999,25.575001,1978400.0
48642,2010-06-02,FAST,24.8899995,25.895000500000002,24.665001,25.895000500000002,3212000.0
49111,2010-06-03,FAST,26.0949995,25.9850005,25.604999499999998,26.4349995,2982800.0
49580,2010-06-04,FAST,25.295,24.705,24.615,25.629998999999998,2941000.0
50049,2010-06-07,FAST,24.995001000000002,24.165001,24.1399995,24.995001000000002,1709800.0
50518,2010-06-08,FAST,24.33,24.5149995,23.875,24.569999499999998,2287800.0
50987,2010-06-09,FAST,24.615,24.58,24.42,25.26,1962600.0
51456,2010-06-10,FAST,24.99,25.75,24.8099995,25.7649995,1715800.0
51925,2010-06-11,FAST,25.285,25.854999499999998,25.285,25.9050005,1537600.0
52394,2010-06-14,FAST,26.200001,26.0,25.924999,26.535,1741200.0
52863,2010-06-15,FAST,26.2800005,26.729999499999998,25.930000500000002,26.745001000000002,1630400.0
53332,2010-06-16,FAST,26.6100005,26.84,26.495001000000002,26.870001000000002,1631600.0
53801,2010-06-17,FAST,26.825001,27.1000005,26.535,27.129998999999998,2695400.0
54270,2010-06-18,FAST,27.145000500000002,27.334999,26.950001,27.49,3060400.0
54739,2010-06-21,FAST,27.5650005,27.3600005,27.129998999999998,27.924999,2790200.0
55208,2010-06-22,FAST,27.430000500000002,26.41,26.319999499999998,27.555000500000002,2657400.0
55677,2010-06-23,FAST,26.3899995,26.6900005,26.165001,26.805000500000002,1597400.0
56146,2010-06-24,FAST,26.535,26.01,25.930000500000002,26.66,1609200.0
56615,2010-06-25,FAST,26.0599995,26.125,25.729999499999998,26.245001000000002,2804200.0
57084,2010-06-28,FAST,26.165001,26.09,25.854999499999998,26.430000500000002,1178400.0
57553,2010-06-29,FAST,25.51,25.245001000000002,25.0249995,25.74,2342600.0
58022,2010-06-30,FAST,25.0949995,25.0949995,25.045,25.754998999999998,2828400.0
58491,2010-07-01,FAST,25.174999,24.91,24.205,25.450001,2592600.0
58960,2010-07-02,FAST,24.99,24.6100005,24.415001,25.0,1772400.0
59429,2010-07-06,FAST,25.020000500000002,24.415001,24.1550005,25.200001,2210400.0
59898,2010-07-07,FAST,24.375,25.104999499999998,24.2649995,25.180000500000002,3676800.0
60367,2010-07-08,FAST,25.2749995,25.6000005,25.174999,25.6900005,3171000.0
60836,2010-07-09,FAST,25.6849995,26.035,25.4850005,26.09,2687800.0
61305,2010-07-12,FAST,26.0599995,26.3099995,25.924999,26.365,2861800.0
61774,2010-07-13,FAST,25.74,25.2199995,25.125,26.42,7806600.0
62243,2010-07-14,FAST,25.334999,25.3999995,24.8099995,25.504998999999998,3663000.0
62712,2010-07-15,FAST,25.4349995,24.8899995,24.67,25.4750005,4020800.0
63181,2010-07-16,FAST,24.8999995,23.83,23.770000500000002,24.8999995,4719200.0
63650,2010-07-19,FAST,23.92,23.8449995,23.680000500000002,24.145000500000002,2995000.0
64119,2010-07-20,FAST,23.6100005,24.125,23.5249995,24.174999,2451400.0
64588,2010-07-21,FAST,24.205,23.745001000000002,23.645000500000002,24.5249995,2650400.0
65057,2010-07-22,FAST,24.075001,24.4349995,24.075001,24.700001,2584600.0
65526,2010-07-23,FAST,24.375,24.680000500000002,24.194999499999998,24.7199995,2275800.0
65995,2010-07-26,FAST,24.645000500000002,24.9750005,24.4400005,24.9850005,1634800.0
66464,2010-07-27,FAST,25.0,24.5650005,24.3500005,25.0,1946800.0
66933,2010-07-28,FAST,24.5949995,24.4400005,24.2350005,24.694999499999998,1853400.0
67402,2010-07-29,FAST,24.5650005,24.4850005,24.0949995,24.6849995,2220400.0
67871,2010-07-30,FAST,24.180000500000002,24.540001,24.104999499999998,24.625,1701200.0
68340,2010-08-02,FAST,24.9400005,25.004998999999998,24.5599995,25.049999,2273600.0
68809,2010-08-03,FAST,24.959999,25.069999499999998,24.83,25.165001,2007800.0
69278,2010-08-04,FAST,25.2199995,25.555000500000002,25.194999499999998,25.6000005,2328200.0
69747,2010-08-05,FAST,25.455,25.6100005,25.200001,25.620001000000002,1012800.0
70216,2010-08-06,FAST,25.2749995,25.58,25.0,25.6100005,1907000.0
70685,2010-08-09,FAST,25.674999,25.6849995,25.455,25.785,1221600.0
71154,2010-08-10,FAST,25.5,25.33,24.955,25.66,1247200.0
71623,2010-08-11,FAST,24.770000500000002,24.2199995,24.174999,24.819999499999998,2336800.0
72092,2010-08-12,FAST,23.9050005,24.229999499999998,23.8999995,24.34,1276800.0
72561,2010-08-13,FAST,24.1100005,24.08,23.959999,24.2749995,1069000.0
73030,2010-08-16,FAST,24.0,24.0650005,23.75,24.24,1022800.0
73499,2010-08-17,FAST,24.4050005,24.965,24.295,25.1550005,2215600.0
73968,2010-08-18,FAST,24.6100005,24.819999499999998,24.375,24.9750005,1544400.0
74437,2010-08-19,FAST,24.604999499999998,23.91,23.7649995,24.74,2650600.0
74906,2010-08-20,FAST,23.8150005,24.004998999999998,23.4750005,24.040001,2490000.0
75375,2010-08-23,FAST,24.1900005,23.754998999999998,23.705,24.334999,2023000.0
75844,2010-08-24,FAST,23.5,23.135,22.879998999999998,23.5,3044800.0
76313,2010-08-25,FAST,22.91,22.950001,22.7250005,23.08,4116600.0
76782,2010-08-26,FAST,23.035,22.745001000000002,22.729999499999998,23.165001,3484800.0
77251,2010-08-27,FAST,22.854999499999998,22.979999499999998,22.3600005,23.0,3190600.0
77720,2010-08-30,FAST,22.8449995,22.545,22.545,23.0300005,1642600.0
78189,2010-08-31,FAST,22.5,22.635,22.319999499999998,22.879998999999998,3954400.0
78658,2010-09-01,FAST,23.115,23.59,22.854999499999998,23.680000500000002,2669400.0
79127,2010-09-02,FAST,23.5249995,24.4850005,23.5249995,24.535,3297400.0
79596,2010-09-03,FAST,24.8600005,24.680000500000002,24.24,24.955,2495200.0
80065,2010-09-07,FAST,24.430000500000002,24.3899995,24.334999,24.620001000000002,2060800.0
80534,2010-09-08,FAST,24.5,24.8500005,24.4750005,24.995001000000002,2515600.0
