,date,symbol,open,close,low,high,volume
416,2010-01-04,FDX,84.209999,83.449997,83.110001,85.0,3215100.0
884,2010-01-05,FDX,83.440002,84.540001,82.639999,84.589996,2493300.0
1352,2010-01-06,FDX,84.33000200000001,83.839996,83.610001,85.120003,2491000.0
1820,2010-01-07,FDX,83.849998,82.93,82.400002,83.849998,3093200.0
2288,2010-01-08,FDX,84.08000200000001,84.989998,82.949997,85.260002,4351200.0
2756,2010-01-11,FDX,85.589996,87.25,85.400002,88.290001,6131900.0
3224,2010-01-12,FDX,86.440002,86.58000200000001,85.599998,88.68,3345100.0
3692,2010-01-13,FDX,86.949997,85.82,85.150002,87.33000200000001,2855700.0
4160,2010-01-14,FDX,85.58000200000001,86.290001,85.089996,86.449997,2104300.0
4628,2010-01-15,FDX,86.339996,85.110001,84.93,86.800003,4369700.0
5096,2010-01-19,FDX,84.970001,85.900002,84.970001,86.260002,2289200.0
5564,2010-01-20,FDX,84.75,84.059998,83.08000200000001,84.800003,2793100.0
6032,2010-01-21,FDX,84.349998,81.599998,81.300003,84.480003,2865500.0
6500,2010-01-22,FDX,81.32,80.290001,80.190002,81.860001,2551800.0
6968,2010-01-25,FDX,81.220001,80.690002,79.150002,81.220001,1878500.0
7436,2010-01-26,FDX,80.459999,80.760002,79.510002,81.230003,2272300.0
7904,2010-01-27,FDX,80.75,80.41999799999999,78.610001,80.769997,3523900.0
8372,2010-01-28,FDX,80.980003,79.07,78.389999,80.980003,1974200.0
8840,2010-01-29,FDX,79.68,78.349998,78.300003,80.699997,3139500.0
9308,2010-02-01,FDX,78.809998,80.66999799999999,78.760002,80.730003,3056600.0
9776,2010-02-02,FDX,81.07,82.33000200000001,80.360001,82.550003,3217400.0
10244,2010-02-03,FDX,81.660004,82.120003,80.910004,82.849998,2593700.0
10712,2010-02-04,FDX,81.360001,78.849998,78.75,81.739998,3830100.0
11180,2010-02-05,FDX,78.849998,76.690002,75.16999799999999,79.25,5535300.0
11648,2010-02-08,FDX,76.82,76.690002,75.309998,77.769997,2966800.0
12116,2010-02-09,FDX,77.269997,79.220001,76.959999,79.720001,4694400.0
