,date,symbol,open,close,low,high,volume
418,2010-01-04,FFIV,53.349998,53.98,53.349998,54.470001,674900.0
886,2010-01-05,FFIV,53.279999,52.52,51.57,53.490002000000004,2143400.0
1354,2010-01-06,FFIV,52.200001,52.759997999999996,52.200001,53.32,1405000.0
1822,2010-01-07,FFIV,52.75,52.23,51.599998,53.049999,954700.0
2290,2010-01-08,FFIV,52.169998,52.959998999999996,51.880001,52.959998999999996,457600.0
2758,2010-01-11,FFIV,53.57,52.450001,52.189999,53.599998,514500.0
3226,2010-01-12,FFIV,52.139998999999996,51.02,50.400002,52.490002000000004,956200.0
3694,2010-01-13,FFIV,51.02,52.389998999999996,51.02,52.709998999999996,803900.0
4162,2010-01-14,FFIV,52.299999,52.139998999999996,51.66,53.0,586000.0
4630,2010-01-15,FFIV,51.93,51.389998999999996,51.130001,52.799999,684900.0
5098,2010-01-19,FFIV,51.48,52.330002,51.25,52.73,943900.0
5566,2010-01-20,FFIV,52.209998999999996,53.009997999999996,51.5,53.110001000000004,1578200.0
6034,2010-01-21,FFIV,55.380001,54.610001000000004,53.07,56.189999,3792600.0
6502,2010-01-22,FFIV,54.720001,52.279999,51.900002,54.939999,1734600.0
6970,2010-01-25,FFIV,52.630001,53.48,51.860001000000004,53.700001,1368900.0
7438,2010-01-26,FFIV,53.259997999999996,52.389998999999996,52.27,53.59,1462200.0
7906,2010-01-27,FFIV,52.259997999999996,51.630001,51.099998,52.650002,1406700.0
8374,2010-01-28,FFIV,51.52,50.720001,49.639998999999996,51.73,2151800.0
8842,2010-01-29,FFIV,51.0,49.43,49.27,51.490002000000004,1532500.0
9310,2010-02-01,FFIV,49.529999,50.389998999999996,49.330002,50.41,1063000.0
9778,2010-02-02,FFIV,48.41,50.48,47.84,50.82,1752100.0
10246,2010-02-03,FFIV,50.25,50.459998999999996,49.77,51.470001,1419700.0
10714,2010-02-04,FFIV,49.93,48.360001000000004,48.310001,50.220001,1235800.0
11182,2010-02-05,FFIV,48.939999,48.43,47.110001000000004,48.939999,1661500.0
11650,2010-02-08,FFIV,48.509997999999996,48.52,48.490002000000004,49.689999,1021800.0
12118,2010-02-09,FFIV,49.110001000000004,50.25,49.110001000000004,50.459998999999996,1492000.0
12586,2010-02-10,FFIV,49.98,49.959998999999996,49.630001,50.43,941000.0
13054,2010-02-11,FFIV,49.849998,53.709998999999996,49.759997999999996,53.799999,2496200.0
13522,2010-02-12,FFIV,53.25,53.349998,52.200001,53.970001,1535800.0
13990,2010-02-16,FFIV,53.68,53.57,52.869999,53.919998,707000.0
14458,2010-02-17,FFIV,53.43,53.77,52.950001,53.939999,1045900.0
14926,2010-02-18,FFIV,53.599998,54.68,53.09,54.790001000000004,964900.0
15394,2010-02-19,FFIV,54.540001000000004,54.939999,54.369999,55.57,1079300.0
15862,2010-02-22,FFIV,55.34,54.900002,54.619999,55.5,742400.0
16330,2010-02-23,FFIV,54.439999,54.330002,53.509997999999996,54.889998999999996,627400.0
16798,2010-02-24,FFIV,54.380001,55.57,53.98,56.16,1087000.0
17266,2010-02-25,FFIV,54.810001,55.369999,54.119999,55.380001,874300.0
17734,2010-02-26,FFIV,55.369999,55.799999,55.0,55.84,995800.0
18202,2010-03-01,FFIV,56.110001000000004,58.25,56.0,58.48,2144300.0
18670,2010-03-02,FFIV,58.41,59.689999,58.290001000000004,60.23,2586300.0
19138,2010-03-03,FFIV,59.75,61.32,59.700001,61.93,2957700.0
19606,2010-03-04,FFIV,61.27,60.700001,60.16,61.799999,1243700.0
20074,2010-03-05,FFIV,61.169998,61.220001,60.990002000000004,61.66,1163100.0
20542,2010-03-08,FFIV,61.450001,60.880001,60.77,62.060001,1351900.0
21010,2010-03-09,FFIV,60.959998999999996,61.66,60.619999,62.450001,1411400.0
21478,2010-03-10,FFIV,62.439999,62.669998,61.560001,63.48,1501700.0
21946,2010-03-11,FFIV,62.950001,63.740002000000004,62.0,63.740002000000004,1432900.0
22414,2010-03-12,FFIV,63.990002000000004,63.099998,62.369999,64.0,1078800.0
22882,2010-03-15,FFIV,62.990002000000004,63.07,62.25,63.27,647300.0
23350,2010-03-16,FFIV,63.040001000000004,62.509997999999996,62.150002,63.169998,865100.0
23818,2010-03-17,FFIV,62.82,64.599998,62.549999,64.889999,1454500.0
24286,2010-03-18,FFIV,64.860001,64.309998,63.799999,65.099998,827300.0
24754,2010-03-19,FFIV,63.279999,61.75,60.860001000000004,63.290001000000004,2231500.0
25222,2010-03-22,FFIV,61.66,62.779999,61.029999,63.029999,825700.0
25690,2010-03-23,FFIV,62.880001,63.599998,62.139998999999996,63.68,901400.0
26158,2010-03-24,FFIV,63.5,63.990002000000004,63.0,64.260002,1113100.0
26626,2010-03-25,FFIV,64.510002,62.650002,62.650002,65.099998,1237600.0
27094,2010-03-26,FFIV,62.91,62.560001,61.98,63.720001,723500.0
27562,2010-03-29,FFIV,62.700001,62.619999,62.200001,63.049999,558100.0
28030,2010-03-30,FFIV,62.759997999999996,62.470001,61.889998999999996,63.290001000000004,666900.0
28498,2010-03-31,FFIV,62.189999,61.630001,61.509997999999996,62.889998999999996,740300.0
28966,2010-04-01,FFIV,61.689999,62.139998999999996,61.439999,63.450001,1021400.0
29434,2010-04-05,FFIV,62.700001,65.290001,62.700001,65.690002,1241700.0
29902,2010-04-06,FFIV,65.260002,65.120003,63.950001,65.400002,1145000.0
30370,2010-04-07,FFIV,65.290001,64.559998,63.959998999999996,65.529999,834600.0
30838,2010-04-08,FFIV,64.110001,63.919998,62.25,64.360001,1276600.0
31306,2010-04-09,FFIV,63.860001000000004,64.760002,63.48,64.91999799999999,764600.0
31774,2010-04-12,FFIV,64.93,63.990002000000004,63.68,65.16999799999999,977200.0
32242,2010-04-13,FFIV,64.07,65.209999,63.869999,65.449997,1593100.0
32710,2010-04-14,FFIV,65.309998,67.339996,65.309998,67.690002,1378600.0
33178,2010-04-15,FFIV,67.400002,67.129997,66.309998,67.769997,927600.0
33646,2010-04-16,FFIV,66.900002,66.25,65.379997,67.25,916600.0
34114,2010-04-19,FFIV,66.370003,65.760002,64.0,66.66999799999999,1249700.0
34582,2010-04-20,FFIV,66.010002,65.959999,65.510002,66.650002,1046700.0
35050,2010-04-21,FFIV,65.839996,66.959999,65.599998,67.279999,1736900.0
35518,2010-04-22,FFIV,65.16999799999999,71.790001,65.019997,71.800003,4294400.0
35986,2010-04-23,FFIV,71.66999799999999,71.279999,70.599998,72.599998,1719200.0
36454,2010-04-26,FFIV,71.300003,70.410004,70.260002,71.91999799999999,946300.0
36922,2010-04-27,FFIV,70.0,69.610001,68.470001,70.839996,1506700.0
37390,2010-04-28,FFIV,70.099998,69.57,68.480003,70.379997,741000.0
37859,2010-04-29,FFIV,70.360001,70.389999,69.290001,71.519997,1297800.0
