,date,symbol,open,close,low,high,volume
422,2010-01-04,FL,11.29,11.16,11.14,11.43,1873800.0
890,2010-01-05,FL,11.1,11.47,11.1,11.53,2914300.0
1358,2010-01-06,FL,11.53,11.91,11.41,11.97,4886500.0
1826,2010-01-07,FL,11.94,11.82,11.76,12.1,2090900.0
2294,2010-01-08,FL,11.82,12.25,11.65,12.29,4125400.0
2762,2010-01-11,FL,12.42,12.35,12.1,12.54,3797300.0
3230,2010-01-12,FL,12.26,12.39,12.23,12.55,2880200.0
3698,2010-01-13,FL,12.42,12.41,12.16,12.44,2501900.0
4166,2010-01-14,FL,12.37,12.43,12.31,12.55,2198000.0
4634,2010-01-15,FL,12.46,12.18,12.17,12.54,2434900.0
5102,2010-01-19,FL,12.21,11.94,11.9,12.24,2786000.0
5570,2010-01-20,FL,11.85,11.8,11.75,12.0,1726500.0
6038,2010-01-21,FL,11.79,11.9,11.71,12.01,4224500.0
6506,2010-01-22,FL,11.84,11.75,11.7,12.05,3196800.0
6974,2010-01-25,FL,11.91,11.82,11.78,12.05,2552900.0
7442,2010-01-26,FL,11.69,11.73,11.69,11.97,1359500.0
7910,2010-01-27,FL,11.75,11.74,11.51,11.88,2700700.0
8378,2010-01-28,FL,11.74,11.49,11.41,11.8,2469100.0
8846,2010-01-29,FL,11.51,11.29,11.28,11.73,1814700.0
9314,2010-02-01,FL,11.36,11.69,11.3,11.71,2405800.0
9782,2010-02-02,FL,11.74,11.94,11.7,11.97,1864500.0
10250,2010-02-03,FL,11.91,11.96,11.7,12.02,3140900.0
10718,2010-02-04,FL,11.78,11.65,11.64,12.01,3124500.0
11186,2010-02-05,FL,11.68,11.61,11.34,11.73,3173000.0
11654,2010-02-08,FL,11.64,11.64,11.51,11.78,1751500.0
12122,2010-02-09,FL,11.83,11.67,11.61,11.86,2767100.0
12590,2010-02-10,FL,11.62,11.61,11.5,11.72,1147200.0
13058,2010-02-11,FL,11.61,11.82,11.51,11.82,1016900.0
13526,2010-02-12,FL,11.67,11.74,11.59,11.76,1499200.0
13994,2010-02-16,FL,11.8,12.06,11.77,12.06,1022400.0
14462,2010-02-17,FL,12.01,12.52,12.01,12.7,3028000.0
14930,2010-02-18,FL,12.54,12.73,12.52,12.82,2306000.0
15398,2010-02-19,FL,12.75,12.82,12.67,12.97,1923600.0
15866,2010-02-22,FL,12.85,13.04,12.84,13.13,2167800.0
16334,2010-02-23,FL,13.04,13.05,12.72,13.17,2417900.0
16802,2010-02-24,FL,13.05,12.88,12.5,13.05,4131400.0
17270,2010-02-25,FL,12.72,12.77,12.59,12.81,3469000.0
17738,2010-02-26,FL,12.8,12.97,12.75,13.05,2905500.0
18206,2010-03-01,FL,13.03,13.45,12.83,13.46,2818000.0
18674,2010-03-02,FL,13.49,13.21,13.15,13.51,3810500.0
19142,2010-03-03,FL,13.25,13.01,12.85,13.3,3404300.0
19610,2010-03-04,FL,13.47,13.68,13.3,14.56,11219100.0
20078,2010-03-05,FL,13.76,14.24,13.65,14.34,4304100.0
20546,2010-03-08,FL,14.24,13.95,13.89,14.37,4254200.0
21014,2010-03-09,FL,13.83,13.54,13.54,14.06,4030700.0
21482,2010-03-10,FL,13.56,13.49,13.47,13.7,4497700.0
21950,2010-03-11,FL,13.45,13.95,13.21,13.98,3952700.0
22418,2010-03-12,FL,14.02,14.55,13.95,14.58,4623200.0
22886,2010-03-15,FL,14.53,14.45,14.26,14.79,4348100.0
23354,2010-03-16,FL,14.43,14.7,14.38,14.77,2336200.0
23822,2010-03-17,FL,14.79,14.67,14.63,14.94,2121400.0
24290,2010-03-18,FL,14.69,14.59,14.51,14.81,1685700.0
24758,2010-03-19,FL,14.59,14.59,14.34,14.79,3910600.0
25226,2010-03-22,FL,14.46,14.99,14.4,15.11,2417100.0
25694,2010-03-23,FL,15.02,15.1,14.74,15.13,2040200.0
26162,2010-03-24,FL,15.07,14.87,14.71,15.07,1892600.0
26630,2010-03-25,FL,14.94,14.71,14.67,14.98,2181800.0
27098,2010-03-26,FL,15.07,15.06,14.95,15.45,4479500.0
27566,2010-03-29,FL,15.14,15.14,15.11,15.39,2528100.0
28034,2010-03-30,FL,15.24,15.04,15.03,15.39,3118400.0
28502,2010-03-31,FL,15.0,15.04,14.97,15.16,2384400.0
28970,2010-04-01,FL,15.5,15.41,15.33,15.72,4521100.0
29438,2010-04-05,FL,15.49,15.5,15.34,15.6,2832700.0
29906,2010-04-06,FL,15.34,15.56,15.26,15.61,2724000.0
