,date,symbol,open,close,low,high,volume
445,2010-01-04,GS,170.050003,173.080002,169.509995,174.25,9135000.0
913,2010-01-05,GS,173.0,176.139999,172.570007,176.259995,11659400.0
1381,2010-01-06,GS,175.380005,174.259995,173.759995,175.380005,7381100.0
1849,2010-01-07,GS,174.320007,177.669998,173.949997,178.75,8727400.0
2317,2010-01-08,GS,176.330002,174.309998,173.949997,177.429993,7268100.0
2785,2010-01-11,GS,175.059998,171.559998,170.520004,175.059998,7704900.0
3253,2010-01-12,GS,170.009995,167.820007,167.029999,170.479996,10360100.0
3721,2010-01-13,GS,168.009995,169.070007,166.119995,169.669998,11269500.0
4189,2010-01-14,GS,168.0,168.529999,167.21000700000002,170.720001,10521400.0
4657,2010-01-15,GS,167.600006,165.21000700000002,164.580002,167.800003,10896300.0
5125,2010-01-19,GS,165.009995,166.860001,163.899994,167.399994,7705300.0
5593,2010-01-20,GS,165.800003,167.78999299999998,164.320007,168.179993,8893900.0
6061,2010-01-21,GS,169.28999299999998,160.869995,156.770004,171.0,51738300.0
6529,2010-01-22,GS,158.690002,154.119995,152.25,159.75,30175600.0
6997,2010-01-25,GS,156.130005,154.979996,154.5,158.300003,17877000.0
7465,2010-01-26,GS,154.91000400000001,150.880005,150.699997,156.5,15985900.0
7933,2010-01-27,GS,150.75,151.5,148.270004,152.929993,19899000.0
8401,2010-01-28,GS,154.229996,153.28999299999998,149.949997,155.199997,16160700.0
8869,2010-01-29,GS,154.440002,148.720001,147.809998,154.880005,18502800.0
9337,2010-02-01,GS,149.820007,153.130005,149.21000700000002,155.25,12980800.0
9805,2010-02-02,GS,153.649994,156.940002,153.649994,157.5,17246600.0
10273,2010-02-03,GS,157.919998,157.229996,157.110001,159.940002,16785200.0
10741,2010-02-04,GS,155.270004,150.679993,150.449997,156.059998,18895000.0
11209,2010-02-05,GS,150.820007,154.16000400000001,148.869995,154.46000700000002,18759200.0
11677,2010-02-08,GS,154.270004,151.100006,150.820007,154.600006,10257300.0
12145,2010-02-09,GS,152.699997,152.490005,149.649994,153.529999,14017300.0
12613,2010-02-10,GS,152.770004,153.630005,151.759995,155.350006,10555300.0
13081,2010-02-11,GS,154.399994,154.050003,152.25,155.320007,11163400.0
13549,2010-02-12,GS,152.369995,153.929993,151.139999,154.5,10293200.0
14017,2010-02-16,GS,155.300003,157.399994,154.600006,157.740005,11497100.0
14485,2010-02-17,GS,158.0,157.259995,155.809998,158.190002,10070000.0
14953,2010-02-18,GS,155.610001,155.729996,154.880005,156.58999599999999,10991100.0
15421,2010-02-19,GS,154.509995,156.179993,154.490005,157.0,8693000.0
15889,2010-02-22,GS,157.199997,156.71000700000002,156.029999,157.970001,7375500.0
16357,2010-02-23,GS,156.809998,156.699997,155.91000400000001,160.21000700000002,15696000.0
16825,2010-02-24,GS,157.33999599999999,158.330002,156.869995,159.25,8361500.0
17293,2010-02-25,GS,156.229996,156.440002,154.320007,156.440002,10519900.0
17761,2010-02-26,GS,156.259995,156.350006,155.259995,156.990005,7812700.0
18229,2010-03-01,GS,156.509995,156.53999299999998,156.169998,158.28999299999998,6522800.0
18697,2010-03-02,GS,157.179993,158.75,156.91000400000001,159.75,11986400.0
19165,2010-03-03,GS,159.03999299999998,157.720001,157.229996,159.449997,10006000.0
