,date,symbol,open,close,low,high,volume
449,2010-01-04,HAR,35.580002,35.869999,35.189999,36.290001000000004,607600.0
917,2010-01-05,HAR,35.900002,37.23,35.84,37.290001000000004,822600.0
1385,2010-01-06,HAR,37.220001,37.349998,36.959998999999996,37.450001,668700.0
1853,2010-01-07,HAR,37.240002000000004,37.139998999999996,36.830002,37.43,617400.0
2321,2010-01-08,HAR,36.84,37.09,36.77,37.380001,332600.0
2789,2010-01-11,HAR,37.439999,37.330002,37.049999,37.73,307700.0
3257,2010-01-12,HAR,37.080002,36.93,36.630001,37.400002,383000.0
3725,2010-01-13,HAR,37.02,37.759997999999996,36.84,37.84,323900.0
4193,2010-01-14,HAR,37.630001,38.599998,37.459998999999996,38.669998,867200.0
4661,2010-01-15,HAR,38.540001000000004,37.880001,37.439999,38.720001,490800.0
5129,2010-01-19,HAR,37.759997999999996,38.450001,37.18,38.459998999999996,309700.0
5597,2010-01-20,HAR,38.150002,37.93,37.220001,38.169998,539800.0
6065,2010-01-21,HAR,37.810001,36.959998999999996,36.93,38.720001,582100.0
6533,2010-01-22,HAR,36.91,37.009997999999996,36.689999,37.810001,716600.0
7001,2010-01-25,HAR,37.48,37.240002000000004,36.919998,37.52,386800.0
7469,2010-01-26,HAR,37.0,36.970001,36.540001000000004,37.330002,433200.0
7937,2010-01-27,HAR,36.860001000000004,37.279999,36.650002,37.330002,519100.0
8405,2010-01-28,HAR,37.470001,37.84,37.23,38.23,706400.0
8873,2010-01-29,HAR,37.950001,35.549999,35.5,37.950001,989100.0
9341,2010-02-01,HAR,35.720001,36.189999,35.349998,36.200001,556800.0
9809,2010-02-02,HAR,36.189999,38.389998999999996,36.009997999999996,38.560001,1093600.0
10277,2010-02-03,HAR,38.220001,37.419998,36.919998,38.310001,681400.0
10745,2010-02-04,HAR,37.080002,35.990002000000004,35.880001,37.450001,659700.0
11213,2010-02-05,HAR,35.900002,34.93,33.93,35.959998999999996,1331100.0
11681,2010-02-08,HAR,34.810001,35.5,34.68,36.599998,1386100.0
12149,2010-02-09,HAR,38.529999,41.189999,38.02,42.060001,5804600.0
12617,2010-02-10,HAR,41.34,42.209998999999996,41.0,42.48,1990800.0
13085,2010-02-11,HAR,42.09,43.98,41.779999,44.0,2032000.0
13553,2010-02-12,HAR,43.740002000000004,44.200001,43.169998,44.560001,1243200.0
14021,2010-02-16,HAR,44.599998,44.400002,44.220001,45.09,1078200.0
14489,2010-02-17,HAR,44.540001000000004,43.869999,43.709998999999996,44.700001,1041900.0
14957,2010-02-18,HAR,43.790001000000004,44.310001,43.200001,44.360001000000004,1200000.0
15425,2010-02-19,HAR,44.029999,43.959998999999996,43.889998999999996,44.330002,628300.0
15893,2010-02-22,HAR,44.32,44.139998999999996,43.900002,44.450001,435500.0
16361,2010-02-23,HAR,43.950001,43.029999,42.919998,43.98,863400.0
16829,2010-02-24,HAR,43.23,43.080002,42.900002,43.5,751000.0
17297,2010-02-25,HAR,42.029999,43.220001,42.029999,43.279999,759100.0
17765,2010-02-26,HAR,43.240002000000004,43.139998999999996,42.720001,43.540001000000004,473600.0
18233,2010-03-01,HAR,43.52,43.48,43.049999,43.939999,545300.0
18701,2010-03-02,HAR,43.75,43.16,42.889998999999996,43.75,611700.0
19169,2010-03-03,HAR,43.389998999999996,42.93,42.68,43.439999,414100.0
19637,2010-03-04,HAR,42.959998999999996,42.23,42.02,43.029999,1130600.0
20105,2010-03-05,HAR,42.48,43.029999,42.349998,43.060001,711100.0
20573,2010-03-08,HAR,43.040001000000004,42.939999,42.5,43.200001,486000.0
21041,2010-03-09,HAR,42.779999,44.02,42.459998999999996,44.549999,1331500.0
21509,2010-03-10,HAR,43.970001,43.970001,43.759997999999996,44.66,718500.0
21977,2010-03-11,HAR,43.91,43.610001000000004,43.290001000000004,43.91,820700.0
22445,2010-03-12,HAR,43.779999,43.509997999999996,43.09,43.950001,658100.0
22913,2010-03-15,HAR,43.330002,43.049999,42.16,43.330002,704300.0
23381,2010-03-16,HAR,43.299999,42.91,42.5,43.400002,691000.0
23849,2010-03-17,HAR,43.0,43.59,42.84,43.700001,937700.0
24317,2010-03-18,HAR,43.490002000000004,44.169998,43.490002000000004,44.27,1108800.0
24785,2010-03-19,HAR,43.970001,43.970001,43.41,44.560001,1073100.0
25253,2010-03-22,HAR,43.720001,45.66,43.139998999999996,45.82,1411600.0
25721,2010-03-23,HAR,45.900002,47.240002000000004,45.849998,47.84,1571200.0
26189,2010-03-24,HAR,47.060001,46.880001,46.43,47.5,1398200.0
26657,2010-03-25,HAR,47.419998,46.580002,46.48,47.709998999999996,1238500.0
27125,2010-03-26,HAR,46.849998,47.209998999999996,46.529999,47.509997999999996,629300.0
27593,2010-03-29,HAR,47.5,47.259997999999996,46.939999,48.189999,848800.0
28061,2010-03-30,HAR,47.279999,47.25,46.509997999999996,47.509997999999996,1351000.0
28529,2010-03-31,HAR,47.16,46.779999,46.66,47.41,699300.0
28997,2010-04-01,HAR,47.23,47.25,46.889998999999996,47.599998,680300.0
29465,2010-04-05,HAR,47.57,48.889998999999996,47.259997999999996,49.009997999999996,754300.0
29933,2010-04-06,HAR,48.48,49.619999,48.48,49.990002000000004,935800.0
30401,2010-04-07,HAR,49.369999,48.540001000000004,48.040001000000004,49.490002000000004,730400.0
30869,2010-04-08,HAR,48.209998999999996,48.459998999999996,47.029999,48.529999,835900.0
31337,2010-04-09,HAR,48.560001,49.18,48.560001,49.369999,579100.0
31805,2010-04-12,HAR,49.189999,48.610001000000004,48.450001,49.240002000000004,363400.0
32273,2010-04-13,HAR,48.610001000000004,47.82,47.700001,48.669998,663400.0
32741,2010-04-14,HAR,49.93,50.029999,48.150002,50.110001000000004,1004300.0
