,date,symbol,open,close,low,high,volume
459,2010-01-04,HOLX,14.69,14.94,14.67,14.99,4011600.0
927,2010-01-05,HOLX,14.95,14.94,14.8,14.97,2211800.0
1395,2010-01-06,HOLX,14.88,15.01,14.8,15.04,3313500.0
1863,2010-01-07,HOLX,14.99,14.99,14.81,15.05,2683300.0
2331,2010-01-08,HOLX,14.97,14.97,14.86,15.04,1658500.0
2799,2010-01-11,HOLX,14.94,14.94,14.74,14.98,1623100.0
3267,2010-01-12,HOLX,14.79,14.92,14.76,15.05,3089600.0
3735,2010-01-13,HOLX,14.97,15.17,14.97,15.31,2939300.0
4203,2010-01-14,HOLX,15.07,15.31,15.03,15.34,1382600.0
4671,2010-01-15,HOLX,15.17,15.38,15.1,15.57,5256200.0
5139,2010-01-19,HOLX,15.44,15.94,15.44,16.0,5783100.0
5607,2010-01-20,HOLX,15.82,15.63,15.4,15.89,3506100.0
6075,2010-01-21,HOLX,15.66,15.8,15.54,15.86,4642600.0
6543,2010-01-22,HOLX,15.82,15.79,15.74,16.190001000000002,4354500.0
7011,2010-01-25,HOLX,15.88,15.83,15.76,16.02,3154400.0
7479,2010-01-26,HOLX,15.74,15.63,15.59,15.88,4108500.0
7947,2010-01-27,HOLX,15.79,15.35,15.23,15.83,3743600.0
8415,2010-01-28,HOLX,15.34,15.08,14.84,15.34,5384800.0
8883,2010-01-29,HOLX,15.12,15.07,15.06,15.31,3172700.0
9351,2010-02-01,HOLX,14.93,15.25,14.93,15.28,4235600.0
9819,2010-02-02,HOLX,16.16,16.58,15.86,16.84,17807500.0
10287,2010-02-03,HOLX,16.5,16.450001,16.4,16.639999,4963200.0
10755,2010-02-04,HOLX,16.360001,16.200001,16.16,16.469998999999998,4564400.0
11223,2010-02-05,HOLX,16.24,15.99,15.64,16.27,3468700.0
11691,2010-02-08,HOLX,16.0,16.0,15.83,16.1,2683300.0
12159,2010-02-09,HOLX,16.200001,16.030001000000002,15.98,16.360001,2934400.0
12627,2010-02-10,HOLX,16.01,16.030001000000002,15.95,16.219998999999998,3198200.0
13095,2010-02-11,HOLX,15.97,16.110001,15.89,16.23,3634400.0
13563,2010-02-12,HOLX,15.99,16.0,15.85,16.059998999999998,2785200.0
14031,2010-02-16,HOLX,16.059998999999998,16.09,15.88,16.16,5324400.0
14499,2010-02-17,HOLX,16.129998999999998,16.07,15.93,16.17,4235100.0
14967,2010-02-18,HOLX,16.15,16.24,16.120001000000002,16.25,2663800.0
15435,2010-02-19,HOLX,16.280001000000002,16.110001,16.030001000000002,16.299999,3229100.0
15903,2010-02-22,HOLX,15.71,16.190001000000002,15.71,16.209999,2493400.0
16371,2010-02-23,HOLX,16.18,16.16,16.040001,16.290001,4279200.0
16839,2010-02-24,HOLX,16.25,16.57,16.25,16.58,4370500.0
17307,2010-02-25,HOLX,16.379998999999998,16.93,16.35,17.02,7577300.0
17775,2010-02-26,HOLX,16.99,17.25,16.91,17.309998999999998,5053500.0
18243,2010-03-01,HOLX,17.35,17.35,17.280001000000002,17.6,5051600.0
18711,2010-03-02,HOLX,17.280001000000002,17.370001000000002,17.280001000000002,17.42,4156000.0
19179,2010-03-03,HOLX,17.4,17.15,17.139999,17.440001000000002,3860000.0
19647,2010-03-04,HOLX,17.25,17.110001,17.059998999999998,17.27,3044400.0
20115,2010-03-05,HOLX,17.09,17.41,17.059998999999998,17.450001,2081600.0
20583,2010-03-08,HOLX,17.41,17.52,17.299999,17.540001,2332300.0
21051,2010-03-09,HOLX,17.389999,17.42,17.34,17.559998999999998,1675200.0
21519,2010-03-10,HOLX,17.360001,17.549999,17.299999,17.65,4134700.0
21987,2010-03-11,HOLX,17.469998999999998,19.280001000000002,17.4,19.559998999999998,23730200.0
22455,2010-03-12,HOLX,19.33,18.639999,18.389999,19.370001000000002,14793700.0
22923,2010-03-15,HOLX,18.639999,19.379998999999998,18.610001,19.42,7393900.0
23391,2010-03-16,HOLX,19.35,19.18,19.08,19.719998999999998,4135600.0
23859,2010-03-17,HOLX,19.299999,19.07,18.99,19.450001,3067700.0
24327,2010-03-18,HOLX,19.049999,19.559998999999998,19.0,19.68,4777200.0
24795,2010-03-19,HOLX,19.629998999999998,18.67,18.629998999999998,19.65,8233900.0
25263,2010-03-22,HOLX,18.43,18.77,18.33,18.969998999999998,4737600.0
25731,2010-03-23,HOLX,18.799999,18.83,18.559998999999998,19.01,3379500.0
26199,2010-03-24,HOLX,18.83,18.67,18.59,18.92,1797600.0
26667,2010-03-25,HOLX,18.84,18.52,18.5,18.870001000000002,3506700.0
27135,2010-03-26,HOLX,18.639999,18.26,18.190001000000002,18.65,2262500.0
27603,2010-03-29,HOLX,18.620001000000002,18.41,18.219998999999998,18.620001000000002,2473400.0
28071,2010-03-30,HOLX,18.469998999999998,18.34,18.23,18.52,1762700.0
28539,2010-03-31,HOLX,18.34,18.540001,18.299999,18.84,4013200.0
29007,2010-04-01,HOLX,18.780001000000002,18.530001000000002,18.4,18.85,3163100.0
29475,2010-04-05,HOLX,18.540001,18.34,18.309998999999998,18.65,3733000.0
29943,2010-04-06,HOLX,18.32,18.030001000000002,17.99,18.42,6771800.0
30411,2010-04-07,HOLX,17.959999,17.57,17.49,18.08,5964200.0
30879,2010-04-08,HOLX,17.549999,17.559998999999998,17.24,17.6,4854400.0
31347,2010-04-09,HOLX,17.51,17.75,17.5,17.879998999999998,3479800.0
31815,2010-04-12,HOLX,17.73,17.559998999999998,17.540001,17.83,2359900.0
32283,2010-04-13,HOLX,17.549999,17.780001000000002,17.42,17.83,5249100.0
32751,2010-04-14,HOLX,17.780001000000002,18.33,17.700001,18.360001,4529500.0
33219,2010-04-15,HOLX,18.33,18.27,18.17,18.389999,3022600.0
33687,2010-04-16,HOLX,18.25,18.139999,18.1,18.389999,4239300.0
34155,2010-04-19,HOLX,18.040001,18.110001,17.9,18.219998999999998,3108500.0
34623,2010-04-20,HOLX,18.280001000000002,18.219998999999998,18.0,18.32,2991000.0
35091,2010-04-21,HOLX,18.33,18.16,17.99,18.33,2754000.0
35559,2010-04-22,HOLX,18.129998999999998,18.190001000000002,17.940001000000002,18.299999,2416700.0
36027,2010-04-23,HOLX,18.25,18.280001000000002,18.040001,18.379998999999998,2469500.0
36495,2010-04-26,HOLX,18.35,18.02,18.01,18.719998999999998,3456500.0
36963,2010-04-27,HOLX,18.02,17.940001000000002,17.93,18.57,3477900.0
37431,2010-04-28,HOLX,18.1,18.02,17.940001000000002,18.200001,2415300.0
37900,2010-04-29,HOLX,18.040001,17.76,17.75,18.129998999999998,4540300.0
38369,2010-04-30,HOLX,17.92,17.879998999999998,17.77,18.209999,3508900.0
38838,2010-05-03,HOLX,17.92,18.110001,17.73,18.139999,3284200.0
39307,2010-05-04,HOLX,17.139999,16.01,15.89,17.139999,13177400.0
39776,2010-05-05,HOLX,15.9,16.25,15.86,16.34,6225300.0
40245,2010-05-06,HOLX,16.389999,16.01,15.25,16.66,6991500.0
40714,2010-05-07,HOLX,16.059998999999998,15.82,15.29,16.07,6664000.0
41183,2010-05-10,HOLX,16.42,16.209999,16.049999,16.540001,4362600.0
41652,2010-05-11,HOLX,16.139999,16.17,16.049999,16.35,2852900.0
42121,2010-05-12,HOLX,16.129998999999998,16.4,16.030001000000002,16.43,2660300.0
42590,2010-05-13,HOLX,16.33,16.23,16.16,16.4,1766400.0
43059,2010-05-14,HOLX,16.15,15.78,15.69,16.280001000000002,2564700.0
43528,2010-05-17,HOLX,15.83,15.78,15.5,15.94,2849600.0
43997,2010-05-18,HOLX,15.87,15.63,15.52,15.96,3562100.0
44466,2010-05-19,HOLX,15.65,15.61,15.49,15.92,2992600.0
44935,2010-05-20,HOLX,15.33,14.84,14.83,15.41,4815600.0
45404,2010-05-21,HOLX,14.64,15.08,14.43,15.09,5861300.0
45873,2010-05-24,HOLX,14.95,15.0,14.4,15.29,3071400.0
46342,2010-05-25,HOLX,14.77,14.91,14.31,14.91,5190200.0
46811,2010-05-26,HOLX,14.93,14.92,14.58,15.24,5242300.0
