,date,symbol,open,close,low,high,volume
699684,2015-10-19,HPE,18.5,16.549999,16.48,18.5,1581600.0
700182,2015-10-20,HPE,16.25,16.870001000000002,16.25,16.93,709600.0
700680,2015-10-21,HPE,17.25,16.48,16.4,17.35,78600.0
701178,2015-10-22,HPE,16.709999,16.950001,16.24,17.049999,110000.0
701676,2015-10-23,HPE,17.25,17.0,16.85,17.25,59900.0
702174,2015-10-26,HPE,17.110001,16.42,16.309998999999998,17.110001,514800.0
702672,2015-10-27,HPE,16.559998999999998,15.73,15.6,16.75,636000.0
703170,2015-10-28,HPE,15.9,16.280001000000002,15.845,16.35,296300.0
703668,2015-10-29,HPE,16.01,15.95,15.55,16.27,290400.0
704166,2015-10-30,HPE,15.9,14.72,14.72,16.1,2449300.0
704664,2015-11-02,HPE,14.99,14.49,13.86,15.17,40866200.0
705162,2015-11-03,HPE,14.07,14.36,13.675,14.71,40205800.0
705660,2015-11-04,HPE,14.39,13.66,13.61,14.51,31525800.0
706158,2015-11-05,HPE,13.64,13.28,13.12,13.89,22190500.0
706656,2015-11-06,HPE,13.18,14.4,13.15,14.48,30050000.0
707154,2015-11-09,HPE,14.26,14.2,14.13,14.48,17528100.0
707652,2015-11-10,HPE,14.13,14.41,14.01,14.44,14777800.0
708150,2015-11-11,HPE,14.2,14.11,14.09,14.31,11009400.0
708648,2015-11-12,HPE,13.81,13.7,13.59,13.82,20371700.0
709146,2015-11-13,HPE,13.61,13.39,13.15,13.76,14924500.0
709645,2015-11-16,HPE,13.37,13.38,13.14,13.61,13781700.0
710144,2015-11-17,HPE,13.38,13.22,13.12,13.49,12420800.0
710643,2015-11-18,HPE,13.48,13.64,13.189,13.73,13020500.0
711142,2015-11-19,HPE,13.53,13.78,13.52,13.89,13171500.0
711641,2015-11-20,HPE,13.78,14.21,13.68,14.63,18559400.0
712140,2015-11-23,HPE,14.17,13.85,13.57,14.21,15317300.0
712639,2015-11-24,HPE,13.58,13.69,13.5,14.025,24110900.0
713138,2015-11-25,HPE,13.91,14.12,13.84,14.86,22677100.0
713637,2015-11-27,HPE,14.12,14.35,14.05,14.64,6041700.0
714136,2015-11-30,HPE,14.23,14.86,14.18,15.0,29104300.0
714635,2015-12-01,HPE,14.88,15.61,14.85,15.88,25106600.0
715134,2015-12-02,HPE,15.37,14.95,14.87,15.54,12681100.0
715633,2015-12-03,HPE,15.0,14.62,14.58,15.34,18905200.0
716132,2015-12-04,HPE,14.39,15.22,14.24,15.295,12001100.0
716631,2015-12-07,HPE,15.0,15.45,14.92,15.48,9546000.0
717130,2015-12-08,HPE,15.09,15.17,14.62,15.29,11617600.0
717629,2015-12-09,HPE,14.99,14.85,14.68,15.39,14261900.0
718128,2015-12-10,HPE,14.79,14.72,14.53,14.81,11350200.0
718627,2015-12-11,HPE,14.99,14.18,14.14,15.4,10616200.0
719126,2015-12-14,HPE,14.3,14.44,13.92,14.5,11528100.0
719625,2015-12-15,HPE,14.51,14.56,14.485,14.98,12888700.0
720124,2015-12-16,HPE,14.62,14.7,14.55,14.81,7841000.0
720623,2015-12-17,HPE,14.61,14.31,14.22,14.72,7624700.0
721122,2015-12-18,HPE,14.27,14.16,14.0,14.385,19337600.0
721621,2015-12-21,HPE,14.12,14.02,13.87,14.4,9863300.0
722120,2015-12-22,HPE,14.04,14.06,13.92,14.14,7292500.0
722619,2015-12-23,HPE,14.19,14.91,14.05,14.97,11252000.0
723118,2015-12-24,HPE,14.81,15.02,14.79,15.17,2178500.0
723617,2015-12-28,HPE,14.89,15.23,14.82,15.28,5930600.0
724116,2015-12-29,HPE,15.29,15.2,15.18,15.437000000000001,6275800.0
724615,2015-12-30,HPE,15.29,15.28,15.15,15.48,6275200.0
725114,2015-12-31,HPE,15.23,15.2,15.1,15.31,6768100.0
725613,2016-01-04,HPE,14.97,15.13,14.74,15.15,15076800.0
726112,2016-01-05,HPE,15.13,15.03,14.94,15.25,10328200.0
726611,2016-01-06,HPE,14.62,14.8,14.51,15.0,11315100.0
727110,2016-01-07,HPE,14.5,13.71,13.65,14.56,19844700.0
727609,2016-01-08,HPE,13.77,13.54,13.31,14.02,16431900.0
728108,2016-01-11,HPE,13.43,13.26,13.07,13.71,15110800.0
728607,2016-01-12,HPE,13.35,13.26,13.09,13.42,12458500.0
