,date,symbol,open,close,low,high,volume
464,2010-01-04,HRL,9.63,9.56999975,9.5249995,9.6425,2705200.0
932,2010-01-05,HRL,9.57750025,9.62,9.505,9.622500500000001,1854400.0
1400,2010-01-06,HRL,9.6499995,9.5675,9.5375005,9.6925,2583200.0
1868,2010-01-07,HRL,9.5874995,9.51500025,9.4425,9.5874995,2227200.0
2336,2010-01-08,HRL,9.4750005,9.5225,9.44750025,9.55500025,1298800.0
2804,2010-01-11,HRL,9.51500025,9.54,9.5,9.57750025,1304800.0
3272,2010-01-12,HRL,9.53250025,9.63500025,9.5,9.65750025,1262800.0
3740,2010-01-13,HRL,9.665,9.6875,9.6450005,9.747500500000001,1285600.0
4208,2010-01-14,HRL,9.6674995,9.689999499999999,9.5874995,9.69499975,1430000.0
4676,2010-01-15,HRL,9.6875,9.64000025,9.6000005,9.69750025,1252800.0
5144,2010-01-19,HRL,9.65499975,9.71749975,9.61499975,9.73999975,1745200.0
5612,2010-01-20,HRL,9.59500025,9.625,9.5175,9.627499499999999,1169200.0
6080,2010-01-21,HRL,9.65250025,9.6425,9.5625,9.747500500000001,2625600.0
6548,2010-01-22,HRL,9.6450005,9.65499975,9.625,9.7325,1940800.0
7016,2010-01-25,HRL,9.689999499999999,9.6499995,9.6049995,9.747500500000001,1884400.0
7484,2010-01-26,HRL,9.6499995,9.6625005,9.5625,9.6875,1164800.0
7952,2010-01-27,HRL,9.69750025,9.7299995,9.6475,9.747500500000001,1581600.0
8420,2010-01-28,HRL,9.705,9.6674995,9.6000005,9.72000025,1787200.0
8888,2010-01-29,HRL,9.7075005,9.67500025,9.63500025,9.745,1996800.0
9356,2010-02-01,HRL,9.71500025,9.77999975,9.65750025,9.795,2498800.0
9824,2010-02-02,HRL,9.7675,9.90999975,9.76500025,9.915,2017200.0
10292,2010-02-03,HRL,9.86250025,9.85999975,9.8125,9.8999995,1518400.0
10760,2010-02-04,HRL,9.810000500000001,9.705,9.69499975,9.84000025,1852000.0
11228,2010-02-05,HRL,9.7250005,9.75,9.6499995,9.76500025,2098800.0
11696,2010-02-08,HRL,9.7749995,9.71500025,9.71,9.7875005,1730000.0
12164,2010-02-09,HRL,9.755,9.810000500000001,9.72000025,9.86499975,1414000.0
12632,2010-02-10,HRL,9.85999975,9.90499975,9.77750025,9.92749975,1916000.0
13100,2010-02-11,HRL,9.877499499999999,9.94999975,9.7725,9.94999975,1276000.0
13568,2010-02-12,HRL,9.872500500000001,9.915,9.82250025,9.935000500000001,2121200.0
14036,2010-02-16,HRL,9.9425,10.064999499999999,9.8975,10.07499975,2831200.0
14504,2010-02-17,HRL,10.0625,10.1475,10.0625,10.1825,2933200.0
14972,2010-02-18,HRL,10.6625005,10.5675,10.4624995,10.67,7535600.0
15440,2010-02-19,HRL,10.415,10.38500025,10.2075005,10.495,5826400.0
15908,2010-02-22,HRL,10.439999499999999,10.40250025,10.34749975,10.47000025,2711600.0
16376,2010-02-23,HRL,10.3999995,10.29749975,10.28499975,10.4575005,3058400.0
16844,2010-02-24,HRL,10.30000025,10.3575,10.295,10.40499975,2748000.0
17312,2010-02-25,HRL,10.26000025,10.295,10.2124995,10.32250025,2755200.0
17780,2010-02-26,HRL,10.3325005,10.27750025,10.23750025,10.35999975,2124400.0
18248,2010-03-01,HRL,10.32499975,10.3325005,10.29,10.3950005,1599600.0
18716,2010-03-02,HRL,10.39000025,10.4575005,10.3325005,10.4799995,2898800.0
19184,2010-03-03,HRL,10.295,10.34749975,10.1925,10.435000500000001,2535200.0
19652,2010-03-04,HRL,10.38,10.44999975,10.36250025,10.46500025,1935200.0
20120,2010-03-05,HRL,10.5,10.46,10.42249975,10.502499499999999,2484800.0
20588,2010-03-08,HRL,10.42749975,10.42,10.377499499999999,10.48499975,2328400.0
21056,2010-03-09,HRL,10.42500025,10.42,10.38,10.455,2424800.0
21524,2010-03-10,HRL,10.455,10.40750025,10.34500025,10.455,2031600.0
21992,2010-03-11,HRL,10.3925,10.39000025,10.2749995,10.3925,1496800.0
22460,2010-03-12,HRL,10.39000025,10.3175,10.2675,10.3999995,2466400.0
22928,2010-03-15,HRL,10.314999499999999,10.33,10.2924995,10.377499499999999,1585600.0
23396,2010-03-16,HRL,10.36499975,10.34749975,10.3075,10.36499975,1366000.0
23864,2010-03-17,HRL,10.35999975,10.3925,10.29749975,10.3925,1717600.0
24332,2010-03-18,HRL,10.38749975,10.39000025,10.36250025,10.44750025,1782800.0
24800,2010-03-19,HRL,10.3500005,10.3500005,10.27750025,10.4375,2388800.0
25268,2010-03-22,HRL,10.26500025,10.40250025,10.26500025,10.40499975,1498400.0
25736,2010-03-23,HRL,10.45250025,10.4575005,10.34249975,10.4575005,1370800.0
26204,2010-03-24,HRL,10.455,10.46500025,10.42,10.4799995,1708800.0
26672,2010-03-25,HRL,10.497500500000001,10.415,10.3575,10.497500500000001,2067600.0
27140,2010-03-26,HRL,10.45250025,10.48750025,10.42,10.48999975,2565600.0
27608,2010-03-29,HRL,10.5,10.60999975,10.48750025,10.625,2113600.0
28076,2010-03-30,HRL,10.63,10.55000025,10.495,10.63,1986000.0
28544,2010-03-31,HRL,10.5424995,10.502499499999999,10.4825,10.6000005,1378800.0
29012,2010-04-01,HRL,10.5225,10.5424995,10.48750025,10.59749975,1051600.0
29480,2010-04-05,HRL,10.57499975,10.4825,10.4325,10.59249975,1515600.0
29948,2010-04-06,HRL,10.4624995,10.44750025,10.415,10.47000025,1753200.0
30416,2010-04-07,HRL,10.44999975,10.439999499999999,10.3925,10.49250025,1498000.0
