,date,symbol,open,close,low,high,volume
469,2010-01-04,HUM,44.43,45.68,44.43,45.77,2008500.0
937,2010-01-05,HUM,45.790001000000004,45.66,45.27,46.16,1860700.0
1405,2010-01-06,HUM,45.66,45.98,45.349998,46.34,1686800.0
1873,2010-01-07,HUM,46.25,48.119999,46.25,48.689999,3706600.0
2341,2010-01-08,HUM,47.810001,47.509997999999996,47.200001,48.02,2412300.0
2809,2010-01-11,HUM,47.48,46.950001,46.709998999999996,47.73,2000900.0
3277,2010-01-12,HUM,46.48,46.18,45.619999,46.779999,2392100.0
3745,2010-01-13,HUM,46.240002000000004,47.029999,45.32,47.139998999999996,2455800.0
4213,2010-01-14,HUM,46.759997999999996,48.02,46.75,48.599998,3433400.0
4681,2010-01-15,HUM,48.139998999999996,48.509997999999996,47.59,48.990002000000004,2646200.0
5149,2010-01-19,HUM,49.299999,51.939999,49.299999,52.259997999999996,9567400.0
5617,2010-01-20,HUM,52.650002,51.27,50.299999,52.66,10926100.0
6085,2010-01-21,HUM,51.130001,51.77,51.009997999999996,52.18,9071700.0
6553,2010-01-22,HUM,51.700001,51.0,50.82,52.580002,3878400.0
7021,2010-01-25,HUM,50.889998999999996,49.560001,49.400002,51.41,4585300.0
7489,2010-01-26,HUM,49.599998,48.27,48.099998,49.689999,3760600.0
7957,2010-01-27,HUM,48.25,49.02,47.810001,50.110001000000004,3232200.0
8425,2010-01-28,HUM,49.259997999999996,48.790001000000004,48.43,50.209998999999996,3317800.0
8893,2010-01-29,HUM,49.110001000000004,48.619999,48.540001000000004,49.709998999999996,2670600.0
9361,2010-02-01,HUM,48.0,48.709998999999996,46.18,50.369999,8798300.0
9829,2010-02-02,HUM,48.93,50.299999,48.529999,50.34,2596200.0
10297,2010-02-03,HUM,50.220001,48.98,48.529999,50.330002,2257000.0
10765,2010-02-04,HUM,48.900002,47.169998,47.16,48.900002,2165800.0
11233,2010-02-05,HUM,46.66,47.02,45.650002,47.200001,3150300.0
11701,2010-02-08,HUM,46.990002000000004,46.75,46.5,47.709998999999996,1383800.0
12169,2010-02-09,HUM,47.349998,47.919998,46.259997999999996,48.34,3131200.0
12637,2010-02-10,HUM,48.009997999999996,47.099998,45.889998999999996,48.009997999999996,2733200.0
13105,2010-02-11,HUM,47.290001000000004,46.82,46.299999,47.330002,2081800.0
13573,2010-02-12,HUM,46.299999,45.950001,45.43,46.299999,2216900.0
14041,2010-02-16,HUM,46.34,46.009997999999996,45.240002000000004,46.450001,1499600.0
14509,2010-02-17,HUM,46.32,46.639998999999996,46.18,47.299999,1701300.0
14977,2010-02-18,HUM,46.389998999999996,46.200001,45.889998999999996,46.91,2470300.0
15445,2010-02-19,HUM,45.82,45.349998,45.07,46.110001000000004,3960000.0
15913,2010-02-22,HUM,45.810001,47.869999,45.700001,47.98,5733100.0
16381,2010-02-23,HUM,47.5,46.82,46.639998999999996,47.73,2429600.0
16849,2010-02-24,HUM,46.869999,46.91,46.0,46.950001,2186000.0
17317,2010-02-25,HUM,46.529999,47.130001,45.900002,47.59,2072700.0
17785,2010-02-26,HUM,47.18,47.330002,47.0,48.0,1911300.0
18253,2010-03-01,HUM,47.639998999999996,47.48,46.950001,48.470001,2229600.0
18721,2010-03-02,HUM,47.389998999999996,47.490002000000004,46.98,47.950001,1430800.0
19189,2010-03-03,HUM,47.75,47.490002000000004,47.389998999999996,48.130001,1551300.0
19657,2010-03-04,HUM,47.41,47.119999,46.18,47.490002000000004,2038100.0
20125,2010-03-05,HUM,47.400002,48.139998999999996,47.209998999999996,48.139998999999996,1685700.0
20593,2010-03-08,HUM,48.25,47.950001,47.540001000000004,48.25,1422200.0
21061,2010-03-09,HUM,47.650002,47.939999,47.549999,48.189999,1278100.0
21529,2010-03-10,HUM,47.84,48.32,47.84,48.650002,1348800.0
21997,2010-03-11,HUM,48.349998,49.0,47.790001000000004,49.169998,1453000.0
