,date,symbol,open,close,low,high,volume
474,2010-01-04,ILMN,31.120001000000002,30.549999,30.42,31.23,1793700.0
942,2010-01-05,ILMN,30.370001000000002,30.35,29.76,30.5,3039700.0
1410,2010-01-06,ILMN,30.24,32.220001,30.24,32.43,4065700.0
1878,2010-01-07,ILMN,32.240002000000004,32.77,32.0,33.209998999999996,9060000.0
2346,2010-01-08,ILMN,32.599998,33.150002,32.080002,33.279999,2681600.0
2814,2010-01-11,ILMN,33.299999,33.82,33.049999,34.029999,2215000.0
3282,2010-01-12,ILMN,33.73,39.169998,33.09,39.240002000000004,16032000.0
3750,2010-01-13,ILMN,39.66,40.509997999999996,38.790001000000004,40.900002,12337900.0
4218,2010-01-14,ILMN,40.150002,39.029999,38.439999,40.330002,3640600.0
4686,2010-01-15,ILMN,39.299999,39.02,38.490002000000004,39.93,2911200.0
5154,2010-01-19,ILMN,38.93,38.09,37.23,39.259997999999996,3804900.0
5622,2010-01-20,ILMN,37.919998,37.689999,37.029999,38.25,3315900.0
6090,2010-01-21,ILMN,37.77,37.540001000000004,37.490002000000004,38.380001,3133400.0
6558,2010-01-22,ILMN,37.41,36.5,36.400002,38.169998,2562600.0
7026,2010-01-25,ILMN,36.720001,36.450001,36.25,37.0,1559000.0
7494,2010-01-26,ILMN,36.130001,36.279999,35.700001,36.84,1793400.0
7962,2010-01-27,ILMN,36.009997999999996,37.040001000000004,35.84,37.09,2426900.0
8430,2010-01-28,ILMN,37.25,36.299999,35.91,38.330002,2480400.0
8898,2010-01-29,ILMN,36.330002,36.689999,36.330002,37.57,1943200.0
9366,2010-02-01,ILMN,36.700001,37.240002000000004,36.540001000000004,37.529999,1644800.0
9834,2010-02-02,ILMN,37.119999,37.830002,36.75,37.919998,1057400.0
10302,2010-02-03,ILMN,37.810001,37.849998,37.130001,38.330002,2749800.0
10770,2010-02-04,ILMN,37.419998,36.619999,36.389998999999996,37.490002000000004,2198600.0
11238,2010-02-05,ILMN,35.18,35.48,34.25,36.810001,4533700.0
11706,2010-02-08,ILMN,35.529999,35.669998,35.0,36.049999,1208000.0
12174,2010-02-09,ILMN,35.5,35.830002,35.34,36.0,1638500.0
12642,2010-02-10,ILMN,35.299999,35.59,34.939999,35.810001,1102700.0
13110,2010-02-11,ILMN,35.599998,36.630001,35.5,37.0,1394600.0
13578,2010-02-12,ILMN,36.450001,37.009997999999996,36.25,37.029999,1325200.0
