,date,symbol,open,close,low,high,volume
485,2010-01-04,JCI,37.675438743499996,37.9791047121,37.5497832461,38.2722963351,8727000.0
953,2010-01-05,JCI,37.9162753927,37.7906198954,37.5602534032,38.115230366599995,4925700.0
1421,2010-01-06,JCI,37.7696795812,37.6649685865,37.6021392671,37.9162753927,5335100.0
1889,2010-01-07,JCI,37.7173235603,37.9372198954,37.476483769699996,38.020989528899996,7013400.0
2357,2010-01-08,JCI,37.7906198954,38.0628753927,37.528842931999996,38.1885267016,6468900.0
2825,2010-01-11,JCI,38.2722963351,39.0471685865,38.2618261781,39.1309392671,7406100.0
3293,2010-01-12,JCI,38.7539727749,38.994813612600005,38.5654921467,39.193764398,5110400.0
3761,2010-01-13,JCI,38.994813612600005,38.6387926702,38.575962303699995,39.256590576,5481900.0
4229,2010-01-14,JCI,38.5969068064,39.036694240900005,38.5969068064,39.204234555,3784900.0
4697,2010-01-15,JCI,39.089054450300004,39.3089497383,38.481722513200005,39.4346010472,6778300.0
5165,2010-01-19,JCI,40.3141842933,39.989578010500004,39.2775350786,40.7120900524,27614500.0
5633,2010-01-20,JCI,39.8743926702,39.9372219896,39.528845026199996,40.1361738221,14333500.0
6101,2010-01-21,JCI,40.083817801100004,39.5079005236,39.2670649215,40.2408879582,9199100.0
6569,2010-01-22,JCI,39.4869602095,38.7958586388,38.7120879582,39.6440261781,11328700.0
7037,2010-01-25,JCI,39.193764398,38.6073769634,38.5550219896,39.3403602095,6044600.0
7505,2010-01-26,JCI,38.251356021,38.2932408378,38.1885267016,38.6492628273,8340500.0
7973,2010-01-27,JCI,38.1780565446,38.2199413613,37.7487392671,38.3351267016,7552200.0
8441,2010-01-28,JCI,38.2199413613,37.8010942409,37.4974282723,38.4607811519,7802400.0
8909,2010-01-29,JCI,37.9476900524,37.099521466,36.9110408378,37.9895748692,8633800.0
9377,2010-02-01,JCI,37.371772774899995,37.2147026179,36.837741361300004,37.4555434556,7631000.0
9845,2010-02-02,JCI,37.382242932,38.2094712043,37.382242932,38.2932408378,9549700.0
10313,2010-02-03,JCI,38.251356021,38.2408858639,38.1466408378,38.6283183247,6917500.0
10781,2010-02-04,JCI,37.8639193718,36.7016157069,36.7016157069,37.9162753927,7234900.0
11249,2010-02-05,JCI,36.973867015799996,36.1256984294,35.6126073299,37.1309371728,11556200.0
11717,2010-02-08,JCI,36.2513539268,35.5497811519,35.5497811519,36.335123560300005,6470300.0
12185,2010-02-09,JCI,36.083813612600004,36.439834555,35.9581581152,36.670201047199996,8329500.0
12653,2010-02-10,JCI,36.3979497383,36.2094680629,36.1256984294,36.659729843,5611500.0
13121,2010-02-11,JCI,36.1361685865,36.3037089006,35.8953319372,36.4817193718,6315600.0
13589,2010-02-12,JCI,35.8953319372,36.1361685865,35.4345958116,36.1361685865,4722700.0
14057,2010-02-16,JCI,36.1989979058,36.5550198954,36.0209874346,36.6492596859,5875800.0
14525,2010-02-17,JCI,36.8063256545,36.973867015799996,36.7435005236,37.308947644,5726400.0
14993,2010-02-18,JCI,36.8272712043,37.089051309,36.7330303666,37.1728219896,4800600.0
15461,2010-02-19,JCI,37.0366921467,37.2880031414,36.8482115184,37.5811989529,4731600.0
15929,2010-02-22,JCI,37.2565874346,37.151877487,37.1414073299,37.738264921500004,5125900.0
16397,2010-02-23,JCI,36.9948115184,36.8272712043,36.6073748692,37.3508324608,6838000.0
16865,2010-02-24,JCI,36.973867015799996,36.931981151900004,36.7539706807,37.1309371728,4472300.0
17333,2010-02-25,JCI,36.7016157069,37.382242932,35.926747644,37.4345989529,8860300.0
17801,2010-02-26,JCI,37.2670617802,37.7592094241,37.0785769634,37.9058052357,7316600.0
18269,2010-03-01,JCI,37.884864921500004,38.471251309,37.884864921500004,38.7958586388,7569300.0
18737,2010-03-02,JCI,38.6702031414,38.722558115300004,38.5864324608,39.089054450300004,8130100.0
19205,2010-03-03,JCI,38.7539727749,38.481722513200005,38.3665371728,38.9005685865,9774600.0
19673,2010-03-04,JCI,38.4084219896,38.3246523561,37.9581602095,38.4398366493,8583900.0
20141,2010-03-05,JCI,38.7435026179,39.2775350786,38.6702031414,39.4346010472,7067100.0
20609,2010-03-08,JCI,39.4346010472,39.0576387435,38.8063287959,39.4660157069,6835800.0
21077,2010-03-09,JCI,39.0471685865,39.4555455498,38.921513089099996,39.5183706807,5664600.0
21545,2010-03-10,JCI,39.350834555,39.4660157069,38.7330324608,39.7906219896,5618100.0
22013,2010-03-11,JCI,39.5183706807,39.7382670158,39.2775350786,39.8115664922,7159700.0
22481,2010-03-12,JCI,39.842982199,39.4346010472,39.2775350786,40.1571183247,7462800.0
22949,2010-03-15,JCI,39.4241308901,39.1204649215,38.7435026179,39.4241308901,7639900.0
23417,2010-03-16,JCI,39.3089497383,39.0052837697,38.7435026179,39.4346010472,9295700.0
23885,2010-03-17,JCI,39.0785801048,38.534077487,38.3979518325,39.4241308901,9842000.0
24353,2010-03-18,JCI,38.6073769634,38.8377434556,38.1675853404,38.8900984294,10488800.0
24821,2010-03-19,JCI,38.523607329899995,38.523607329899995,38.1257005236,38.994813612600005,8980000.0
25289,2010-03-22,JCI,38.3770115184,38.97386911,38.1466408378,39.0576387435,7854500.0
25757,2010-03-23,JCI,38.911042932,39.0995246074,38.774917277600004,39.1623497383,4998300.0
26225,2010-03-24,JCI,38.9633989529,38.8900984294,38.5654921467,39.036694240900005,6221000.0
26693,2010-03-25,JCI,39.2461204189,38.5026628273,38.471251309,39.2670649215,6731800.0
27161,2010-03-26,JCI,38.6702031414,38.5969068064,38.2722963351,38.9005685865,4484800.0
27629,2010-03-29,JCI,38.8586837697,39.1623497383,38.827273298499996,39.350834555,7056300.0
28097,2010-03-30,JCI,39.1728240838,40.0209926702,39.1099947645,40.2094732985,13742300.0
28565,2010-03-31,JCI,40.1152324608,40.0524031414,39.7592115184,40.1885287959,7644700.0
29033,2010-04-01,JCI,40.073347644,40.5864356022,40.073347644,40.628320418899996,9718100.0
29501,2010-04-05,JCI,40.5864356022,41.078582199,40.4398397906,41.4869623037,9743100.0
29969,2010-04-06,JCI,40.9005717278,41.2565926702,40.9005717278,41.4031926702,7784300.0
30437,2010-04-07,JCI,41.078582199,41.068112041999996,40.869160209499995,41.2042376964,8860100.0
30905,2010-04-08,JCI,40.9005717278,41.2880073299,40.6492649215,41.3717780105,5686100.0
31373,2010-04-09,JCI,41.3613078535,41.6126136126,41.1832963352,41.6649738221,5126500.0
31841,2010-04-12,JCI,41.633558115300005,41.298477487,41.298477487,41.7173287959,4807200.0
32309,2010-04-13,JCI,41.1518816755,41.4136628273,40.984341361300004,41.7173287959,7511900.0
32777,2010-04-14,JCI,41.7487434556,41.8115696336,41.4555476441,42.3665413613,12111600.0
33245,2010-04-15,JCI,41.5602586388,41.9058094242,41.5602586388,42.2618314137,8270500.0
33713,2010-04-16,JCI,41.7487434556,41.8010994765,41.214712041999995,42.0105204189,9352200.0
34181,2010-04-19,JCI,41.581203141399996,41.6859141362,41.2042376964,41.7068586388,9888500.0
34649,2010-04-20,JCI,41.863924607399994,41.7173287959,41.3717780105,41.9058094242,9471900.0
