,date,symbol,open,close,low,high,volume
496,2010-01-04,KMX,24.48,23.98,23.870001000000002,24.48,2122800.0
964,2010-01-05,KMX,24.030001000000002,24.120001000000002,23.6,24.120001000000002,1689300.0
1432,2010-01-06,KMX,24.18,24.43,24.01,24.5,1566900.0
1900,2010-01-07,KMX,24.360001,24.200001,24.110001,24.68,1550800.0
2368,2010-01-08,KMX,24.1,24.309998999999998,23.85,24.33,895000.0
2836,2010-01-11,KMX,24.34,23.950001,23.799999,24.35,900800.0
3304,2010-01-12,KMX,23.75,23.370001000000002,23.18,23.75,2092100.0
3772,2010-01-13,KMX,23.41,23.49,23.030001000000002,23.540001,1280300.0
4240,2010-01-14,KMX,23.4,22.91,22.700001,23.43,1164700.0
4708,2010-01-15,KMX,22.74,22.559998999999998,22.41,23.09,1091900.0
5176,2010-01-19,KMX,22.559998999999998,22.85,22.41,22.940001000000002,1792000.0
5644,2010-01-20,KMX,22.59,22.4,22.32,22.66,1695000.0
6112,2010-01-21,KMX,21.65,21.65,21.139999,22.1,3750400.0
6580,2010-01-22,KMX,21.59,21.290001,21.200001,21.940001000000002,1954500.0
7048,2010-01-25,KMX,21.469998999999998,21.58,21.370001000000002,21.73,1066000.0
7516,2010-01-26,KMX,21.51,21.41,21.360001,21.82,677300.0
7984,2010-01-27,KMX,21.32,21.34,20.85,21.51,1990200.0
8452,2010-01-28,KMX,21.35,21.1,20.98,21.4,1583000.0
8920,2010-01-29,KMX,21.190001000000002,20.629998999999998,20.610001,21.43,2025700.0
9388,2010-02-01,KMX,20.700001,21.1,20.700001,21.16,1043300.0
9856,2010-02-02,KMX,21.18,21.639999,20.99,21.690001000000002,984900.0
10324,2010-02-03,KMX,21.440001000000002,21.49,21.24,21.67,1210500.0
10792,2010-02-04,KMX,21.219998999999998,20.73,20.67,21.389999,2022400.0
11260,2010-02-05,KMX,20.74,20.24,19.73,20.82,2623300.0
11728,2010-02-08,KMX,20.700001,20.33,20.25,20.76,1292800.0
12196,2010-02-09,KMX,20.889999,20.75,20.4,20.950001,2045100.0
12664,2010-02-10,KMX,20.73,20.799999,20.52,21.049999,1259200.0
13132,2010-02-11,KMX,20.85,21.209999,20.559998999999998,21.23,1662100.0
13600,2010-02-12,KMX,20.969998999999998,21.0,20.76,21.049999,1716300.0
14068,2010-02-16,KMX,21.15,21.18,20.99,21.290001,990800.0
14536,2010-02-17,KMX,21.290001,21.190001000000002,21.01,21.42,1117000.0
15004,2010-02-18,KMX,21.219998999999998,21.1,21.030001000000002,21.290001,797600.0
15472,2010-02-19,KMX,21.09,20.780001000000002,20.629998999999998,21.16,1741600.0
15940,2010-02-22,KMX,20.91,20.559998999999998,20.49,20.91,1287000.0
16408,2010-02-23,KMX,20.559998999999998,20.17,19.98,20.559998999999998,2383700.0
16876,2010-02-24,KMX,20.379998999999998,20.42,20.200001,20.5,2014800.0
17344,2010-02-25,KMX,20.110001,20.33,19.940001000000002,20.41,1358400.0
17812,2010-02-26,KMX,20.370001000000002,20.190001000000002,20.01,20.370001000000002,1465100.0
18280,2010-03-01,KMX,20.33,21.469998999999998,20.299999,21.48,2768000.0
18748,2010-03-02,KMX,21.5,21.700001,21.5,22.0,2225500.0
19216,2010-03-03,KMX,21.690001000000002,22.200001,21.690001000000002,22.620001000000002,2153900.0
19684,2010-03-04,KMX,22.190001000000002,22.52,22.18,22.549999,1541200.0
20152,2010-03-05,KMX,22.709999,23.299999,22.559998999999998,23.33,1951300.0
20620,2010-03-08,KMX,23.33,23.23,23.190001000000002,23.73,1579200.0
21088,2010-03-09,KMX,23.110001,22.98,22.9,23.35,1146100.0
21556,2010-03-10,KMX,22.92,23.290001,22.91,23.35,1105100.0
22024,2010-03-11,KMX,23.09,23.290001,22.85,23.299999,821100.0
22492,2010-03-12,KMX,23.370001000000002,23.4,23.0,23.4,874200.0
22960,2010-03-15,KMX,23.34,23.27,22.950001,23.469998999999998,602300.0
23428,2010-03-16,KMX,23.26,23.370001000000002,23.120001000000002,23.51,592000.0
23896,2010-03-17,KMX,23.5,24.209999,23.389999,24.370001000000002,2105500.0
24364,2010-03-18,KMX,24.09,23.879998999999998,23.67,24.24,1117900.0
24832,2010-03-19,KMX,23.639999,23.639999,23.41,24.08,1355800.0
25300,2010-03-22,KMX,23.4,24.01,23.27,24.200001,1425400.0
25768,2010-03-23,KMX,24.02,24.73,23.879998999999998,24.74,1572400.0
