,date,symbol,open,close,low,high,volume
499,2010-01-04,KSS,54.5,53.98,53.900002,54.75,3239900.0
967,2010-01-05,KSS,53.880001,54.02,53.490002000000004,54.189999,2539600.0
1435,2010-01-06,KSS,54.18,54.720001,53.91,55.02,3207800.0
1903,2010-01-07,KSS,54.599998,53.459998999999996,52.279999,54.599998,8330300.0
2371,2010-01-08,KSS,53.450001,52.830002,52.509997999999996,53.450001,3438100.0
2839,2010-01-11,KSS,53.049999,52.75,52.080002,53.220001,2474500.0
3307,2010-01-12,KSS,52.490002000000004,51.57,50.860001000000004,52.509997999999996,5313900.0
3775,2010-01-13,KSS,51.669998,52.200001,51.610001000000004,52.349998,3496400.0
4243,2010-01-14,KSS,51.689999,51.689999,51.369999,51.900002,3808000.0
4711,2010-01-15,KSS,51.580002,51.509997999999996,51.220001,52.150002,4142800.0
5179,2010-01-19,KSS,51.380001,52.18,51.200001,52.27,7446700.0
5647,2010-01-20,KSS,51.900002,51.5,51.139998999999996,52.080002,3799700.0
6115,2010-01-21,KSS,51.630001,51.27,50.82,52.5,5178200.0
6583,2010-01-22,KSS,51.220001,50.450001,50.34,52.080002,5391000.0
7051,2010-01-25,KSS,50.91,50.290001000000004,49.919998,51.060001,3675900.0
7519,2010-01-26,KSS,50.209998999999996,50.25,49.869999,51.049999,3879100.0
7987,2010-01-27,KSS,50.200001,50.509997999999996,50.009997999999996,50.830002,3953200.0
8455,2010-01-28,KSS,50.77,50.529999,50.360001000000004,51.049999,5394400.0
8923,2010-01-29,KSS,50.75,50.369999,50.330002,51.32,3870600.0
9391,2010-02-01,KSS,50.610001000000004,50.919998,50.189999,50.950001,2953600.0
9859,2010-02-02,KSS,51.07,51.919998,51.07,52.150002,3979000.0
10327,2010-02-03,KSS,51.919998,52.139998999999996,51.43,52.34,4669300.0
10795,2010-02-04,KSS,51.709998999999996,50.07,49.98,51.950001,6902100.0
11263,2010-02-05,KSS,50.150002,49.32,48.400002,50.349998,6202800.0
11731,2010-02-08,KSS,49.34,49.200001,48.84,49.970001,4472800.0
12199,2010-02-09,KSS,49.720001,49.849998,49.200001,50.200001,4549700.0
12667,2010-02-10,KSS,49.860001000000004,49.700001,49.459998999999996,50.259997999999996,3253500.0
13135,2010-02-11,KSS,49.490002000000004,49.439999,49.110001000000004,49.790001000000004,3765400.0
13603,2010-02-12,KSS,49.049999,49.830002,48.77,50.029999,2976600.0
14071,2010-02-16,KSS,50.130001,50.650002,49.919998,50.73,2610000.0
14539,2010-02-17,KSS,50.900002,51.209998999999996,50.779999,51.32,2202500.0
15007,2010-02-18,KSS,51.029999,51.360001000000004,50.560001,51.509997999999996,2721000.0
15475,2010-02-19,KSS,51.32,51.740002000000004,51.299999,51.939999,2528300.0
15943,2010-02-22,KSS,51.77,51.130001,51.07,51.77,2983300.0
16411,2010-02-23,KSS,50.529999,50.93,50.389998999999996,51.540001000000004,2924000.0
16879,2010-02-24,KSS,51.150002,51.59,50.5,51.669998,4503500.0
17347,2010-02-25,KSS,51.009997999999996,54.080002,51.009997999999996,54.450001,10299500.0
17815,2010-02-26,KSS,54.130001,53.82,53.82,54.560001,3269800.0
18283,2010-03-01,KSS,54.07,53.939999,53.75,54.349998,2632600.0
18751,2010-03-02,KSS,53.990002000000004,53.23,53.029999,54.200001,4071700.0
19219,2010-03-03,KSS,53.34,53.099998,52.650002,53.41,3111600.0
19687,2010-03-04,KSS,52.41,53.790001000000004,52.41,53.84,5647800.0
20155,2010-03-05,KSS,54.139998999999996,54.700001,53.68,54.77,3651700.0
20623,2010-03-08,KSS,54.77,54.459998999999996,54.32,54.880001,2248800.0
21091,2010-03-09,KSS,54.130001,54.099998,53.93,54.439999,2312300.0
