,date,symbol,open,close,low,high,volume
502,2010-01-04,LB,19.370001000000002,19.309998999999998,19.27,19.76,3959400.0
970,2010-01-05,LB,19.24,18.68,18.530001000000002,19.43,9097500.0
1438,2010-01-06,LB,18.559998999999998,19.07,18.34,19.120001000000002,6889000.0
1906,2010-01-07,LB,19.42,18.76,18.450001,19.59,7511700.0
2374,2010-01-08,LB,18.860001,19.59,18.780001000000002,19.620001000000002,5684200.0
2842,2010-01-11,LB,20.1,20.459999,19.93,20.610001,6663400.0
3310,2010-01-12,LB,20.23,20.43,20.15,20.9,4553600.0
3778,2010-01-13,LB,20.469998999999998,20.23,19.959999,20.540001,3190400.0
4246,2010-01-14,LB,20.200001,19.92,19.73,20.32,3322000.0
4714,2010-01-15,LB,19.82,19.389999,19.360001,20.02,3155400.0
5182,2010-01-19,LB,19.389999,19.34,19.17,19.540001,4890700.0
5650,2010-01-20,LB,19.110001,18.9,18.889999,19.24,5126600.0
6118,2010-01-21,LB,18.950001,18.68,18.52,19.09,6916600.0
6586,2010-01-22,LB,18.809998999999998,18.379998999999998,18.360001,18.92,5490400.0
7054,2010-01-25,LB,18.6,18.6,18.389999,18.75,3461100.0
7522,2010-01-26,LB,18.959999,19.4,18.65,19.82,8012900.0
7990,2010-01-27,LB,19.35,19.709999,19.209999,19.809998999999998,5122100.0
8458,2010-01-28,LB,19.75,19.209999,19.139999,19.75,4520700.0
8926,2010-01-29,LB,19.370001000000002,19.02,18.940001000000002,19.459999,3554700.0
9394,2010-02-01,LB,19.23,19.65,19.120001000000002,19.67,3070800.0
9862,2010-02-02,LB,19.68,20.32,19.66,20.33,5572500.0
10330,2010-02-03,LB,20.23,20.26,20.0,20.32,6301000.0
10798,2010-02-04,LB,20.17,20.030001000000002,19.959999,20.299999,8675400.0
11266,2010-02-05,LB,19.98,20.469998999999998,19.84,20.51,7955500.0
11734,2010-02-08,LB,20.49,20.01,20.01,20.49,6362800.0
12202,2010-02-09,LB,20.23,20.34,19.98,20.450001,5263600.0
12670,2010-02-10,LB,20.25,20.09,19.9,20.360001,3786800.0
13138,2010-02-11,LB,20.0,20.34,19.879998999999998,20.370001000000002,2641500.0
13606,2010-02-12,LB,20.049999,20.48,19.84,20.549999,5100100.0
14074,2010-02-16,LB,20.74,20.83,20.48,20.84,3053000.0
14542,2010-02-17,LB,20.91,21.049999,20.77,21.17,3577700.0
15010,2010-02-18,LB,20.959999,21.34,20.9,21.370001000000002,2260400.0
15478,2010-02-19,LB,21.200001,21.4,21.17,21.48,2877100.0
15946,2010-02-22,LB,21.6,21.5,21.32,21.73,5583600.0
16414,2010-02-23,LB,21.450001,21.030001000000002,20.969998999999998,21.52,7453500.0
16882,2010-02-24,LB,20.870001000000002,21.540001,20.870001000000002,21.559998999999998,7085800.0
17350,2010-02-25,LB,22.030001000000002,22.15,21.9,22.530001000000002,17572600.0
17818,2010-02-26,LB,22.15,22.110001,21.99,22.26,6981300.0
18286,2010-03-01,LB,22.25,22.530001000000002,22.16,22.719998999999998,4907500.0
18754,2010-03-02,LB,22.66,22.43,22.4,22.76,4186100.0
19222,2010-03-03,LB,22.5,22.65,22.35,22.75,3272200.0
19690,2010-03-04,LB,22.73,22.98,22.51,23.02,4048700.0
20158,2010-03-05,LB,23.17,23.280001000000002,22.92,23.379998999999998,2860700.0
