,date,symbol,open,close,low,high,volume
508,2010-01-04,LLTC,31.059998999999998,30.940001000000002,30.83,31.17,2887600.0
976,2010-01-05,LLTC,31.01,30.959999,30.700001,31.120001000000002,3449300.0
1444,2010-01-06,LLTC,30.809998999999998,30.48,30.34,31.209999,4056300.0
1912,2010-01-07,LLTC,30.35,30.5,30.049999,30.58,2967600.0
2380,2010-01-08,LLTC,30.48,30.889999,30.23,31.01,3149000.0
2848,2010-01-11,LLTC,30.950001,30.639999,30.5,31.129998999999998,4499400.0
3316,2010-01-12,LLTC,30.469998999999998,30.23,29.91,30.469998999999998,5654800.0
3784,2010-01-13,LLTC,30.48,29.870001000000002,29.23,30.52,9883700.0
4252,2010-01-14,LLTC,29.85,29.709999,29.24,30.040001,4976500.0
4720,2010-01-15,LLTC,29.84,28.719998999999998,28.57,29.84,7894700.0
5188,2010-01-19,LLTC,28.76,29.0,28.73,29.200001,4129600.0
5656,2010-01-20,LLTC,28.73,28.709999,28.280001000000002,28.879998999999998,5042000.0
6124,2010-01-21,LLTC,28.75,28.58,28.42,29.049999,4826800.0
6592,2010-01-22,LLTC,28.360001,27.370001000000002,27.309998999999998,28.549999,6432700.0
7060,2010-01-25,LLTC,27.440001000000002,27.68,27.379998999999998,27.799999,3719300.0
7528,2010-01-26,LLTC,27.540001,27.299999,27.27,27.799999,3653200.0
7996,2010-01-27,LLTC,27.280001000000002,27.370001000000002,26.82,27.58,5240300.0
8464,2010-01-28,LLTC,27.4,26.719998999999998,26.27,27.4,6438500.0
8932,2010-01-29,LLTC,26.879998999999998,26.1,25.870001000000002,27.209999,7939100.0
9400,2010-02-01,LLTC,26.040001,27.040001,26.040001,27.049999,5502600.0
9868,2010-02-02,LLTC,26.969998999999998,27.059998999999998,26.77,27.190001000000002,5176100.0
10336,2010-02-03,LLTC,26.91,27.01,26.77,27.15,2942300.0
10804,2010-02-04,LLTC,26.73,26.110001,25.940001000000002,26.84,4933700.0
11272,2010-02-05,LLTC,26.1,26.6,25.940001000000002,26.73,5701500.0
11740,2010-02-08,LLTC,26.41,26.43,26.16,26.809998999999998,4050200.0
12208,2010-02-09,LLTC,26.84,26.67,26.459999,27.0,4184300.0
12676,2010-02-10,LLTC,26.559998999999998,26.59,26.23,26.809998999999998,3305800.0
13144,2010-02-11,LLTC,26.51,27.15,26.299999,27.26,4395500.0
13612,2010-02-12,LLTC,26.950001,27.25,26.610001,27.610001,4989900.0
14080,2010-02-16,LLTC,27.35,27.48,27.08,27.549999,4232200.0
14548,2010-02-17,LLTC,27.92,27.690001000000002,27.35,28.0,3921500.0
15016,2010-02-18,LLTC,27.77,27.74,27.4,27.799999,4212100.0
15484,2010-02-19,LLTC,27.709999,27.75,27.51,27.98,3790200.0
15952,2010-02-22,LLTC,27.809998999999998,27.58,27.4,27.889999,2631700.0
16420,2010-02-23,LLTC,27.41,27.02,26.84,27.700001,5262100.0
16888,2010-02-24,LLTC,27.219998999999998,27.610001,27.18,27.74,2994300.0
17356,2010-02-25,LLTC,27.280001000000002,27.4,26.74,27.43,4663200.0
17824,2010-02-26,LLTC,27.35,27.17,26.92,27.440001000000002,2850500.0
18292,2010-03-01,LLTC,27.209999,27.629998999999998,27.120001000000002,27.690001000000002,4154600.0
18760,2010-03-02,LLTC,27.68,27.48,27.42,27.950001,2576100.0
19228,2010-03-03,LLTC,27.620001000000002,27.18,27.059998999999998,27.76,3605300.0
19696,2010-03-04,LLTC,27.25,27.02,26.77,27.25,4617900.0
