,date,symbol,open,close,low,high,volume
515,2010-01-04,LUK,23.437199610500002,24.0993184031,23.271667964899997,24.118788705,937800.0
983,2010-01-05,LUK,24.0214186952,24.479069133400003,24.0214186952,24.4985394352,749600.0
1451,2010-01-06,LUK,24.4693291139,25.238558909400002,24.4693291139,25.3748782863,1500200.0
1919,2010-01-07,LUK,25.160658227800003,25.0827682571,24.917229795500003,25.2677692308,833400.0
2387,2010-01-08,LUK,24.926967867600002,25.0146095423,24.7614391431,25.024338851,638700.0
2855,2010-01-11,LUK,25.0340788705,25.170399221,24.917229795500003,25.2872375852,532300.0
3323,2010-01-12,LUK,25.024338851,24.7030185005,24.586169425500003,25.2288198637,641100.0
3791,2010-01-13,LUK,24.7224888023,24.9659182084,24.595907497600003,24.9951295034,489200.0
4259,2010-01-14,LUK,24.8588091529,24.8003894839,24.7127594937,24.9951295034,654900.0
4727,2010-01-15,LUK,24.6738081792,24.157738071999997,24.0214186952,24.878289191799997,894300.0
5195,2010-01-19,LUK,24.264849075,24.294058422600003,24.001948393400003,24.4011694255,547100.0
5663,2010-01-20,LUK,24.1382687439,24.148000000000003,23.7195686465,24.245370009699997,669600.0
6131,2010-01-21,LUK,24.157738071999997,23.8656280428,23.846148003899998,24.333008763400002,1327700.0
6599,2010-01-22,LUK,23.8558889971,22.950338850999998,22.9113894839,23.875369036,1355500.0
7067,2010-01-25,LUK,23.320349561799997,23.261928919200002,23.0963982473,23.4956192794,769200.0
7535,2010-01-26,LUK,23.1840292113,22.4926991237,22.4245384615,23.1840292113,820500.0
8003,2010-01-27,LUK,22.434269717600003,22.453749756599997,22.083739045799998,22.687440116799998,1133000.0
8471,2010-01-28,LUK,22.619278481,22.2297984421,21.9279483934,22.804278481,800400.0
8939,2010-01-29,LUK,22.2979591042,21.74293963,21.6942590068,22.8919191821,1016700.0
9407,2010-02-01,LUK,21.888999026300002,22.4634888023,21.8013583252,22.473220058400003,817500.0
9875,2010-02-02,LUK,22.4634888023,22.8627098345,22.3758500487,22.8821781889,778000.0
10343,2010-02-03,LUK,22.736118792600003,22.7069084713,22.5900701071,22.8627098345,539600.0
10811,2010-02-04,LUK,22.5316494645,21.226868549200002,21.1976592016,22.6971791626,1447600.0
11279,2010-02-05,LUK,21.148978578399998,21.3729298929,20.7400194742,21.4702999026,1500000.0
11747,2010-02-08,LUK,21.3826679649,21.148978578399998,21.110028237599998,21.6650379747,798400.0
12215,2010-02-09,LUK,21.6358286271,21.4216183057,21.168447906500003,21.8110993184,929100.0
12683,2010-02-10,LUK,21.4313495618,21.2171392405,21.110028237599998,21.518988315500003,642000.0
13151,2010-02-11,LUK,21.1879279455,21.4995092502,20.8860788705,21.557938656300003,882900.0
13619,2010-02-12,LUK,21.2463485881,21.2463485881,20.9931781889,21.3437185979,1176400.0
14087,2010-02-16,LUK,21.4800389484,21.8597896787,21.2463485881,21.888999026300002,628500.0
14555,2010-02-17,LUK,21.9474186952,22.3076884128,21.733198636799997,22.3758500487,919800.0
15023,2010-02-18,LUK,22.2687390458,22.4829591042,22.142159688400003,22.5219084713,593100.0
15491,2010-02-19,LUK,22.3368997079,22.5803291139,22.181109055500002,22.6387487829,767500.0
15959,2010-02-22,LUK,22.8432278481,22.784808179200002,22.5608588121,22.8627098345,476900.0
16427,2010-02-23,LUK,22.765339824699996,22.073998052600004,21.8597896787,22.814019474200002,726000.0
16895,2010-02-24,LUK,22.2005793573,22.453749756599997,22.0545277507,22.5803291139,611800.0
17363,2010-02-25,LUK,22.1129483934,22.716648490700003,21.918208373899997,22.775069133400002,705900.0
17831,2010-02-26,LUK,22.804278481,23.115868549200002,22.570588120700002,23.1548179163,792500.0
18299,2010-03-01,LUK,23.2327185979,23.7293076923,23.1840292113,23.7779892892,1090200.0
18767,2010-03-02,LUK,23.8072093476,23.885098344699998,23.7877283349,24.245370009699997,738300.0
19235,2010-03-03,LUK,23.914309639699997,23.8656280428,23.826677701999998,24.2551090555,623900.0
19703,2010-03-04,LUK,23.8656280428,23.81693963,23.5053583252,23.8948393379,549200.0
20171,2010-03-05,LUK,23.9727390458,24.294058422600003,23.8558889971,24.323269717600002,758700.0
20639,2010-03-08,LUK,24.3427497566,24.323269717600002,24.2258997079,24.4693291139,575900.0
21107,2010-03-09,LUK,24.2258997079,24.479069133400003,24.1966884128,24.829597857800003,587000.0
21575,2010-03-10,LUK,24.586169425500003,24.362220058400002,24.294058422600003,24.7711781889,884600.0
22043,2010-03-11,LUK,24.2843193768,24.6445988315,24.148000000000003,24.6445988315,573500.0
22511,2010-03-12,LUK,24.917229795500003,24.595907497600003,24.537489775999997,24.917229795500003,541900.0
22979,2010-03-15,LUK,24.537489775999997,24.4011694255,24.216158714699997,24.586169425500003,551400.0
23447,2010-03-16,LUK,24.479069133400003,24.6738081792,24.3719581305,24.6738081792,413300.0
23915,2010-03-17,LUK,24.810127555999998,24.917229795500003,24.6543281402,24.9561791626,723100.0
24383,2010-03-18,LUK,24.926967867600002,24.888018500500003,24.586169425500003,24.926967867600002,414100.0
24851,2010-03-19,LUK,24.7030185005,24.7030185005,24.7030185005,25.219078870500002,1463900.0
25319,2010-03-22,LUK,24.5764391431,24.9367088608,24.449849075,24.9561791626,655700.0
25787,2010-03-23,LUK,25.0048685492,25.141187926,24.7711781889,25.141187926,578400.0
26255,2010-03-24,LUK,25.0048685492,24.868548198600003,24.829597857800003,25.092499513099998,536100.0
26723,2010-03-25,LUK,25.131449853899998,24.595907497600003,24.566699123699998,25.131449853899998,573400.0
27191,2010-03-26,LUK,24.6153777994,24.4985394352,24.2843193768,24.839338850999997,636300.0
27659,2010-03-29,LUK,24.6153777994,24.3427497566,24.333008763400002,24.8588091529,1007700.0
28127,2010-03-30,LUK,24.362220058400002,24.3719581305,24.1869493671,24.7030185005,836900.0
28595,2010-03-31,LUK,24.264849075,24.157738071999997,24.0798383642,24.420639727399998,933400.0
29063,2010-04-01,LUK,24.3719581305,24.693278481,24.294058422600003,24.7127594937,603400.0
29531,2010-04-05,LUK,24.7711781889,24.888018500500003,24.537489775999997,25.0730292113,701700.0
29999,2010-04-06,LUK,24.829597857800003,25.2288198637,24.634857838400002,25.2288198637,600300.0
30467,2010-04-07,LUK,25.170399221,24.926967867600002,24.810127555999998,25.170399221,587800.0
30935,2010-04-08,LUK,24.7809191821,24.829597857800003,24.595907497600003,25.0340788705,674800.0
31403,2010-04-09,LUK,24.868548198600003,24.9074985394,24.7322278481,24.9756592015,456600.0
31871,2010-04-12,LUK,24.917229795500003,26.1343700097,24.868548198600003,26.4654284323,2501200.0
32339,2010-04-13,LUK,26.2025287244,26.2998987342,25.9688383642,26.5043777994,1849100.0
32807,2010-04-14,LUK,26.4167487829,27.0204488802,26.3680574489,27.1178198637,1400300.0
33275,2010-04-15,LUK,27.010708860799998,27.312557935700003,26.913337877300002,27.6241480039,1446900.0
33743,2010-04-16,LUK,27.254139240500002,26.0954196689,26.0954196689,27.4488782863,1970200.0
34211,2010-04-19,LUK,25.9006796495,26.260948393400003,25.744888997100002,26.3485890944,881700.0
34679,2010-04-20,LUK,26.5043777994,26.2998987342,26.2025287244,26.7088588121,814200.0
35147,2010-04-21,LUK,26.2998987342,25.9590993184,25.735148003899997,26.4946387536,1189100.0
35615,2010-04-22,LUK,25.715677701999997,25.8325180136,25.3164586173,25.851998052600003,1298800.0
36083,2010-04-23,LUK,25.8325180136,25.9104186952,25.6085686465,25.9396290165,703500.0
36551,2010-04-26,LUK,25.920158714699998,25.5696192794,25.5696192794,25.9980496592,648700.0
37019,2010-04-27,LUK,25.3846192794,24.7224888023,24.6640691334,25.6085686465,1382500.0
37487,2010-04-28,LUK,24.9464479065,24.508278480999998,24.1966884128,25.0730292113,1461300.0
37956,2010-04-29,LUK,24.7614391431,25.219078870500002,24.7030185005,25.3067195716,885500.0
38425,2010-04-30,LUK,25.131449853899998,24.6445988315,24.595907497600003,25.170399221,1253800.0
38894,2010-05-03,LUK,24.868548198600003,25.219078870500002,24.7614391431,25.3067195716,912200.0
39363,2010-05-04,LUK,24.9367088608,24.1966884128,24.0506290165,24.9367088608,1480700.0
39832,2010-05-05,LUK,23.875369036,24.0798383642,23.612457643600003,24.449849075,1087500.0
40301,2010-05-06,LUK,24.0116796495,23.0282395326,21.9571596884,24.4985394352,2386000.0
40770,2010-05-07,LUK,23.1645589094,22.2687390458,21.9084693281,23.1645589094,1902400.0
41239,2010-05-10,LUK,23.992209347600003,23.4858782863,22.8334985394,23.992209347600003,1752600.0
41708,2010-05-11,LUK,23.1548179163,23.115868549200002,23.0671888997,23.651407984400002,993700.0
42177,2010-05-12,LUK,23.261928919200002,23.7877283349,23.2132385589,23.81693963,712600.0
42646,2010-05-13,LUK,23.81693963,23.4761382668,23.4664089581,23.81693963,795400.0
43115,2010-05-14,LUK,23.2521888997,22.7263894839,22.473220058400003,23.30087926,1299000.0
43584,2010-05-17,LUK,22.7069084713,22.5900701071,21.937678675700003,22.940597857800004,1086200.0
44053,2010-05-18,LUK,22.8919191821,21.9474186952,21.8208393379,22.950338850999998,1161100.0
44522,2010-05-19,LUK,21.8305696202,21.6650379747,21.2463485881,22.0934780915,1438200.0
44991,2010-05-20,LUK,21.26581889,20.457638753599998,20.447909445,21.3145092502,2231400.0
45460,2010-05-21,LUK,20.0292083739,21.6066192794,19.912370009700002,21.6260993184,2443400.0
45929,2010-05-24,LUK,21.5384586173,20.7108091529,20.7010701071,21.5384586173,1225900.0
46398,2010-05-25,LUK,20.311589094400002,20.8860788705,19.815,20.9152901655,1802100.0
46867,2010-05-26,LUK,21.2073982473,20.5647497566,20.447909445,21.2755589094,1196400.0
47336,2010-05-27,LUK,20.9444985394,21.6066192794,20.8860788705,21.6358286271,1295500.0
47805,2010-05-28,LUK,21.557938656300003,21.3437185979,21.0905598831,21.6358286271,1028200.0
48274,2010-06-01,LUK,21.1294985394,20.175268743900002,20.14606037,21.2171392405,1375000.0
48743,2010-06-02,LUK,20.3894800389,20.93475852,20.0486893866,20.9639688413,1333000.0
49212,2010-06-03,LUK,20.9639688413,20.5063291139,20.301848101300003,21.110028237599998,1722600.0
49681,2010-06-04,LUK,19.990258033099998,19.8831489776,19.746838364200002,20.2726397274,2535400.0
50150,2010-06-07,LUK,20.1071080818,19.3865598831,19.3476095423,20.1071080818,1200000.0
50619,2010-06-08,LUK,19.4255092502,19.5812999026,19.0165491723,19.6591996105,1631000.0
51088,2010-06-09,LUK,19.912370009700002,19.6981499513,19.6202492697,20.370009737100002,1700700.0
51557,2010-06-10,LUK,19.9805287244,20.311589094400002,19.844208373900003,20.3213184031,2066000.0
52026,2010-06-11,LUK,20.068157741,20.5647497566,20.0584196689,20.613438169400002,964900.0
52495,2010-06-14,LUK,20.730278481,20.7010701071,20.6037000974,21.1002891918,1102800.0
52964,2010-06-15,LUK,21.0029191821,21.226868549200002,20.827649464500002,21.26581889,1091200.0
53433,2010-06-16,LUK,21.0516095423,20.9931781889,20.8081791626,21.1587098345,950300.0
53902,2010-06-17,LUK,21.0029191821,21.148978578399998,20.730278481,21.1587098345,1129400.0
54371,2010-06-18,LUK,21.148978578399998,21.0418695229,20.9931781889,21.2852979552,1066100.0
54840,2010-06-21,LUK,21.2852979552,20.8763398247,20.74975852,21.4410886076,741800.0
55309,2010-06-22,LUK,20.8665988315,20.4965890944,20.4771187926,21.1197692308,744200.0
55778,2010-06-23,LUK,20.4868500487,20.632908471300002,20.370009737100002,20.827649464500002,1021100.0
56247,2010-06-24,LUK,20.4771187926,20.2434284323,20.1849980526,20.662119766300002,1149800.0
56716,2010-06-25,LUK,20.428429406,20.457638753599998,20.0486893866,20.5744888023,2017900.0
57185,2010-06-28,LUK,20.6231694255,20.0876280428,20.0584196689,20.6231694255,873200.0
57654,2010-06-29,LUK,19.8344693281,19.2599785784,19.133399220999998,19.8636786757,1677900.0
58123,2010-06-30,LUK,19.3378782863,18.9970788705,18.9191791626,19.591038948399998,1159800.0
58592,2010-07-01,LUK,18.8997088608,18.8997088608,18.3057390458,19.152869522899998,1360400.0
59061,2010-07-02,LUK,19.0068198637,18.3933787731,18.3641694255,19.1041898734,1465200.0
59530,2010-07-06,LUK,18.7731295034,18.5491684518,18.3349600779,18.9873398247,1373700.0
59999,2010-07-07,LUK,18.666018500499998,19.094448880199998,18.5199591042,19.143140214200002,1566300.0
60468,2010-07-08,LUK,19.3768286271,19.6494586173,19.2112989289,19.6591996105,1179000.0
60937,2010-07-09,LUK,19.5618296008,19.873419668900002,19.5520886076,19.8928899708,983500.0
61406,2010-07-12,LUK,19.766308666,19.8928899708,19.591038948399998,20.0097400195,662900.0
61875,2010-07-13,LUK,20.2044780915,20.4771187926,20.0778987342,20.5355384615,1043200.0
62344,2010-07-14,LUK,20.4186981499,20.3407984421,20.068157741,20.4771187926,737600.0
62813,2010-07-15,LUK,20.399218111,20.2628987342,19.8247293087,20.399218111,705800.0
63282,2010-07-16,LUK,20.0486893866,19.3086689386,19.2697195716,20.116849075,1202700.0
63751,2010-07-19,LUK,19.3865598831,19.3768286271,19.084707887,19.5131480039,652000.0
64220,2010-07-20,LUK,19.0068198637,19.8928899708,18.9678695229,19.912370009700002,933900.0
64689,2010-07-21,LUK,20.14606037,19.4157682571,19.3476095423,20.1557896787,947200.0
65158,2010-07-22,LUK,19.844208373900003,20.759487828599998,19.8344693281,20.8665988315,1600200.0
65627,2010-07-23,LUK,20.7400194742,20.9542395326,20.399218111,20.9542395326,1148200.0
66096,2010-07-26,LUK,20.8860788705,21.41187926,20.8860788705,21.41187926,850500.0
66565,2010-07-27,LUK,21.6260993184,21.4995092502,21.26581889,21.7624079844,939300.0
67034,2010-07-28,LUK,21.4800389484,21.3826679649,21.2950292113,21.59687926,1064700.0
67503,2010-07-29,LUK,21.6066192794,21.4410886076,21.0126582278,21.74293963,1372900.0
67972,2010-07-30,LUK,21.1587098345,21.509249269699996,21.022399221,21.6358286271,982500.0
68441,2010-08-02,LUK,21.8403076923,22.3076884128,21.7721489776,22.3271684518,1118700.0
