,date,symbol,open,close,low,high,volume
524,2010-01-04,MAT,20.33,19.99,19.959999,20.33,2975900.0
992,2010-01-05,MAT,19.9,19.58,19.33,20.059998999999998,5206100.0
1460,2010-01-06,MAT,19.5,19.5,19.190001000000002,19.58,6354900.0
1928,2010-01-07,MAT,19.700001,20.0,19.639999,20.07,9714500.0
2396,2010-01-08,MAT,19.91,19.77,19.74,20.059998999999998,3362600.0
2864,2010-01-11,MAT,19.790001,19.9,19.66,19.98,5180500.0
3332,2010-01-12,MAT,19.690001000000002,19.35,19.18,19.9,5961600.0
3800,2010-01-13,MAT,19.389999,19.99,19.32,20.059998999999998,8627500.0
4268,2010-01-14,MAT,19.870001000000002,20.48,19.799999,20.540001,10507800.0
4736,2010-01-15,MAT,20.610001,20.280001000000002,20.08,20.610001,5765900.0
5204,2010-01-19,MAT,20.26,20.780001000000002,20.15,20.860001,4809100.0
5672,2010-01-20,MAT,20.67,20.58,20.290001,20.700001,3656100.0
6140,2010-01-21,MAT,20.75,20.58,20.280001000000002,21.0,7519000.0
6608,2010-01-22,MAT,20.530001000000002,19.950001,19.940001000000002,20.860001,4988600.0
7076,2010-01-25,MAT,19.950001,19.959999,19.83,20.290001,3078800.0
7544,2010-01-26,MAT,19.9,19.85,19.799999,20.07,2451900.0
8012,2010-01-27,MAT,19.940001000000002,19.959999,19.690001000000002,19.99,3754300.0
8480,2010-01-28,MAT,20.1,20.040001,19.879998999999998,20.370001000000002,8085800.0
8948,2010-01-29,MAT,20.450001,19.719998999999998,19.07,20.51,13902000.0
9416,2010-02-01,MAT,19.860001,20.27,19.51,20.34,6403200.0
9884,2010-02-02,MAT,20.27,20.809998999999998,20.030001000000002,20.83,5342000.0
10352,2010-02-03,MAT,20.690001000000002,20.92,20.6,20.98,4060200.0
10820,2010-02-04,MAT,20.809998999999998,20.030001000000002,20.02,20.870001000000002,5082300.0
11288,2010-02-05,MAT,20.030001000000002,20.1,19.67,20.27,6642800.0
11756,2010-02-08,MAT,20.200001,20.059998999999998,20.02,20.57,5308200.0
12224,2010-02-09,MAT,20.35,20.51,20.15,20.639999,5198600.0
12692,2010-02-10,MAT,20.549999,20.27,20.1,20.620001000000002,4648900.0
13160,2010-02-11,MAT,20.190001000000002,20.610001,19.809998999999998,20.620001000000002,4979000.0
13628,2010-02-12,MAT,20.389999,20.99,20.299999,21.030001000000002,6897900.0
14096,2010-02-16,MAT,21.23,21.25,21.02,21.379998999999998,5185000.0
14564,2010-02-17,MAT,21.5,21.559998999999998,21.01,21.719998999999998,8737600.0
15032,2010-02-18,MAT,21.66,21.9,21.57,21.92,5113500.0
15500,2010-02-19,MAT,22.0,21.780001000000002,21.66,22.0,6021600.0
15968,2010-02-22,MAT,21.9,21.58,21.52,21.940001000000002,3436600.0
16436,2010-02-23,MAT,21.639999,21.799999,21.549999,21.870001000000002,7844000.0
16904,2010-02-24,MAT,22.07,22.0,21.74,22.07,4450600.0
17372,2010-02-25,MAT,21.700001,22.08,21.620001000000002,22.129998999999998,5502300.0
17840,2010-02-26,MAT,22.1,21.99,21.84,22.15,3581000.0
18308,2010-03-01,MAT,22.0,22.07,21.77,22.07,4161100.0
18776,2010-03-02,MAT,22.1,22.290001,21.91,22.290001,4527000.0
19244,2010-03-03,MAT,22.4,21.940001000000002,21.84,22.4,4346000.0
19712,2010-03-04,MAT,21.889999,22.059998999999998,21.719998999999998,22.07,3637900.0
20180,2010-03-05,MAT,22.139999,22.5,22.02,22.719998999999998,6612400.0
20648,2010-03-08,MAT,22.49,22.59,22.26,22.639999,4092500.0
21116,2010-03-09,MAT,22.93,22.6,22.49,22.99,4807300.0
21584,2010-03-10,MAT,22.66,22.889999,22.58,22.940001000000002,6202400.0
22052,2010-03-11,MAT,22.75,22.82,22.65,22.9,5317000.0
22520,2010-03-12,MAT,22.809998999999998,22.76,22.4,22.889999,4912300.0
22988,2010-03-15,MAT,22.790001,22.940001000000002,22.610001,22.969998999999998,4146600.0
23456,2010-03-16,MAT,22.99,23.139999,22.950001,23.469998999999998,5308800.0
23924,2010-03-17,MAT,23.190001000000002,23.209999,22.950001,23.33,2047600.0
24392,2010-03-18,MAT,23.110001,23.139999,22.969998999999998,23.25,3246900.0
24860,2010-03-19,MAT,23.309998999999998,23.190001000000002,22.51,23.469998999999998,5535400.0
25328,2010-03-22,MAT,23.139999,23.27,22.969998999999998,23.290001,4007500.0
25796,2010-03-23,MAT,23.24,23.219998999999998,23.01,23.35,4296400.0
26264,2010-03-24,MAT,23.209999,22.940001000000002,22.74,23.209999,5216300.0
26732,2010-03-25,MAT,23.049999,22.790001,22.790001,23.17,4242900.0
27200,2010-03-26,MAT,22.73,22.83,22.700001,23.120001000000002,4740400.0
27668,2010-03-29,MAT,23.120001000000002,23.09,23.02,23.26,2757600.0
28136,2010-03-30,MAT,23.139999,23.120001000000002,22.940001000000002,23.23,2507200.0
28604,2010-03-31,MAT,23.18,22.74,22.709999,23.18,1810900.0
29072,2010-04-01,MAT,22.9,22.610001,22.52,23.030001000000002,5293400.0
29540,2010-04-05,MAT,22.99,23.52,22.66,23.530001000000002,3926900.0
30008,2010-04-06,MAT,23.35,23.309998999999998,23.09,23.42,2575800.0
30476,2010-04-07,MAT,23.17,23.139999,22.93,23.34,2753000.0
30944,2010-04-08,MAT,23.1,23.49,22.82,23.540001,3594700.0
31412,2010-04-09,MAT,23.48,23.18,23.110001,23.530001000000002,4586300.0
31880,2010-04-12,MAT,23.24,23.280001000000002,23.17,23.4,4188500.0
32348,2010-04-13,MAT,23.25,23.459999,23.24,23.620001000000002,4864900.0
32816,2010-04-14,MAT,23.370001000000002,23.32,22.969998999999998,23.5,7223600.0
33284,2010-04-15,MAT,23.4,23.75,23.16,23.790001,6149500.0
33752,2010-04-16,MAT,24.17,23.84,23.719998999999998,24.6,11403600.0
34220,2010-04-19,MAT,24.139999,23.52,23.09,24.25,7384200.0
34688,2010-04-20,MAT,23.709999,23.629998999999998,23.42,23.799999,5044100.0
35156,2010-04-21,MAT,23.58,23.6,23.200001,23.690001000000002,5503600.0
35624,2010-04-22,MAT,23.459999,23.43,23.16,23.66,4366000.0
36092,2010-04-23,MAT,23.379998999999998,23.540001,23.209999,23.57,3381700.0
36560,2010-04-26,MAT,23.639999,23.860001,23.549999,24.040001,5217600.0
37028,2010-04-27,MAT,24.16,23.280001000000002,23.190001000000002,24.42,5553100.0
37497,2010-04-28,MAT,23.27,23.24,22.99,23.41,4538500.0
37966,2010-04-29,MAT,23.280001000000002,23.65,23.049999,23.700001,4301700.0
38435,2010-04-30,MAT,23.700001,23.02,22.99,23.889999,4453800.0
38904,2010-05-03,MAT,23.290001,23.959999,23.26,24.059998999999998,4380800.0
39373,2010-05-04,MAT,23.58,22.99,22.809998999999998,23.58,5609000.0
39842,2010-05-05,MAT,22.99,22.879998999999998,22.76,23.280001000000002,4829400.0
