,date,symbol,open,close,low,high,volume
528,2010-01-04,MCO,26.940001000000002,27.27,26.82,27.280001000000002,1859700.0
996,2010-01-05,MCO,27.16,26.99,26.68,27.299999,1982400.0
1464,2010-01-06,MCO,26.6,26.42,26.41,26.9,2019100.0
1932,2010-01-07,MCO,26.32,26.34,26.25,26.52,3805600.0
2400,2010-01-08,MCO,26.200001,26.84,26.120001000000002,26.85,2144200.0
2868,2010-01-11,MCO,26.879998999999998,26.68,26.5,26.950001,1459600.0
3336,2010-01-12,MCO,26.530001000000002,26.82,26.309998999999998,26.92,2884300.0
3804,2010-01-13,MCO,26.92,27.68,26.65,27.76,3141900.0
4272,2010-01-14,MCO,27.66,27.780001000000002,27.09,27.799999,2353700.0
4740,2010-01-15,MCO,27.67,27.42,27.24,27.77,2439400.0
5208,2010-01-19,MCO,27.559998999999998,27.700001,27.290001,27.76,1712300.0
5676,2010-01-20,MCO,27.58,27.629998999999998,27.389999,27.969998999999998,2323400.0
6144,2010-01-21,MCO,27.77,27.32,27.32,27.950001,2525300.0
6612,2010-01-22,MCO,27.24,26.969998999999998,26.91,27.780001000000002,3456500.0
7080,2010-01-25,MCO,27.08,26.33,26.290001,27.290001,3612900.0
7548,2010-01-26,MCO,26.209999,26.629998999999998,26.200001,26.690001000000002,4660500.0
8016,2010-01-27,MCO,27.299999,28.83,27.16,29.18,6819800.0
8484,2010-01-28,MCO,29.01,28.32,28.15,29.01,3915200.0
8952,2010-01-29,MCO,28.440001000000002,27.59,27.58,28.6,3795300.0
9420,2010-02-01,MCO,27.84,27.92,27.74,28.15,2747900.0
9888,2010-02-02,MCO,27.879998999999998,28.370001000000002,27.799999,28.540001,3618000.0
10356,2010-02-03,MCO,28.24,28.1,28.01,28.450001,2824800.0
10824,2010-02-04,MCO,27.68,26.389999,26.35,27.68,5817500.0
11292,2010-02-05,MCO,26.52,27.34,26.41,27.360001,5023200.0
11760,2010-02-08,MCO,27.280001000000002,26.48,26.469998999999998,27.4,3593300.0
12228,2010-02-09,MCO,26.75,26.76,26.530001000000002,27.02,3464500.0
12696,2010-02-10,MCO,26.709999,26.66,26.24,27.059998999999998,2910600.0
13164,2010-02-11,MCO,26.629998999999998,27.120001000000002,26.450001,27.209999,2867200.0
13632,2010-02-12,MCO,26.860001,26.98,26.42,27.1,3033200.0
14100,2010-02-16,MCO,27.190001000000002,27.24,26.91,27.27,2389100.0
14568,2010-02-17,MCO,27.370001000000002,27.07,27.030001000000002,27.4,2529100.0
15036,2010-02-18,MCO,27.0,26.9,26.809998999999998,27.129998999999998,2147000.0
15504,2010-02-19,MCO,26.719998999999998,27.09,26.58,27.129998999999998,2362400.0
15972,2010-02-22,MCO,27.18,26.799999,26.700001,27.18,2118900.0
16440,2010-02-23,MCO,26.790001,26.719998999999998,26.389999,26.91,2923300.0
16908,2010-02-24,MCO,26.809998999999998,27.02,26.620001000000002,27.07,1887400.0
17376,2010-02-25,MCO,26.67,26.860001,26.35,26.93,2177600.0
17844,2010-02-26,MCO,26.959999,26.620001000000002,26.559998999999998,26.99,1355800.0
18312,2010-03-01,MCO,26.709999,27.17,26.58,27.379998999999998,2193800.0
18780,2010-03-02,MCO,27.24,27.209999,26.950001,27.35,1432300.0
19248,2010-03-03,MCO,27.190001000000002,27.18,27.1,27.360001,1539100.0
19716,2010-03-04,MCO,27.18,27.280001000000002,26.98,27.34,954400.0
20184,2010-03-05,MCO,27.42,28.110001,27.299999,28.23,2756100.0
20652,2010-03-08,MCO,28.08,28.209999,27.85,28.42,1302400.0
21120,2010-03-09,MCO,28.190001000000002,28.040001,27.91,28.27,2235500.0
