,date,symbol,open,close,low,high,volume
529,2010-01-04,MDLZ,27.299999,27.43,27.17,27.48,7953300.0
997,2010-01-05,MDLZ,28.32,28.77,28.01,28.809998999999998,37152800.0
1465,2010-01-06,MDLZ,28.299999,28.969998999999998,28.1,29.16,40848800.0
1933,2010-01-07,MDLZ,29.049999,28.9,28.57,29.09,18359900.0
2401,2010-01-08,MDLZ,28.76,28.93,28.530001000000002,28.940001000000002,11000000.0
2869,2010-01-11,MDLZ,28.98,28.799999,28.629998999999998,29.1,11819700.0
3337,2010-01-12,MDLZ,28.75,29.290001,28.639999,29.34,19561000.0
3805,2010-01-13,MDLZ,29.709999,29.23,29.16,30.1,18000100.0
4273,2010-01-14,MDLZ,29.450001,29.120001000000002,28.73,29.59,10023700.0
4741,2010-01-15,MDLZ,28.41,29.58,28.1,30.0,25979600.0
5209,2010-01-19,MDLZ,29.0,29.41,28.620001000000002,29.43,53008900.0
5677,2010-01-20,MDLZ,28.540001,28.780001000000002,28.4,28.85,29477300.0
6145,2010-01-21,MDLZ,28.6,28.24,28.049999,28.700001,29094200.0
6613,2010-01-22,MDLZ,27.9,27.870001000000002,27.83,28.190001000000002,28024500.0
7081,2010-01-25,MDLZ,27.6,27.690001000000002,27.52,27.860001,23989200.0
7549,2010-01-26,MDLZ,27.24,27.76,27.09,27.83,33282200.0
8017,2010-01-27,MDLZ,27.75,28.35,27.75,28.469998999999998,24109300.0
8485,2010-01-28,MDLZ,28.27,28.040001,27.99,28.450001,21415500.0
8953,2010-01-29,MDLZ,27.93,27.66,27.65,28.1,15402500.0
9421,2010-02-01,MDLZ,27.83,28.059998999999998,27.639999,28.120001000000002,16347600.0
9889,2010-02-02,MDLZ,28.15,28.5,28.07,28.65,22109600.0
10357,2010-02-03,MDLZ,28.379998999999998,28.48,28.27,28.92,27546500.0
10825,2010-02-04,MDLZ,28.07,28.389999,27.870001000000002,28.42,58782300.0
11293,2010-02-05,MDLZ,28.299999,28.440001000000002,27.83,28.620001000000002,53305800.0
11761,2010-02-08,MDLZ,28.459999,28.360001,28.35,28.66,20271300.0
12229,2010-02-09,MDLZ,28.48,28.9,28.41,29.01,24555300.0
12697,2010-02-10,MDLZ,28.969998999999998,28.93,28.75,29.049999,19987800.0
13165,2010-02-11,MDLZ,29.02,28.99,28.75,29.15,21738800.0
13633,2010-02-12,MDLZ,29.0,29.09,28.559998999999998,29.09,74196600.0
14101,2010-02-16,MDLZ,28.68,28.969998999999998,28.32,28.969998999999998,54149700.0
14569,2010-02-17,MDLZ,28.860001,28.629998999999998,28.450001,28.950001,24839500.0
15037,2010-02-18,MDLZ,28.65,28.809998999999998,28.48,28.809998999999998,20606500.0
15505,2010-02-19,MDLZ,28.76,28.92,28.65,29.049999,15497300.0
15973,2010-02-22,MDLZ,28.889999,28.950001,28.65,29.09,27353400.0
16441,2010-02-23,MDLZ,29.07,29.129998999999998,28.92,29.370001000000002,27848300.0
16909,2010-02-24,MDLZ,29.200001,29.049999,28.99,29.299999,22312000.0
17377,2010-02-25,MDLZ,28.790001,28.809998999999998,28.530001000000002,28.98,22799300.0
17845,2010-02-26,MDLZ,28.75,28.43,28.299999,28.77,26546400.0
18313,2010-03-01,MDLZ,28.43,28.719998999999998,28.379998999999998,28.76,13289700.0
18781,2010-03-02,MDLZ,28.82,28.91,28.75,29.129998999999998,13813800.0
19249,2010-03-03,MDLZ,28.99,28.969998999999998,28.879998999999998,29.07,13534300.0
19717,2010-03-04,MDLZ,29.0,29.08,28.99,29.219998999999998,11131100.0
20185,2010-03-05,MDLZ,29.190001000000002,29.34,29.02,29.379998999999998,12133500.0
20653,2010-03-08,MDLZ,29.360001,29.17,29.09,29.43,7578600.0
21121,2010-03-09,MDLZ,29.389999,29.23,29.16,29.440001000000002,14592500.0
21589,2010-03-10,MDLZ,29.27,29.379998999999998,29.17,29.51,13906700.0
22057,2010-03-11,MDLZ,29.32,29.42,29.110001,29.42,8597100.0
22525,2010-03-12,MDLZ,29.379998999999998,29.450001,29.34,29.6,8989700.0
22993,2010-03-15,MDLZ,29.41,29.559998999999998,29.4,29.77,9896900.0
23461,2010-03-16,MDLZ,29.75,29.690001000000002,29.5,29.77,11378600.0
23929,2010-03-17,MDLZ,29.74,29.700001,29.540001,29.790001,15558100.0
24397,2010-03-18,MDLZ,29.76,29.83,29.68,29.99,10776900.0
24865,2010-03-19,MDLZ,29.629998999999998,29.629998999999998,29.5,29.99,16581600.0
25333,2010-03-22,MDLZ,29.559998999999998,29.73,29.51,29.83,8633800.0
25801,2010-03-23,MDLZ,29.83,30.780001000000002,29.76,30.799999,28224800.0
26269,2010-03-24,MDLZ,30.76,30.719998999999998,30.58,30.889999,17918800.0
26737,2010-03-25,MDLZ,30.790001,30.799999,30.73,30.98,14827800.0
27205,2010-03-26,MDLZ,30.74,30.629998999999998,30.33,30.84,17103100.0
27673,2010-03-29,MDLZ,30.4,30.540001,30.26,30.6,10126800.0
28141,2010-03-30,MDLZ,30.629998999999998,30.5,30.34,30.790001,9197700.0
28609,2010-03-31,MDLZ,30.52,30.24,30.200001,30.52,8654100.0
29077,2010-04-01,MDLZ,30.4,30.34,30.200001,30.5,9584100.0
29545,2010-04-05,MDLZ,30.48,30.209999,30.16,30.530001000000002,10098800.0
30013,2010-04-06,MDLZ,30.200001,30.08,30.02,30.25,10026400.0
30481,2010-04-07,MDLZ,30.059998999999998,30.07,30.0,30.32,8486300.0
30949,2010-04-08,MDLZ,30.0,30.129998999999998,29.91,30.290001,7826900.0
31417,2010-04-09,MDLZ,30.17,30.24,29.98,30.290001,11309700.0
31885,2010-04-12,MDLZ,30.32,30.34,30.24,30.41,5293300.0
32353,2010-04-13,MDLZ,30.26,30.65,30.209999,30.73,10297400.0
32821,2010-04-14,MDLZ,30.67,30.879998999999998,30.549999,30.889999,9356100.0
33289,2010-04-15,MDLZ,30.879998999999998,31.07,30.66,31.09,15277900.0
33757,2010-04-16,MDLZ,30.870001000000002,30.66,30.540001,30.959999,11718000.0
34225,2010-04-19,MDLZ,30.66,30.790001,30.290001,30.83,10369100.0
34693,2010-04-20,MDLZ,30.809998999999998,30.450001,30.35,30.940001000000002,9387900.0
35161,2010-04-21,MDLZ,30.52,30.25,30.18,30.559998999999998,14100500.0
35629,2010-04-22,MDLZ,30.25,30.190001000000002,30.01,30.35,11029400.0
36097,2010-04-23,MDLZ,30.35,30.09,29.799999,30.4,11843800.0
36565,2010-04-26,MDLZ,30.209999,30.09,29.969998999999998,30.4,9148000.0
37033,2010-04-27,MDLZ,29.99,29.5,29.48,30.049999,10743100.0
37502,2010-04-28,MDLZ,29.540001,29.75,29.35,29.93,10251200.0
37971,2010-04-29,MDLZ,29.99,29.91,29.780001000000002,30.09,11464700.0
38440,2010-04-30,MDLZ,29.950001,29.6,29.540001,30.030001000000002,12490200.0
38909,2010-05-03,MDLZ,29.73,29.9,29.549999,30.02,11894800.0
39378,2010-05-04,MDLZ,29.719998999999998,29.57,29.549999,29.93,14595300.0
39847,2010-05-05,MDLZ,29.639999,29.75,29.469998999999998,29.889999,14565400.0
40316,2010-05-06,MDLZ,29.629998999999998,29.209999,27.49,29.82,20860400.0
