,date,symbol,open,close,low,high,volume
530,2010-01-04,MDT,44.34,43.900002,43.799999,44.389998999999996,6109400.0
998,2010-01-05,MDT,44.0,44.799999,43.75,44.810001,6568600.0
1466,2010-01-06,MDT,44.689999,45.330002,44.419998,45.459998999999996,7470700.0
1934,2010-01-07,MDT,45.349998,45.75,45.02,45.810001,6895200.0
2402,2010-01-08,MDT,45.639998999999996,45.990002000000004,45.450001,46.09,4947200.0
2870,2010-01-11,MDT,46.240002000000004,45.810001,45.720001,46.34,4339400.0
3338,2010-01-12,MDT,45.419998,45.32,45.240002000000004,45.869999,4321600.0
3806,2010-01-13,MDT,45.310001,45.580002,45.23,45.75,3999800.0
4274,2010-01-14,MDT,45.5,45.98,45.34,46.080002,4260600.0
4742,2010-01-15,MDT,45.900002,45.610001000000004,45.209998999999996,46.02,5663300.0
5210,2010-01-19,MDT,45.82,46.029999,45.68,46.5,6034400.0
5678,2010-01-20,MDT,45.84,45.610001000000004,45.32,46.66,4489100.0
6146,2010-01-21,MDT,45.650002,44.09,44.049999,45.759997999999996,8339400.0
6614,2010-01-22,MDT,43.970001,43.299999,43.25,44.349998,6425100.0
7082,2010-01-25,MDT,43.610001000000004,44.049999,43.23,44.380001,4732200.0
7550,2010-01-26,MDT,43.959998999999996,43.759997999999996,43.580002,44.209998999999996,5735400.0
8018,2010-01-27,MDT,43.639998999999996,43.59,42.950001,43.84,4824800.0
8486,2010-01-28,MDT,43.740002000000004,43.169998,42.860001000000004,44.080002,5019600.0
8954,2010-01-29,MDT,43.400002,42.889998999999996,42.84,43.900002,6485700.0
9422,2010-02-01,MDT,42.98,43.150002,42.700001,43.419998,5434500.0
9890,2010-02-02,MDT,43.290001000000004,44.27,43.049999,44.509997999999996,7906000.0
10358,2010-02-03,MDT,44.119999,44.0,43.830002,44.349998,3638600.0
10826,2010-02-04,MDT,43.110001000000004,42.259997999999996,42.200001,43.380001,8256600.0
11294,2010-02-05,MDT,42.23,41.669998,41.099998,42.25,10079800.0
11762,2010-02-08,MDT,41.630001,41.790001000000004,41.290001000000004,42.189999,6700000.0
12230,2010-02-09,MDT,42.080002,42.360001000000004,42.0,42.869999,6409900.0
12698,2010-02-10,MDT,42.23,42.150002,41.330002,42.57,4993900.0
13166,2010-02-11,MDT,42.200001,42.299999,41.52,42.349998,5440000.0
13634,2010-02-12,MDT,41.939999,42.439999,41.610001000000004,42.560001,6242400.0
14102,2010-02-16,MDT,42.639998999999996,42.970001,42.310001,43.150002,6859600.0
14570,2010-02-17,MDT,42.98,43.470001,42.900002,43.75,5773700.0
15038,2010-02-18,MDT,43.470001,43.810001,43.380001,43.82,3861900.0
15506,2010-02-19,MDT,43.66,43.700001,43.09,43.959998999999996,4807100.0
15974,2010-02-22,MDT,43.689999,43.66,43.450001,43.939999,4819200.0
16442,2010-02-23,MDT,42.82,42.869999,42.57,43.41,11667900.0
16910,2010-02-24,MDT,43.049999,43.59,42.790001000000004,43.650002,5280600.0
17378,2010-02-25,MDT,42.810001,43.439999,42.650002,43.529999,6026200.0
17846,2010-02-26,MDT,43.57,43.400002,43.34,43.900002,4865800.0
18314,2010-03-01,MDT,43.5,43.919998,43.41,44.150002,5026200.0
18782,2010-03-02,MDT,44.060001,44.75,44.040001000000004,44.970001,7571800.0
19250,2010-03-03,MDT,44.82,44.669998,44.610001000000004,44.959998999999996,3444000.0
19718,2010-03-04,MDT,44.759997999999996,44.82,44.57,45.299999,4051300.0
20186,2010-03-05,MDT,44.91,45.5,44.91,45.5,3896900.0
20654,2010-03-08,MDT,45.389998999999996,44.810001,44.77,45.459998999999996,3616000.0
21122,2010-03-09,MDT,44.650002,44.740002000000004,44.48,44.900002,3348300.0
21590,2010-03-10,MDT,44.689999,44.630001,44.549999,44.990002000000004,4350000.0
22058,2010-03-11,MDT,44.450001,44.34,43.849998,44.5,5482900.0
22526,2010-03-12,MDT,44.400002,43.939999,43.59,44.48,4366800.0
22994,2010-03-15,MDT,45.25,45.810001,45.049999,46.07,12646200.0
23462,2010-03-16,MDT,45.73,45.119999,44.93,45.75,8785300.0
23930,2010-03-17,MDT,45.150002,44.950001,44.740002000000004,45.240002000000004,5571700.0
24398,2010-03-18,MDT,45.060001,45.169998,44.810001,45.220001,4745800.0
24866,2010-03-19,MDT,44.790001000000004,44.790001000000004,44.540001000000004,45.73,7525400.0
25334,2010-03-22,MDT,45.130001,45.799999,45.07,46.349998,6555300.0
25802,2010-03-23,MDT,45.93,45.720001,45.470001,46.060001,4439600.0
26270,2010-03-24,MDT,45.619999,45.310001,45.009997999999996,45.700001,4643300.0
26738,2010-03-25,MDT,45.540001000000004,44.98,44.93,45.580002,5077300.0
27206,2010-03-26,MDT,45.040001000000004,44.490002000000004,44.400002,45.040001000000004,5369300.0
27674,2010-03-29,MDT,44.650002,45.07,44.490002000000004,45.200001,4788100.0
28142,2010-03-30,MDT,45.360001000000004,45.049999,45.02,45.470001,4226300.0
28610,2010-03-31,MDT,44.98,45.029999,44.75,45.279999,5839700.0
29078,2010-04-01,MDT,45.310001,45.669998,45.16,45.720001,5127500.0
29546,2010-04-05,MDT,45.689999,45.740002000000004,45.599998,46.0,4293100.0
30014,2010-04-06,MDT,45.599998,45.439999,45.25,45.68,3565400.0
30482,2010-04-07,MDT,45.060001,44.779999,44.689999,45.25,4062300.0
30950,2010-04-08,MDT,44.720001,44.880001,44.619999,45.119999,5463300.0
31418,2010-04-09,MDT,44.790001000000004,45.43,44.790001000000004,45.610001000000004,5608400.0
31886,2010-04-12,MDT,45.599998,45.43,45.220001,45.84,5444000.0
32354,2010-04-13,MDT,45.27,45.450001,45.200001,45.52,4824300.0
32822,2010-04-14,MDT,45.34,45.709998999999996,45.110001000000004,45.799999,4974600.0
33290,2010-04-15,MDT,45.639998999999996,45.790001000000004,45.450001,45.790001000000004,4000500.0
33758,2010-04-16,MDT,45.669998,44.900002,44.68,45.740002000000004,6954600.0
34226,2010-04-19,MDT,44.860001000000004,44.830002,44.560001,44.91,5416800.0
34694,2010-04-20,MDT,44.93,45.169998,44.919998,45.310001,3565500.0
35162,2010-04-21,MDT,45.049999,44.669998,44.389998999999996,45.150002,5908800.0
35630,2010-04-22,MDT,44.5,44.150002,43.619999,44.5,4945700.0
36098,2010-04-23,MDT,44.220001,44.209998999999996,43.779999,44.450001,5099500.0
36566,2010-04-26,MDT,44.18,44.060001,43.970001,44.5,3197400.0
