,date,symbol,open,close,low,high,volume
534,2010-01-04,MKC,36.41,36.299999,36.060001,36.41,490000.0
1002,2010-01-05,MKC,36.220001,36.200001,36.060001,36.32,548700.0
1470,2010-01-06,MKC,36.18,36.34,36.009997999999996,36.380001,587900.0
1938,2010-01-07,MKC,36.43,36.619999,36.18,36.650002,699900.0
2406,2010-01-08,MKC,36.610001000000004,36.720001,36.220001,36.720001,666300.0
2874,2010-01-11,MKC,36.700001,37.02,36.68,37.169998,509900.0
3342,2010-01-12,MKC,36.860001000000004,37.360001000000004,36.82,37.369999,498900.0
3810,2010-01-13,MKC,37.450001,37.700001,37.450001,37.959998999999996,779500.0
4278,2010-01-14,MKC,37.459998999999996,37.66,37.41,37.689999,435100.0
4746,2010-01-15,MKC,37.650002,37.59,37.290001000000004,37.959998999999996,840200.0
5214,2010-01-19,MKC,37.580002,37.740002000000004,37.43,37.790001000000004,463400.0
5682,2010-01-20,MKC,37.68,37.290001000000004,37.099998,37.68,437200.0
6150,2010-01-21,MKC,37.369999,37.040001000000004,36.919998,37.740002000000004,719200.0
6618,2010-01-22,MKC,37.040001000000004,36.77,36.759997999999996,37.349998,445900.0
7086,2010-01-25,MKC,36.919998,37.220001,36.720001,37.240002000000004,542500.0
7554,2010-01-26,MKC,37.049999,37.09,36.82,37.150002,628300.0
8022,2010-01-27,MKC,37.130001,37.540001000000004,36.950001,37.630001,1048600.0
8490,2010-01-28,MKC,37.75,36.450001,36.290001000000004,37.75,1572300.0
8958,2010-01-29,MKC,36.639998999999996,36.299999,36.099998,37.0,1118400.0
9426,2010-02-01,MKC,36.419998,36.580002,36.209998999999996,36.639998999999996,417600.0
9894,2010-02-02,MKC,36.709998999999996,37.0,36.52,37.009997999999996,521700.0
10362,2010-02-03,MKC,36.830002,36.490002000000004,36.41,36.830002,587400.0
10830,2010-02-04,MKC,36.360001000000004,35.759997999999996,35.689999,36.360001000000004,757200.0
11298,2010-02-05,MKC,35.709998999999996,35.77,35.529999,35.860001000000004,1241700.0
11766,2010-02-08,MKC,35.740002000000004,35.560001,35.459998999999996,35.959998999999996,623100.0
12234,2010-02-09,MKC,35.709998999999996,35.849998,35.400002,35.98,706800.0
12702,2010-02-10,MKC,35.900002,35.919998,35.619999,36.0,755000.0
13170,2010-02-11,MKC,35.950001,35.959998999999996,35.400002,35.98,681200.0
13638,2010-02-12,MKC,35.799999,36.080002,35.709998999999996,36.189999,774800.0
14106,2010-02-16,MKC,36.25,36.580002,35.950001,36.580002,613300.0
14574,2010-02-17,MKC,36.599998,37.119999,36.599998,37.290001000000004,685700.0
15042,2010-02-18,MKC,37.110001000000004,37.610001000000004,37.110001000000004,37.66,500100.0
15510,2010-02-19,MKC,37.560001,37.759997999999996,37.43,37.869999,541700.0
15978,2010-02-22,MKC,37.77,37.470001,37.369999,37.860001000000004,507100.0
16446,2010-02-23,MKC,37.470001,37.150002,37.099998,37.639998999999996,672100.0
16914,2010-02-24,MKC,37.259997999999996,37.259997999999996,36.91,37.360001000000004,561500.0
17382,2010-02-25,MKC,36.919998,37.099998,36.700001,37.110001000000004,733800.0
17850,2010-02-26,MKC,37.189999,37.110001000000004,36.849998,37.220001,515000.0
18318,2010-03-01,MKC,37.25,37.330002,36.98,37.349998,405600.0
18786,2010-03-02,MKC,37.439999,37.720001,37.400002,37.860001000000004,648600.0
19254,2010-03-03,MKC,37.810001,37.82,37.619999,37.959998999999996,365700.0
19722,2010-03-04,MKC,37.959998999999996,37.900002,37.650002,37.990002000000004,775500.0
