,date,symbol,open,close,low,high,volume
543,2010-01-04,MRO,18.938915562000002,19.153656755,18.8673361585,19.1894557025,9214200.0
1011,2010-01-05,MRO,19.2312059305,19.171557123499998,19.105946299,19.290856527,9483300.0
1479,2010-01-06,MRO,19.153656755,19.595067948,19.0940157025,19.6248971235,15233800.0
1947,2010-01-07,MRO,19.5354173515,19.4757780885,19.2192771235,19.5354173515,7803000.0
2415,2010-01-08,MRO,19.374365930499998,19.50559772,19.296826299,19.5652483165,7585200.0
2883,2010-01-11,MRO,19.666658685,19.50559772,19.350507123499998,19.7143673515,10013000.0
3351,2010-01-12,MRO,19.284896299,19.237166755,19.1655968955,19.374365930499998,9018100.0
3819,2010-01-13,MRO,19.2252361585,19.171557123499998,18.8673361585,19.255067123499998,9795900.0
4287,2010-01-14,MRO,19.249096755,19.0701568955,18.9508461585,19.249096755,8469500.0
4755,2010-01-15,MRO,19.034355562000002,18.873306527,18.497504369,19.034355562000002,14417000.0
5223,2010-01-19,MRO,18.7718961585,19.1655968955,18.7420747375,19.1894557025,11069700.0
5691,2010-01-20,MRO,19.0224273515,19.201386299,18.8554061585,19.255067123499998,12105900.0
6159,2010-01-21,MRO,19.2252361585,18.7897947375,18.7361049655,19.3087473515,12399300.0
6627,2010-01-22,MRO,18.616815106,18.2410147375,18.217154140999998,18.7897947375,11845700.0
7095,2010-01-25,MRO,18.342425106,18.318563913,18.2946937725,18.5810161585,7210700.0
7563,2010-01-26,MRO,18.1992537725,18.133644140999998,17.996444369000002,18.4140045095,9124500.0
8031,2010-01-27,MRO,18.127683913,18.1157437725,17.871182948,18.968746527,10633600.0
8499,2010-01-28,MRO,18.1575035445,17.996444369000002,17.847324140999998,18.2827649655,12324200.0
8967,2010-01-29,MRO,18.217154140999998,17.78171272,17.6683723515,18.3483835445,11986400.0
9435,2010-02-01,MRO,17.996444369000002,18.2827649655,17.895044141,18.288735334000002,9755500.0
9903,2010-02-02,MRO,17.895044141,18.431895334,17.8890737725,18.437865106,17208500.0
10371,2010-02-03,MRO,18.390135562,18.1157437725,17.978553544500002,18.408034140999998,10842000.0
10839,2010-02-04,MRO,17.9546947375,17.2150323515,17.191171755,17.990484141,16487300.0
11307,2010-02-05,MRO,17.1195923515,16.9764323515,16.4873011585,17.191171755,20335900.0
11775,2010-02-08,MRO,17.036080562000002,16.725901158499997,16.702040562,17.0480111585,14588200.0
12243,2010-02-09,MRO,16.964501755,17.0718723515,16.839240334,17.26872272,11879700.0
12711,2010-02-10,MRO,17.0241523515,16.9346821235,16.666250562000002,17.059941755,10912800.0
13179,2010-02-11,MRO,16.880991755,17.197141527,16.797480562,17.2806509305,9453800.0
13647,2010-02-12,MRO,16.904851158499998,17.065901983,16.7855499655,17.2090721235,15203000.0
14115,2010-02-16,MRO,17.5669733165,17.710122579500002,17.4476625795,17.7638123515,12352000.0
14583,2010-02-17,MRO,17.775742947999998,17.6743421235,17.596792948,17.847324140999998,10593100.0
15051,2010-02-18,MRO,17.662413912999998,17.86522272,17.6027537725,17.8771533165,7325200.0
15519,2010-02-19,MRO,17.829423176,17.8771533165,17.6981937725,17.978553544500002,8888800.0
15987,2010-02-22,MRO,17.984514369,17.6027537725,17.5311725795,18.014342948,10973600.0
16455,2010-02-23,MRO,17.549072948,17.22100272,17.1613425795,17.549072948,11364700.0
16923,2010-02-24,MRO,17.292581527,17.3999521235,17.1136321235,17.441702351500002,8167600.0
17391,2010-02-25,MRO,17.149411983,17.2627523515,16.9466013865,17.2985423515,8107400.0
17859,2010-02-26,MRO,17.334331755,17.26872272,17.101701527,17.3999521235,9610200.0
18327,2010-03-01,MRO,17.388021527,17.3939823515,17.292581527,17.4894223515,7777300.0
18795,2010-03-02,MRO,17.49539272,17.513283544500002,17.423801983,17.6266125795,9523000.0
19263,2010-03-03,MRO,17.59083272,17.5789021235,17.519241983,17.811532351500002,11756000.0
19731,2010-03-04,MRO,17.608723544500002,17.644512948,17.4655635445,17.692232948,10755400.0
20199,2010-03-05,MRO,17.8771533165,18.2589133165,17.799604141,18.2946937725,13035300.0
20667,2010-03-08,MRO,18.312594140999998,18.3722447375,18.2827649655,18.4438259305,10321700.0
21135,2010-03-09,MRO,18.2052235445,18.4199647375,18.2052235445,18.545224369,9741800.0
21603,2010-03-10,MRO,18.473645562,18.783836299,18.431895334,18.7897947375,14411200.0
22071,2010-03-11,MRO,18.754005334000002,18.891205105999997,18.7241857025,19.0283971235,12716100.0
22539,2010-03-12,MRO,18.968746527,18.777866527,18.712255106,19.016466527000002,8925700.0
23007,2010-03-15,MRO,18.7241857025,18.6287457025,18.4199647375,18.7241857025,8566400.0
23475,2010-03-16,MRO,18.7301459305,18.915066299,18.5869859305,18.9329571235,9930200.0
23943,2010-03-17,MRO,19.0522559305,19.284896299,18.962776755,19.3087473515,11200500.0
24411,2010-03-18,MRO,19.26699772,19.147696527,18.992605930499998,19.350507123499998,7991700.0
24879,2010-03-19,MRO,19.076117123499998,19.076117123499998,18.748035562000002,19.26699772,14576000.0
25347,2010-03-22,MRO,18.712255106,18.8852347375,18.6287457025,18.974716299,10004000.0
25815,2010-03-23,MRO,18.9090959305,18.9329571235,18.783836299,18.968746527,8036700.0
26283,2010-03-24,MRO,18.6824259305,18.718215930499998,18.5989147375,18.9329571235,11269500.0
26751,2010-03-25,MRO,18.8673361585,18.5511947375,18.5333057025,18.9508461585,11358000.0
27219,2010-03-26,MRO,18.664525562,18.3961059305,18.3304945095,18.718215930499998,9847400.0
27687,2010-03-29,MRO,18.5154047375,18.7659359305,18.5154047375,18.8196257025,8640400.0
28155,2010-03-30,MRO,18.8136559305,18.7301459305,18.658565334000002,18.825586527000002,7406000.0
28623,2010-03-31,MRO,18.7301459305,18.873306527,18.718215930499998,19.0940157025,11941400.0
29091,2010-04-01,MRO,19.0462861585,19.1417261585,18.974716299,19.272967492,10133700.0
29559,2010-04-05,MRO,19.26699772,19.338576527,19.147696527,19.422088316500002,8234100.0
30027,2010-04-06,MRO,19.2610368955,19.434016527,19.183485930499998,19.595067948,8234700.0
30495,2010-04-07,MRO,19.386296527,19.058216755,18.921026527000002,19.386296527,12830300.0
30963,2010-04-08,MRO,18.748035562000002,19.010506299,18.640664369,19.088045930499998,14872000.0
31431,2010-04-09,MRO,19.171557123499998,19.201386299,18.915066299,19.2133073515,11756400.0
31899,2010-04-12,MRO,19.153656755,19.2073471235,19.111906527000002,19.3206761585,9995800.0
32367,2010-04-13,MRO,19.2252361585,19.2133073515,19.0403259305,19.3445373515,10963400.0
32835,2010-04-14,MRO,19.31471772,19.5771771235,19.26699772,19.58910772,10775500.0
33303,2010-04-15,MRO,19.5175283165,19.50559772,19.445947123499998,19.7024385445,12140600.0
33771,2010-04-16,MRO,19.368407492,19.099976527,18.944885334000002,19.428046755,12714500.0
34239,2010-04-19,MRO,18.873306527,19.1178673515,18.7659359305,19.1655968955,8549700.0
34707,2010-04-20,MRO,19.243136527,19.445947123499998,19.1894557025,19.523486755,8206700.0
35175,2010-04-21,MRO,19.547357492,19.41015772,19.249096755,19.6248971235,8882100.0
35643,2010-04-22,MRO,19.1894557025,19.374365930499998,19.0462861585,19.3982271235,7662300.0
36111,2010-04-23,MRO,19.3027871235,19.73226772,19.255067123499998,19.73226772,9614400.0
36579,2010-04-26,MRO,19.7143673515,19.708408913,19.5831468955,19.803848913,9077900.0
37047,2010-04-27,MRO,19.571218685,19.076117123499998,19.0403259305,19.6785868955,11096700.0
37516,2010-04-28,MRO,19.2073471235,19.2133073515,18.891205105999997,19.272967492,11305100.0
37985,2010-04-29,MRO,19.3266459305,19.3266459305,19.2312059305,19.5115585445,8421900.0
38454,2010-04-30,MRO,19.3922668955,19.177527492,19.1238371235,19.4877068955,11216200.0
38923,2010-05-03,MRO,19.2252361585,19.249096755,19.153656755,19.4638480885,11300900.0
39392,2010-05-04,MRO,19.4936671235,19.177527492,18.879276299,19.6129683165,19181300.0
39861,2010-05-05,MRO,18.891205105999997,18.9508461585,18.712255106,19.153656755,11113400.0
40330,2010-05-06,MRO,18.8613759305,18.288735334000002,17.2806509305,18.944885334000002,19679900.0
40799,2010-05-07,MRO,18.1992537725,18.1575035445,17.9069747375,18.658565334000002,19759400.0
41268,2010-05-10,MRO,18.807695106,18.8375147375,18.527335334,18.9568159305,16742600.0
41737,2010-05-11,MRO,18.5392659305,18.5333057025,18.473645562,18.807695106,12152000.0
42206,2010-05-12,MRO,18.569085562,18.915066299,18.4438259305,18.968746527,10147100.0
42675,2010-05-13,MRO,18.8315449655,18.897165334,18.6943547375,19.147696527,11835700.0
43144,2010-05-14,MRO,18.801725334,18.664525562,18.5034747375,18.8554061585,15407800.0
43613,2010-05-17,MRO,18.658565334000002,18.8554061585,18.270834369,18.8852347375,19431600.0
44082,2010-05-18,MRO,19.2312059305,19.237166755,19.1178673515,19.571218685,23993200.0
44551,2010-05-19,MRO,19.129795562,19.404187948,19.0522559305,19.55331772,23217400.0
45020,2010-05-20,MRO,18.921026527000002,18.7361049655,18.6943547375,19.1894557025,24905600.0
45489,2010-05-21,MRO,18.0680333165,18.7420747375,18.014342948,18.759965562,28063200.0
45958,2010-05-24,MRO,18.688396299,18.849445334000002,18.527335334,19.1417261585,16922700.0
46427,2010-05-25,MRO,18.2529435445,18.264874141,17.8413633165,18.3483835445,24928400.0
46896,2010-05-26,MRO,18.5571549655,18.1157437725,18.032243913,18.6287457025,18210500.0
47365,2010-05-27,MRO,18.485575562,18.873306527,18.4617149655,18.897165334,16442500.0
47834,2010-05-28,MRO,18.8673361585,18.545224369,18.4199647375,18.9329571235,14387200.0
48303,2010-06-01,MRO,18.318563913,18.008373176,17.990484141,18.754005334000002,16636500.0
