,date,symbol,open,close,low,high,volume
545,2010-01-04,MSI,31.8546857475,32.2185026625,31.81426479,32.420631705,7511700.0
1013,2010-01-05,MSI,32.1376607475,31.7738357475,31.20788979,33.39082362,18863900.0
1481,2010-01-06,MSI,32.339781705,32.2185026625,31.8546857475,32.501481705,12137000.0
1949,2010-01-07,MSI,32.3802107475,32.86529862,32.2185026625,33.10784862,13517500.0
2417,2010-01-08,MSI,32.7036107475,31.36958979,31.2483188325,32.8248776625,18596000.0
2885,2010-01-11,MSI,31.8546857475,31.04618979,31.0057607475,31.8546857475,10368800.0
3353,2010-01-12,MSI,30.8844938325,29.914297875,29.671747875,30.924922875,10715400.0
3821,2010-01-13,MSI,29.9547188325,30.7227938325,29.9547188325,30.924922875,8125600.0
4289,2010-01-14,MSI,30.5610938325,31.167456705,30.520672875,31.6121357475,11342500.0
4757,2010-01-15,MSI,31.12703979,30.6419438325,30.43981479,31.2483188325,9741100.0
5225,2010-01-19,MSI,30.6419438325,30.8844938325,30.11641479,31.0866188325,6744100.0
5693,2010-01-20,MSI,30.5610938325,30.2376938325,29.8738769175,30.5610938325,7053500.0
6161,2010-01-21,MSI,30.43981479,29.7930188325,29.5909019175,30.6419438325,9960900.0
6629,2010-01-22,MSI,29.5100519175,29.14623096,28.94410596,30.075997875,10517400.0
7097,2010-01-25,MSI,29.7121769175,29.02495596,28.9845350025,30.075997875,8891900.0
7565,2010-01-26,MSI,29.14623096,29.065372875,28.86325596,29.550472875,7430000.0
8033,2010-01-27,MSI,29.10580596,29.914297875,28.9845350025,30.075997875,11567600.0
8501,2010-01-28,MSI,26.88244713,26.19522213,25.58884713,27.569664045,32895700.0
8969,2010-01-29,MSI,25.993105215,24.8612011725,24.4165342575,26.0335261725,25815600.0
9437,2010-02-01,MSI,25.1846011725,25.58884713,24.901630215,25.669705215,16983700.0
9905,2010-02-02,MSI,25.7505430875,26.4781930875,25.305880215,26.6803180875,15761700.0
10373,2010-02-03,MSI,26.43777213,27.04414713,26.27607213,27.569664045,18683300.0
10841,2010-02-04,MSI,26.639889045,25.5484261725,25.42714713,26.6803180875,17730100.0
11309,2010-02-05,MSI,26.2356430875,25.8718261725,25.58884713,26.27607213,15581200.0
11777,2010-02-08,MSI,26.7611680875,26.5590511725,26.3165011725,27.0845680875,11028400.0
12245,2010-02-09,MSI,26.88244713,26.43777213,26.2356430875,27.1654180875,8672100.0
12713,2010-02-10,MSI,26.4781930875,26.801589045,26.3973511725,27.04414713,8172800.0
13181,2010-02-11,MSI,26.6803180875,26.88244713,26.5590511725,26.963289045,7431200.0
13649,2010-02-12,MSI,27.5292350025,28.903672875,27.2866850025,29.46963096,22203600.0
14117,2010-02-16,MSI,29.46963096,29.3483519175,28.903672875,29.671747875,9826300.0
14585,2010-02-17,MSI,29.4292019175,28.7419769175,28.256889045,29.5100519175,9358100.0
15053,2010-02-18,MSI,28.6611350025,28.3377269175,28.2164600025,28.7419769175,6442000.0
15521,2010-02-19,MSI,28.256889045,28.3377269175,28.095189045,28.5802769175,4358200.0
15989,2010-02-22,MSI,28.418589045,27.7717930875,27.650514045,28.499439045,7112300.0
16457,2010-02-23,MSI,27.731364045,27.407964045,27.2866850025,27.7717930875,5608900.0
16925,2010-02-24,MSI,27.5292350025,27.4483930875,27.2462680875,27.650514045,5046400.0
17393,2010-02-25,MSI,27.04414713,27.6909350025,26.7207511725,27.7717930875,6598400.0
17861,2010-02-26,MSI,27.2866850025,27.327114045,27.0845680875,27.6909350025,6343000.0
18329,2010-03-01,MSI,27.407964045,27.2462680875,26.7207511725,27.5292350025,4802000.0
18797,2010-03-02,MSI,27.3675430875,27.5292350025,26.9228680875,27.569664045,6342200.0
19265,2010-03-03,MSI,27.569664045,27.7717930875,27.569664045,28.2973100025,5289800.0
19733,2010-03-04,MSI,27.8930600025,27.488814045,27.20584713,27.8930600025,4526400.0
20201,2010-03-05,MSI,27.6909350025,28.095189045,27.5292350025,28.2973100025,5401600.0
20669,2010-03-08,MSI,28.2164600025,27.933489045,27.731364045,28.2164600025,4038300.0
21137,2010-03-09,MSI,27.6100930875,28.17603096,27.5292350025,28.418589045,6739700.0
21605,2010-03-10,MSI,28.0547600025,28.7419769175,28.0547600025,29.065372875,5265100.0
22073,2010-03-11,MSI,28.62070596,28.418589045,28.3377269175,28.94410596,4799300.0
22541,2010-03-12,MSI,28.37815596,28.3377269175,28.095189045,28.70155596,3679800.0
23009,2010-03-15,MSI,28.2164600025,28.418589045,27.731364045,28.499439045,5430800.0
23477,2010-03-16,MSI,28.37815596,29.833447875,28.37815596,29.9547188325,9864400.0
23945,2010-03-17,MSI,29.9547188325,29.388772875,29.14623096,29.995147875,5569800.0
24413,2010-03-18,MSI,29.30793096,29.7121769175,29.1866519175,29.914297875,3944400.0
24881,2010-03-19,MSI,29.02495596,29.02495596,28.70155596,29.995147875,5803500.0
25349,2010-03-22,MSI,28.78240596,29.3483519175,28.7419769175,29.6313188325,3685300.0
25817,2010-03-23,MSI,29.550472875,29.7121769175,29.388772875,29.9547188325,4263000.0
26285,2010-03-24,MSI,29.6313188325,29.30793096,29.2675019175,29.752597875,3234800.0
26753,2010-03-25,MSI,29.7121769175,29.2675019175,29.227072875,30.3589769175,7510900.0
27221,2010-03-26,MSI,29.14623096,28.9845350025,28.903672875,29.7121769175,6480100.0
27689,2010-03-29,MSI,29.1866519175,29.227072875,29.02495596,29.46963096,3114100.0
28157,2010-03-30,MSI,29.227072875,29.10580596,28.8228350025,29.5100519175,3279100.0
28625,2010-03-31,MSI,28.86325596,28.37815596,28.3377269175,29.14623096,4562500.0
29093,2010-04-01,MSI,28.70155596,28.53985596,28.2973100025,29.065372875,6154500.0
29561,2010-04-05,MSI,28.5802769175,28.94410596,28.2164600025,29.02495596,5553300.0
30029,2010-04-06,MSI,28.6611350025,29.4292019175,28.62070596,29.7930188325,6600200.0
30497,2010-04-07,MSI,29.2675019175,29.227072875,29.10580596,29.5100519175,3832000.0
30965,2010-04-08,MSI,29.10580596,30.0355769175,28.903672875,30.11641479,6909600.0
31433,2010-04-09,MSI,29.995147875,29.8738769175,29.671747875,30.0355769175,3692100.0
31901,2010-04-12,MSI,29.7930188325,29.995147875,29.671747875,30.3589769175,7050800.0
32369,2010-04-13,MSI,29.914297875,29.9547188325,29.6313188325,30.3185438325,5797300.0
32837,2010-04-14,MSI,30.2376938325,31.0057607475,30.1568438325,31.3291607475,7744200.0
33305,2010-04-15,MSI,30.763222875,30.682372875,30.60151479,31.3291607475,6791200.0
33773,2010-04-16,MSI,30.43981479,29.550472875,29.02495596,30.4802438325,10536900.0
34241,2010-04-19,MSI,29.388772875,29.8738769175,29.30793096,30.075997875,4394200.0
34709,2010-04-20,MSI,29.9547188325,29.995147875,29.5100519175,30.1568438325,4943900.0
35177,2010-04-21,MSI,29.8738769175,29.671747875,29.388772875,29.914297875,4268100.0
35645,2010-04-22,MSI,29.065372875,28.62070596,28.2164600025,29.10580596,12277500.0
36113,2010-04-23,MSI,28.70155596,28.6611350025,28.53985596,29.46963096,8342700.0
36581,2010-04-26,MSI,28.86325596,28.94410596,28.418589045,29.10580596,5204700.0
37049,2010-04-27,MSI,28.6611350025,27.933489045,27.812214045,28.86325596,7524900.0
37518,2010-04-28,MSI,27.6100930875,27.9739100025,27.2462680875,28.1356100025,12738700.0
37987,2010-04-29,MSI,30.0355769175,28.94410596,28.6611350025,30.3589769175,14307700.0
38456,2010-04-30,MSI,28.94410596,28.5802769175,28.2164600025,29.1866519175,8985800.0
38925,2010-05-03,MSI,28.9845350025,28.70155596,28.1356100025,29.065372875,6539100.0
39394,2010-05-04,MSI,28.499439045,28.1356100025,27.933489045,28.7419769175,7679500.0
39863,2010-05-05,MSI,28.0547600025,27.7717930875,27.488814045,28.3377269175,7926500.0
40332,2010-05-06,MSI,27.6909350025,27.0037180875,25.26544713,28.256889045,11433700.0
40801,2010-05-07,MSI,26.8420180875,26.6803180875,26.19522213,27.327114045,11715200.0
41270,2010-05-10,MSI,27.7717930875,28.0547600025,27.5292350025,28.17603096,6915400.0
41739,2010-05-11,MSI,27.85263096,28.256889045,27.7717930875,28.78240596,9079600.0
42208,2010-05-12,MSI,28.256889045,28.2164600025,28.1356100025,28.70155596,6863300.0
42677,2010-05-13,MSI,28.01433096,27.650514045,27.5292350025,28.1356100025,7832000.0
43146,2010-05-14,MSI,27.569664045,27.4483930875,27.04414713,27.6100930875,8622200.0
43615,2010-05-17,MSI,27.2866850025,27.6909350025,27.20584713,27.7717930875,5734400.0
44084,2010-05-18,MSI,28.01433096,27.407964045,27.2866850025,28.17603096,6882800.0
44553,2010-05-19,MSI,27.3675430875,27.5292350025,27.1249850025,27.8930600025,7682600.0
45022,2010-05-20,MSI,26.963289045,27.0845680875,26.7207511725,27.7717930875,10468600.0
45491,2010-05-21,MSI,26.7207511725,27.650514045,26.5590511725,27.8930600025,8051500.0
45960,2010-05-24,MSI,27.2462680875,27.20584713,27.1249850025,27.6909350025,4170900.0
46429,2010-05-25,MSI,26.7207511725,27.2866850025,26.3165011725,27.327114045,6381900.0
46898,2010-05-26,MSI,27.1654180875,27.327114045,27.0845680875,28.1356100025,7150900.0
47367,2010-05-27,MSI,27.85263096,27.9739100025,27.650514045,28.01433096,4696300.0
47836,2010-05-28,MSI,27.933489045,27.6909350025,27.4483930875,28.0547600025,4255400.0
48305,2010-06-01,MSI,27.3675430875,27.0845680875,27.04414713,27.933489045,3796800.0
48774,2010-06-02,MSI,27.327114045,27.6909350025,27.20584713,27.7717930875,3990100.0
49243,2010-06-03,MSI,27.6100930875,27.7717930875,27.2866850025,27.812214045,4220700.0
49712,2010-06-04,MSI,27.407964045,27.0845680875,26.8420180875,27.569664045,7165800.0
50181,2010-06-07,MSI,27.0845680875,26.5590511725,26.43777213,27.2462680875,6482500.0
50650,2010-06-08,MSI,26.3973511725,26.9228680875,26.35692213,27.0037180875,5775700.0
51119,2010-06-09,MSI,26.963289045,27.0037180875,26.8420180875,27.5292350025,5935500.0
51588,2010-06-10,MSI,27.407964045,27.650514045,27.1654180875,28.418589045,5256900.0
52057,2010-06-11,MSI,27.650514045,28.7419769175,27.327114045,29.065372875,7615500.0
52526,2010-06-14,MSI,28.9845350025,28.1356100025,28.095189045,29.065372875,4639000.0
52995,2010-06-15,MSI,28.3377269175,28.53985596,28.256889045,28.9845350025,7605700.0
53464,2010-06-16,MSI,28.0547600025,28.7419769175,28.0547600025,28.9845350025,5671200.0
53933,2010-06-17,MSI,28.70155596,29.065372875,28.256889045,29.065372875,5730900.0
54402,2010-06-18,MSI,28.9845350025,29.3483519175,28.78240596,29.3483519175,6651400.0
54871,2010-06-21,MSI,29.550472875,28.9845350025,28.8228350025,29.833447875,3765700.0
55340,2010-06-22,MSI,28.903672875,29.10580596,28.8228350025,29.5909019175,5287000.0
55809,2010-06-23,MSI,29.02495596,29.5100519175,28.53985596,29.752597875,6645600.0
56278,2010-06-24,MSI,29.227072875,28.256889045,28.1356100025,29.2675019175,5186800.0
56747,2010-06-25,MSI,28.37815596,28.5802769175,28.095189045,28.9845350025,6232000.0
