,date,symbol,open,close,low,high,volume
564,2010-01-04,NTRS,52.09,52.529999,52.09,52.75,1967200.0
1032,2010-01-05,NTRS,52.0,52.459998999999996,52.0,52.740002000000004,2126100.0
1500,2010-01-06,NTRS,52.330002,51.700001,51.630001,52.599998,2241300.0
1968,2010-01-07,NTRS,51.540001000000004,52.189999,51.400002,52.34,2001100.0
2436,2010-01-08,NTRS,51.950001,52.419998,51.700001,52.560001,1367800.0
2904,2010-01-11,NTRS,51.619999,51.040001000000004,50.41,52.080002,2925300.0
3372,2010-01-12,NTRS,50.84,50.950001,50.580002,51.700001,2018900.0
3840,2010-01-13,NTRS,51.130001,51.549999,50.73,51.759997999999996,1517300.0
4308,2010-01-14,NTRS,51.380001,51.299999,51.0,51.66,2012600.0
4776,2010-01-15,NTRS,51.279999,51.549999,50.810001,51.759997999999996,2052000.0
5244,2010-01-19,NTRS,51.549999,52.43,51.529999,52.650002,1897200.0
5712,2010-01-20,NTRS,54.169998,55.439999,53.59,56.110001000000004,4863200.0
6180,2010-01-21,NTRS,54.509997999999996,53.509997999999996,53.439999,55.080002,3039700.0
6648,2010-01-22,NTRS,53.41,52.07,51.73,54.07,3157500.0
7116,2010-01-25,NTRS,52.720001,51.990002000000004,51.59,52.759997999999996,1214200.0
7584,2010-01-26,NTRS,51.66,50.93,50.93,52.16,1298700.0
8052,2010-01-27,NTRS,50.990002000000004,52.490002000000004,50.790001000000004,52.630001,1890200.0
8520,2010-01-28,NTRS,52.919998,51.59,51.169998,52.919998,1615900.0
8988,2010-01-29,NTRS,51.759997999999996,50.52,50.509997999999996,51.860001000000004,1933600.0
9456,2010-02-01,NTRS,51.619999,52.169998,51.549999,52.689999,1764800.0
9924,2010-02-02,NTRS,52.32,52.119999,51.830002,52.48,1212000.0
10392,2010-02-03,NTRS,51.900002,51.610001000000004,51.419998,52.07,1114900.0
10860,2010-02-04,NTRS,51.169998,49.889998999999996,49.880001,51.450001,2133600.0
11328,2010-02-05,NTRS,49.880001,50.540001000000004,48.889998999999996,50.560001,2548500.0
11796,2010-02-08,NTRS,50.73,49.990002000000004,49.919998,51.459998999999996,1780900.0
12264,2010-02-09,NTRS,50.400002,50.080002,49.599998,50.919998,1869100.0
12732,2010-02-10,NTRS,49.990002000000004,50.560001,49.959998999999996,50.869999,1773200.0
13200,2010-02-11,NTRS,50.470001,50.34,49.91,50.59,1227600.0
13668,2010-02-12,NTRS,50.0,50.009997999999996,49.549999,50.279999,1789100.0
14136,2010-02-16,NTRS,50.220001,50.990002000000004,50.049999,50.990002000000004,1325700.0
14604,2010-02-17,NTRS,51.32,51.84,50.75,51.990002000000004,2045800.0
15072,2010-02-18,NTRS,51.779999,52.470001,51.630001,52.599998,1499200.0
15540,2010-02-19,NTRS,52.5,54.599998,52.400002,54.880001,4349500.0
16008,2010-02-22,NTRS,54.470001,54.650002,53.900002,55.009997999999996,2457900.0
16476,2010-02-23,NTRS,54.639998999999996,53.459998999999996,53.209998999999996,54.759997999999996,1483600.0
16944,2010-02-24,NTRS,53.810001,53.560001,53.299999,54.099998,1580100.0
17412,2010-02-25,NTRS,52.849998,53.110001000000004,52.32,53.139998999999996,1831800.0
17880,2010-02-26,NTRS,53.360001000000004,53.290001000000004,52.700001,53.509997999999996,1241700.0
18348,2010-03-01,NTRS,53.32,53.439999,52.939999,53.540001000000004,1096500.0
18816,2010-03-02,NTRS,53.490002000000004,53.41,53.18,53.720001,1273400.0
19284,2010-03-03,NTRS,53.279999,53.459998999999996,53.279999,53.799999,923100.0
19752,2010-03-04,NTRS,53.549999,53.759997999999996,53.360001000000004,53.84,928700.0
20220,2010-03-05,NTRS,54.110001000000004,54.889998999999996,53.77,54.900002,1412200.0
20688,2010-03-08,NTRS,54.470001,54.900002,54.369999,55.0,1489200.0
21156,2010-03-09,NTRS,54.619999,54.799999,54.209998999999996,55.150002,1225500.0
21624,2010-03-10,NTRS,54.740002000000004,54.029999,53.700001,54.990002000000004,2509600.0
22092,2010-03-11,NTRS,53.849998,54.049999,53.419998,54.220001,1776900.0
22560,2010-03-12,NTRS,54.299999,53.970001,53.889998999999996,54.549999,1788700.0
23028,2010-03-15,NTRS,54.080002,54.259997999999996,53.790001000000004,54.389998999999996,1936300.0
23496,2010-03-16,NTRS,54.25,54.810001,54.169998,54.860001000000004,1513400.0
23964,2010-03-17,NTRS,55.099998,55.799999,54.93,56.0,1584400.0
24432,2010-03-18,NTRS,55.889998999999996,55.619999,55.259997999999996,55.970001,1250600.0
24900,2010-03-19,NTRS,55.869999,55.450001,54.48,56.009997999999996,1922600.0
25368,2010-03-22,NTRS,55.299999,55.630001,55.099998,55.869999,1146300.0
25836,2010-03-23,NTRS,55.93,55.790001000000004,55.279999,55.93,944100.0
26304,2010-03-24,NTRS,55.43,55.16,55.049999,55.68,954300.0
26772,2010-03-25,NTRS,55.400002,55.98,55.220001,56.5,1799700.0
27240,2010-03-26,NTRS,55.82,55.349998,55.16,55.990002000000004,1609900.0
27708,2010-03-29,NTRS,55.66,55.189999,54.869999,55.68,1641100.0
28176,2010-03-30,NTRS,55.110001000000004,54.650002,54.450001,55.189999,1396700.0
28644,2010-03-31,NTRS,54.380001,55.259997999999996,54.299999,55.48,1870800.0
29112,2010-04-01,NTRS,55.419998,56.639998999999996,55.25,56.75,1937300.0
29580,2010-04-05,NTRS,56.740002000000004,57.169998,56.34,57.18,1515300.0
30048,2010-04-06,NTRS,56.830002,57.450001,56.619999,57.470001,1759000.0
30516,2010-04-07,NTRS,57.220001,56.91,56.779999,57.439999,1563000.0
30984,2010-04-08,NTRS,57.0,57.82,56.630001,58.009997999999996,2064700.0
31452,2010-04-09,NTRS,57.759997999999996,58.009997999999996,57.66,58.549999,2082100.0
31920,2010-04-12,NTRS,58.32,58.77,58.119999,58.84,1707000.0
32388,2010-04-13,NTRS,58.57,59.02,58.490002000000004,59.16,2128900.0
32856,2010-04-14,NTRS,59.119999,58.959998999999996,57.939999,59.360001000000004,3052500.0
33324,2010-04-15,NTRS,58.669998,58.650002,58.41,58.970001,2093200.0
33792,2010-04-16,NTRS,58.669998,57.389998999999996,56.759997999999996,58.869999,3128400.0
34260,2010-04-19,NTRS,57.490002000000004,58.369999,57.290001000000004,58.369999,1672900.0
34728,2010-04-20,NTRS,55.23,55.369999,54.75,56.009997999999996,7549000.0
35196,2010-04-21,NTRS,55.23,54.73,54.459998999999996,55.59,3544300.0
35664,2010-04-22,NTRS,54.630001,55.630001,53.880001,55.73,3197400.0
36132,2010-04-23,NTRS,55.470001,56.310001,55.119999,56.389998999999996,2231800.0
36600,2010-04-26,NTRS,56.34,55.310001,55.299999,56.349998,1864300.0
37068,2010-04-27,NTRS,55.080002,54.34,54.259997999999996,55.630001,2372700.0
