,date,symbol,open,close,low,high,volume
410790,2013-06-19,NWSA,15.28,15.8,15.2,16.25,31981500.0
411278,2013-06-20,NWSA,16.370001000000002,15.3,15.25,16.370001000000002,9274200.0
411766,2013-06-21,NWSA,15.7,15.62,15.4,15.8,8323500.0
412254,2013-06-24,NWSA,15.64,15.53,15.2,15.84,4279700.0
412742,2013-06-25,NWSA,15.55,15.72,15.35,15.74,3577300.0
413230,2013-06-26,NWSA,15.69,15.4,15.18,15.69,14755100.0
413718,2013-06-27,NWSA,15.34,15.5,14.85,15.87,12121700.0
414206,2013-06-28,NWSA,15.5,15.25,15.25,15.77,16988100.0
414694,2013-07-01,NWSA,14.79,14.79,14.75,15.59,25839400.0
415182,2013-07-02,NWSA,14.69,15.0,14.69,15.12,30520100.0
415670,2013-07-03,NWSA,14.95,14.87,14.73,15.09,8542600.0
416158,2013-07-05,NWSA,14.95,15.66,14.89,15.95,12427000.0
416646,2013-07-08,NWSA,15.63,15.96,15.5,16.040001,15345100.0
417134,2013-07-09,NWSA,15.79,15.71,15.5,15.97,9936400.0
417622,2013-07-10,NWSA,15.5,15.39,15.15,15.57,16327000.0
418110,2013-07-11,NWSA,15.6,15.13,14.96,15.6,17029600.0
418598,2013-07-12,NWSA,15.07,14.93,14.9,15.12,10426300.0
419086,2013-07-15,NWSA,14.93,14.67,14.39,15.03,20636400.0
419574,2013-07-16,NWSA,14.57,15.28,14.57,15.34,9328500.0
420062,2013-07-17,NWSA,15.36,15.89,15.29,15.96,13411100.0
420550,2013-07-18,NWSA,15.94,15.47,15.33,16.1,10825700.0
421038,2013-07-19,NWSA,15.35,15.97,15.26,16.08,11658700.0
421526,2013-07-22,NWSA,16.09,15.73,15.61,16.129998999999998,6141600.0
422014,2013-07-23,NWSA,15.69,15.65,15.54,15.87,9298400.0
422502,2013-07-24,NWSA,15.65,15.71,15.42,15.89,6205200.0
422990,2013-07-25,NWSA,15.66,15.57,15.45,15.87,7069700.0
423478,2013-07-26,NWSA,15.54,15.89,15.31,15.97,5884800.0
423966,2013-07-29,NWSA,15.87,15.51,15.4,15.87,9020200.0
424454,2013-07-30,NWSA,15.6,15.95,15.46,15.96,12798200.0
424942,2013-07-31,NWSA,16.0,15.93,15.83,16.209999,7681500.0
425430,2013-08-01,NWSA,15.94,16.209999,15.94,16.280001000000002,10303300.0
425918,2013-08-02,NWSA,16.15,16.34,16.120001000000002,16.469998999999998,8258600.0
426406,2013-08-05,NWSA,16.33,16.0,15.89,16.33,8754100.0
426894,2013-08-06,NWSA,15.99,16.18,15.82,16.25,6232000.0
427382,2013-08-07,NWSA,16.15,15.95,15.85,16.15,4755000.0
427870,2013-08-08,NWSA,16.07,16.129998999999998,15.91,16.309998999999998,7110400.0
428358,2013-08-09,NWSA,16.09,15.98,15.96,16.16,4293800.0
428846,2013-08-12,NWSA,15.88,15.92,15.74,16.059998999999998,4882400.0
429334,2013-08-13,NWSA,15.91,15.83,15.8,15.95,3615400.0
429823,2013-08-14,NWSA,15.83,15.9,15.66,16.01,3940500.0
430312,2013-08-15,NWSA,15.79,16.1,15.7,16.190001000000002,5160000.0
430801,2013-08-16,NWSA,16.040001,15.98,15.96,16.25,6373200.0
431290,2013-08-19,NWSA,16.049999,15.7,15.69,16.059998999999998,6123600.0
431779,2013-08-20,NWSA,15.83,15.7,15.52,15.83,4265600.0
432268,2013-08-21,NWSA,15.61,15.76,15.49,15.78,5040000.0
432757,2013-08-22,NWSA,15.76,15.71,15.63,15.82,3731700.0
433246,2013-08-23,NWSA,15.71,15.75,15.57,15.79,3981300.0
433735,2013-08-26,NWSA,15.79,15.86,15.71,15.9,4125000.0
434224,2013-08-27,NWSA,15.75,15.73,15.69,16.0,9059500.0
434713,2013-08-28,NWSA,15.76,15.76,15.68,15.81,11099300.0
435202,2013-08-29,NWSA,15.73,15.77,15.64,15.89,2795500.0
435691,2013-08-30,NWSA,15.75,15.7,15.59,15.78,5386300.0
436180,2013-09-03,NWSA,15.89,15.78,15.69,16.030001000000002,3783600.0
436669,2013-09-04,NWSA,15.79,16.030001000000002,15.76,16.08,4992000.0
437158,2013-09-05,NWSA,15.97,16.24,15.88,16.27,3521200.0
437647,2013-09-06,NWSA,16.309998999999998,16.190001000000002,16.08,16.34,3358700.0
438136,2013-09-09,NWSA,16.16,16.34,16.16,16.34,3668900.0
438625,2013-09-10,NWSA,16.379998999999998,16.549999,16.25,16.57,4292100.0
439114,2013-09-11,NWSA,16.65,17.049999,16.5,17.059998999999998,7562700.0
439603,2013-09-12,NWSA,17.120001000000002,17.110001,16.940001000000002,17.26,4836500.0
440092,2013-09-13,NWSA,17.059998999999998,16.889999,16.77,17.08,2717700.0
440581,2013-09-16,NWSA,17.120001000000002,16.959999,16.780001000000002,17.200001,5758300.0
441070,2013-09-17,NWSA,17.030001000000002,17.0,16.889999,17.17,2538500.0
441559,2013-09-18,NWSA,16.99,17.049999,16.84,17.18,3862600.0
442048,2013-09-19,NWSA,17.1,16.870001000000002,16.66,17.1,3286100.0
442537,2013-09-20,NWSA,16.92,16.639999,16.469998999999998,17.0,4594000.0
443026,2013-09-23,NWSA,16.620001000000002,16.530001000000002,16.370001000000002,16.639999,2360000.0
443515,2013-09-24,NWSA,16.530001000000002,17.040001,16.5,17.200001,5611800.0
444004,2013-09-25,NWSA,17.030001000000002,16.799999,16.68,17.040001,4389700.0
444493,2013-09-26,NWSA,16.77,16.290001,16.1,16.870001000000002,12737900.0
444982,2013-09-27,NWSA,16.1,16.17,15.99,16.25,7098300.0
445471,2013-09-30,NWSA,16.200001,16.059998999999998,15.91,16.26,6237900.0
445960,2013-10-01,NWSA,16.049999,15.91,15.8,16.139999,8815300.0
446449,2013-10-02,NWSA,15.85,16.139999,15.7,16.27,17758200.0
446938,2013-10-03,NWSA,16.139999,15.87,15.79,16.25,17833500.0
447427,2013-10-04,NWSA,15.84,15.84,15.79,16.01,13660000.0
447916,2013-10-07,NWSA,15.7,15.91,15.69,15.98,8663200.0
448405,2013-10-08,NWSA,15.51,15.8,15.51,15.98,4825300.0
448894,2013-10-09,NWSA,15.8,15.88,15.75,15.95,4210300.0
449383,2013-10-10,NWSA,15.98,16.219998999999998,15.94,16.25,5506700.0
449872,2013-10-11,NWSA,16.16,16.41,16.139999,16.6,5085700.0
450361,2013-10-14,NWSA,16.309998999999998,16.559998999999998,16.23,16.620001000000002,3606300.0
450850,2013-10-15,NWSA,16.459999,16.58,16.42,16.67,4406800.0
451339,2013-10-16,NWSA,16.719998999999998,16.780001000000002,16.57,16.790001,4511900.0
451828,2013-10-17,NWSA,16.639999,16.799999,16.629998999999998,16.809998999999998,3972000.0
452317,2013-10-18,NWSA,16.85,16.85,16.75,16.9,5809100.0
452806,2013-10-21,NWSA,16.860001,16.85,16.790001,16.98,3107000.0
453295,2013-10-22,NWSA,16.889999,17.0,16.790001,17.059998999999998,7274300.0
453784,2013-10-23,NWSA,16.799999,17.110001,16.799999,17.24,5145800.0
454273,2013-10-24,NWSA,17.07,17.290001,17.02,17.4,4734900.0
454762,2013-10-25,NWSA,17.549999,17.15,17.09,17.549999,6197900.0
455251,2013-10-28,NWSA,17.120001000000002,17.290001,17.030001000000002,17.32,4131800.0
455740,2013-10-29,NWSA,17.299999,17.459999,17.24,17.51,6582700.0
456229,2013-10-30,NWSA,17.459999,17.35,17.309998999999998,17.51,8031100.0
456718,2013-10-31,NWSA,17.370001000000002,17.6,17.34,17.77,4697900.0
457207,2013-11-01,NWSA,17.620001000000002,17.77,17.450001,17.809998999999998,3714000.0
457696,2013-11-04,NWSA,17.73,17.76,17.67,17.860001,2870800.0
458185,2013-11-05,NWSA,17.57,17.68,17.48,17.85,3820200.0
458674,2013-11-06,NWSA,17.73,17.41,17.35,17.82,3922700.0
459163,2013-11-07,NWSA,17.51,17.26,17.25,17.620001000000002,3888200.0
459652,2013-11-08,NWSA,17.309998999999998,17.6,17.17,17.620001000000002,1787500.0
460141,2013-11-11,NWSA,17.6,17.42,17.35,17.65,5387300.0
460630,2013-11-12,NWSA,16.85,17.15,16.719998999999998,17.309998999999998,12944400.0
461119,2013-11-13,NWSA,17.02,17.219998999999998,16.950001,17.290001,3673400.0
461608,2013-11-14,NWSA,17.24,17.25,17.18,17.379998999999998,2920600.0
462097,2013-11-15,NWSA,17.32,17.76,17.32,17.809998999999998,4606300.0
462587,2013-11-18,NWSA,17.77,17.42,17.370001000000002,17.82,4431400.0
463077,2013-11-19,NWSA,17.43,17.48,17.379998999999998,17.66,2961800.0
463567,2013-11-20,NWSA,17.540001,17.67,17.450001,17.790001,6256400.0
464057,2013-11-21,NWSA,17.709999,17.559998999999998,17.540001,17.75,4075000.0
464547,2013-11-22,NWSA,17.610001,17.549999,17.5,17.690001000000002,3624500.0
465037,2013-11-25,NWSA,17.629998999999998,17.48,17.360001,17.68,3397600.0
465527,2013-11-26,NWSA,17.43,17.690001000000002,17.370001000000002,17.709999,5585700.0
466017,2013-11-27,NWSA,17.66,17.860001,17.51,17.940001000000002,5083300.0
466507,2013-11-29,NWSA,17.85,17.959999,17.84,17.969998999999998,1506100.0
466997,2013-12-02,NWSA,17.92,17.65,17.6,17.969998999999998,4610200.0
467487,2013-12-03,NWSA,17.629998999999998,17.5,17.4,17.629998999999998,3120100.0
467977,2013-12-04,NWSA,17.440001000000002,17.58,17.379998999999998,17.620001000000002,2676000.0
468467,2013-12-05,NWSA,16.540001,17.459999,16.540001,17.549999,2562600.0
468957,2013-12-06,NWSA,17.66,17.780001000000002,17.52,17.860001,4483700.0
469447,2013-12-09,NWSA,17.889999,17.52,17.459999,17.9,4088800.0
469937,2013-12-10,NWSA,17.49,17.639999,17.440001000000002,17.719998999999998,2618000.0
470427,2013-12-11,NWSA,17.65,17.6,17.48,17.74,3255300.0
470917,2013-12-12,NWSA,17.639999,17.49,17.49,17.66,4073000.0
471407,2013-12-13,NWSA,17.49,17.66,17.32,17.700001,4320800.0
471897,2013-12-16,NWSA,17.77,17.77,17.58,17.799999,1885100.0
472387,2013-12-17,NWSA,17.57,17.35,17.17,17.57,4023000.0
472877,2013-12-18,NWSA,17.299999,17.5,17.07,17.530001000000002,2539200.0
473367,2013-12-19,NWSA,17.41,17.360001,17.290001,17.469998999999998,2475900.0
473857,2013-12-20,NWSA,17.43,17.75,17.309998999999998,17.969998999999998,7055200.0
474347,2013-12-23,NWSA,17.93,17.9,17.73,17.969998999999998,1974600.0
474837,2013-12-24,NWSA,17.959999,17.9,17.780001000000002,18.01,683100.0
475327,2013-12-26,NWSA,17.99,17.77,17.65,18.07,2259900.0
475817,2013-12-27,NWSA,17.74,17.73,17.559998999999998,17.82,2691300.0
476307,2013-12-30,NWSA,17.780001000000002,17.91,17.700001,17.93,1918400.0
476797,2013-12-31,NWSA,17.98,18.02,17.84,18.09,2612000.0
477287,2014-01-02,NWSA,18.049999,17.950001,17.82,18.17,3673400.0
477777,2014-01-03,NWSA,17.93,17.82,17.780001000000002,18.01,2016600.0
478267,2014-01-06,NWSA,17.879998999999998,17.58,17.48,17.959999,3388300.0
478757,2014-01-07,NWSA,17.65,17.4,17.33,17.65,3266000.0
479247,2014-01-08,NWSA,17.35,17.290001,17.15,17.4,4109600.0
479737,2014-01-09,NWSA,17.379998999999998,17.34,17.27,17.48,2852700.0
480227,2014-01-10,NWSA,17.41,17.4,17.280001000000002,17.52,2063700.0
480717,2014-01-13,NWSA,17.41,17.15,17.07,17.440001000000002,2655600.0
481207,2014-01-14,NWSA,17.200001,17.299999,17.129998999999998,17.35,1935000.0
481697,2014-01-15,NWSA,17.24,17.209999,17.1,17.33,2209400.0
482187,2014-01-16,NWSA,17.200001,17.08,17.049999,17.26,2833400.0
482677,2014-01-17,NWSA,17.09,17.08,16.940001000000002,17.18,2102700.0
483167,2014-01-21,NWSA,17.15,16.76,16.690001000000002,17.15,4664700.0
483657,2014-01-22,NWSA,16.75,16.65,16.559998999999998,16.99,3109900.0
484147,2014-01-23,NWSA,16.5,16.530001000000002,16.360001,16.58,3085400.0
484637,2014-01-24,NWSA,16.27,16.17,16.01,16.33,6995600.0
485127,2014-01-27,NWSA,16.25,16.389999,16.190001000000002,16.559998999999998,6241000.0
485617,2014-01-28,NWSA,16.379998999999998,16.24,16.23,16.459999,4468400.0
486107,2014-01-29,NWSA,16.09,16.219998999999998,16.01,16.280001000000002,5574400.0
486597,2014-01-30,NWSA,16.280001000000002,16.200001,16.16,16.299999,9436500.0
487087,2014-01-31,NWSA,16.139999,15.96,15.95,16.24,3040200.0
487577,2014-02-03,NWSA,16.0,15.52,15.48,16.059998999999998,4729900.0
488067,2014-02-04,NWSA,15.55,15.52,15.44,15.72,8117500.0
488557,2014-02-05,NWSA,15.56,15.61,15.55,15.9,5805700.0
489047,2014-02-06,NWSA,15.64,16.02,15.61,16.110001,4984700.0
489537,2014-02-07,NWSA,17.48,17.41,17.07,18.0,13191600.0
490027,2014-02-10,NWSA,17.030001000000002,17.51,16.969998999999998,17.59,6085100.0
490517,2014-02-11,NWSA,17.530001000000002,17.93,17.41,18.0,6908500.0
491007,2014-02-12,NWSA,17.93,17.65,17.6,18.049999,3310200.0
491497,2014-02-13,NWSA,17.549999,17.66,17.41,17.82,2168600.0
491987,2014-02-14,NWSA,17.620001000000002,17.68,17.540001,17.84,1827600.0
