,date,symbol,open,close,low,high,volume
588,2010-01-04,PHM,10.02,10.24,9.99,10.26,6121300.0
1056,2010-01-05,PHM,10.23,10.37,10.0,10.39,7035400.0
1524,2010-01-06,PHM,10.34,10.37,10.19,10.49,5368800.0
1992,2010-01-07,PHM,10.62,11.21,10.58,11.33,19444100.0
2460,2010-01-08,PHM,11.13,11.03,10.91,11.27,8828900.0
2928,2010-01-11,PHM,11.03,10.97,10.89,11.2,5883300.0
3396,2010-01-12,PHM,10.87,10.9,10.58,10.92,5851900.0
3864,2010-01-13,PHM,10.84,11.32,10.82,11.36,10455800.0
4332,2010-01-14,PHM,11.31,11.23,11.15,11.41,6357200.0
4800,2010-01-15,PHM,11.25,11.0,10.93,11.31,5089600.0
5268,2010-01-19,PHM,10.97,10.99,10.88,11.13,6264600.0
5736,2010-01-20,PHM,10.91,10.9,10.75,11.01,6675900.0
6204,2010-01-21,PHM,10.9,10.52,10.49,10.97,11734200.0
6672,2010-01-22,PHM,10.49,10.22,10.19,10.78,8865600.0
7140,2010-01-25,PHM,10.33,10.23,10.03,10.4,9852400.0
7608,2010-01-26,PHM,10.18,10.35,10.14,10.44,7834100.0
8076,2010-01-27,PHM,10.31,10.33,10.05,10.37,11140800.0
8544,2010-01-28,PHM,10.4,10.56,10.17,10.65,10250500.0
9012,2010-01-29,PHM,10.61,10.52,10.5,10.83,10002400.0
9480,2010-02-01,PHM,10.52,10.56,10.34,10.57,6952800.0
9948,2010-02-02,PHM,10.82,11.35,10.81,11.41,11006400.0
10416,2010-02-03,PHM,11.71,11.37,11.23,11.79,8513500.0
10884,2010-02-04,PHM,11.22,10.92,10.89,11.25,7729300.0
11352,2010-02-05,PHM,10.9,10.88,10.52,10.96,11050900.0
11820,2010-02-08,PHM,10.92,11.13,10.7,11.46,10090800.0
12288,2010-02-09,PHM,11.07,11.08,10.63,11.25,17560400.0
12756,2010-02-10,PHM,11.03,11.23,10.84,11.37,13911100.0
13224,2010-02-11,PHM,11.2,11.71,11.14,11.75,8790800.0
13692,2010-02-12,PHM,11.54,11.74,11.48,11.8,6547900.0
14160,2010-02-16,PHM,11.46,11.66,11.27,11.66,7849000.0
14628,2010-02-17,PHM,11.73,11.61,11.41,11.82,6581800.0
15096,2010-02-18,PHM,11.62,11.49,11.37,11.62,4326600.0
15564,2010-02-19,PHM,11.43,11.43,11.35,11.58,5365400.0
16032,2010-02-22,PHM,11.44,11.38,11.26,11.59,4399600.0
16500,2010-02-23,PHM,11.4,10.97,10.85,11.48,6741400.0
16968,2010-02-24,PHM,11.04,10.81,10.5,11.1,9054000.0
17436,2010-02-25,PHM,10.57,10.7,10.5,10.75,6269100.0
17904,2010-02-26,PHM,10.69,10.83,10.45,10.88,6144700.0
18372,2010-03-01,PHM,10.88,10.92,10.83,11.02,4018200.0
18840,2010-03-02,PHM,10.85,10.77,10.76,11.08,4129200.0
19308,2010-03-03,PHM,10.77,10.93,10.77,11.02,4012900.0
19776,2010-03-04,PHM,10.9,10.87,10.79,11.06,3459200.0
20244,2010-03-05,PHM,10.99,11.23,10.88,11.27,5411200.0
20712,2010-03-08,PHM,11.23,11.42,11.15,11.49,6539600.0
21180,2010-03-09,PHM,11.34,11.49,11.32,11.63,4854300.0
21648,2010-03-10,PHM,11.5,11.36,11.27,11.61,5922200.0
22116,2010-03-11,PHM,11.33,11.41,11.09,11.42,4894700.0
22584,2010-03-12,PHM,11.49,11.23,11.15,11.49,4908300.0
23052,2010-03-15,PHM,11.2,11.1,10.97,11.27,3597400.0
23520,2010-03-16,PHM,11.11,11.39,11.05,11.5,5718500.0
23988,2010-03-17,PHM,11.44,11.47,11.39,11.57,5311000.0
24456,2010-03-18,PHM,11.48,11.5,11.39,11.6,4417800.0
24924,2010-03-19,PHM,11.2,11.2,11.19,11.65,8910900.0
25392,2010-03-22,PHM,11.15,11.47,11.06,11.52,6815300.0
25860,2010-03-23,PHM,11.52,11.47,11.2,11.53,8048700.0
26328,2010-03-24,PHM,11.56,11.65,11.5,11.81,9363500.0
26796,2010-03-25,PHM,11.78,11.61,11.59,11.91,6656900.0
27264,2010-03-26,PHM,11.65,11.72,11.6,11.9,6266900.0
27732,2010-03-29,PHM,11.76,11.62,11.5,11.79,4149200.0
28200,2010-03-30,PHM,11.6,11.43,11.39,11.78,4421400.0
28668,2010-03-31,PHM,11.4,11.25,11.22,11.46,5344800.0
29136,2010-04-01,PHM,11.37,11.12,11.07,11.46,5473000.0
29604,2010-04-05,PHM,11.33,11.44,11.2,11.6,6420000.0
30072,2010-04-06,PHM,11.09,11.16,10.91,11.25,6669200.0
30540,2010-04-07,PHM,11.15,10.88,10.77,11.17,8614300.0
31008,2010-04-08,PHM,10.86,10.89,10.7,10.97,6862400.0
31476,2010-04-09,PHM,10.93,11.17,10.91,11.18,5967300.0
31944,2010-04-12,PHM,11.25,11.23,11.05,11.3,5535200.0
32412,2010-04-13,PHM,11.2,11.03,10.99,11.3,6181500.0
32880,2010-04-14,PHM,11.08,11.38,11.04,11.45,6921300.0
33348,2010-04-15,PHM,11.35,11.27,11.23,11.42,4892800.0
33816,2010-04-16,PHM,11.26,11.1,10.99,11.28,6522400.0
34284,2010-04-19,PHM,10.99,11.11,10.94,11.2,5129100.0
34752,2010-04-20,PHM,11.19,11.46,11.12,11.48,7064100.0
35220,2010-04-21,PHM,11.49,11.77,11.42,11.82,7916800.0
35688,2010-04-22,PHM,11.73,12.48,11.59,12.58,15952000.0
36156,2010-04-23,PHM,12.53,13.19,12.52,13.68,19440600.0
36624,2010-04-26,PHM,13.2,13.04,12.96,13.66,9605400.0
37092,2010-04-27,PHM,12.96,12.63,12.59,13.19,12261000.0
37561,2010-04-28,PHM,12.79,12.86,12.71,13.29,8009300.0
38030,2010-04-29,PHM,13.0,13.31,12.83,13.45,7027200.0
38499,2010-04-30,PHM,13.66,13.09,13.03,13.91,10488800.0
38968,2010-05-03,PHM,12.82,13.39,12.65,13.46,9482200.0
39437,2010-05-04,PHM,13.23,13.1,12.61,13.23,12882400.0
39906,2010-05-05,PHM,12.63,12.59,12.51,13.13,10068200.0
40375,2010-05-06,PHM,12.55,11.91,11.0,12.85,14737000.0
40844,2010-05-07,PHM,11.82,11.18,11.12,12.16,18851000.0
41313,2010-05-10,PHM,11.73,12.23,11.65,12.3,12607500.0
41782,2010-05-11,PHM,12.02,12.14,11.98,12.55,13137800.0
42251,2010-05-12,PHM,12.19,12.19,12.04,12.44,9484400.0
42720,2010-05-13,PHM,12.13,11.82,11.55,12.13,11648900.0
43189,2010-05-14,PHM,11.62,11.59,11.2,11.7,10195400.0
43658,2010-05-17,PHM,11.64,11.65,11.16,11.7,9547900.0
