,date,symbol,open,close,low,high,volume
590,2010-01-04,PLD,25.76,25.370001000000002,25.25,26.030001000000002,1169700.0
1058,2010-01-05,PLD,25.35,25.74,25.110001,25.76,1048200.0
1526,2010-01-06,PLD,25.75,25.51,25.34,26.0,1163400.0
1994,2010-01-07,PLD,25.379998999999998,25.719998999999998,25.15,25.84,950500.0
2462,2010-01-08,PLD,25.530001000000002,25.65,25.41,25.889999,1072700.0
2930,2010-01-11,PLD,25.73,25.68,25.370001000000002,26.0,876600.0
3398,2010-01-12,PLD,25.35,25.110001,24.870001000000002,25.639999,962200.0
3866,2010-01-13,PLD,25.27,25.790001,25.200001,25.85,989200.0
4334,2010-01-14,PLD,25.58,25.690001000000002,25.379998999999998,25.790001,766700.0
4802,2010-01-15,PLD,25.52,25.57,25.450001,25.75,739900.0
5270,2010-01-19,PLD,25.57,26.07,25.57,26.129998999999998,956200.0
5738,2010-01-20,PLD,25.57,25.459999,24.98,25.629998999999998,1192600.0
6206,2010-01-21,PLD,25.440001000000002,24.25,24.209999,25.59,2000900.0
6674,2010-01-22,PLD,24.280001000000002,23.68,23.57,24.540001,2069300.0
7142,2010-01-25,PLD,24.040001,23.700001,23.139999,24.129998999999998,1571600.0
7610,2010-01-26,PLD,23.57,24.25,23.5,24.74,1891300.0
8078,2010-01-27,PLD,24.17,24.65,23.76,24.65,1801300.0
8546,2010-01-28,PLD,24.790001,24.02,23.780001000000002,24.870001000000002,1328300.0
9014,2010-01-29,PLD,24.1,24.0,23.799999,24.66,2014700.0
9482,2010-02-01,PLD,24.370001000000002,24.59,24.139999,24.629998999999998,2266300.0
9950,2010-02-02,PLD,24.73,24.690001000000002,24.33,25.02,3403700.0
10418,2010-02-03,PLD,24.49,23.860001,23.48,24.49,1532900.0
10886,2010-02-04,PLD,23.57,22.799999,22.66,23.68,2093300.0
11354,2010-02-05,PLD,22.84,23.15,22.5,23.290001,2099100.0
11822,2010-02-08,PLD,22.82,22.52,22.450001,23.219998999999998,1721000.0
12290,2010-02-09,PLD,22.950001,22.49,22.18,23.0,2011700.0
12758,2010-02-10,PLD,22.379998999999998,22.42,21.959999,22.76,1431600.0
13226,2010-02-11,PLD,22.450001,22.139999,21.92,22.450001,2218600.0
13694,2010-02-12,PLD,21.950001,22.629998999999998,21.799999,22.690001000000002,1838300.0
14162,2010-02-16,PLD,22.959999,23.299999,22.799999,23.389999,2016500.0
14630,2010-02-17,PLD,23.49,23.459999,23.27,23.58,739100.0
15098,2010-02-18,PLD,23.379998999999998,23.91,23.290001,24.030001000000002,1435400.0
15566,2010-02-19,PLD,23.780001000000002,23.76,23.58,23.940001000000002,1272700.0
16034,2010-02-22,PLD,23.860001,23.969998999999998,23.709999,24.09,969800.0
16502,2010-02-23,PLD,23.780001000000002,23.68,23.629998999999998,24.049999,1082900.0
16970,2010-02-24,PLD,23.73,23.92,23.610001,23.92,950100.0
17438,2010-02-25,PLD,23.549999,24.280001000000002,23.41,24.33,1146200.0
17906,2010-02-26,PLD,24.290001,24.34,24.110001,24.66,1332000.0
18374,2010-03-01,PLD,24.459999,24.459999,24.299999,24.65,1014600.0
18842,2010-03-02,PLD,24.52,24.639999,24.360001,24.780001000000002,761900.0
19310,2010-03-03,PLD,24.67,24.450001,24.35,24.780001000000002,858800.0
19778,2010-03-04,PLD,24.57,24.549999,24.299999,24.65,910800.0
20246,2010-03-05,PLD,24.799999,25.41,24.549999,25.469998999999998,1198900.0
20714,2010-03-08,PLD,25.360001,25.809998999999998,25.27,25.93,825200.0
21182,2010-03-09,PLD,25.66,26.01,25.549999,26.17,1460900.0
21650,2010-03-10,PLD,26.059998999999998,26.6,25.85,26.620001000000002,1518100.0
22118,2010-03-11,PLD,26.32,26.92,26.299999,26.99,1760700.0
22586,2010-03-12,PLD,27.0,27.27,26.870001000000002,27.32,1503300.0
23054,2010-03-15,PLD,27.120001000000002,27.370001000000002,26.85,27.59,1491000.0
23522,2010-03-16,PLD,27.42,27.98,27.129998999999998,28.07,1975600.0
23990,2010-03-17,PLD,28.120001000000002,28.58,27.860001,28.84,1299900.0
24458,2010-03-18,PLD,28.51,28.6,28.280001000000002,28.690001000000002,1366400.0
24926,2010-03-19,PLD,28.059998999999998,28.059998999999998,27.98,28.799999,1943100.0
25394,2010-03-22,PLD,27.719998999999998,28.09,27.52,28.299999,1490500.0
25862,2010-03-23,PLD,28.18,28.469998999999998,27.92,28.59,1373500.0
26330,2010-03-24,PLD,28.24,28.780001000000002,28.23,28.91,1744600.0
26798,2010-03-25,PLD,28.879998999999998,28.889999,28.860001,29.6,1629400.0
27266,2010-03-26,PLD,29.059998999999998,28.860001,28.73,29.219998999999998,1393500.0
