,date,symbol,open,close,low,high,volume
596,2010-01-04,PPL,32.599998,32.470001,32.32,32.77,1126800.0
1064,2010-01-05,PPL,32.369999,32.049999,31.57,32.59,2050100.0
1532,2010-01-06,PPL,31.99,32.119999,31.959999,32.25,3471900.0
2000,2010-01-07,PPL,31.99,31.809998999999998,31.59,32.110001000000004,977700.0
2468,2010-01-08,PPL,31.6,31.709999,31.34,31.77,1343700.0
2936,2010-01-11,PPL,31.940001000000002,32.119999,31.879998999999998,32.259997999999996,1494000.0
3404,2010-01-12,PPL,31.98,32.150002,31.84,32.23,1206700.0
3872,2010-01-13,PPL,32.169998,32.610001000000004,32.150002,32.759997999999996,1346400.0
4340,2010-01-14,PPL,32.549999,32.27,32.240002000000004,32.549999,1025000.0
4808,2010-01-15,PPL,32.080002,31.889999,31.52,32.290001000000004,1673900.0
5276,2010-01-19,PPL,31.809998999999998,32.209998999999996,31.700001,32.220001,878700.0
5744,2010-01-20,PPL,32.09,31.76,31.379998999999998,32.09,1734000.0
6212,2010-01-21,PPL,31.700001,31.17,31.02,31.98,1615900.0
6680,2010-01-22,PPL,31.049999,30.440001000000002,30.440001000000002,31.360001,1874400.0
7148,2010-01-25,PPL,30.68,30.629998999999998,30.219998999999998,30.84,2086700.0
7616,2010-01-26,PPL,30.549999,30.620001000000002,30.370001000000002,30.84,1351400.0
8084,2010-01-27,PPL,30.540001,30.049999,29.709999,30.549999,2648400.0
8552,2010-01-28,PPL,30.1,29.709999,29.52,30.209999,3725700.0
9020,2010-01-29,PPL,29.77,29.49,29.43,30.059998999999998,2225900.0
9488,2010-02-01,PPL,29.610001,29.620001000000002,29.360001,29.700001,1553200.0
9956,2010-02-02,PPL,29.6,29.639999,29.26,29.709999,2718100.0
10424,2010-02-03,PPL,29.5,29.4,29.26,29.57,1590200.0
10892,2010-02-04,PPL,29.209999,28.620001000000002,28.620001000000002,29.33,2542300.0
11360,2010-02-05,PPL,28.68,29.0,28.35,29.139999,2898800.0
11828,2010-02-08,PPL,28.950001,28.73,28.68,29.07,1668900.0
12296,2010-02-09,PPL,29.049999,28.969998999999998,28.77,29.4,2940500.0
