,date,symbol,open,close,low,high,volume
600,2010-01-04,PVH,40.919998,41.099998,40.52,41.549999,540500.0
1068,2010-01-05,PVH,41.029999,42.639998999999996,41.0,42.720001,834600.0
1536,2010-01-06,PVH,42.509997999999996,43.66,42.509997999999996,43.759997999999996,1111400.0
2004,2010-01-07,PVH,43.450001,43.66,43.450001,44.5,476800.0
2472,2010-01-08,PVH,43.389998999999996,43.59,43.139998999999996,43.73,332400.0
2940,2010-01-11,PVH,43.84,43.5,43.130001,43.869999,327100.0
3408,2010-01-12,PVH,44.759997999999996,43.349998,42.849998,44.919998,851600.0
3876,2010-01-13,PVH,43.619999,43.720001,43.349998,43.919998,433400.0
4344,2010-01-14,PVH,43.549999,43.639998999999996,43.509997999999996,44.130001,571500.0
4812,2010-01-15,PVH,43.290001000000004,43.209998999999996,43.060001,43.900002,308200.0
5280,2010-01-19,PVH,43.32,43.509997999999996,42.939999,43.599998,417400.0
5748,2010-01-20,PVH,43.040001000000004,43.25,42.889998999999996,43.439999,509800.0
6216,2010-01-21,PVH,43.290001000000004,42.639998999999996,42.25,43.52,598200.0
6684,2010-01-22,PVH,42.669998,41.509997999999996,41.34,42.84,397600.0
7152,2010-01-25,PVH,41.990002000000004,41.02,40.950001,41.990002000000004,662300.0
7620,2010-01-26,PVH,40.939999,40.009997999999996,39.939999,41.310001,1022900.0
8088,2010-01-27,PVH,39.869999,40.220001,39.540001000000004,40.330002,602700.0
8556,2010-01-28,PVH,40.310001,40.0,39.799999,40.48,877000.0
9024,2010-01-29,PVH,40.200001,39.290001000000004,39.200001,40.330002,635200.0
9492,2010-02-01,PVH,39.580002,39.810001,39.299999,39.959998999999996,440100.0
9960,2010-02-02,PVH,39.759997999999996,40.66,39.689999,40.689999,373300.0
10428,2010-02-03,PVH,40.34,40.040001000000004,39.740002000000004,40.349998,691400.0
10896,2010-02-04,PVH,39.669998,39.540001000000004,39.5,40.41,747900.0
11364,2010-02-05,PVH,39.52,38.689999,38.25,39.52,1108200.0
11832,2010-02-08,PVH,38.860001000000004,38.599998,38.470001,39.419998,578300.0
12300,2010-02-09,PVH,38.939999,39.259997999999996,38.650002,39.5,353700.0
12768,2010-02-10,PVH,39.029999,39.130001,38.860001000000004,39.509997999999996,442000.0
13236,2010-02-11,PVH,39.16,39.869999,38.900002,39.93,370500.0
13704,2010-02-12,PVH,39.560001,40.220001,39.259997999999996,40.25,443500.0
14172,2010-02-16,PVH,40.459998999999996,40.849998,40.080002,40.869999,422700.0
14640,2010-02-17,PVH,41.599998,42.380001,41.5,43.07,1247000.0
15108,2010-02-18,PVH,42.389998999999996,42.68,42.279999,42.73,408900.0
15576,2010-02-19,PVH,42.709998999999996,42.380001,42.130001,42.990002000000004,502100.0
16044,2010-02-22,PVH,42.349998,42.360001000000004,42.150002,42.509997999999996,328900.0
16512,2010-02-23,PVH,42.150002,42.5,41.900002,42.790001000000004,432000.0
16980,2010-02-24,PVH,42.560001,43.220001,42.41,43.279999,478900.0
17448,2010-02-25,PVH,42.610001000000004,42.990002000000004,42.330002,43.029999,458700.0
17916,2010-02-26,PVH,43.09,43.52,42.970001,43.610001000000004,401800.0
18384,2010-03-01,PVH,43.610001000000004,44.299999,43.5,44.32,400300.0
18852,2010-03-02,PVH,44.310001,44.139998999999996,43.849998,44.59,513200.0
19320,2010-03-03,PVH,43.889998999999996,42.439999,42.380001,43.889998999999996,1443100.0
19788,2010-03-04,PVH,42.630001,42.900002,42.490002000000004,43.0,990600.0
20256,2010-03-05,PVH,43.189999,44.310001,43.130001,44.310001,902700.0
20724,2010-03-08,PVH,44.419998,46.240002000000004,44.349998,46.650002,1511700.0
21192,2010-03-09,PVH,46.009997999999996,45.709998999999996,45.459998999999996,46.779999,780600.0
21660,2010-03-10,PVH,45.599998,46.279999,45.41,46.450001,588400.0
22128,2010-03-11,PVH,45.939999,47.669998,45.709998999999996,48.369999,1776800.0
22596,2010-03-12,PVH,47.82,47.740002000000004,47.439999,48.779999,634900.0
23064,2010-03-15,PVH,52.0,52.400002,51.25,54.639998999999996,4416500.0
23532,2010-03-16,PVH,52.639998999999996,53.779999,52.610001000000004,53.900002,2330600.0
24000,2010-03-17,PVH,53.779999,54.18,53.09,54.18,1135600.0
24468,2010-03-18,PVH,54.220001,54.080002,53.619999,54.75,1172500.0
24936,2010-03-19,PVH,53.73,53.73,53.25,54.48,1418100.0
25404,2010-03-22,PVH,53.459998999999996,55.43,52.970001,56.07,1712000.0
25872,2010-03-23,PVH,56.57,56.09,55.009997999999996,56.880001,2206300.0
26340,2010-03-24,PVH,55.919998,56.700001,55.09,56.84,1582200.0
26808,2010-03-25,PVH,56.93,55.52,55.439999,57.279999,1151400.0
27276,2010-03-26,PVH,55.560001,57.029999,55.549999,57.07,941700.0
27744,2010-03-29,PVH,56.98,57.02,55.880001,57.57,1002700.0
28212,2010-03-30,PVH,56.919998,57.080002,56.459998999999996,57.369999,548600.0
28680,2010-03-31,PVH,56.970001,57.360001000000004,56.880001,57.799999,1039000.0
29148,2010-04-01,PVH,57.759997999999996,58.27,57.52,58.369999,954400.0
29616,2010-04-05,PVH,58.290001000000004,60.029999,58.290001000000004,60.299999,1087000.0
30084,2010-04-06,PVH,59.990002000000004,60.080002,59.5,60.200001,821100.0
30552,2010-04-07,PVH,60.130001,59.93,59.529999,60.48,777300.0
31020,2010-04-08,PVH,59.790001000000004,61.310001,59.049999,61.389998999999996,989700.0
31488,2010-04-09,PVH,61.68,62.669998,61.68,62.669998,1218600.0
31956,2010-04-12,PVH,62.799999,62.75,62.130001,63.0,872000.0
32424,2010-04-13,PVH,62.75,62.860001000000004,62.509997999999996,63.040001000000004,673400.0
32892,2010-04-14,PVH,62.68,64.160004,62.68,64.25,706300.0
33360,2010-04-15,PVH,63.91,64.25,63.759997999999996,64.620003,823900.0
