,date,symbol,open,close,low,high,volume
602,2010-01-04,PX,80.910004,81.559998,80.849998,81.779999,1233000.0
1070,2010-01-05,PX,81.269997,80.040001,79.629997,81.400002,2170900.0
1538,2010-01-06,PX,80.029999,80.75,80.0,80.989998,2359700.0
2006,2010-01-07,PX,80.760002,80.959999,80.589996,81.230003,2105100.0
2474,2010-01-08,PX,80.709999,81.489998,80.599998,81.57,1424900.0
2942,2010-01-11,PX,82.339996,82.260002,81.410004,82.370003,1343000.0
3410,2010-01-12,PX,81.349998,81.379997,80.699997,81.809998,1171200.0
3878,2010-01-13,PX,81.779999,82.82,81.25,82.940002,1257800.0
4346,2010-01-14,PX,82.870003,81.010002,80.879997,82.870003,1401500.0
4814,2010-01-15,PX,80.760002,80.959999,80.360001,81.449997,1788900.0
5282,2010-01-19,PX,80.739998,81.08000200000001,80.599998,81.529999,1598500.0
5750,2010-01-20,PX,80.410004,80.75,80.08000200000001,81.029999,1456100.0
6218,2010-01-21,PX,80.739998,79.5,79.480003,81.620003,1672400.0
6686,2010-01-22,PX,79.220001,78.239998,77.900002,80.290001,2019200.0
7154,2010-01-25,PX,79.260002,79.43,78.940002,80.089996,1885800.0
7622,2010-01-26,PX,78.940002,78.660004,78.449997,79.800003,1939100.0
8090,2010-01-27,PX,77.449997,76.769997,74.699997,78.529999,6430200.0
8558,2010-01-28,PX,77.160004,76.150002,75.870003,77.470001,2827800.0
9026,2010-01-29,PX,76.800003,75.32,75.16999799999999,76.93,3075600.0
9494,2010-02-01,PX,76.010002,76.809998,75.779999,76.809998,2450400.0
9962,2010-02-02,PX,76.800003,77.239998,76.18,77.599998,1888000.0
10430,2010-02-03,PX,77.029999,76.889999,76.660004,77.720001,1658200.0
10898,2010-02-04,PX,76.18,74.589996,74.550003,76.510002,2506800.0
11366,2010-02-05,PX,74.980003,74.010002,73.110001,75.599998,4520300.0
11834,2010-02-08,PX,74.129997,74.139999,73.989998,76.16999799999999,2498700.0
12302,2010-02-09,PX,75.040001,75.190002,73.849998,75.769997,2950700.0
12770,2010-02-10,PX,75.07,75.220001,74.519997,76.08000200000001,2379200.0
13238,2010-02-11,PX,75.040001,76.230003,75.019997,76.32,1680000.0
13706,2010-02-12,PX,75.160004,76.93,74.620003,77.089996,3320000.0
14174,2010-02-16,PX,77.739998,77.91999799999999,77.209999,78.0,1770100.0
14642,2010-02-17,PX,78.139999,78.040001,77.400002,78.779999,1933200.0
15110,2010-02-18,PX,77.790001,77.709999,77.410004,78.489998,2129900.0
