,date,symbol,open,close,low,high,volume
604,2010-01-04,QCOM,46.790001000000004,46.939999,46.57,47.310001,14570200.0
1072,2010-01-05,QCOM,47.52,48.07,47.5,48.32,24241000.0
1540,2010-01-06,QCOM,48.259997999999996,47.599998,47.380001,48.43,22743800.0
2008,2010-01-07,QCOM,47.75,48.98,47.549999,49.02,25266300.0
2476,2010-01-08,QCOM,49.110001000000004,49.470001,48.889998999999996,49.799999,25938200.0
2944,2010-01-11,QCOM,49.580002,49.290001000000004,48.639998999999996,49.689999,14672400.0
3412,2010-01-12,QCOM,48.860001000000004,48.490002000000004,48.07,49.209998999999996,18009100.0
3880,2010-01-13,QCOM,48.849998,48.700001,48.23,48.950001,12426700.0
4348,2010-01-14,QCOM,48.259997999999996,48.369999,48.220001,48.720001,13751800.0
4816,2010-01-15,QCOM,48.610001000000004,48.529999,48.110001000000004,49.040001000000004,21540300.0
5284,2010-01-19,QCOM,48.619999,49.32,48.549999,49.700001,16564800.0
5752,2010-01-20,QCOM,48.91,48.349998,47.790001000000004,48.939999,18151500.0
6220,2010-01-21,QCOM,48.32,48.09,47.919998,49.0,18703200.0
6688,2010-01-22,QCOM,48.110001000000004,46.779999,46.669998,48.57,22205300.0
7156,2010-01-25,QCOM,46.970001,46.91,46.700001,47.689999,15304700.0
7624,2010-01-26,QCOM,46.900002,46.889998999999996,46.560001,47.470001,18325500.0
8092,2010-01-27,QCOM,46.52,47.200001,46.27,47.310001,27302900.0
8560,2010-01-28,QCOM,42.110001000000004,40.48,40.009997999999996,42.110001000000004,130892200.0
9028,2010-01-29,QCOM,40.830002,39.189999,38.490002000000004,40.880001,112830300.0
9496,2010-02-01,QCOM,39.25,39.77,38.68,39.970001,54762600.0
9964,2010-02-02,QCOM,39.82,39.259997999999996,38.98,39.889998999999996,45670300.0
10432,2010-02-03,QCOM,38.959998999999996,39.630001,38.599998,39.720001,36836200.0
10900,2010-02-04,QCOM,39.27,38.169998,38.150002,39.279999,39883900.0
11368,2010-02-05,QCOM,38.41,38.040001000000004,37.43,38.599998,39365100.0
11836,2010-02-08,QCOM,38.110001000000004,37.509997999999996,37.470001,38.189999,27373800.0
12304,2010-02-09,QCOM,37.919998,37.91,37.639998999999996,38.290001000000004,28585600.0
12772,2010-02-10,QCOM,37.709998999999996,37.43,37.32,38.16,23742400.0
13240,2010-02-11,QCOM,37.27,38.009997999999996,37.0,38.119999,34201400.0
13708,2010-02-12,QCOM,38.18,38.84,37.98,39.0,37313700.0
14176,2010-02-16,QCOM,39.09,39.02,38.700001,39.299999,34301800.0
14644,2010-02-17,QCOM,39.099998,39.43,39.02,39.700001,24733000.0
15112,2010-02-18,QCOM,39.470001,39.810001,39.389998999999996,39.939999,19503800.0
15580,2010-02-19,QCOM,39.810001,39.59,39.470001,39.849998,26638700.0
16048,2010-02-22,QCOM,39.810001,39.009997999999996,38.689999,39.889998999999996,27657900.0
16516,2010-02-23,QCOM,39.0,38.540001000000004,38.400002,39.150002,17926000.0
16984,2010-02-24,QCOM,38.610001000000004,37.869999,37.669998,38.669998,27111500.0
17452,2010-02-25,QCOM,37.23,37.18,36.470001,38.0,34843000.0
17920,2010-02-26,QCOM,37.119999,36.68,36.509997999999996,37.130001,30557500.0
18388,2010-03-01,QCOM,36.82,35.560001,35.459998999999996,36.82,59161000.0
18856,2010-03-02,QCOM,36.75,37.93,36.57,38.459998999999996,77896200.0
19324,2010-03-03,QCOM,38.48,38.689999,38.369999,39.16,42163800.0
19792,2010-03-04,QCOM,38.939999,39.25,38.580002,39.279999,29404500.0
20260,2010-03-05,QCOM,39.490002000000004,38.759997999999996,38.619999,39.52,26466900.0
20728,2010-03-08,QCOM,38.830002,38.790001000000004,38.610001000000004,39.009997999999996,13854600.0
21196,2010-03-09,QCOM,38.73,38.68,38.5,38.91,20134400.0
21664,2010-03-10,QCOM,38.57,38.880001,38.5,39.099998,15250000.0
22132,2010-03-11,QCOM,38.860001000000004,39.099998,38.709998999999996,39.25,16325300.0
22600,2010-03-12,QCOM,39.119999,38.950001,38.799999,39.389998999999996,20712100.0
23068,2010-03-15,QCOM,39.0,38.869999,38.66,39.060001,17334500.0
23536,2010-03-16,QCOM,38.900002,39.009997999999996,38.59,39.110001000000004,27699200.0
24004,2010-03-17,QCOM,39.049999,38.900002,38.709998999999996,39.200001,23287400.0
24472,2010-03-18,QCOM,39.23,40.43,39.16,40.529999,45529100.0
24940,2010-03-19,QCOM,40.52,40.049999,39.779999,40.610001000000004,33417800.0
25408,2010-03-22,QCOM,40.080002,40.279999,39.869999,40.540001000000004,16394500.0
25876,2010-03-23,QCOM,40.43,40.52,40.029999,40.580002,13840700.0
26344,2010-03-24,QCOM,40.240002000000004,40.189999,40.02,40.43,12980800.0
26812,2010-03-25,QCOM,42.540001000000004,42.189999,42.0,43.84,67289200.0
27280,2010-03-26,QCOM,42.0,41.830002,41.610001000000004,42.540001000000004,29773800.0
27748,2010-03-29,QCOM,41.970001,41.759997999999996,41.599998,42.09,11592700.0
28216,2010-03-30,QCOM,42.450001,42.130001,41.939999,42.5,20721000.0
28684,2010-03-31,QCOM,41.990002000000004,41.959998999999996,41.84,42.220001,14932000.0
29152,2010-04-01,QCOM,42.169998,42.27,42.139998999999996,42.459998999999996,16319600.0
29620,2010-04-05,QCOM,42.599998,42.529999,42.389998999999996,43.009997999999996,14692200.0
30088,2010-04-06,QCOM,42.220001,42.43,42.189999,42.560001,10067800.0
30556,2010-04-07,QCOM,42.369999,42.77,42.369999,42.869999,16091300.0
31024,2010-04-08,QCOM,42.689999,42.400002,42.09,42.720001,12994300.0
31492,2010-04-09,QCOM,42.200001,42.169998,41.849998,42.369999,16152000.0
31960,2010-04-12,QCOM,42.029999,42.23,42.0,42.459998999999996,8808700.0
32428,2010-04-13,QCOM,42.029999,42.299999,41.799999,42.389998999999996,10762400.0
32896,2010-04-14,QCOM,42.23,42.599998,42.099998,42.799999,19717700.0
