,date,symbol,open,close,low,high,volume
606,2010-01-04,RAI,13.3325005,13.310000500000001,13.25,13.38,3252000.0
1074,2010-01-05,RAI,13.3125,13.32499975,13.245,13.3374995,4642000.0
1542,2010-01-06,RAI,13.35999975,13.497500500000001,13.3374995,13.5225,5043200.0
2010,2010-01-07,RAI,13.2275,13.34749975,13.21500025,13.36250025,8868800.0
2478,2010-01-08,RAI,13.29,13.28499975,13.2124995,13.34749975,2970800.0
2946,2010-01-11,RAI,13.34500025,13.34749975,13.2924995,13.38,1932400.0
3414,2010-01-12,RAI,13.3125,13.2875005,13.2299995,13.335,2764400.0
3882,2010-01-13,RAI,13.30249975,13.377499499999999,13.252499499999999,13.455,2127200.0
4350,2010-01-14,RAI,13.34749975,13.505,13.3175,13.53499975,3984400.0
4818,2010-01-15,RAI,13.4575005,13.45250025,13.4325,13.59749975,6480000.0
5286,2010-01-19,RAI,13.47000025,13.6499995,13.42249975,13.7875005,3683200.0
5754,2010-01-20,RAI,13.62,13.50749975,13.3549995,13.62,3119600.0
6222,2010-01-21,RAI,13.50749975,13.3525,13.30000025,13.627499499999999,4336800.0
6690,2010-01-22,RAI,13.34000025,13.2725,13.189999499999999,13.4799995,3658400.0
7158,2010-01-25,RAI,13.34000025,13.38249975,13.2725,13.497500500000001,3556800.0
7626,2010-01-26,RAI,13.37,13.505,13.29,13.5874995,3652400.0
8094,2010-01-27,RAI,13.4750005,13.495,13.40250025,13.5874995,3171200.0
8562,2010-01-28,RAI,13.5375005,13.45250025,13.3999995,13.585,4400800.0
9030,2010-01-29,RAI,13.5249995,13.30000025,13.30000025,13.54749975,3760800.0
9498,2010-02-01,RAI,13.3975,13.40750025,13.2924995,13.44499975,3245600.0
9966,2010-02-02,RAI,13.38749975,13.48499975,13.30000025,13.48750025,3296000.0
10434,2010-02-03,RAI,13.47249975,13.52750025,13.26249975,13.5675,4998000.0
10902,2010-02-04,RAI,13.4750005,13.377499499999999,13.32499975,13.5249995,5802400.0
11370,2010-02-05,RAI,13.32499975,13.0,12.80000025,13.37,14307200.0
11838,2010-02-08,RAI,13.002499499999999,12.872500500000001,12.8374995,13.0175,8086400.0
12306,2010-02-09,RAI,12.9799995,12.94999975,12.689999499999999,13.01500025,6955600.0
12774,2010-02-10,RAI,12.94750025,12.88249975,12.745,12.94999975,3752000.0
13242,2010-02-11,RAI,12.84249975,12.9750005,12.7250005,13.01000025,6146800.0
13710,2010-02-12,RAI,12.8999995,12.89000025,12.8125,12.955,5629600.0
14178,2010-02-16,RAI,12.94999975,12.92749975,12.84500025,12.9624995,6106800.0
14646,2010-02-17,RAI,12.92749975,12.9775,12.88249975,13.002499499999999,4337200.0
15114,2010-02-18,RAI,12.9425,13.1000005,12.9425,13.122500500000001,3962400.0
15582,2010-02-19,RAI,13.09749975,13.1674995,12.9750005,13.2299995,3942000.0
16050,2010-02-22,RAI,13.1499995,13.23499975,13.09500025,13.2924995,5259200.0
16518,2010-02-23,RAI,13.2250005,13.165,13.127499499999999,13.2675,3717600.0
16986,2010-02-24,RAI,13.2250005,13.34249975,13.125,13.3500005,5088800.0
17454,2010-02-25,RAI,13.26500025,13.28499975,13.1625005,13.30500025,6477600.0
17922,2010-02-26,RAI,13.32750025,13.19999975,13.165,13.32750025,4633600.0
18390,2010-03-01,RAI,13.25,13.310000500000001,13.19499975,13.310000500000001,4390000.0
18858,2010-03-02,RAI,13.34000025,13.4174995,13.34000025,13.50749975,6000800.0
19326,2010-03-03,RAI,13.47000025,13.51249975,13.42749975,13.54749975,4250400.0
19794,2010-03-04,RAI,13.55000025,13.5375005,13.5,13.63749975,6657200.0
20262,2010-03-05,RAI,13.59500025,13.685000500000001,13.5249995,13.71500025,4781200.0
20730,2010-03-08,RAI,13.4799995,13.27999975,13.2250005,13.4799995,5082800.0
21198,2010-03-09,RAI,13.25,13.15750025,13.11750025,13.26249975,4698000.0
21666,2010-03-10,RAI,13.15250025,13.23750025,13.13249975,13.310000500000001,4947600.0
22134,2010-03-11,RAI,13.23750025,13.1925,13.09249975,13.23750025,3250000.0
22602,2010-03-12,RAI,13.22249975,13.07750025,13.0575,13.22249975,3286400.0
23070,2010-03-15,RAI,13.0575,13.21,13.0225,13.2275,4130800.0
23538,2010-03-16,RAI,13.247500500000001,13.32250025,13.1925,13.36750025,3886400.0
24006,2010-03-17,RAI,13.34000025,13.28250025,13.245,13.35999975,4190400.0
24474,2010-03-18,RAI,13.3175,13.3975,13.2875005,13.40250025,3480400.0
24942,2010-03-19,RAI,13.3549995,13.3549995,13.3125,13.5575,6868400.0
25410,2010-03-22,RAI,13.3525,13.4325,13.30000025,13.4750005,2809600.0
25878,2010-03-23,RAI,13.4375,13.5249995,13.38500025,13.52999975,2833600.0
26346,2010-03-24,RAI,13.50749975,13.4325,13.4125005,13.51500025,3156800.0
26814,2010-03-25,RAI,13.53250025,13.3925,13.38500025,13.53250025,3204800.0
27282,2010-03-26,RAI,13.4375,13.43000025,13.375,13.505,10870000.0
27750,2010-03-29,RAI,13.4575005,13.56999975,13.39000025,13.61499975,4020400.0
28218,2010-03-30,RAI,13.5625,13.5625,13.4825,13.6025,2795600.0
28686,2010-03-31,RAI,13.55500025,13.495,13.45250025,13.564999499999999,2566800.0
29154,2010-04-01,RAI,13.55500025,13.69499975,13.55500025,13.69999975,2432800.0
29622,2010-04-05,RAI,13.75,13.689999499999999,13.65750025,13.7725,3206400.0
30090,2010-04-06,RAI,13.63500025,13.65499975,13.625,13.70250025,2780400.0
30558,2010-04-07,RAI,13.622500500000001,13.47000025,13.415,13.625,4604000.0
31026,2010-04-08,RAI,13.4174995,13.4825,13.40499975,13.48750025,3326400.0
31494,2010-04-09,RAI,13.4825,13.61750025,13.40750025,13.627499499999999,3536400.0
31962,2010-04-12,RAI,13.65499975,13.63249975,13.5625,13.65750025,3387200.0
32430,2010-04-13,RAI,13.60999975,13.59749975,13.4750005,13.63500025,2315200.0
32898,2010-04-14,RAI,13.6025,13.55249975,13.3975,13.6075,4206400.0
33366,2010-04-15,RAI,13.49250025,13.497500500000001,13.38749975,13.5225,3616000.0
33834,2010-04-16,RAI,13.4799995,13.46,13.40499975,13.55500025,5295600.0
34302,2010-04-19,RAI,13.4125005,13.5424995,13.40999975,13.5675,5492400.0
34770,2010-04-20,RAI,13.57750025,13.7275,13.57499975,13.75,3736800.0
35238,2010-04-21,RAI,13.73750025,13.8525,13.72249975,13.94999975,5396800.0
35706,2010-04-22,RAI,13.7700005,13.9425,13.7700005,14.0575,5318000.0
36174,2010-04-23,RAI,13.9425,13.8999995,13.82750025,13.97000025,3148400.0
36642,2010-04-26,RAI,13.93000025,13.76000025,13.75,13.95250025,4216800.0
37110,2010-04-27,RAI,13.6925,13.372500500000001,13.34249975,13.72249975,5348800.0
37579,2010-04-28,RAI,13.40999975,13.38,13.28499975,13.44999975,5174000.0
38048,2010-04-29,RAI,13.46749975,13.5200005,13.40499975,13.55249975,3055200.0
38517,2010-04-30,RAI,13.5,13.3549995,13.3525,13.6475,4686000.0
38986,2010-05-03,RAI,13.42249975,13.43000025,13.3374995,13.48499975,3098800.0
39455,2010-05-04,RAI,13.32250025,13.36499975,13.295,13.44499975,4012400.0
39924,2010-05-05,RAI,13.33,13.38749975,13.295,13.46500025,3458400.0
40393,2010-05-06,RAI,13.372500500000001,12.88249975,9.75,13.61750025,8880400.0
40862,2010-05-07,RAI,12.8525,13.0424995,12.75,13.12,10937600.0
41331,2010-05-10,RAI,13.38249975,13.502499499999999,13.36750025,13.6000005,7868000.0
41800,2010-05-11,RAI,13.3575,13.5200005,13.30000025,13.6075,4554000.0
42269,2010-05-12,RAI,13.505,13.52750025,13.39000025,13.5625,3972000.0
42738,2010-05-13,RAI,13.52999975,13.4799995,13.44499975,13.62,2882800.0
43207,2010-05-14,RAI,13.4125005,13.3500005,13.28499975,13.44499975,4407200.0
43676,2010-05-17,RAI,13.38500025,13.5225,13.30500025,13.53499975,4113200.0
44145,2010-05-18,RAI,13.67,13.46,13.4375,13.67,4826000.0
44614,2010-05-19,RAI,13.40250025,13.51500025,13.335,13.560000500000001,4398000.0
45083,2010-05-20,RAI,13.37,12.88749975,12.88749975,13.37,8049200.0
45552,2010-05-21,RAI,12.79749975,12.92749975,12.63249975,12.93000025,8601600.0
46021,2010-05-24,RAI,12.90999975,12.79749975,12.7250005,12.935000500000001,4881600.0
46490,2010-05-25,RAI,12.6825,12.689999499999999,12.47000025,12.689999499999999,6070000.0
46959,2010-05-26,RAI,12.8325005,12.6499995,12.622500500000001,12.9750005,10050800.0
47428,2010-05-27,RAI,12.82750025,13.1625005,12.82250025,13.17500025,6534800.0
47897,2010-05-28,RAI,13.19750025,13.03499975,13.0225,13.19750025,6265200.0
48366,2010-06-01,RAI,12.9750005,12.96,12.84500025,13.1825,4058000.0
48835,2010-06-02,RAI,13.005,13.2124995,12.9825,13.21749975,4005600.0
49304,2010-06-03,RAI,13.3374995,13.2675,13.1674995,13.3374995,3878400.0
49773,2010-06-04,RAI,13.13500025,12.997500500000001,12.9425,13.2675,5814400.0
50242,2010-06-07,RAI,13.15999975,12.877499499999999,12.86499975,13.15999975,6272400.0
50711,2010-06-08,RAI,12.7075005,12.90250025,12.60999975,12.9125005,6823600.0
51180,2010-06-09,RAI,12.96500025,12.9125005,12.86750025,13.12,7411200.0
51649,2010-06-10,RAI,13.04749975,13.122500500000001,13.0249995,13.17500025,5194400.0
52118,2010-06-11,RAI,13.0,13.01249975,12.76500025,13.01500025,5720000.0
52587,2010-06-14,RAI,13.08,12.99250025,12.9775,13.12,6640800.0
53056,2010-06-15,RAI,13.1075,13.15750025,13.03499975,13.19750025,6024800.0
53525,2010-06-16,RAI,13.0825005,13.085,13.0375005,13.1475,6496000.0
53994,2010-06-17,RAI,13.13749975,13.125,13.09000025,13.22000025,7112800.0
54463,2010-06-18,RAI,13.125,13.189999499999999,13.125,13.295,8057200.0
54932,2010-06-21,RAI,13.29,13.23999975,13.19999975,13.35999975,7485200.0
55401,2010-06-22,RAI,13.245,13.064999499999999,13.060000500000001,13.34749975,6430800.0
55870,2010-06-23,RAI,13.06999975,13.085,13.0249995,13.1625005,5635200.0
56339,2010-06-24,RAI,13.060000500000001,12.94750025,12.92749975,13.11750025,5900800.0
56808,2010-06-25,RAI,12.94750025,12.84249975,12.8075,13.0249995,6919200.0
57277,2010-06-28,RAI,12.8950005,13.36250025,12.84249975,13.52750025,15306800.0
57746,2010-06-29,RAI,13.2325,13.064999499999999,13.01249975,13.31999975,9528400.0
58215,2010-06-30,RAI,13.07499975,13.02999975,12.96749975,13.18000025,8532800.0
58684,2010-07-01,RAI,13.05249975,13.045,12.86750025,13.07750025,5424800.0
59153,2010-07-02,RAI,13.03499975,13.10999975,12.9750005,13.1825,4102400.0
59622,2010-07-06,RAI,13.19499975,13.2700005,13.13749975,13.32499975,5254000.0
60091,2010-07-07,RAI,13.27750025,13.48999975,13.205,13.50749975,5267600.0
60560,2010-07-08,RAI,13.55500025,13.8549995,13.4775,13.86499975,8256800.0
61029,2010-07-09,RAI,13.8175,13.86499975,13.745,13.88749975,4907200.0
61498,2010-07-12,RAI,13.7749995,13.82750025,13.7749995,13.96500025,4292800.0
61967,2010-07-13,RAI,13.94999975,13.84249975,13.8175,13.9775,4544800.0
62436,2010-07-14,RAI,13.75,13.92,13.7250005,13.92,3888800.0
62905,2010-07-15,RAI,13.8925,13.995,13.875,14.01000025,4055600.0
63374,2010-07-16,RAI,13.94499975,13.7924995,13.7725,13.98999975,6130800.0
63843,2010-07-19,RAI,13.86250025,13.97000025,13.76000025,13.99250025,6354800.0
64312,2010-07-20,RAI,13.86750025,14.125,13.8374995,14.13,5606400.0
64781,2010-07-21,RAI,14.13500025,13.955,13.88249975,14.165,5184800.0
65250,2010-07-22,RAI,14.2275,14.18000025,13.96749975,14.2325,6811600.0
65719,2010-07-23,RAI,14.20250025,14.2700005,14.1425,14.2749995,5784400.0
66188,2010-07-26,RAI,14.295,14.42,14.25,14.42,6067600.0
66657,2010-07-27,RAI,14.495,14.50749975,14.42749975,14.585,6546800.0
67126,2010-07-28,RAI,14.48499975,14.4799995,14.377499499999999,14.5249995,6191600.0
67595,2010-07-29,RAI,14.51000025,14.3500005,14.310000500000001,14.5625,5544000.0
68064,2010-07-30,RAI,14.2299995,14.455,14.13,14.505,5964400.0
68533,2010-08-02,RAI,14.61499975,14.44499975,14.38249975,14.6499995,6616800.0
69002,2010-08-03,RAI,14.42500025,14.36499975,14.34000025,14.497500500000001,4782800.0
69471,2010-08-04,RAI,14.36250025,14.38,14.314999499999999,14.497500500000001,6481200.0
69940,2010-08-05,RAI,14.3549995,14.34500025,14.3175,14.455,12482400.0
70409,2010-08-06,RAI,14.2725,14.4425,14.26500025,14.44750025,5018400.0
70878,2010-08-09,RAI,14.4425,14.32499975,14.30000025,14.45250025,5931600.0
71347,2010-08-10,RAI,14.255,14.34749975,14.1875,14.3999995,7854400.0
71816,2010-08-11,RAI,14.18000025,14.13249975,14.1075,14.247500500000001,5647200.0
72285,2010-08-12,RAI,14.0,14.1425,13.97249975,14.1625005,5492400.0
72754,2010-08-13,RAI,14.1075,14.09249975,14.0424995,14.1625005,3056400.0
73223,2010-08-16,RAI,14.03250025,14.165,13.94999975,14.17249975,3969600.0
73692,2010-08-17,RAI,14.23750025,14.38249975,14.11250025,14.455,4806800.0
74161,2010-08-18,RAI,14.40750025,14.45250025,14.255,14.4799995,15379600.0
74630,2010-08-19,RAI,14.4174995,14.189999499999999,14.0575,14.4174995,4241200.0
75099,2010-08-20,RAI,14.0625,14.15999975,14.03250025,14.18000025,4490000.0
75568,2010-08-23,RAI,14.27750025,14.11499975,14.10999975,14.32250025,3884000.0
76037,2010-08-24,RAI,14.045,14.122500500000001,14.0,14.1674995,4412800.0
76506,2010-08-25,RAI,14.0575,14.1625005,13.9575005,14.189999499999999,10643200.0
76975,2010-08-26,RAI,14.22000025,13.939999499999999,13.9375,14.22249975,5265600.0
77444,2010-08-27,RAI,13.9825,13.814999499999999,13.69999975,14.01000025,7637200.0
77913,2010-08-30,RAI,13.814999499999999,13.73999975,13.7299995,13.915,3947600.0
78382,2010-08-31,RAI,13.72249975,13.63500025,13.5675,13.73750025,5353200.0
78851,2010-09-01,RAI,13.7675,13.935000500000001,13.7675,14.002499499999999,5741600.0
79320,2010-09-02,RAI,13.96749975,14.0874995,13.96749975,14.122500500000001,5481600.0
79789,2010-09-03,RAI,14.17,14.35999975,14.13249975,14.35999975,4603200.0
80258,2010-09-07,RAI,14.38249975,14.38,14.34249975,14.44750025,6209200.0
80727,2010-09-08,RAI,14.15999975,14.15499975,14.0625,14.185000500000001,4895200.0
81196,2010-09-09,RAI,14.189999499999999,14.09249975,14.0575,14.26000025,4286400.0
