,date,symbol,open,close,low,high,volume
607,2010-01-04,RCL,26.139999,25.799999,25.719998999999998,26.280001000000002,2792600.0
1075,2010-01-05,RCL,26.110001,25.889999,25.559998999999998,26.5,3588900.0
1543,2010-01-06,RCL,25.9,25.24,25.01,25.950001,4139600.0
2011,2010-01-07,RCL,25.469998999999998,25.700001,25.15,25.719998999999998,3156200.0
2479,2010-01-08,RCL,25.75,25.91,25.59,25.959999,2507700.0
2947,2010-01-11,RCL,26.07,26.02,25.690001000000002,26.15,2055000.0
3415,2010-01-12,RCL,25.620001000000002,25.67,25.49,26.0,2315300.0
3883,2010-01-13,RCL,26.0,26.540001,25.700001,26.65,3399000.0
4351,2010-01-14,RCL,26.67,27.459999,26.59,27.549999,3337500.0
4819,2010-01-15,RCL,27.370001000000002,27.129998999999998,26.9,27.370001000000002,3139700.0
5287,2010-01-19,RCL,26.9,27.620001000000002,26.9,27.620001000000002,2612300.0
5755,2010-01-20,RCL,27.07,26.98,26.4,27.24,3417900.0
6223,2010-01-21,RCL,27.17,26.57,26.469998999999998,27.309998999999998,5390500.0
6691,2010-01-22,RCL,25.91,25.42,24.91,25.969998999999998,7670200.0
7159,2010-01-25,RCL,25.780001000000002,25.190001000000002,25.030001000000002,25.870001000000002,4135200.0
7627,2010-01-26,RCL,24.75,25.16,24.73,25.639999,4465200.0
8095,2010-01-27,RCL,24.85,25.43,24.73,25.5,4166900.0
8563,2010-01-28,RCL,26.639999,25.99,25.530001000000002,26.67,10679100.0
9031,2010-01-29,RCL,26.59,26.09,25.889999,27.09,5567000.0
9499,2010-02-01,RCL,26.67,26.6,26.059998999999998,26.68,4370800.0
9967,2010-02-02,RCL,26.809998999999998,27.6,26.76,27.91,5916000.0
10435,2010-02-03,RCL,27.24,27.389999,27.17,27.639999,3074300.0
10903,2010-02-04,RCL,26.790001,25.190001000000002,25.120001000000002,26.85,6606400.0
11371,2010-02-05,RCL,25.040001,25.209999,24.139999,25.440001000000002,4689000.0
