,date,symbol,open,close,low,high,volume
612,2010-01-04,RIG,84.480003,86.779999,84.480003,87.160004,3964700.0
1080,2010-01-05,RIG,87.129997,88.559998,86.720001,88.790001,5229600.0
1548,2010-01-06,RIG,88.239998,91.660004,88.0,92.0,6612100.0
2016,2010-01-07,RIG,90.809998,91.010002,89.959999,91.720001,3960700.0
2484,2010-01-08,RIG,90.510002,93.0,90.510002,93.220001,5206000.0
2952,2010-01-11,RIG,94.599998,92.519997,91.620003,94.879997,4082100.0
3420,2010-01-12,RIG,91.0,90.209999,90.040001,91.790001,5206200.0
3888,2010-01-13,RIG,90.300003,92.160004,89.650002,92.360001,4179100.0
4356,2010-01-14,RIG,91.809998,92.33000200000001,91.349998,93.209999,3532600.0
4824,2010-01-15,RIG,92.360001,91.849998,90.610001,93.099998,4295600.0
5292,2010-01-19,RIG,91.300003,93.019997,91.0,93.239998,3597000.0
5760,2010-01-20,RIG,91.849998,90.989998,90.510002,91.900002,4797100.0
6228,2010-01-21,RIG,90.980003,89.239998,88.800003,91.650002,5143400.0
6696,2010-01-22,RIG,88.559998,85.720001,85.599998,88.75,4954000.0
7164,2010-01-25,RIG,86.040001,87.129997,86.040001,88.16999799999999,3461300.0
7632,2010-01-26,RIG,86.32,87.339996,85.760002,88.989998,4532200.0
8100,2010-01-27,RIG,87.43,87.290001,85.08000200000001,88.379997,4028200.0
8568,2010-01-28,RIG,88.629997,85.129997,84.959999,88.940002,5036200.0
9036,2010-01-29,RIG,85.93,84.739998,83.91999799999999,87.75,6112100.0
9504,2010-02-01,RIG,85.75,87.339996,85.5,88.07,3601600.0
9972,2010-02-02,RIG,87.849998,89.139999,87.68,89.650002,4636100.0
10440,2010-02-03,RIG,88.959999,87.440002,86.790001,89.279999,3616300.0
10908,2010-02-04,RIG,85.949997,83.339996,82.68,86.110001,6094100.0
11376,2010-02-05,RIG,83.459999,83.989998,80.970001,84.400002,7376200.0
11844,2010-02-08,RIG,84.16999799999999,83.400002,83.400002,85.93,5350600.0
12312,2010-02-09,RIG,84.75,84.769997,84.489998,86.199997,4035800.0
12780,2010-02-10,RIG,84.91999799999999,84.809998,83.33000200000001,85.559998,3549900.0
13248,2010-02-11,RIG,84.989998,85.980003,84.370003,86.5,3526300.0
13716,2010-02-12,RIG,84.25,83.379997,81.690002,84.709999,7500300.0
14184,2010-02-16,RIG,85.470001,82.849998,82.040001,85.75,14736700.0
14652,2010-02-17,RIG,83.910004,84.129997,82.860001,84.529999,6271400.0
15120,2010-02-18,RIG,84.029999,83.32,82.410004,84.489998,5903000.0
15588,2010-02-19,RIG,84.379997,85.120003,83.660004,85.690002,7702400.0
16056,2010-02-22,RIG,85.629997,85.300003,84.529999,86.339996,5992600.0
16524,2010-02-23,RIG,84.709999,84.510002,84.190002,85.739998,6233700.0
16992,2010-02-24,RIG,82.050003,79.849998,79.5,82.980003,19729700.0
17460,2010-02-25,RIG,79.33000200000001,79.239998,76.959999,79.589996,10596100.0
