,date,symbol,open,close,low,high,volume
614,2010-01-04,ROK,47.610001000000004,47.73,47.009997999999996,47.959998999999996,904000.0
1082,2010-01-05,ROK,47.650002,47.349998,47.139998999999996,47.82,964900.0
1550,2010-01-06,ROK,47.349998,48.25,47.23,48.279999,893200.0
2018,2010-01-07,ROK,48.220001,48.779999,47.799999,48.869999,673800.0
2486,2010-01-08,ROK,48.630001,49.459998999999996,48.349998,49.509997999999996,664400.0
2954,2010-01-11,ROK,48.360001000000004,49.0,48.240002000000004,49.029999,1416900.0
3422,2010-01-12,ROK,48.470001,48.220001,48.009997999999996,48.799999,1765400.0
3890,2010-01-13,ROK,48.310001,48.450001,47.970001,48.639998999999996,777400.0
4358,2010-01-14,ROK,48.200001,48.599998,48.200001,48.860001000000004,627400.0
4826,2010-01-15,ROK,48.5,47.689999,47.259997999999996,48.529999,877200.0
5294,2010-01-19,ROK,47.73,49.169998,47.450001,49.169998,1150700.0
5762,2010-01-20,ROK,48.48,48.360001000000004,47.959998999999996,48.5,1094300.0
6230,2010-01-21,ROK,48.200001,47.68,47.5,48.700001,1406400.0
6698,2010-01-22,ROK,47.419998,46.02,45.919998,47.57,989900.0
7166,2010-01-25,ROK,46.619999,46.630001,46.09,46.869999,687500.0
7634,2010-01-26,ROK,46.34,46.16,45.720001,46.889998999999996,1920600.0
8102,2010-01-27,ROK,50.25,50.84,49.029999,51.860001000000004,8160200.0
8570,2010-01-28,ROK,51.09,49.939999,49.73,51.360001000000004,3284300.0
9038,2010-01-29,ROK,50.200001,48.240002000000004,48.240002000000004,50.41,2637200.0
9506,2010-02-01,ROK,48.459998999999996,49.75,48.439999,49.75,1363300.0
9974,2010-02-02,ROK,50.0,49.68,49.580002,50.599998,2382200.0
10442,2010-02-03,ROK,49.59,49.23,48.93,49.93,1512400.0
10910,2010-02-04,ROK,48.700001,47.91,47.150002,48.700001,1962700.0
11378,2010-02-05,ROK,48.0,48.509997999999996,47.509997999999996,48.549999,3071100.0
11846,2010-02-08,ROK,48.200001,47.709998999999996,47.25,48.34,2016000.0
12314,2010-02-09,ROK,48.889998999999996,49.5,48.299999,50.07,1899100.0
12782,2010-02-10,ROK,49.27,49.709998999999996,48.84,49.990002000000004,1867700.0
13250,2010-02-11,ROK,49.439999,50.720001,49.049999,50.84,1303700.0
13718,2010-02-12,ROK,49.740002000000004,51.43,49.360001000000004,51.48,1826700.0
14186,2010-02-16,ROK,51.720001,52.830002,51.720001,53.0,1509800.0
14654,2010-02-17,ROK,52.959998999999996,53.09,52.860001000000004,53.580002,1191100.0
15122,2010-02-18,ROK,53.080002,53.779999,53.009997999999996,53.799999,726400.0
15590,2010-02-19,ROK,53.52,54.310001,53.290001000000004,54.52,1207900.0
16058,2010-02-22,ROK,54.380001,54.040001000000004,53.639998999999996,54.490002000000004,737000.0
16526,2010-02-23,ROK,53.970001,53.25,52.810001,54.259997999999996,926700.0
16994,2010-02-24,ROK,53.360001000000004,53.779999,53.0,53.799999,785500.0
17462,2010-02-25,ROK,53.099998,53.52,52.110001000000004,53.630001,1060500.0
17930,2010-02-26,ROK,53.48,54.09,53.240002000000004,54.209998999999996,790700.0
18398,2010-03-01,ROK,54.450001,55.130001,54.41,55.220001,864300.0
18866,2010-03-02,ROK,55.5,55.650002,55.299999,55.91,765700.0
19334,2010-03-03,ROK,55.709998999999996,55.259997999999996,55.099998,56.139998999999996,993700.0
19802,2010-03-04,ROK,55.459998999999996,55.0,54.860001000000004,55.619999,684400.0
20270,2010-03-05,ROK,55.310001,55.98,55.310001,56.049999,2167200.0
20738,2010-03-08,ROK,56.130001,56.139998999999996,55.950001,56.880001,1171200.0
21206,2010-03-09,ROK,56.009997999999996,56.049999,55.709998999999996,56.259997999999996,804400.0
21674,2010-03-10,ROK,56.029999,56.16,55.849998,56.490002000000004,858500.0
22142,2010-03-11,ROK,56.029999,55.84,55.41,56.049999,1240400.0
22610,2010-03-12,ROK,56.09,55.360001000000004,55.200001,56.09,1413700.0
23078,2010-03-15,ROK,55.470001,54.990002000000004,54.509997999999996,55.470001,1045500.0
23546,2010-03-16,ROK,55.080002,55.330002,54.790001000000004,55.5,1228000.0
24014,2010-03-17,ROK,55.32,55.23,55.16,55.82,852800.0
24482,2010-03-18,ROK,55.400002,55.130001,54.939999,55.400002,797300.0
24950,2010-03-19,ROK,55.369999,55.369999,54.900002,55.580002,1785400.0
25418,2010-03-22,ROK,55.07,55.860001000000004,54.860001000000004,56.169998,1201500.0
25886,2010-03-23,ROK,55.919998,56.779999,55.799999,57.0,1913300.0
26354,2010-03-24,ROK,56.720001,55.82,55.77,56.77,796600.0
26822,2010-03-25,ROK,56.139998999999996,55.919998,55.860001000000004,56.700001,1108400.0
27290,2010-03-26,ROK,56.189999,55.43,55.290001000000004,56.650002,1276600.0
27758,2010-03-29,ROK,55.720001,55.549999,55.52,56.110001000000004,1078000.0
28226,2010-03-30,ROK,55.740002000000004,56.16,55.5,56.5,1121000.0
28694,2010-03-31,ROK,55.830002,56.360001000000004,55.630001,56.75,1057700.0
29162,2010-04-01,ROK,56.639998999999996,56.639998999999996,56.279999,57.279999,876600.0
29630,2010-04-05,ROK,56.869999,57.32,56.599998,57.720001,696400.0
30098,2010-04-06,ROK,57.110001000000004,58.040001000000004,56.939999,58.049999,1085600.0
30566,2010-04-07,ROK,57.860001000000004,57.610001000000004,57.299999,58.060001,976100.0
31034,2010-04-08,ROK,57.299999,58.98,57.27,59.009997999999996,1257600.0
31502,2010-04-09,ROK,59.0,59.139998999999996,58.860001000000004,59.349998,842300.0
31970,2010-04-12,ROK,59.290001000000004,59.610001000000004,59.209998999999996,59.75,891700.0
32438,2010-04-13,ROK,59.560001,59.130001,58.810001,59.68,1586000.0
32906,2010-04-14,ROK,59.290001000000004,60.380001,59.16,60.41,821500.0
33374,2010-04-15,ROK,59.939999,60.799999,59.939999,60.880001,824300.0
33842,2010-04-16,ROK,60.560001,60.009997999999996,59.490002000000004,60.75,1287400.0
34310,2010-04-19,ROK,59.790001000000004,59.27,58.580002,59.939999,998600.0
34778,2010-04-20,ROK,59.830002,60.689999,59.830002,60.73,827900.0
35246,2010-04-21,ROK,60.630001,60.419998,59.849998,60.830002,1061500.0
35714,2010-04-22,ROK,59.869999,62.07,59.419998,62.200001,1530000.0
36182,2010-04-23,ROK,62.209998999999996,62.709998999999996,61.580002,62.720001,663300.0
36650,2010-04-26,ROK,62.939999,62.830002,62.700001,63.84,662100.0
37118,2010-04-27,ROK,62.419998,61.27,61.07,63.110001000000004,1094300.0
37587,2010-04-28,ROK,63.790001000000004,61.169998,61.0,63.900002,2339900.0
38056,2010-04-29,ROK,61.880001,61.900002,61.360001000000004,62.259997999999996,2015100.0
38525,2010-04-30,ROK,61.810001,60.720001,60.23,61.98,2014700.0
38994,2010-05-03,ROK,61.209998999999996,62.619999,61.18,62.740002000000004,841200.0
39463,2010-05-04,ROK,61.599998,59.93,59.5,61.599998,1261900.0
39932,2010-05-05,ROK,59.450001,59.549999,58.540001000000004,60.700001,1345100.0
40401,2010-05-06,ROK,58.939999,57.349998,53.619999,60.16,1896900.0
40870,2010-05-07,ROK,57.41,56.540001000000004,55.630001,58.189999,1724300.0
41339,2010-05-10,ROK,59.25,60.040001000000004,58.720001,60.639998999999996,1760200.0
41808,2010-05-11,ROK,59.25,60.080002,58.77,60.720001,1332000.0
42277,2010-05-12,ROK,60.52,62.380001,60.43,62.470001,1105800.0
42746,2010-05-13,ROK,61.84,61.150002,60.900002,62.34,832600.0
43215,2010-05-14,ROK,60.279999,59.299999,58.709998999999996,61.0,1118400.0
43684,2010-05-17,ROK,59.439999,59.310001,58.029999,59.830002,1529100.0
44153,2010-05-18,ROK,59.779999,57.970001,57.82,60.259997999999996,1069400.0
44622,2010-05-19,ROK,57.709998999999996,56.700001,55.459998999999996,58.049999,1366900.0
45091,2010-05-20,ROK,54.189999,52.16,51.66,54.619999,2691300.0
45560,2010-05-21,ROK,51.150002,53.450001,50.799999,53.720001,2180400.0
46029,2010-05-24,ROK,52.950001,52.82,52.73,54.080002,1022000.0
46498,2010-05-25,ROK,51.18,51.84,50.700001,52.02,2630300.0
46967,2010-05-26,ROK,52.259997999999996,52.450001,52.169998,53.669998,1494000.0
47436,2010-05-27,ROK,53.299999,54.27,53.299999,54.279999,973900.0
47905,2010-05-28,ROK,53.959998999999996,53.43,52.900002,54.23,987300.0
48374,2010-06-01,ROK,52.919998,52.220001,52.150002,53.93,776600.0
48843,2010-06-02,ROK,52.41,54.099998,51.959998999999996,54.110001000000004,774100.0
49312,2010-06-03,ROK,53.82,54.75,53.82,54.880001,991900.0
49781,2010-06-04,ROK,53.200001,51.459998999999996,51.049999,53.75,1084500.0
50250,2010-06-07,ROK,51.400002,49.59,49.5,51.540001000000004,1511800.0
50719,2010-06-08,ROK,49.599998,50.43,48.869999,50.580002,1511600.0
51188,2010-06-09,ROK,50.599998,50.279999,50.18,51.950001,1411500.0
51657,2010-06-10,ROK,51.27,52.700001,51.27,52.830002,1302600.0
52126,2010-06-11,ROK,52.009997999999996,52.880001,51.990002000000004,53.16,1467600.0
52595,2010-06-14,ROK,53.220001,51.759997999999996,51.57,53.630001,1575400.0
53064,2010-06-15,ROK,52.48,54.099998,52.16,54.169998,1077000.0
53533,2010-06-16,ROK,53.669998,54.040001000000004,53.560001,54.509997999999996,658800.0
54002,2010-06-17,ROK,54.220001,53.82,53.029999,54.220001,712200.0
54471,2010-06-18,ROK,53.98,53.830002,53.540001000000004,54.080002,826200.0
54940,2010-06-21,ROK,54.799999,53.950001,53.5,55.669998,951000.0
55409,2010-06-22,ROK,53.950001,52.209998999999996,52.07,54.450001,834600.0
55878,2010-06-23,ROK,52.209998999999996,52.009997999999996,51.25,52.560001,919200.0
56347,2010-06-24,ROK,51.939999,50.970001,50.75,52.09,792200.0
56816,2010-06-25,ROK,51.119999,52.139998999999996,50.400002,52.139998999999996,3432100.0
57285,2010-06-28,ROK,51.849998,51.580002,51.279999,52.349998,993900.0
57754,2010-06-29,ROK,50.599998,49.110001000000004,48.630001,50.669998,1745400.0
58223,2010-06-30,ROK,48.869999,49.09,48.779999,50.049999,1605700.0
58692,2010-07-01,ROK,48.990002000000004,49.080002,47.790001000000004,49.380001,1426100.0
59161,2010-07-02,ROK,49.200001,49.369999,49.029999,49.830002,1731300.0
59630,2010-07-06,ROK,49.709998999999996,49.16,48.630001,50.48,1097700.0
60099,2010-07-07,ROK,49.439999,50.700001,49.139998999999996,50.799999,1421200.0
60568,2010-07-08,ROK,51.509997999999996,51.66,50.810001,51.73,688400.0
61037,2010-07-09,ROK,51.790001000000004,52.02,51.400002,52.139998999999996,592900.0
61506,2010-07-12,ROK,51.650002,51.389998999999996,51.119999,52.130001,464600.0
61975,2010-07-13,ROK,52.07,52.669998,51.950001,52.93,535100.0
62444,2010-07-14,ROK,52.330002,52.529999,51.82,52.68,797100.0
62913,2010-07-15,ROK,52.619999,51.82,51.150002,52.66,888400.0
63382,2010-07-16,ROK,51.48,50.490002000000004,50.23,51.529999,876000.0
63851,2010-07-19,ROK,50.73,50.959998999999996,50.049999,51.18,626600.0
64320,2010-07-20,ROK,50.110001000000004,51.740002000000004,49.939999,51.790001000000004,1076200.0
64789,2010-07-21,ROK,52.16,51.450001,51.049999,52.459998999999996,1028600.0
