,date,symbol,open,close,low,high,volume
620,2010-01-04,SBUX,11.66,11.5249995,11.455,11.665,16370000.0
1088,2010-01-05,SBUX,11.4799995,11.795,11.4449995,12.0,30058800.0
1556,2010-01-06,SBUX,11.74,11.71,11.63,11.810000500000001,14209600.0
2024,2010-01-07,SBUX,11.640000500000001,11.6800005,11.595000500000001,11.765000500000001,10256000.0
2492,2010-01-08,SBUX,11.6000005,11.640000500000001,11.595000500000001,11.8,10274800.0
2960,2010-01-11,SBUX,11.685000500000001,11.6049995,11.435000500000001,11.685000500000001,11387000.0
3428,2010-01-12,SBUX,11.45,11.41,11.25,11.595000500000001,15429600.0
3896,2010-01-13,SBUX,11.45,11.689999499999999,11.385,11.75,15098400.0
4364,2010-01-14,SBUX,11.62,11.7749995,11.6049995,11.8,15517400.0
4832,2010-01-15,SBUX,11.865,11.635,11.455,11.875,21862600.0
5300,2010-01-19,SBUX,11.7,11.79,11.58,11.8999995,18908200.0
5768,2010-01-20,SBUX,11.87,11.6450005,11.425,11.8999995,33950400.0
6236,2010-01-21,SBUX,12.060000500000001,11.84,11.665,12.2250005,53670800.0
6704,2010-01-22,SBUX,11.814999499999999,11.455,11.425,11.915,24557600.0
7172,2010-01-25,SBUX,11.5,11.2,11.135,11.529999499999999,24673800.0
7640,2010-01-26,SBUX,11.1049995,11.2700005,11.085,11.37,22492600.0
8108,2010-01-27,SBUX,11.2700005,11.205,11.064999499999999,11.285,21200200.0
8576,2010-01-28,SBUX,11.25,11.04,10.9300005,11.314999499999999,28730400.0
9044,2010-01-29,SBUX,11.060000500000001,10.8950005,10.875,11.265000500000001,18741800.0
9512,2010-02-01,SBUX,10.995,11.115,10.885,11.135,13498800.0
9980,2010-02-02,SBUX,11.075,11.2250005,10.955,11.245,15336200.0
10448,2010-02-03,SBUX,11.1949995,11.215,11.05,11.245,14938600.0
10916,2010-02-04,SBUX,11.13,10.904999499999999,10.8950005,11.1949995,19542400.0
11384,2010-02-05,SBUX,10.8950005,10.8500005,10.63,11.0200005,22069800.0
11852,2010-02-08,SBUX,10.83,10.955,10.705,11.075,15988600.0
12320,2010-02-09,SBUX,11.075,11.095000500000001,10.83,11.1499995,20816200.0
12788,2010-02-10,SBUX,11.0200005,11.185000500000001,11.0200005,11.265000500000001,20032800.0
13256,2010-02-11,SBUX,11.13,11.279999499999999,10.965,11.34,18518200.0
13724,2010-02-12,SBUX,11.035,11.3,11.029999499999999,11.34,15750800.0
14192,2010-02-16,SBUX,11.345000500000001,11.439999499999999,11.234999499999999,11.439999499999999,16820000.0
14660,2010-02-17,SBUX,11.535,11.575,11.484999499999999,11.6499995,12950400.0
15128,2010-02-18,SBUX,11.6049995,11.63,11.505,11.66,9300600.0
15596,2010-02-19,SBUX,11.585,11.6800005,11.585,11.7299995,9731800.0
16064,2010-02-22,SBUX,11.665,11.45,11.41,11.6800005,16983800.0
16532,2010-02-23,SBUX,11.38,11.34,11.234999499999999,11.455,16508400.0
17000,2010-02-24,SBUX,11.375,11.54,11.3549995,11.54,12921000.0
17468,2010-02-25,SBUX,11.325,11.45,11.215,11.49,18623800.0
17936,2010-02-26,SBUX,11.46,11.455,11.34,11.495,12100000.0
18404,2010-03-01,SBUX,11.465,11.6450005,11.455,11.67,12703000.0
18872,2010-03-02,SBUX,11.59,11.665,11.54,11.7,17122200.0
19340,2010-03-03,SBUX,11.6499995,11.529999499999999,11.470000500000001,11.689999499999999,11035000.0
19808,2010-03-04,SBUX,11.5249995,11.46,11.435000500000001,11.585,12892600.0
20276,2010-03-05,SBUX,11.5200005,11.685000500000001,11.435000500000001,11.6949995,12328800.0
20744,2010-03-08,SBUX,11.635,11.66,11.625,11.795,8997200.0
21212,2010-03-09,SBUX,11.75,11.810000500000001,11.6000005,11.875,13357200.0
21680,2010-03-10,SBUX,11.765000500000001,12.115,11.755,12.135,24464200.0
22148,2010-03-11,SBUX,12.0200005,12.135,12.0200005,12.335,17979000.0
22616,2010-03-12,SBUX,12.135,12.140000500000001,12.0699995,12.24,12833400.0
23084,2010-03-15,SBUX,12.1499995,12.21,12.12,12.25,11841800.0
23552,2010-03-16,SBUX,12.4750005,12.6450005,12.4300005,12.685000500000001,33800200.0
24020,2010-03-17,SBUX,12.685000500000001,12.779999499999999,12.564999499999999,12.83,21365000.0
