,date,symbol,open,close,low,high,volume
622,2010-01-04,SCHW,19.209999,19.780001000000002,18.91,19.85,14023600.0
1090,2010-01-05,SCHW,19.389999,19.719998999999998,19.27,19.73,13248300.0
1558,2010-01-06,SCHW,19.639999,19.360001,19.23,19.68,10143700.0
2026,2010-01-07,SCHW,19.1,19.290001,18.67,19.389999,19494500.0
2494,2010-01-08,SCHW,19.18,19.16,18.969998999999998,19.24,9655100.0
2962,2010-01-11,SCHW,19.280001000000002,19.110001,18.98,19.280001000000002,9586600.0
3430,2010-01-12,SCHW,19.0,19.09,18.959999,19.43,11449100.0
3898,2010-01-13,SCHW,19.17,19.1,18.950001,19.190001000000002,12530900.0
4366,2010-01-14,SCHW,19.0,19.18,18.959999,19.34,6612800.0
4834,2010-01-15,SCHW,19.02,19.0,18.77,19.16,13235600.0
5302,2010-01-19,SCHW,19.0,19.290001,18.91,19.41,10795900.0
5770,2010-01-20,SCHW,18.780001000000002,19.02,18.65,19.110001,28242900.0
6238,2010-01-21,SCHW,19.040001,19.15,18.790001,19.309998999999998,49512700.0
6706,2010-01-22,SCHW,19.139999,18.82,18.76,19.26,26803300.0
7174,2010-01-25,SCHW,19.01,18.959999,18.84,19.1,12216000.0
7642,2010-01-26,SCHW,18.879998999999998,18.629998999999998,18.620001000000002,19.09,13896700.0
8110,2010-01-27,SCHW,18.73,18.74,18.469998999999998,18.82,16489200.0
8578,2010-01-28,SCHW,18.809998999999998,18.42,18.33,18.809998999999998,14864700.0
9046,2010-01-29,SCHW,18.66,18.290001,18.18,18.690001000000002,10510700.0
9514,2010-02-01,SCHW,18.450001,18.440001000000002,18.309998999999998,18.51,8519200.0
9982,2010-02-02,SCHW,18.200001,18.23,18.129998999999998,18.549999,15495600.0
10450,2010-02-03,SCHW,18.299999,18.17,18.040001,18.4,12133500.0
10918,2010-02-04,SCHW,18.030001000000002,17.59,17.5,18.120001000000002,28299200.0
11386,2010-02-05,SCHW,17.559998999999998,18.07,17.559998999999998,18.08,19732000.0
11854,2010-02-08,SCHW,18.049999,17.719998999999998,17.709999,18.09,14734000.0
12322,2010-02-09,SCHW,17.879998999999998,17.5,17.440001000000002,17.98,16020900.0
